Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,4.005683603735461,1,LightTurquoise,A
2,1851,4.043545875846117,1,LightTurquoise,A
3,1852,4.193182405190001,1,LightTurquoise,A
4,1853,4.108433870460219,1,LightTurquoise,A
5,1854,3.9020670677286597,1,LightTurquoise,A
6,1855,3.951096541884367,1,LightTurquoise,A
7,1856,4.289238361860152,1,LightTurquoise,A
8,1857,4.158452836908255,1,LightTurquoise,A
9,1858,4.0538973127780356,1,LightTurquoise,A
10,1859,4.092021917632273,1,LightTurquoise,A
11,1860,4.184431724443638,1,LightTurquoise,A
12,1861,4.254145493558189,1,LightTurquoise,A
13,1862,4.554330926580385,1,LightTurquoise,A
14,1863,4.299096821628133,1,LightTurquoise,A
15,1864,4.689051264846835,1,LightTurquoise,A
16,1865,4.612860056060882,1,LightTurquoise,A
17,1866,4.678167309229328,1,LightTurquoise,A
18,1867,4.340209503948598,1,LightTurquoise,A
19,1868,4.546712487630545,1,LightTurquoise,A
20,1869,4.469197117535035,1,LightTurquoise,A
21,1870,4.399821607760135,1,LightTurquoise,A
22,1871,4.487337740835968,1,LightTurquoise,A
23,1872,4.48467380220383,1,LightTurquoise,A
24,1873,4.596345437206811,1,LightTurquoise,A
25,1874,4.686271563724144,1,LightTurquoise,A
26,1875,4.6996753905437965,1,LightTurquoise,A
27,1876,4.802785496765441,1,LightTurquoise,A
28,1877,4.772468516679401,1,LightTurquoise,A
29,1878,4.9752981631708755,1,LightTurquoise,A
30,1879,5.0015621855316486,2,PowderBlue,B
31,1880,5.089980149539463,2,PowderBlue,B
32,1881,5.124369815233303,2,PowderBlue,B
33,1882,4.903822997112104,1,LightTurquoise,A
34,1883,5.279865404921508,2,PowderBlue,B
35,1884,5.239528612740621,2,PowderBlue,B
36,1885,5.436533288586026,2,PowderBlue,B
37,1886,6.027323633776001,2,PowderBlue,B
38,1887,5.3791334468741985,2,PowderBlue,B
39,1888,5.3509772935126625,2,PowderBlue,B
40,1889,5.486357665447239,2,PowderBlue,B
41,1890,5.738684007754507,2,PowderBlue,B
42,1891,5.298028244603115,2,PowderBlue,B
43,1892,5.6163296640977425,2,PowderBlue,B
44,1893,5.489748616563266,2,PowderBlue,B
45,1894,5.865140122094296,2,PowderBlue,B
46,1895,5.58634886877343,2,PowderBlue,B
47,1896,5.972269150136171,2,PowderBlue,B
48,1897,6.161922450383883,2,PowderBlue,B
49,1898,5.9654322203193955,2,PowderBlue,B
50,1899,6.142204010152821,2,PowderBlue,B
51,1900,6.057762366874652,2,PowderBlue,B
52,1901,5.996118795474801,2,PowderBlue,B
53,1902,5.901840305860442,2,PowderBlue,B
54,1903,6.174319075470763,2,PowderBlue,B
55,1904,6.106226840825143,2,PowderBlue,B
56,1905,6.07515893929751,2,PowderBlue,B
57,1906,6.023156620230822,2,PowderBlue,B
58,1907,6.339099685452132,2,PowderBlue,B
59,1908,6.59519433196249,2,PowderBlue,B
60,1909,6.662138876521192,2,PowderBlue,B
61,1910,6.868209338643853,2,PowderBlue,B
62,1911,6.678959075642952,2,PowderBlue,B
63,1912,6.801415689541084,2,PowderBlue,B
64,1913,7.293365977208048,2,PowderBlue,B
65,1914,6.624141443808673,2,PowderBlue,B
66,1915,6.5239979181326015,2,PowderBlue,B
67,1916,6.721811975814561,2,PowderBlue,B
68,1917,6.744713936244534,2,PowderBlue,B
