Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,6.516114469656772,2,PowderBlue,B
2,1851,6.157446509431706,2,PowderBlue,B
3,1852,7.231708652945884,2,PowderBlue,B
4,1853,7.251007509249938,2,PowderBlue,B
5,1854,6.134129093057353,2,PowderBlue,B
6,1855,6.293941824205455,2,PowderBlue,B
7,1856,6.941472085957144,2,PowderBlue,B
8,1857,7.40096635707314,2,PowderBlue,B
9,1858,6.904646898357498,2,PowderBlue,B
10,1859,7.3003764171435455,2,PowderBlue,B
11,1860,6.58102093350474,2,PowderBlue,B
12,1861,6.541133550787023,2,PowderBlue,B
13,1862,6.701249135095654,2,PowderBlue,B
14,1863,7.034032871303357,2,PowderBlue,B
15,1864,6.5435597917832675,2,PowderBlue,B
16,1865,6.508782180137537,2,PowderBlue,B
17,1866,6.751919694377244,2,PowderBlue,B
18,1867,6.703202540974374,2,PowderBlue,B
19,1868,6.350057912021836,2,PowderBlue,B
20,1869,6.2744062239446015,2,PowderBlue,B
21,1870,6.429351546323924,2,PowderBlue,B
22,1871,7.41754539897138,2,PowderBlue,B
23,1872,7.118689519749797,2,PowderBlue,B
24,1873,6.888912618494005,2,PowderBlue,B
25,1874,6.61774439105661,2,PowderBlue,B
26,1875,6.495281535235241,2,PowderBlue,B
27,1876,6.960265935246557,2,PowderBlue,B
28,1877,7.107341307059877,2,PowderBlue,B
29,1878,6.776231743145072,2,PowderBlue,B
30,1879,6.184761779946272,2,PowderBlue,B
31,1880,6.866967722139936,2,PowderBlue,B
32,1881,6.361454050725827,2,PowderBlue,B
33,1882,6.353216098671927,2,PowderBlue,B
34,1883,6.729157172186553,2,PowderBlue,B
35,1884,7.378510864418571,2,PowderBlue,B
36,1885,6.083306827682681,2,PowderBlue,B
37,1886,6.027806825155233,2,PowderBlue,B
38,1887,6.609330051138005,2,PowderBlue,B
39,1888,6.826833014720993,2,PowderBlue,B
40,1889,7.014527730003547,2,PowderBlue,B
41,1890,7.000957648682568,2,PowderBlue,B
42,1891,6.684709608024371,2,PowderBlue,B
43,1892,6.946547568435024,2,PowderBlue,B
44,1893,6.440296637689175,2,PowderBlue,B
45,1894,6.7340432505582095,2,PowderBlue,B
46,1895,6.3051288209485365,2,PowderBlue,B
47,1896,6.308083835482353,2,PowderBlue,B
48,1897,7.201061905086105,2,PowderBlue,B
49,1898,6.779519600491052,2,PowderBlue,B
50,1899,6.035971199196653,2,PowderBlue,B
51,1900,6.243670372772573,2,PowderBlue,B
52,1901,6.824077368158996,2,PowderBlue,B
53,1902,6.846026125620275,2,PowderBlue,B
54,1903,6.557818248997014,2,PowderBlue,B
55,1904,6.6464764139424215,2,PowderBlue,B
56,1905,6.164793373699787,2,PowderBlue,B
57,1906,6.82801536795845,2,PowderBlue,B
58,1907,6.74112902829643,2,PowderBlue,B
59,1908,6.76234808560736,2,PowderBlue,B
60,1909,6.370129547060748,2,PowderBlue,B
61,1910,6.665713624901228,2,PowderBlue,B
62,1911,6.771342816770112,2,PowderBlue,B
63,1912,6.986368739067406,2,PowderBlue,B
64,1913,6.530192377276717,2,PowderBlue,B
65,1914,6.5324652199094615,2,PowderBlue,B
66,1915,6.746994677185499,2,PowderBlue,B
67,1916,6.476091527334655,2,PowderBlue,B
68,1917,6.562144861125661,2,PowderBlue,B
69,1918,6.748628176313336,2,PowderBlue,B
70,1919,6.524425808706514,2,PowderBlue,B
71,1920,6.209918967434253,2,PowderBlue,B
72,1921,6.380440085582658,2,PowderBlue,B
73,1922,6.59827510147741,2,PowderBlue,B
74,1923,7.110800116529416,2,PowderBlue,B
75,1924,7.129825404044012,2,PowderBlue,B
76,1925,7.123543850889134,2,PowderBlue,B
77,1926,7.4144283525634265,2,PowderBlue,B
78,1927,6.149183103108752,2,PowderBlue,B
79,1928,6.749712158261051,2,PowderBlue,B
80,1929,7.428587490160672,2,PowderBlue,B
81,1930,6.779086615782291,2,PowderBlue,B
82,1931,5.996190076165404,2,PowderBlue,B
83,1932,7.3276485632649955,2,PowderBlue,B
84,1933,6.660880898317659,2,PowderBlue,B
85,1934,6.128230555580325,2,PowderBlue,B
86,1935,6.747993737729794,2,PowderBlue,B
87,1936,6.802294872917907,2,PowderBlue,B
88,1937,6.450841680689897,2,PowderBlue,B
89,1938,6.751901030007369,2,PowderBlue,B
90,1939,7.381303699651035,2,PowderBlue,B
91,1940,7.046665016119223,2,PowderBlue,B
92,1941,6.512795809228893,2,PowderBlue,B
93,1942,6.818429239564047,2,PowderBlue,B
94,1943,7.5226870932757715,2,PowderBlue,B
95,1944,7.225950174207987,2,PowderBlue,B
96,1945,6.9943905837599525,2,PowderBlue,B
97,1946,6.042090775077171,2,PowderBlue,B
98,1947,6.753433986877685,2,PowderBlue,B
99,1948,6.593751518536207,2,PowderBlue,B
100,1949,6.226296282323156,2,PowderBlue,B
101,1950,7.053064729610242,2,PowderBlue,B
102,1951,6.9580046898820225,2,PowderBlue,B
103,1952,6.733431731210241,2,PowderBlue,B
104,1953,6.1940871002624736,2,PowderBlue,B
105,1954,6.7792820441802,2,PowderBlue,B
106,1955,6.506126006918345,2,PowderBlue,B
107,1956,7.11585480885106,2,PowderBlue,B
108,1957,7.122937475898285,2,PowderBlue,B
109,1958,6.891206896370051,2,PowderBlue,B
110,1959,6.596149110675109,2,PowderBlue,B
111,1960,6.645375053857908,2,PowderBlue,B
112,1961,6.79403051540706,2,PowderBlue,B
113,1962,7.135675474081164,2,PowderBlue,B
114,1963,6.928250071113054,2,PowderBlue,B
115,1964,6.456715898484914,2,PowderBlue,B
116,1965,6.941224632893971,2,PowderBlue,B
117,1966,7.27303962742435,2,PowderBlue,B
118,1967,6.364227897037805,2,PowderBlue,B
119,1968,6.7172315722743186,2,PowderBlue,B
120,1969,6.937214562647589,2,PowderBlue,B
121,1970,6.784092999395579,2,PowderBlue,B
122,1971,7.180652902449365,2,PowderBlue,B
123,1972,6.75671260098435,2,PowderBlue,B
124,1973,6.825278382384828,2,PowderBlue,B
125,1974,6.26446003276784,2,PowderBlue,B
126,1975,6.56541720693547,2,PowderBlue,B
127,1976,7.040740166724716,2,PowderBlue,B
128,1977,6.529120282683366,2,PowderBlue,B
129,1978,6.988598165585742,2,PowderBlue,B
130,1979,7.067038242607396,2,PowderBlue,B
131,1980,7.13478818466339,2,PowderBlue,B
132,1981,6.65529029844715,2,PowderBlue,B
133,1982,6.838200051449131,2,PowderBlue,B
134,1983,7.050680200604347,2,PowderBlue,B
135,1984,6.642619126095461,2,PowderBlue,B
136,1985,6.819560876960313,2,PowderBlue,B
137,1986,7.241274959350136,2,PowderBlue,B
138,1987,6.157753530157028,2,PowderBlue,B
139,1988,6.5176857458855135,2,PowderBlue,B
140,1989,6.977018899934583,2,PowderBlue,B
141,1990,6.8008798470834995,2,PowderBlue,B
