Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,19.38299556185566,4,LightYellow,D
2,1851,19.994472625950092,4,LightYellow,D
3,1852,19.19826718958197,4,LightYellow,D
4,1853,18.290993581108765,4,LightYellow,D
5,1854,19.57590732488967,4,LightYellow,D
6,1855,19.66378620136962,4,LightYellow,D
7,1856,18.72167821939564,4,LightYellow,D
8,1857,20.644568019837585,5,Vanilla,E
9,1858,20.588255136712696,5,Vanilla,E
10,1859,21.26776801615955,5,Vanilla,E
11,1860,20.87334429384737,5,Vanilla,E
12,1861,21.60185011697947,5,Vanilla,E
13,1862,21.470460051305437,5,Vanilla,E
14,1863,20.448676358902954,5,Vanilla,E
15,1864,21.447877045749255,5,Vanilla,E
16,1865,20.15543640726076,5,Vanilla,E
17,1866,20.226434222646844,5,Vanilla,E
18,1867,19.93817962282646,4,LightYellow,D
19,1868,20.470774735524362,5,Vanilla,E
20,1869,23.058127316712103,5,Vanilla,E
21,1870,21.987117976369177,5,Vanilla,E
22,1871,18.721002181078116,4,LightYellow,D
23,1872,18.38639359149778,4,LightYellow,D
24,1873,19.943348595457625,4,LightYellow,D
25,1874,20.29332027459257,5,Vanilla,E
26,1875,23.806841928439688,5,Vanilla,E
27,1876,20.375805259142666,5,Vanilla,E
28,1877,20.759945985050845,5,Vanilla,E
29,1878,21.856109222251032,5,Vanilla,E
30,1879,19.810321060462304,4,LightYellow,D
31,1880,18.752519784227243,4,LightYellow,D
32,1881,20.117600630849363,5,Vanilla,E
33,1882,22.73923805806783,5,Vanilla,E
34,1883,20.1930236055223,5,Vanilla,E
35,1884,18.612315981461954,4,LightYellow,D
36,1885,21.45062028517046,5,Vanilla,E
37,1886,19.18486934266459,4,LightYellow,D
38,1887,22.364915746552143,5,Vanilla,E
39,1888,20.590487534899452,5,Vanilla,E
40,1889,17.443782713512505,4,LightYellow,D
41,1890,19.274426631332346,4,LightYellow,D
42,1891,19.29688528870112,4,LightYellow,D
43,1892,20.909149515585824,5,Vanilla,E
44,1893,22.49944191423225,5,Vanilla,E
45,1894,20.007280215899026,5,Vanilla,E
46,1895,20.116805232391517,5,Vanilla,E
47,1896,22.078413172372358,5,Vanilla,E
48,1897,18.59222945640838,4,LightYellow,D
49,1898,18.48114078759783,4,LightYellow,D
50,1899,20.492478692118926,5,Vanilla,E
51,1900,23.647820728094292,5,Vanilla,E
52,1901,23.516827906616996,5,Vanilla,E
53,1902,19.92598492921489,4,LightYellow,D
54,1903,16.34827735897188,4,LightYellow,D
55,1904,20.77276266550061,5,Vanilla,E
56,1905,20.489751361685517,5,Vanilla,E
57,1906,21.375338891198158,5,Vanilla,E
58,1907,21.097637068228984,5,Vanilla,E
59,1908,19.349408692962456,4,LightYellow,D
60,1909,22.647120372496268,5,Vanilla,E
61,1910,23.3794120472247,5,Vanilla,E
62,1911,19.838997974727526,4,LightYellow,D
63,1912,22.564436612183872,5,Vanilla,E
64,1913,19.979095239566277,4,LightYellow,D
65,1914,26.065915561670018,5,Vanilla,E
66,1915,22.028435167615136,5,Vanilla,E
67,1916,25.03084368093888,5,Vanilla,E
68,1917,24.290174692684882,5,Vanilla,E
69,1918,19.362744880299523,4,LightYellow,D
70,1919,20.814139066101273,5,Vanilla,E
71,1920,19.68876172628742,4,LightYellow,D
72,1921,23.426145878804906,5,Vanilla,E
73,1922,21.213470065012203,5,Vanilla,E
74,1923,22.659531254582834,5,Vanilla,E
75,1924,20.637228488184714,5,Vanilla,E
76,1925,19.108002750464152,4,LightYellow,D
77,1926,22.090817535227252,5,Vanilla,E
78,1927,24.55378940651753,5,Vanilla,E
79,1928,23.09118738523654,5,Vanilla,E
80,1929,19.866114845165114,4,LightYellow,D
81,1930,20.190895578769,5,Vanilla,E
82,1931,24.524981509356643,5,Vanilla,E
83,1932,22.945364097717775,5,Vanilla,E
84,1933,22.778172136526432,5,Vanilla,E
85,1934,23.6027632608486,5,Vanilla,E
86,1935,23.22781466737316,5,Vanilla,E
87,1936,22.783529192327048,5,Vanilla,E
88,1937,23.7791278522728,5,Vanilla,E
89,1938,27.81392505089352,5,Vanilla,E
90,1939,22.94776810067524,5,Vanilla,E
91,1940,21.85317481886004,5,Vanilla,E
92,1941,24.060341316908275,5,Vanilla,E
93,1942,26.79417713591538,5,Vanilla,E
94,1943,22.694232183486484,5,Vanilla,E
95,1944,23.653804036497917,5,Vanilla,E
96,1945,25.783424481826938,5,Vanilla,E
97,1946,27.203046553575657,5,Vanilla,E
98,1947,23.825717784824,5,Vanilla,E
99,1948,25.703805168834013,5,Vanilla,E
100,1949,23.827843408014633,5,Vanilla,E
101,1950,23.706626051861164,5,Vanilla,E
102,1951,21.986733881811066,5,Vanilla,E
103,1952,21.834243894162583,5,Vanilla,E
104,1953,25.592552173444435,5,Vanilla,E
105,1954,23.194594334062987,5,Vanilla,E
106,1955,24.441161747298395,5,Vanilla,E
107,1956,25.413715449608095,5,Vanilla,E
108,1957,25.37531740570556,5,Vanilla,E
109,1958,25.840232773490037,5,Vanilla,E
110,1959,24.873471763540095,5,Vanilla,E
111,1960,26.803892006957536,5,Vanilla,E
112,1961,26.511442956496218,5,Vanilla,E
113,1962,24.107918816914687,5,Vanilla,E
114,1963,25.433441515079803,5,Vanilla,E
115,1964,26.160969113218968,5,Vanilla,E
116,1965,27.78508478364672,5,Vanilla,E
117,1966,24.88589974565326,5,Vanilla,E
118,1967,27.601436237214678,5,Vanilla,E
119,1968,29.80852810696024,5,Vanilla,E
120,1969,26.572368217152423,5,Vanilla,E
121,1970,28.423340250351135,5,Vanilla,E
122,1971,28.42170940072592,5,Vanilla,E
123,1972,28.394408579986468,5,Vanilla,E
124,1973,31.53769248774196,6,Dandelion,F
125,1974,31.79241448905404,6,Dandelion,F
126,1975,31.835387927303927,6,Dandelion,F
127,1976,31.047857085268255,6,Dandelion,F
128,1977,33.64479221154015,6,Dandelion,F
129,1978,33.539972193758835,6,Dandelion,F
130,1979,34.964872447320445,6,Dandelion,F
131,1980,31.975137584509856,6,Dandelion,F
132,1981,31.697059906667395,6,Dandelion,F
133,1982,37.96297148577807,6,Dandelion,F
134,1983,34.93822150053855,6,Dandelion,F
135,1984,35.980125436919316,6,Dandelion,F
136,1985,40.59960914582292,7,Tangerine,G
137,1986,36.27866451667158,6,Dandelion,F
138,1987,41.18625040967053,7,Tangerine,G
139,1988,40.795777221740984,7,Tangerine,G
140,1989,42.13707626860081,7,Tangerine,G
141,1990,46.975716973358814,7,Tangerine,G
142,1991,44.78980663756858,7,Tangerine,G
143,1992,41.113814371342286,7,Tangerine,G
144,1993,43.712991219491805,7,Tangerine,G
145,1994,45.70559091550276,7,Tangerine,G
146,1995,50.11731949281116,8,Mustard,H
147,1996,48.20985707104968,7,Tangerine,G
148,1997,52.49220564009672,8,Mustard,H
149,1998,49.946589619035336,7,Tangerine,G
150,1999,51.34928403460159,8,Mustard,H
151,2000,51.66207079796414,8,Mustard,H
152,2001,51.325008392333984,8,Mustard,H
153,2002,52.41666793823242,8,Mustard,H
154,2003,51.80833435058594,8,Mustard,H
155,2004,48.891666412353516,7,Tangerine,G
156,2005,50.31666564941406,8,Mustard,H
157,2006,52.008331298828125,8,Mustard,H
158,2007,58.508331298828125,8,Mustard,H
159,2008,53.33332824707031,8,Mustard,H
160,2009,52.008331298828125,8,Mustard,H
161,2010,60.875,9,Mauve,I
162,2011,58.57500076293945,8,Mustard,H
163,2012,61.67500305175781,9,Mauve,I
164,2013,62.67500305175781,9,Mauve,I
165,2014,64.26667022705078,9,Mauve,I
166,2015,63.52499771118164,9,Mauve,I
167,2016,68.7249984741211,9,Mauve,I
168,2017,64.99999237060547,9,Mauve,I
169,2018,73.375,10,Brown,J
170,2019,63.64166259765625,9,Mauve,I
171,2020,66.33332824707031,9,Mauve,I
172,2021,71.20000457763672,10,Brown,J
173,2022,75.6500015258789,10,Brown,J
