Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,7.055426605080295,2,PowderBlue,B
2,1851,7.070550578893068,2,PowderBlue,B
3,1852,7.456739948246571,2,PowderBlue,B
4,1853,7.424986191509569,2,PowderBlue,B
5,1854,7.138779094766384,2,PowderBlue,B
6,1855,7.104660885362813,2,PowderBlue,B
7,1856,7.42854467824002,2,PowderBlue,B
8,1857,7.395542496376853,2,PowderBlue,B
9,1858,7.666540834253105,2,PowderBlue,B
10,1859,7.240146567940257,2,PowderBlue,B
11,1860,7.2669297989198665,2,PowderBlue,B
12,1861,7.328179701410033,2,PowderBlue,B
13,1862,7.43997163157069,2,PowderBlue,B
14,1863,7.431140451171929,2,PowderBlue,B
15,1864,7.56308107170671,2,PowderBlue,B
16,1865,7.837593980686847,2,PowderBlue,B
17,1866,7.616100470909981,2,PowderBlue,B
18,1867,7.730431067905555,2,PowderBlue,B
19,1868,7.486959500688594,2,PowderBlue,B
20,1869,7.516266577737189,2,PowderBlue,B
21,1870,7.680270964020594,2,PowderBlue,B
22,1871,8.098820660119737,2,PowderBlue,B
23,1872,7.967906665379271,2,PowderBlue,B
24,1873,7.7589466793310935,2,PowderBlue,B
25,1874,8.053571854522001,2,PowderBlue,B
26,1875,7.881471617577943,2,PowderBlue,B
27,1876,7.931942442877817,2,PowderBlue,B
28,1877,8.054526959936059,2,PowderBlue,B
29,1878,7.844677416050984,2,PowderBlue,B
30,1879,7.851405102090889,2,PowderBlue,B
31,1880,7.992839986610127,2,PowderBlue,B
32,1881,8.473744230590396,2,PowderBlue,B
33,1882,7.492552147341047,2,PowderBlue,B
34,1883,7.86868194186988,2,PowderBlue,B
35,1884,8.26025809954538,2,PowderBlue,B
36,1885,7.969612553615754,2,PowderBlue,B
37,1886,8.014310554969994,2,PowderBlue,B
38,1887,8.261887996125694,2,PowderBlue,B
39,1888,8.188261259297954,2,PowderBlue,B
40,1889,8.05461885961905,2,PowderBlue,B
41,1890,8.51305249455725,2,PowderBlue,B
42,1891,7.996560381925984,2,PowderBlue,B
43,1892,8.386212959057808,2,PowderBlue,B
44,1893,8.169636011205327,2,PowderBlue,B
45,1894,8.511272297409853,2,PowderBlue,B
46,1895,8.163109247901982,2,PowderBlue,B
47,1896,8.517189337426217,2,PowderBlue,B
48,1897,8.980216856577401,2,PowderBlue,B
49,1898,8.580916757910252,2,PowderBlue,B
50,1899,8.704275925615045,2,PowderBlue,B
51,1900,8.381685160373934,2,PowderBlue,B
52,1901,8.536572880509935,2,PowderBlue,B
53,1902,8.567012619343169,2,PowderBlue,B
54,1903,8.780575648611563,2,PowderBlue,B
55,1904,8.661241336004283,2,PowderBlue,B
56,1905,8.503554712175507,2,PowderBlue,B
57,1906,8.965153624383488,2,PowderBlue,B
58,1907,8.954657721578288,2,PowderBlue,B
59,1908,8.814106370170556,2,PowderBlue,B
60,1909,8.43668726275102,2,PowderBlue,B
61,1910,8.67697641596948,2,PowderBlue,B
62,1911,8.852943757841135,2,PowderBlue,B
63,1912,9.194586460411308,2,PowderBlue,B
64,1913,8.841504022539299,2,PowderBlue,B
65,1914,8.831235929858435,2,PowderBlue,B
66,1915,8.757803167233073,2,PowderBlue,B
67,1916,8.772322372773658,2,PowderBlue,B
68,1917,8.764477241916483,2,PowderBlue,B
69,1918,9.201926212093525,2,PowderBlue,B
70,1919,8.938665427372406,2,PowderBlue,B
71,1920,8.716798425106443,2,PowderBlue,B
72,1921,9.054158606840417,2,PowderBlue,B
73,1922,9.210651930925891,2,PowderBlue,B
74,1923,9.27052983008485,2,PowderBlue,B
75,1924,9.344605602807434,2,PowderBlue,B
76,1925,9.561149462962286,2,PowderBlue,B
77,1926,9.506856245572209,2,PowderBlue,B
78,1927,9.338800635696085,2,PowderBlue,B
79,1928,9.400184361973752,2,PowderBlue,B
80,1929,10.10928948717574,3,CornflowerBlue,C
81,1930,9.641726950178267,2,PowderBlue,B
82,1931,9.175858179472955,2,PowderBlue,B
83,1932,9.530232240564274,2,PowderBlue,B
84,1933,9.595834054705676,2,PowderBlue,B
85,1934,9.51104253923053,2,PowderBlue,B
86,1935,9.771432528352314,2,PowderBlue,B
87,1936,9.829722655792034,2,PowderBlue,B
88,1937,9.880905737722077,2,PowderBlue,B
89,1938,9.974137659749402,2,PowderBlue,B
90,1939,10.678699354868067,3,CornflowerBlue,C
91,1940,9.984889264766863,2,PowderBlue,B
