Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,10.285707516625138,3,CornflowerBlue,C
2,1851,9.554554323891887,2,PowderBlue,B
3,1852,9.904518773738076,2,PowderBlue,B
4,1853,9.881576086613165,2,PowderBlue,B
5,1854,9.997196170492494,2,PowderBlue,B
6,1855,9.29161698046345,2,PowderBlue,B
7,1856,9.72917614357595,2,PowderBlue,B
8,1857,9.808624502376325,2,PowderBlue,B
9,1858,9.896562835868078,2,PowderBlue,B
10,1859,10.608577587044126,3,CornflowerBlue,C
11,1860,9.664245587337144,2,PowderBlue,B
12,1861,9.55347360456881,2,PowderBlue,B
13,1862,9.419773894299558,2,PowderBlue,B
14,1863,10.749989265311918,3,CornflowerBlue,C
15,1864,10.873768504171881,3,CornflowerBlue,C
16,1865,10.040753952887332,3,CornflowerBlue,C
17,1866,9.688742348335797,2,PowderBlue,B
18,1867,9.655897832950714,2,PowderBlue,B
19,1868,9.367414941037763,2,PowderBlue,B
20,1869,9.764214951788825,2,PowderBlue,B
21,1870,9.851338806425847,2,PowderBlue,B
22,1871,10.396570757324238,3,CornflowerBlue,C
23,1872,9.707547405111402,2,PowderBlue,B
24,1873,10.290798346219237,3,CornflowerBlue,C
25,1874,10.558032708696377,3,CornflowerBlue,C
26,1875,10.446427140231192,3,CornflowerBlue,C
27,1876,10.077642632384618,3,CornflowerBlue,C
28,1877,10.172305283776138,3,CornflowerBlue,C
29,1878,11.365076178056505,3,CornflowerBlue,C
30,1879,10.045665775581064,3,CornflowerBlue,C
31,1880,10.191768324887244,3,CornflowerBlue,C
32,1881,9.508155158258491,2,PowderBlue,B
33,1882,9.958044504556355,2,PowderBlue,B
34,1883,10.516636098536871,3,CornflowerBlue,C
35,1884,10.744132427725607,3,CornflowerBlue,C
36,1885,9.450312972354261,2,PowderBlue,B
37,1886,10.001171661031222,3,CornflowerBlue,C
38,1887,10.6868242319424,3,CornflowerBlue,C
39,1888,10.20749080279787,3,CornflowerBlue,C
40,1889,10.408449152371237,3,CornflowerBlue,C
41,1890,10.34254244902127,3,CornflowerBlue,C
42,1891,10.854873036984285,3,CornflowerBlue,C
43,1892,10.616016913688167,3,CornflowerBlue,C
44,1893,9.942477430759494,2,PowderBlue,B
45,1894,10.081620693633187,3,CornflowerBlue,C
46,1895,10.441870359613114,3,CornflowerBlue,C
47,1896,10.602839910091252,3,CornflowerBlue,C
48,1897,11.39726579050464,3,CornflowerBlue,C
49,1898,10.42353974285355,3,CornflowerBlue,C
50,1899,10.110600865101283,3,CornflowerBlue,C
51,1900,9.800350922200954,2,PowderBlue,B
52,1901,10.293076125210819,3,CornflowerBlue,C
53,1902,10.163297963673353,3,CornflowerBlue,C
54,1903,10.869231034362494,3,CornflowerBlue,C
55,1904,10.631583465705958,3,CornflowerBlue,C
56,1905,10.703062524320282,3,CornflowerBlue,C
57,1906,9.952333559412356,2,PowderBlue,B
58,1907,11.133999036431673,3,CornflowerBlue,C
59,1908,10.09047821935033,3,CornflowerBlue,C
60,1909,10.604469425669912,3,CornflowerBlue,C
61,1910,11.056322501892398,3,CornflowerBlue,C
62,1911,11.058611079925052,3,CornflowerBlue,C
63,1912,11.248026963879777,3,CornflowerBlue,C
64,1913,11.187888169658478,3,CornflowerBlue,C
65,1914,10.268294704100562,3,CornflowerBlue,C
66,1915,10.85271721731995,3,CornflowerBlue,C
67,1916,9.993372405496014,2,PowderBlue,B
68,1917,10.85554523142382,3,CornflowerBlue,C
69,1918,10.575010036430866,3,CornflowerBlue,C
70,1919,10.644016126109227,3,CornflowerBlue,C
71,1920,9.78285637710147,2,PowderBlue,B
72,1921,10.870132379304755,3,CornflowerBlue,C
73,1922,10.182797075437524,3,CornflowerBlue,C
74,1923,10.754873751485809,3,CornflowerBlue,C
75,1924,10.489538381874247,3,CornflowerBlue,C
76,1925,10.645036270345948,3,CornflowerBlue,C
77,1926,10.614474816880549,3,CornflowerBlue,C
78,1927,10.846682626398652,3,CornflowerBlue,C
79,1928,10.137737720815347,3,CornflowerBlue,C
80,1929,10.883228469023976,3,CornflowerBlue,C
81,1930,10.5708508353661,3,CornflowerBlue,C
82,1931,9.991091215320024,2,PowderBlue,B
83,1932,10.082916875623937,3,CornflowerBlue,C
84,1933,9.568160557738324,2,PowderBlue,B
85,1934,10.83296324636236,3,CornflowerBlue,C
86,1935,10.3839325295115,3,CornflowerBlue,C
87,1936,10.978224501762558,3,CornflowerBlue,C
88,1937,10.756712561570103,3,CornflowerBlue,C
89,1938,11.305495224772132,3,CornflowerBlue,C
90,1939,10.975512634989908,3,CornflowerBlue,C
91,1940,11.330365646241098,3,CornflowerBlue,C
92,1941,10.454058993579482,3,CornflowerBlue,C
93,1942,10.344231658241515,3,CornflowerBlue,C
94,1943,10.476830929812634,3,CornflowerBlue,C
95,1944,11.350777339880082,3,CornflowerBlue,C
96,1945,9.911799803889572,2,PowderBlue,B
97,1946,10.315843984108927,3,CornflowerBlue,C
98,1947,10.181781914092182,3,CornflowerBlue,C
99,1948,11.60420351758232,3,CornflowerBlue,C
100,1949,10.400840433084824,3,CornflowerBlue,C
101,1950,11.326197713141678,3,CornflowerBlue,C
102,1951,12.762336721863585,3,CornflowerBlue,C
103,1952,12.221914471641533,3,CornflowerBlue,C
104,1953,11.852115095755513,3,CornflowerBlue,C
105,1954,12.67726763134324,3,CornflowerBlue,C
106,1955,11.965859516036755,3,CornflowerBlue,C
107,1956,13.467503648660607,3,CornflowerBlue,C
108,1957,13.430910584073017,3,CornflowerBlue,C
109,1958,12.65972676833189,3,CornflowerBlue,C
110,1959,13.395121065775395,3,CornflowerBlue,C
111,1960,13.63802331779094,3,CornflowerBlue,C
112,1961,14.010397916264946,3,CornflowerBlue,C
113,1962,14.24277837796489,3,CornflowerBlue,C
114,1963,14.496006147019944,3,CornflowerBlue,C
115,1964,14.396501322107424,3,CornflowerBlue,C
116,1965,16.29198812475166,4,LightYellow,D
117,1966,15.890974608806916,4,LightYellow,D
118,1967,14.900525440550092,3,CornflowerBlue,C
119,1968,16.40036971345243,4,LightYellow,D
120,1969,16.84792750448325,4,LightYellow,D
121,1970,17.141892012236294,4,LightYellow,D
122,1971,16.75845908934795,4,LightYellow,D
123,1972,17.185857611175365,4,LightYellow,D
124,1973,18.147490968345213,4,LightYellow,D
125,1974,18.194195895241492,4,LightYellow,D
126,1975,17.88159828761031,4,LightYellow,D
127,1976,19.98913757554711,4,LightYellow,D
128,1977,18.451685632862983,4,LightYellow,D
