Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,26.59634565544047,5,Vanilla,E
2,1851,25.056119810587834,5,Vanilla,E
3,1852,24.336786972749657,5,Vanilla,E
4,1853,24.538572290145904,5,Vanilla,E
5,1854,26.572424216285942,5,Vanilla,E
6,1855,26.447886870824536,5,Vanilla,E
7,1856,24.960485324560068,5,Vanilla,E
8,1857,25.617325856450666,5,Vanilla,E
9,1858,25.79949093173673,5,Vanilla,E
10,1859,25.9808340469316,5,Vanilla,E
11,1860,24.389567276249302,5,Vanilla,E
12,1861,24.22576712461834,5,Vanilla,E
13,1862,23.89357996415891,5,Vanilla,E
14,1863,24.401557058989614,5,Vanilla,E
15,1864,25.741111071731474,5,Vanilla,E
16,1865,26.57283677680067,5,Vanilla,E
17,1866,25.202888208859854,5,Vanilla,E
18,1867,25.63630135197751,5,Vanilla,E
19,1868,24.20985489095433,5,Vanilla,E
20,1869,26.356690349423715,5,Vanilla,E
21,1870,25.889712269378016,5,Vanilla,E
22,1871,24.439454432728187,5,Vanilla,E
23,1872,25.168263986545984,5,Vanilla,E
24,1873,24.063573386825222,5,Vanilla,E
25,1874,25.419436036164708,5,Vanilla,E
26,1875,27.093767380402177,5,Vanilla,E
27,1876,25.674624699009758,5,Vanilla,E
28,1877,24.617061114259787,5,Vanilla,E
29,1878,25.343195088988175,5,Vanilla,E
30,1879,26.091021522229333,5,Vanilla,E
31,1880,25.043659974452538,5,Vanilla,E
32,1881,25.562417436877002,5,Vanilla,E
33,1882,26.254247964192963,5,Vanilla,E
34,1883,24.232509491144192,5,Vanilla,E
35,1884,22.40585461351857,5,Vanilla,E
36,1885,24.021413942013666,5,Vanilla,E
37,1886,25.371152149275797,5,Vanilla,E
38,1887,25.102564827483114,5,Vanilla,E
39,1888,24.474527467756197,5,Vanilla,E
40,1889,25.324845170956724,5,Vanilla,E
41,1890,24.276545684012273,5,Vanilla,E
42,1891,25.981825662620817,5,Vanilla,E
43,1892,25.03642340308392,5,Vanilla,E
44,1893,25.053262308980987,5,Vanilla,E
45,1894,25.002642061327133,5,Vanilla,E
46,1895,26.030379555379415,5,Vanilla,E
47,1896,26.89221032890701,5,Vanilla,E
48,1897,26.301094487388244,5,Vanilla,E
49,1898,25.910656738857902,5,Vanilla,E
50,1899,27.687734130874457,5,Vanilla,E
51,1900,26.227910891672046,5,Vanilla,E
52,1901,24.452053267590582,5,Vanilla,E
53,1902,24.117559845241303,5,Vanilla,E
54,1903,24.11082063403999,5,Vanilla,E
55,1904,25.37937121718337,5,Vanilla,E
56,1905,24.94033644600866,5,Vanilla,E
57,1906,24.650242196128048,5,Vanilla,E
58,1907,26.023814765521383,5,Vanilla,E
59,1908,25.96511953178701,5,Vanilla,E
60,1909,27.02569049445682,5,Vanilla,E
61,1910,26.331812673426345,5,Vanilla,E
62,1911,24.22040946811888,5,Vanilla,E
63,1912,25.265576835974343,5,Vanilla,E
64,1913,24.39764605369214,5,Vanilla,E
65,1914,25.15936110958959,5,Vanilla,E
66,1915,27.057339486828965,5,Vanilla,E
67,1916,26.269307153850644,5,Vanilla,E
68,1917,26.32997404072777,5,Vanilla,E
69,1918,26.601108898884373,5,Vanilla,E
70,1919,26.849459416185056,5,Vanilla,E
71,1920,27.733067238195492,5,Vanilla,E
72,1921,25.642274859026926,5,Vanilla,E
73,1922,25.84320138688473,5,Vanilla,E
74,1923,26.806022858515885,5,Vanilla,E
75,1924,24.94362983088255,5,Vanilla,E
76,1925,24.382351324809846,5,Vanilla,E
77,1926,26.94675148939495,5,Vanilla,E
78,1927,27.517992048621664,5,Vanilla,E
79,1928,26.911853739072388,5,Vanilla,E
80,1929,26.029307536787005,5,Vanilla,E
81,1930,24.796026534597267,5,Vanilla,E
82,1931,28.037293741090515,5,Vanilla,E
83,1932,27.169437402645325,5,Vanilla,E
84,1933,25.999907482721,5,Vanilla,E
85,1934,27.631715877239284,5,Vanilla,E
86,1935,28.815466351162254,5,Vanilla,E
87,1936,27.105690925026384,5,Vanilla,E
88,1937,28.35573412467215,5,Vanilla,E
89,1938,27.354067137761817,5,Vanilla,E
90,1939,24.361573435113186,5,Vanilla,E
91,1940,25.969312275856243,5,Vanilla,E
92,1941,26.6256087447214,5,Vanilla,E
93,1942,27.19766387830227,5,Vanilla,E
94,1943,26.43986585840293,5,Vanilla,E
95,1944,26.34571148746183,5,Vanilla,E
96,1945,26.137425780727973,5,Vanilla,E
97,1946,26.890312235215234,5,Vanilla,E
98,1947,26.926577747213926,5,Vanilla,E
99,1948,28.824835531875497,5,Vanilla,E
100,1949,28.615396519656304,5,Vanilla,E
101,1950,26.555881082228076,5,Vanilla,E
102,1951,25.08885347339941,5,Vanilla,E
103,1952,24.98556758445433,5,Vanilla,E
104,1953,26.065556553915794,5,Vanilla,E
105,1954,24.620442315900096,5,Vanilla,E
106,1955,26.670216944810033,5,Vanilla,E
107,1956,27.681859505494245,5,Vanilla,E
108,1957,27.142116513592015,5,Vanilla,E
109,1958,26.659515168164425,5,Vanilla,E
110,1959,24.856333749172144,5,Vanilla,E
111,1960,24.503151637272946,5,Vanilla,E
112,1961,25.517556019772538,5,Vanilla,E
113,1962,24.199216090366978,5,Vanilla,E
114,1963,27.76881064675385,5,Vanilla,E
115,1964,28.245229983253697,5,Vanilla,E
116,1965,25.97089288176156,5,Vanilla,E
117,1966,26.207716849828298,5,Vanilla,E
118,1967,27.72431882974935,5,Vanilla,E
119,1968,25.941193597147084,5,Vanilla,E
120,1969,24.637216203416003,5,Vanilla,E
121,1970,26.010189234991678,5,Vanilla,E
122,1971,23.32289445304058,5,Vanilla,E
123,1972,25.085120211463686,5,Vanilla,E
124,1973,24.24443665256849,5,Vanilla,E
125,1974,25.546706888513963,5,Vanilla,E
126,1975,24.23228348046289,5,Vanilla,E
127,1976,26.696601010635902,5,Vanilla,E
128,1977,25.986875445693755,5,Vanilla,E
129,1978,26.423996950786066,5,Vanilla,E
130,1979,25.03935813351812,5,Vanilla,E
131,1980,23.95879205972813,5,Vanilla,E
132,1981,24.394102500333513,5,Vanilla,E
133,1982,27.86024448535104,5,Vanilla,E
134,1983,25.18935036290039,5,Vanilla,E
135,1984,24.35395864604965,5,Vanilla,E
136,1985,23.776039564155585,5,Vanilla,E
137,1986,23.762736493046926,5,Vanilla,E
138,1987,24.727018346461684,5,Vanilla,E
139,1988,24.821407551559023,5,Vanilla,E
140,1989,24.082237531499544,5,Vanilla,E
141,1990,23.717684829633182,5,Vanilla,E
142,1991,26.209491938726444,5,Vanilla,E
143,1992,24.478118026844054,5,Vanilla,E
144,1993,25.45700630350456,5,Vanilla,E
145,1994,25.518457460684196,5,Vanilla,E
146,1995,25.087443999045934,5,Vanilla,E
147,1996,26.545409804694994,5,Vanilla,E
148,1997,23.608414539457414,5,Vanilla,E
149,1998,31.74107557237597,6,Dandelion,F
150,1999,27.20515107254106,5,Vanilla,E
151,2000,25.651762116935874,5,Vanilla,E
152,2001,25.125001907348633,5,Vanilla,E
153,2002,21.191667556762695,5,Vanilla,E
154,2003,23.524999618530273,5,Vanilla,E
155,2004,21.566665649414062,5,Vanilla,E
156,2005,22.84166717529297,5,Vanilla,E
157,2006,21.95833396911621,5,Vanilla,E
158,2007,25.024999618530273,5,Vanilla,E
159,2008,24.133331298828125,5,Vanilla,E
160,2009,23.54166603088379,5,Vanilla,E
161,2010,25.41666603088379,5,Vanilla,E
162,2011,28.866666793823242,5,Vanilla,E
163,2012,26.625,5,Vanilla,E
164,2013,28.54166603088379,5,Vanilla,E
165,2014,24.649995803833008,5,Vanilla,E
166,2015,25.366666793823242,5,Vanilla,E
167,2016,23.225000381469727,5,Vanilla,E
168,2017,25.491668701171875,5,Vanilla,E
169,2018,21.516664505004883,5,Vanilla,E
170,2019,25.45833396911621,5,Vanilla,E
171,2020,23.6583309173584,5,Vanilla,E
172,2021,24.933334350585938,5,Vanilla,E
173,2022,23.991666793823242,5,Vanilla,E
