Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,16.648892461050888,4,LightYellow,D
2,1851,18.07170027747232,4,LightYellow,D
3,1852,16.11890301059398,4,LightYellow,D
4,1853,16.61555819787385,4,LightYellow,D
5,1854,17.006434912446334,4,LightYellow,D
6,1855,18.371440901156983,4,LightYellow,D
7,1856,16.988119228707863,4,LightYellow,D
8,1857,15.97547895681702,4,LightYellow,D
9,1858,16.30626059603986,4,LightYellow,D
10,1859,16.461976796610365,4,LightYellow,D
11,1860,17.22430178935347,4,LightYellow,D
12,1861,18.285109590524094,4,LightYellow,D
13,1862,17.93866493262707,4,LightYellow,D
14,1863,17.01976632926328,4,LightYellow,D
15,1864,17.894340744362314,4,LightYellow,D
16,1865,17.243626197399664,4,LightYellow,D
17,1866,16.542529125026842,4,LightYellow,D
18,1867,17.402150397640135,4,LightYellow,D
19,1868,17.85389274404852,4,LightYellow,D
20,1869,18.340488338912163,4,LightYellow,D
21,1870,18.299709901997467,4,LightYellow,D
22,1871,16.071033819683432,4,LightYellow,D
23,1872,16.676632952168955,4,LightYellow,D
24,1873,18.557180389047005,4,LightYellow,D
25,1874,18.08941754960469,4,LightYellow,D
26,1875,18.808642711886996,4,LightYellow,D
27,1876,18.251259585786542,4,LightYellow,D
28,1877,17.561208300832952,4,LightYellow,D
29,1878,18.02845922406188,4,LightYellow,D
30,1879,16.61499974304434,4,LightYellow,D
31,1880,16.6191245162303,4,LightYellow,D
32,1881,17.691308059573327,4,LightYellow,D
33,1882,20.40620499697454,5,Vanilla,E
34,1883,17.31109777397617,4,LightYellow,D
35,1884,15.77742271318946,4,LightYellow,D
36,1885,16.876848611869104,4,LightYellow,D
37,1886,17.977058824678803,4,LightYellow,D
38,1887,17.709610396990374,4,LightYellow,D
39,1888,18.786875506120257,4,LightYellow,D
40,1889,16.101279530281335,4,LightYellow,D
41,1890,17.68226652586038,4,LightYellow,D
42,1891,17.735317844819267,4,LightYellow,D
43,1892,19.076800432194613,4,LightYellow,D
44,1893,18.446786760971868,4,LightYellow,D
45,1894,17.94083987605921,4,LightYellow,D
46,1895,19.300255164033842,4,LightYellow,D
47,1896,18.281963103313494,4,LightYellow,D
48,1897,17.226906107633106,4,LightYellow,D
49,1898,17.341275470338772,4,LightYellow,D
50,1899,17.88726172427635,4,LightYellow,D
51,1900,20.891766193664886,5,Vanilla,E
52,1901,18.772040488881633,4,LightYellow,D
53,1902,19.619145322466824,4,LightYellow,D
54,1903,18.11421908701762,4,LightYellow,D
55,1904,18.14122320367017,4,LightYellow,D
56,1905,19.66354936222702,4,LightYellow,D
57,1906,20.279088249079035,5,Vanilla,E
58,1907,22.591344791128947,5,Vanilla,E
59,1908,19.060444065597885,4,LightYellow,D
60,1909,21.761926612931823,5,Vanilla,E
61,1910,20.892172230750766,5,Vanilla,E
62,1911,18.432179383721966,4,LightYellow,D
63,1912,21.836475989418837,5,Vanilla,E
64,1913,18.014023281864254,4,LightYellow,D
65,1914,22.231094058654993,5,Vanilla,E
66,1915,19.065384871104623,4,LightYellow,D
67,1916,21.162258485443523,5,Vanilla,E
68,1917,22.104151773298796,5,Vanilla,E
69,1918,18.357986222801063,4,LightYellow,D
70,1919,18.852661874097475,4,LightYellow,D
71,1920,18.360357922275345,4,LightYellow,D
72,1921,20.223261175621424,5,Vanilla,E
73,1922,18.229630196364447,4,LightYellow,D
74,1923,19.71951274725813,4,LightYellow,D
75,1924,17.627992444388028,4,LightYellow,D
76,1925,17.608684505258847,4,LightYellow,D
77,1926,21.244517894391876,5,Vanilla,E
78,1927,21.211114819979656,5,Vanilla,E
79,1928,21.17823099615375,5,Vanilla,E
80,1929,19.45124527125645,4,LightYellow,D
81,1930,17.767501252454657,4,LightYellow,D
82,1931,20.755035662138976,5,Vanilla,E
83,1932,20.517555003082283,5,Vanilla,E
