Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,18.56590554428812,4,LightYellow,D
2,1851,18.171759988875756,4,LightYellow,D
3,1852,16.63413720851961,4,LightYellow,D
4,1853,16.57333786181869,4,LightYellow,D
5,1854,17.156083987369083,4,LightYellow,D
6,1855,19.084655317725375,4,LightYellow,D
7,1856,17.634397535963554,4,LightYellow,D
8,1857,17.216252779885888,4,LightYellow,D
9,1858,16.465189490296517,4,LightYellow,D
10,1859,17.72680766942171,4,LightYellow,D
11,1860,17.894497355215343,4,LightYellow,D
12,1861,17.03242754605662,4,LightYellow,D
13,1862,18.690125707694946,4,LightYellow,D
14,1863,16.39329078709033,4,LightYellow,D
15,1864,17.4093761800556,4,LightYellow,D
16,1865,20.912229991633467,5,Vanilla,E
17,1866,16.612295924806716,4,LightYellow,D
18,1867,16.618175113380584,4,LightYellow,D
19,1868,17.728453178654537,4,LightYellow,D
20,1869,19.609597225614728,4,LightYellow,D
21,1870,17.586191403152675,4,LightYellow,D
22,1871,15.793674927080897,4,LightYellow,D
23,1872,15.9159548106773,4,LightYellow,D
24,1873,16.44204311075361,4,LightYellow,D
25,1874,18.825215281308406,4,LightYellow,D
26,1875,21.191547133976993,5,Vanilla,E
27,1876,19.6178740760168,4,LightYellow,D
28,1877,15.699806775209867,4,LightYellow,D
29,1878,18.317484797218693,4,LightYellow,D
30,1879,17.69103559029103,4,LightYellow,D
31,1880,18.239585832595697,4,LightYellow,D
32,1881,19.666625394499082,4,LightYellow,D
33,1882,21.021281128478407,5,Vanilla,E
34,1883,18.25706532352772,4,LightYellow,D
35,1884,16.953279469971335,4,LightYellow,D
36,1885,16.95476803438199,4,LightYellow,D
37,1886,17.64675159860243,4,LightYellow,D
38,1887,19.95208110247307,4,LightYellow,D
39,1888,17.456749752904962,4,LightYellow,D
40,1889,17.727512152343486,4,LightYellow,D
41,1890,16.716694782692315,4,LightYellow,D
42,1891,19.493911806774307,4,LightYellow,D
43,1892,19.094835867323688,4,LightYellow,D
44,1893,20.102911046243158,5,Vanilla,E
45,1894,18.113320869572103,4,LightYellow,D
46,1895,19.25082773809945,4,LightYellow,D
47,1896,18.976637911191567,4,LightYellow,D
48,1897,18.26702156194801,4,LightYellow,D
49,1898,16.20973132939115,4,LightYellow,D
50,1899,21.894333159711692,5,Vanilla,E
51,1900,22.65745696876175,5,Vanilla,E
52,1901,18.155739758874464,4,LightYellow,D
53,1902,18.625269611598195,4,LightYellow,D
54,1903,17.103027746687392,4,LightYellow,D
55,1904,20.176360823710187,5,Vanilla,E
56,1905,20.92106781965865,5,Vanilla,E
57,1906,19.7034892923353,4,LightYellow,D
58,1907,20.062155269551855,5,Vanilla,E
59,1908,21.452611955157288,5,Vanilla,E
60,1909,21.332769801497214,5,Vanilla,E
61,1910,21.374707800747704,5,Vanilla,E
62,1911,19.09768069918214,4,LightYellow,D
63,1912,21.149264921882637,5,Vanilla,E
64,1913,21.811695303879077,5,Vanilla,E
65,1914,19.949220832933843,4,LightYellow,D
66,1915,21.957081653404465,5,Vanilla,E
67,1916,24.75198147167789,5,Vanilla,E
68,1917,20.267511021489742,5,Vanilla,E
69,1918,19.21673871077124,4,LightYellow,D
