Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,16.415457742433254,4,LightYellow,D
2,1851,15.513762924756847,4,LightYellow,D
3,1852,18.513660542299498,4,LightYellow,D
4,1853,16.76977983597818,4,LightYellow,D
5,1854,16.42678714810564,4,LightYellow,D
6,1855,16.844412278509868,4,LightYellow,D
7,1856,15.442471288115426,4,LightYellow,D
8,1857,20.073887863441016,5,Vanilla,E
9,1858,17.848840593488127,4,LightYellow,D
10,1859,17.780366816050016,4,LightYellow,D
11,1860,15.750491712448094,4,LightYellow,D
12,1861,16.654858113209244,4,LightYellow,D
13,1862,16.67531121495321,4,LightYellow,D
14,1863,16.366161111838224,4,LightYellow,D
15,1864,16.118423152474822,4,LightYellow,D
16,1865,17.73743273021012,4,LightYellow,D
17,1866,17.986975049767594,4,LightYellow,D
18,1867,19.227264373399798,4,LightYellow,D
19,1868,15.69022188358839,4,LightYellow,D
20,1869,15.153482007390917,4,LightYellow,D
21,1870,15.008207841754196,4,LightYellow,D
22,1871,17.16290181830615,4,LightYellow,D
23,1872,17.52979157780588,4,LightYellow,D
24,1873,17.390239643817587,4,LightYellow,D
25,1874,15.938431821449823,4,LightYellow,D
26,1875,16.88402017879213,4,LightYellow,D
27,1876,16.683687652626833,4,LightYellow,D
28,1877,17.289975629015906,4,LightYellow,D
29,1878,16.171089017780243,4,LightYellow,D
30,1879,16.55806266371777,4,LightYellow,D
31,1880,16.515705768798068,4,LightYellow,D
32,1881,15.584636659009016,4,LightYellow,D
33,1882,16.376233685990172,4,LightYellow,D
34,1883,15.95871753614417,4,LightYellow,D
35,1884,17.61211749767987,4,LightYellow,D
36,1885,16.40244863240421,4,LightYellow,D
37,1886,18.096850839982093,4,LightYellow,D
38,1887,16.556282048534285,4,LightYellow,D
39,1888,18.671800993840186,4,LightYellow,D
40,1889,16.819851900791488,4,LightYellow,D
41,1890,18.39134438850018,4,LightYellow,D
42,1891,17.26836609865006,4,LightYellow,D
43,1892,19.375915009041556,4,LightYellow,D
44,1893,16.69999890039586,4,LightYellow,D
45,1894,15.714161524686542,4,LightYellow,D
46,1895,16.00008244691187,4,LightYellow,D
47,1896,17.167240578251135,4,LightYellow,D
48,1897,17.14819407701911,4,LightYellow,D
49,1898,15.235261264371857,4,LightYellow,D
50,1899,18.351216935198572,4,LightYellow,D
51,1900,17.87989471697084,4,LightYellow,D
52,1901,15.47935994438869,4,LightYellow,D
53,1902,16.911374957387082,4,LightYellow,D
54,1903,17.475747513146988,4,LightYellow,D
55,1904,16.043527962204774,4,LightYellow,D
56,1905,16.897760162774574,4,LightYellow,D
57,1906,19.057767556561256,4,LightYellow,D
58,1907,15.886187257922629,4,LightYellow,D
59,1908,17.09511104396867,4,LightYellow,D
60,1909,18.28087318278923,4,LightYellow,D
61,1910,20.29010021605247,5,Vanilla,E
62,1911,20.20423403610841,5,Vanilla,E
63,1912,17.137723023582904,4,LightYellow,D
64,1913,18.079278017437325,4,LightYellow,D
65,1914,19.50440773888402,4,LightYellow,D
66,1915,17.369742325588064,4,LightYellow,D
67,1916,16.911571817474204,4,LightYellow,D
68,1917,18.42226715221589,4,LightYellow,D
69,1918,16.495200479735693,4,LightYellow,D
70,1919,16.92322378816759,4,LightYellow,D
71,1920,16.098561286971613,4,LightYellow,D
72,1921,17.376929707733467,4,LightYellow,D
73,1922,19.058138841615254,4,LightYellow,D
74,1923,18.97274970753535,4,LightYellow,D
75,1924,17.39615928919589,4,LightYellow,D
76,1925,19.715404216732768,4,LightYellow,D
77,1926,18.09854616783083,4,LightYellow,D
78,1927,17.576036384973065,4,LightYellow,D
79,1928,16.23854883038447,4,LightYellow,D
80,1929,22.12225370142338,5,Vanilla,E
81,1930,18.887456064362627,4,LightYellow,D
82,1931,18.92330807676483,4,LightYellow,D
83,1932,18.966672621698322,4,LightYellow,D
84,1933,18.72599032146698,4,LightYellow,D
85,1934,17.93734858428369,4,LightYellow,D
86,1935,20.4195033728776,5,Vanilla,E
87,1936,19.138370197855007,4,LightYellow,D
88,1937,19.10676379806058,4,LightYellow,D
89,1938,18.977097382634195,4,LightYellow,D
90,1939,19.69402337977242,4,LightYellow,D
91,1940,18.996061224560872,4,LightYellow,D
92,1941,20.2335407388957,5,Vanilla,E
93,1942,18.739298681973928,4,LightYellow,D
94,1943,24.753405237564763,5,Vanilla,E
95,1944,20.723913705274054,5,Vanilla,E
96,1945,20.657630212264856,5,Vanilla,E
97,1946,21.963278679753866,5,Vanilla,E
98,1947,21.11064806064324,5,Vanilla,E
99,1948,19.796465076522946,4,LightYellow,D
100,1949,20.51916051162369,5,Vanilla,E
101,1950,20.836599255292615,5,Vanilla,E
102,1951,19.637393944115594,4,LightYellow,D
103,1952,17.823217923008247,4,LightYellow,D
104,1953,20.31140845210695,5,Vanilla,E
105,1954,19.04521972533504,4,LightYellow,D
106,1955,20.749692334546328,5,Vanilla,E
107,1956,21.09876849035602,5,Vanilla,E
108,1957,20.449623522148837,5,Vanilla,E
109,1958,20.195813322044998,5,Vanilla,E
110,1959,23.39540103678053,5,Vanilla,E
111,1960,20.023497308003208,5,Vanilla,E
112,1961,21.521635868459096,5,Vanilla,E
113,1962,24.160144938090607,5,Vanilla,E
114,1963,18.97680977049085,4,LightYellow,D
115,1964,18.54364221403906,4,LightYellow,D
116,1965,20.233511727924583,5,Vanilla,E
117,1966,21.260731317417893,5,Vanilla,E
118,1967,22.66862833995893,5,Vanilla,E
119,1968,22.504647574158263,5,Vanilla,E
120,1969,22.605374480693712,5,Vanilla,E
121,1970,23.906535576331784,5,Vanilla,E
122,1971,22.873276007015818,5,Vanilla,E
123,1972,23.998021452367247,5,Vanilla,E
124,1973,22.650199376349605,5,Vanilla,E
125,1974,25.166962110909452,5,Vanilla,E
126,1975,24.111164425724553,5,Vanilla,E
127,1976,23.869378094467127,5,Vanilla,E
128,1977,25.69217683089033,5,Vanilla,E
129,1978,27.25675850632893,5,Vanilla,E
130,1979,25.920336606382946,5,Vanilla,E
131,1980,26.333210653583585,5,Vanilla,E
132,1981,28.5548974906174,5,Vanilla,E
133,1982,26.626862873272714,5,Vanilla,E
134,1983,29.16074547735423,5,Vanilla,E
135,1984,28.673494556154655,5,Vanilla,E
136,1985,28.219807710956893,5,Vanilla,E
137,1986,27.530644155738322,5,Vanilla,E
138,1987,25.643608716193697,5,Vanilla,E
139,1988,29.35003696287802,5,Vanilla,E
140,1989,28.221377710468893,5,Vanilla,E
141,1990,27.00669948053254,5,Vanilla,E
142,1991,26.755041830780133,5,Vanilla,E
143,1992,28.941516534957906,5,Vanilla,E
144,1993,28.446014814840712,5,Vanilla,E
145,1994,29.41309700782864,5,Vanilla,E
146,1995,30.69522947067768,6,Dandelion,F
147,1996,30.754190879670496,6,Dandelion,F
148,1997,29.634806682501043,5,Vanilla,E
149,1998,30.611439911057044,6,Dandelion,F
150,1999,32.97708957891485,6,Dandelion,F
151,2000,32.97464315069272,6,Dandelion,F
152,2001,36.03333282470703,6,Dandelion,F
153,2002,32.80833435058594,6,Dandelion,F
154,2003,32.59999465942383,6,Dandelion,F
155,2004,36.79999542236328,6,Dandelion,F
156,2005,32.28333282470703,6,Dandelion,F
157,2006,35.0916633605957,6,Dandelion,F
158,2007,34.45000076293945,6,Dandelion,F
159,2008,37.958335876464844,6,Dandelion,F
160,2009,42.625,7,Tangerine,G
161,2010,33.05833053588867,6,Dandelion,F
162,2011,33.833335876464844,6,Dandelion,F
163,2012,35.99166488647461,6,Dandelion,F
164,2013,33.29166793823242,6,Dandelion,F
165,2014,34.56666564941406,6,Dandelion,F
166,2015,37.81666564941406,6,Dandelion,F
167,2016,39.083335876464844,6,Dandelion,F
168,2017,38.16666793823242,6,Dandelion,F
169,2018,42.39999771118164,7,Tangerine,G
170,2019,37.30833435058594,6,Dandelion,F
171,2020,35.06666564941406,6,Dandelion,F
172,2021,40.40833282470703,7,Tangerine,G
173,2022,35.349998474121094,6,Dandelion,F
