Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,35.58448923529235,6,Dandelion,F
2,1851,35.82344909262522,6,Dandelion,F
3,1852,36.02773799363395,6,Dandelion,F
4,1853,33.623505964948556,6,Dandelion,F
5,1854,34.90372240386321,6,Dandelion,F
6,1855,37.846598118340324,6,Dandelion,F
7,1856,36.72125225960282,6,Dandelion,F
8,1857,36.05568576848056,6,Dandelion,F
9,1858,34.362239059537565,6,Dandelion,F
10,1859,34.27960841470408,6,Dandelion,F
11,1860,36.70568357889071,6,Dandelion,F
12,1861,38.77341342800439,6,Dandelion,F
13,1862,36.2604360020007,6,Dandelion,F
14,1863,33.56387698741517,6,Dandelion,F
15,1864,33.45926871000055,6,Dandelion,F
16,1865,38.59089219639487,6,Dandelion,F
17,1866,37.3395908332669,6,Dandelion,F
18,1867,38.40404807613756,6,Dandelion,F
19,1868,34.8558486362724,6,Dandelion,F
20,1869,36.56529195440381,6,Dandelion,F
21,1870,38.10450980039269,6,Dandelion,F
22,1871,34.63204410354399,6,Dandelion,F
23,1872,33.699838315820394,6,Dandelion,F
24,1873,36.04801416369472,6,Dandelion,F
25,1874,38.33366788056268,6,Dandelion,F
26,1875,37.19638623220355,6,Dandelion,F
27,1876,34.34547020468669,6,Dandelion,F
28,1877,34.91520968682716,6,Dandelion,F
29,1878,34.9956466942478,6,Dandelion,F
30,1879,35.45471724765561,6,Dandelion,F
31,1880,35.66286089328061,6,Dandelion,F
32,1881,37.90137197036945,6,Dandelion,F
33,1882,40.398275689069955,7,Tangerine,G
34,1883,34.45506385089013,6,Dandelion,F
35,1884,33.72418126623377,6,Dandelion,F
36,1885,35.81630830337603,6,Dandelion,F
37,1886,37.49251206821297,6,Dandelion,F
38,1887,37.75018417008877,6,Dandelion,F
39,1888,34.19958698921921,6,Dandelion,F
40,1889,36.49896559183393,6,Dandelion,F
41,1890,33.21768408296859,6,Dandelion,F
42,1891,36.00093882783271,6,Dandelion,F
43,1892,36.204045105885314,6,Dandelion,F
44,1893,37.54476030840688,6,Dandelion,F
45,1894,35.94577735370212,6,Dandelion,F
46,1895,37.37572572586114,6,Dandelion,F
47,1896,35.49212121129473,6,Dandelion,F
