Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,14.582741526104963,3,CornflowerBlue,C
2,1851,15.114546922226411,4,LightYellow,D
3,1852,14.80544153762538,3,CornflowerBlue,C
4,1853,14.117768009512561,3,CornflowerBlue,C
5,1854,15.820385198121771,4,LightYellow,D
6,1855,16.343472378470416,4,LightYellow,D
7,1856,14.523508252075441,3,CornflowerBlue,C
8,1857,15.454388856336339,4,LightYellow,D
9,1858,14.856843666599675,3,CornflowerBlue,C
10,1859,14.2296902859148,3,CornflowerBlue,C
11,1860,15.439447326445011,4,LightYellow,D
12,1861,15.738117596998793,4,LightYellow,D
13,1862,15.633469053786694,4,LightYellow,D
14,1863,13.950670831845056,3,CornflowerBlue,C
15,1864,14.484863388318178,3,CornflowerBlue,C
16,1865,15.771237683359649,4,LightYellow,D
17,1866,14.884909182508927,3,CornflowerBlue,C
18,1867,15.118368199928973,4,LightYellow,D
19,1868,16.78407593128214,4,LightYellow,D
20,1869,16.203660278984536,4,LightYellow,D
21,1870,16.18651690125521,4,LightYellow,D
22,1871,14.505143223417605,3,CornflowerBlue,C
23,1872,14.387403497051896,3,CornflowerBlue,C
24,1873,15.340120996936532,4,LightYellow,D
25,1874,16.012509574073277,4,LightYellow,D
26,1875,16.72643792512935,4,LightYellow,D
27,1876,15.650746562035398,4,LightYellow,D
28,1877,14.685703849495878,3,CornflowerBlue,C
29,1878,16.3143544305274,4,LightYellow,D
30,1879,15.788521708978733,4,LightYellow,D
31,1880,14.975040973283486,3,CornflowerBlue,C
32,1881,16.557135144212516,4,LightYellow,D
33,1882,17.90193830424573,4,LightYellow,D
34,1883,15.613829244263552,4,LightYellow,D
35,1884,15.316475073774042,4,LightYellow,D
36,1885,15.305107276055086,4,LightYellow,D
37,1886,15.51289204041592,4,LightYellow,D
38,1887,16.791945343486024,4,LightYellow,D
39,1888,15.580948484004805,4,LightYellow,D
40,1889,15.768684656886398,4,LightYellow,D
41,1890,14.696935311830286,3,CornflowerBlue,C
42,1891,16.291136688632744,4,LightYellow,D
43,1892,17.024495119190576,4,LightYellow,D
44,1893,16.697487765019865,4,LightYellow,D
45,1894,15.98350611298492,4,LightYellow,D
46,1895,17.038571439242773,4,LightYellow,D
47,1896,15.579066021776615,4,LightYellow,D
48,1897,15.44943212145637,4,LightYellow,D
49,1898,15.423456447497832,4,LightYellow,D
50,1899,17.022887283822573,4,LightYellow,D
51,1900,18.23440188207734,4,LightYellow,D
52,1901,16.68527137734872,4,LightYellow,D
53,1902,16.126809131861073,4,LightYellow,D
54,1903,15.211269838642071,4,LightYellow,D
55,1904,17.005058001119423,4,LightYellow,D
56,1905,17.44368187970365,4,LightYellow,D
57,1906,17.227252778138713,4,LightYellow,D
58,1907,16.594942334677118,4,LightYellow,D
59,1908,17.526692493911902,4,LightYellow,D
60,1909,17.371046147983222,4,LightYellow,D
61,1910,18.02501638405754,4,LightYellow,D
62,1911,16.57427133317745,4,LightYellow,D
63,1912,17.291491299461175,4,LightYellow,D
64,1913,17.673058267283594,4,LightYellow,D
65,1914,18.6273916644612,4,LightYellow,D
66,1915,17.490067362877443,4,LightYellow,D
67,1916,18.658797449420035,4,LightYellow,D
68,1917,16.77943127215836,4,LightYellow,D
69,1918,17.659675333537315,4,LightYellow,D
70,1919,17.25732059964759,4,LightYellow,D
71,1920,18.755123798317992,4,LightYellow,D
72,1921,18.95062884823955,4,LightYellow,D
73,1922,17.29314057916347,4,LightYellow,D
74,1923,18.140742003668556,4,LightYellow,D
75,1924,17.87539023911916,4,LightYellow,D
76,1925,15.856376221293408,4,LightYellow,D
77,1926,18.159396241436315,4,LightYellow,D
78,1927,19.999225870537398,4,LightYellow,D
79,1928,19.133970920548155,4,LightYellow,D
80,1929,18.03018639660692,4,LightYellow,D
81,1930,18.721416009774156,4,LightYellow,D
82,1931,19.14870334235816,4,LightYellow,D
83,1932,20.177909348934662,5,Vanilla,E
84,1933,17.61710308455225,4,LightYellow,D
85,1934,18.956109754137724,4,LightYellow,D
86,1935,18.79147021751767,4,LightYellow,D
87,1936,18.295174845000886,4,LightYellow,D
88,1937,19.986418251322746,4,LightYellow,D
89,1938,20.58756559936752,5,Vanilla,E
90,1939,19.13279448986387,4,LightYellow,D
91,1940,18.774384864815637,4,LightYellow,D
92,1941,19.539113745514655,4,LightYellow,D
93,1942,20.48798381028584,5,Vanilla,E
94,1943,18.70989695672729,4,LightYellow,D
95,1944,19.473065916971148,4,LightYellow,D
96,1945,20.31742379408181,5,Vanilla,E
97,1946,20.611154546404233,5,Vanilla,E
98,1947,20.097669041016125,5,Vanilla,E
99,1948,22.036770144730603,5,Vanilla,E
100,1949,19.86028527842776,4,LightYellow,D
101,1950,21.73659886047744,5,Vanilla,E
102,1951,20.240749089425986,5,Vanilla,E
103,1952,20.089511825467536,5,Vanilla,E
104,1953,21.307419190335253,5,Vanilla,E
105,1954,20.88366020814319,5,Vanilla,E
106,1955,21.795362237179226,5,Vanilla,E
107,1956,21.419017356388295,5,Vanilla,E
108,1957,22.242836133967714,5,Vanilla,E
109,1958,22.269564797352214,5,Vanilla,E
110,1959,22.903968738501366,5,Vanilla,E
111,1960,21.106791324308798,5,Vanilla,E
112,1961,21.931152439459147,5,Vanilla,E
113,1962,21.19125053592001,5,Vanilla,E
114,1963,22.427530324423127,5,Vanilla,E
115,1964,22.178026065684357,5,Vanilla,E
116,1965,21.50690650356847,5,Vanilla,E
117,1966,21.95553483366256,5,Vanilla,E
118,1967,24.299968126252462,5,Vanilla,E
119,1968,23.089798983968155,5,Vanilla,E
120,1969,23.14330876017525,5,Vanilla,E
121,1970,23.59491286802192,5,Vanilla,E
122,1971,24.426685734305973,5,Vanilla,E
123,1972,25.34728842782305,5,Vanilla,E
124,1973,25.797497033436194,5,Vanilla,E
125,1974,26.382841940895794,5,Vanilla,E
126,1975,25.645683378708682,5,Vanilla,E
127,1976,26.07807572828279,5,Vanilla,E
128,1977,26.328276585044506,5,Vanilla,E
129,1978,27.19967372324324,5,Vanilla,E
130,1979,26.8546965335552,5,Vanilla,E
131,1980,27.206431206387386,5,Vanilla,E
132,1981,27.221406723611725,5,Vanilla,E
133,1982,28.822377784711975,5,Vanilla,E
134,1983,27.365441315133467,5,Vanilla,E
135,1984,28.029585786817336,5,Vanilla,E
136,1985,28.480568243686662,5,Vanilla,E
137,1986,29.652245666740782,5,Vanilla,E
138,1987,30.571021093350126,6,Dandelion,F
139,1988,30.452826064517527,6,Dandelion,F
140,1989,30.566950614780126,6,Dandelion,F
141,1990,29.51327324762762,5,Vanilla,E
142,1991,30.829024391620653,6,Dandelion,F
143,1992,30.786095296905216,6,Dandelion,F
144,1993,28.694134306809698,5,Vanilla,E
145,1994,29.881915556227693,5,Vanilla,E
146,1995,29.78313194851696,5,Vanilla,E
147,1996,32.322980253246655,6,Dandelion,F
148,1997,34.48722052318435,6,Dandelion,F
149,1998,36.627904127231076,6,Dandelion,F
150,1999,35.422639624325925,6,Dandelion,F
151,2000,38.61919077099276,6,Dandelion,F
152,2001,43.31666564941406,7,Tangerine,G
153,2002,37.0,6,Dandelion,F
154,2003,30.28333282470703,6,Dandelion,F
155,2004,39.349998474121094,6,Dandelion,F
156,2005,38.30833053588867,6,Dandelion,F
