Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,37.60578006175569,6,Dandelion,F
2,1851,34.919065715341176,6,Dandelion,F
3,1852,31.4528131075186,6,Dandelion,F
4,1853,32.729877483981426,6,Dandelion,F
5,1854,36.98441587146668,6,Dandelion,F
6,1855,36.856652152772966,6,Dandelion,F
7,1856,31.11627525894432,6,Dandelion,F
8,1857,33.41127751976551,6,Dandelion,F
9,1858,36.08761480768603,6,Dandelion,F
10,1859,33.02095497932722,6,Dandelion,F
11,1860,32.286867862346,6,Dandelion,F
12,1861,33.70084230595799,6,Dandelion,F
13,1862,30.006875026452484,6,Dandelion,F
14,1863,31.06728622229154,6,Dandelion,F
15,1864,33.408372298803926,6,Dandelion,F
16,1865,33.0370750683054,6,Dandelion,F
17,1866,33.3237324829686,6,Dandelion,F
18,1867,36.51530245576248,6,Dandelion,F
19,1868,35.35424556533205,6,Dandelion,F
20,1869,31.64178267870453,6,Dandelion,F
21,1870,32.134755804877855,6,Dandelion,F
22,1871,31.821537927427794,6,Dandelion,F
23,1872,31.664325880845702,6,Dandelion,F
24,1873,34.91932082813608,6,Dandelion,F
25,1874,37.057353258406785,6,Dandelion,F
26,1875,34.25466534967933,6,Dandelion,F
27,1876,30.086918031003098,6,Dandelion,F
28,1877,33.75828768259754,6,Dandelion,F
29,1878,37.58722777701671,6,Dandelion,F
30,1879,34.114190511017874,6,Dandelion,F
31,1880,30.102154427489825,6,Dandelion,F
32,1881,34.069625706189285,6,Dandelion,F
33,1882,33.205853281788805,6,Dandelion,F
34,1883,33.107828775085714,6,Dandelion,F
35,1884,35.3560317160918,6,Dandelion,F
36,1885,33.855589160444225,6,Dandelion,F
37,1886,37.23275350792313,6,Dandelion,F
38,1887,37.53975790816022,6,Dandelion,F
39,1888,33.75597972829839,6,Dandelion,F
40,1889,34.85911845428225,6,Dandelion,F
41,1890,38.8328434507023,6,Dandelion,F
42,1891,34.684393220038466,6,Dandelion,F
43,1892,35.90151653462262,6,Dandelion,F
44,1893,32.93565591056923,6,Dandelion,F
45,1894,36.50651912547674,6,Dandelion,F
46,1895,39.64296346767742,6,Dandelion,F
47,1896,32.577769466084426,6,Dandelion,F
48,1897,34.7765781496233,6,Dandelion,F
49,1898,38.57628866124227,6,Dandelion,F
50,1899,34.57114800763516,6,Dandelion,F
51,1900,32.2223730494857,6,Dandelion,F
52,1901,31.655217797106612,6,Dandelion,F
53,1902,33.52162369987532,6,Dandelion,F
54,1903,34.13022120264215,6,Dandelion,F
55,1904,35.476843218014515,6,Dandelion,F
56,1905,34.72798031344574,6,Dandelion,F
57,1906,35.30711698250253,6,Dandelion,F
58,1907,34.32953270708582,6,Dandelion,F
59,1908,37.27151417362527,6,Dandelion,F
60,1909,34.61478756000224,6,Dandelion,F
61,1910,36.904070640402,6,Dandelion,F
62,1911,36.627065241311975,6,Dandelion,F
63,1912,33.63879087251778,6,Dandelion,F
64,1913,36.427810670623714,6,Dandelion,F
65,1914,35.92473354111518,6,Dandelion,F
66,1915,34.26630502018148,6,Dandelion,F
67,1916,32.33141831480253,6,Dandelion,F
68,1917,34.835008368266216,6,Dandelion,F
69,1918,40.38836811625337,7,Tangerine,G
70,1919,35.6251294209045,6,Dandelion,F
71,1920,35.304355482853914,6,Dandelion,F
72,1921,35.054094988657226,6,Dandelion,F
73,1922,33.71049963997543,6,Dandelion,F
74,1923,37.20966015529517,6,Dandelion,F
75,1924,31.34362308571209,6,Dandelion,F
76,1925,33.20663519562476,6,Dandelion,F
77,1926,36.446494058005776,6,Dandelion,F
78,1927,39.93648532663262,6,Dandelion,F
79,1928,31.262876474832066,6,Dandelion,F
80,1929,36.734131100215336,6,Dandelion,F
81,1930,39.031942353413974,6,Dandelion,F
82,1931,33.46646437227355,6,Dandelion,F
83,1932,36.90114411520372,6,Dandelion,F
84,1933,33.53509527104141,6,Dandelion,F
85,1934,36.741430433000836,6,Dandelion,F
86,1935,34.6403020757533,6,Dandelion,F
87,1936,36.85799836115413,6,Dandelion,F
88,1937,36.81191892701957,6,Dandelion,F
89,1938,37.728935123712596,6,Dandelion,F
90,1939,41.950550401426305,7,Tangerine,G
91,1940,38.90950808509396,6,Dandelion,F
92,1941,35.60767202891284,6,Dandelion,F
93,1942,35.973457015173274,6,Dandelion,F
94,1943,34.20685402927961,6,Dandelion,F
95,1944,36.46178215481559,6,Dandelion,F
96,1945,37.49711482030781,6,Dandelion,F
97,1946,36.552434752505796,6,Dandelion,F
98,1947,32.995502518741965,6,Dandelion,F
99,1948,38.58611595754226,6,Dandelion,F
100,1949,33.110847769216015,6,Dandelion,F
101,1950,40.20345017593815,7,Tangerine,G
102,1951,36.56085800383248,6,Dandelion,F
103,1952,37.1660300072617,6,Dandelion,F
104,1953,36.55859457507772,6,Dandelion,F
105,1954,36.427277575768564,6,Dandelion,F
106,1955,43.67388590333153,7,Tangerine,G
107,1956,38.59748696233034,6,Dandelion,F
108,1957,44.0596338585507,7,Tangerine,G
109,1958,41.15178312886779,7,Tangerine,G
110,1959,37.05811120659327,6,Dandelion,F
111,1960,36.189339069838404,6,Dandelion,F
112,1961,33.31308887736118,6,Dandelion,F
113,1962,38.18788329836691,6,Dandelion,F
114,1963,39.04532034769792,6,Dandelion,F
115,1964,36.38941434103723,6,Dandelion,F
116,1965,37.81950708336966,6,Dandelion,F
117,1966,37.381688743435696,6,Dandelion,F
118,1967,43.23580400986918,7,Tangerine,G
119,1968,40.56607743441299,7,Tangerine,G
120,1969,41.08111922617559,7,Tangerine,G
121,1970,36.21057130889066,6,Dandelion,F
122,1971,37.83054216616401,6,Dandelion,F
123,1972,40.66850445200994,7,Tangerine,G
124,1973,41.79486635742305,7,Tangerine,G
125,1974,42.09955412270233,7,Tangerine,G
126,1975,37.64178207101337,6,Dandelion,F
127,1976,36.29549468675824,6,Dandelion,F
128,1977,42.62424425778008,7,Tangerine,G
129,1978,41.70192826270229,7,Tangerine,G
130,1979,38.03593063404615,6,Dandelion,F
131,1980,40.14178998541635,7,Tangerine,G
132,1981,39.54880319354732,6,Dandelion,F
133,1982,38.86937362004293,6,Dandelion,F
134,1983,35.377173407521056,6,Dandelion,F
135,1984,40.10969663430521,7,Tangerine,G
136,1985,37.58583078467058,6,Dandelion,F
137,1986,37.7339399676458,6,Dandelion,F
138,1987,33.982811162000765,6,Dandelion,F
139,1988,42.35544010728649,7,Tangerine,G
140,1989,36.67107511936464,6,Dandelion,F
141,1990,36.32129166042297,6,Dandelion,F
142,1991,39.79489750766897,6,Dandelion,F
143,1992,39.509250314771634,6,Dandelion,F
144,1993,37.90440073362563,6,Dandelion,F
145,1994,40.167816687339986,7,Tangerine,G
146,1995,37.63162595281426,6,Dandelion,F
147,1996,38.710412156937814,6,Dandelion,F
148,1997,46.03457828628138,7,Tangerine,G
149,1998,40.57131572915875,7,Tangerine,G
150,1999,35.255281820366356,6,Dandelion,F
151,2000,37.8313567113573,6,Dandelion,F
152,2001,39.34166717529297,6,Dandelion,F
153,2002,39.391666412353516,6,Dandelion,F
154,2003,32.275001525878906,6,Dandelion,F
155,2004,37.141666412353516,6,Dandelion,F
156,2005,38.124996185302734,6,Dandelion,F
157,2006,31.041664123535156,6,Dandelion,F
158,2007,32.733333587646484,6,Dandelion,F
159,2008,39.400001525878906,6,Dandelion,F
160,2009,37.82500076293945,6,Dandelion,F
161,2010,41.52499771118164,7,Tangerine,G
162,2011,37.55833435058594,6,Dandelion,F
163,2012,37.516666412353516,6,Dandelion,F
164,2013,42.64999771118164,7,Tangerine,G
165,2014,39.108333587646484,6,Dandelion,F
166,2015,42.641666412353516,7,Tangerine,G
167,2016,38.833335876464844,6,Dandelion,F
168,2017,36.17499923706055,6,Dandelion,F
169,2018,40.40833282470703,7,Tangerine,G
170,2019,40.60000228881836,7,Tangerine,G
171,2020,41.61666488647461,7,Tangerine,G
172,2021,42.79999923706055,7,Tangerine,G
173,2022,43.25,7,Tangerine,G
