Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,35.68871443403368,6,Dandelion,F
2,1851,32.76174073614279,6,Dandelion,F
3,1852,33.31490552090578,6,Dandelion,F
4,1853,33.52698216059079,6,Dandelion,F
5,1854,34.452427287358226,6,Dandelion,F
6,1855,36.25686960385308,6,Dandelion,F
7,1856,35.99921275835958,6,Dandelion,F
8,1857,34.266770694210976,6,Dandelion,F
9,1858,37.26669271647849,6,Dandelion,F
10,1859,37.92630390667857,6,Dandelion,F
11,1860,35.275402463516954,6,Dandelion,F
12,1861,38.11608354424152,6,Dandelion,F
13,1862,38.5786692300591,6,Dandelion,F
14,1863,41.25212911205579,7,Tangerine,G
15,1864,42.69125464070998,7,Tangerine,G
16,1865,39.52264611322882,6,Dandelion,F
17,1866,38.55769523038432,6,Dandelion,F
18,1867,36.48128266907239,6,Dandelion,F
19,1868,39.3246870396277,6,Dandelion,F
20,1869,40.351747682570014,7,Tangerine,G
21,1870,39.35643133773644,6,Dandelion,F
22,1871,41.67509767886268,7,Tangerine,G
23,1872,45.40741951112299,7,Tangerine,G
24,1873,43.433351517201956,7,Tangerine,G
25,1874,49.293430030488075,7,Tangerine,G
26,1875,45.733260752604444,7,Tangerine,G
27,1876,44.009483290672726,7,Tangerine,G
28,1877,49.36888659570219,7,Tangerine,G
29,1878,47.363942882927326,7,Tangerine,G
30,1879,47.081428719996026,7,Tangerine,G
31,1880,48.72593389579885,7,Tangerine,G
32,1881,43.8391759382334,7,Tangerine,G
33,1882,47.5435833613154,7,Tangerine,G
34,1883,49.33299346225744,7,Tangerine,G
35,1884,48.36674395947487,7,Tangerine,G
36,1885,50.679225863028016,8,Mustard,H
37,1886,49.37605613124066,7,Tangerine,G
38,1887,47.13889857729111,7,Tangerine,G
39,1888,49.18459371023115,7,Tangerine,G
40,1889,50.34379519127583,8,Mustard,H
41,1890,51.6170025612964,8,Mustard,H
42,1891,50.95938313452154,8,Mustard,H
43,1892,55.99097023480808,8,Mustard,H
44,1893,50.549823506512695,8,Mustard,H
45,1894,54.689543305527785,8,Mustard,H
46,1895,55.478146273965706,8,Mustard,H
47,1896,50.44291164970213,8,Mustard,H
48,1897,59.624674514144715,8,Mustard,H
49,1898,59.15444032546935,8,Mustard,H
50,1899,56.28603249504961,8,Mustard,H
51,1900,59.60608025835816,8,Mustard,H
52,1901,54.61301445965276,8,Mustard,H
53,1902,56.433719458365054,8,Mustard,H
54,1903,53.345962909564825,8,Mustard,H
55,1904,55.15771079136619,8,Mustard,H
56,1905,61.48583902005729,9,Mauve,I
57,1906,55.30364096619665,8,Mustard,H
58,1907,56.92361056158498,8,Mustard,H
59,1908,58.752446843783176,8,Mustard,H
60,1909,62.02058865009958,9,Mauve,I
61,1910,63.33172436312676,9,Mauve,I
62,1911,58.40254133103726,8,Mustard,H
63,1912,61.176026705283725,9,Mauve,I
64,1913,65.61642861601067,9,Mauve,I
65,1914,52.56657075428177,8,Mustard,H
66,1915,53.31960925877478,8,Mustard,H
67,1916,53.43409492774298,8,Mustard,H
68,1917,65.70301841834814,9,Mauve,I
69,1918,54.568428542037665,8,Mustard,H
70,1919,35.07367393965025,6,Dandelion,F
71,1920,46.90569019874489,7,Tangerine,G
72,1921,46.25091267540448,7,Tangerine,G
73,1922,46.63112470985132,7,Tangerine,G
74,1923,45.55044355027402,7,Tangerine,G
75,1924,46.575045525269374,7,Tangerine,G
76,1925,45.52632940617011,7,Tangerine,G
77,1926,44.1372316232249,7,Tangerine,G
78,1927,43.803074418761106,7,Tangerine,G
79,1928,43.22265035463455,7,Tangerine,G
80,1929,43.948015408289834,7,Tangerine,G
81,1930,44.66958255238797,7,Tangerine,G
82,1931,42.56136840472123,7,Tangerine,G
83,1932,37.74564086372172,6,Dandelion,F
84,1933,35.59780704799486,6,Dandelion,F
85,1934,42.59588494958017,7,Tangerine,G
86,1935,44.80608863343145,7,Tangerine,G
87,1936,42.19308294073779,7,Tangerine,G
88,1937,41.430302142988424,7,Tangerine,G
89,1938,45.794731876858805,7,Tangerine,G
90,1939,41.9080367809267,7,Tangerine,G
91,1940,62.02223538975316,9,Mauve,I
92,1941,55.901350073478994,8,Mustard,H
93,1942,61.39590869044631,9,Mauve,I
94,1943,61.81642993099724,9,Mauve,I
95,1944,62.83681022793272,9,Mauve,I
96,1945,34.602516306381965,6,Dandelion,F
97,1946,42.839895931662255,7,Tangerine,G
98,1947,44.38065569889016,7,Tangerine,G
99,1948,43.06604098863813,7,Tangerine,G
100,1949,49.698904661447024,7,Tangerine,G
101,1950,52.400450800379105,8,Mustard,H
102,1951,60.577483388363625,9,Mauve,I
103,1952,62.66782527825839,9,Mauve,I
104,1953,57.35682398566992,8,Mustard,H
105,1954,63.32841386034201,9,Mauve,I
106,1955,64.75533214372679,9,Mauve,I
107,1956,67.64939887502756,9,Mauve,I
108,1957,72.93668326048042,10,Brown,J
109,1958,69.1306826832602,9,Mauve,I
110,1959,71.6649408940577,10,Brown,J
111,1960,75.4329777908668,10,Brown,J
112,1961,77.75691837465938,10,Brown,J
113,1962,80.94440666005957,11,DarkPurple,K
114,1963,81.0243843430755,11,DarkPurple,K
115,1964,87.3671493253934,11,DarkPurple,K
116,1965,86.40433056163343,11,DarkPurple,K
117,1966,80.91472088113984,11,DarkPurple,K
118,1967,78.90595657122077,10,Brown,J
119,1968,84.13626364851609,11,DarkPurple,K
120,1969,80.40898310891524,11,DarkPurple,K
121,1970,79.83747431786065,10,Brown,J
122,1971,81.49237411579772,11,DarkPurple,K
123,1972,81.566708385054,11,DarkPurple,K
124,1973,82.69160914979476,11,DarkPurple,K
125,1974,91.91606294050453,12,Black,L
126,1975,83.52268796707568,11,DarkPurple,K
127,1976,86.1031600397473,11,DarkPurple,K
128,1977,90.17330904170299,12,Black,L
129,1978,92.91567853248078,12,Black,L
130,1979,88.97467532637461,11,DarkPurple,K
131,1980,96.71411140863447,12,Black,L
132,1981,91.58709641862607,12,Black,L
133,1982,86.61448069276406,11,DarkPurple,K
134,1983,85.0477259247865,11,DarkPurple,K
135,1984,83.15517359609724,11,DarkPurple,K
136,1985,85.54648727049577,11,DarkPurple,K
137,1986,85.05021847374805,11,DarkPurple,K
138,1987,78.09344400496556,10,Brown,J
139,1988,75.22320227689417,10,Brown,J
140,1989,78.57149313597998,10,Brown,J
141,1990,67.22544616379334,9,Mauve,I
142,1991,60.45172836129394,9,Mauve,I
143,1992,60.863144533865196,9,Mauve,I
144,1993,57.12544101588656,8,Mustard,H
145,1994,52.84978510233758,8,Mustard,H
146,1995,51.25377666665508,8,Mustard,H
147,1996,49.875379898044706,7,Tangerine,G
148,1997,48.712821741450234,7,Tangerine,G
149,1998,44.44496923778524,7,Tangerine,G
150,1999,41.84111417531562,7,Tangerine,G
151,2000,40.89617937687804,7,Tangerine,G
152,2001,40.45833206176758,7,Tangerine,G
153,2002,44.44166564941406,7,Tangerine,G
154,2003,42.47499465942383,7,Tangerine,G
155,2004,38.233333587646484,6,Dandelion,F
156,2005,40.650001525878906,7,Tangerine,G
157,2006,42.45833206176758,7,Tangerine,G
158,2007,33.641666412353516,6,Dandelion,F
159,2008,32.33333206176758,6,Dandelion,F
160,2009,36.16666793823242,6,Dandelion,F
161,2010,40.44999694824219,7,Tangerine,G
162,2011,38.32499694824219,6,Dandelion,F
163,2012,35.08333206176758,6,Dandelion,F
164,2013,34.80833053588867,6,Dandelion,F
165,2014,33.474998474121094,6,Dandelion,F
166,2015,32.31666564941406,6,Dandelion,F
167,2016,30.341665267944336,6,Dandelion,F
168,2017,32.358333587646484,6,Dandelion,F
169,2018,31.82499885559082,6,Dandelion,F
170,2019,26.64166831970215,5,Vanilla,E
171,2020,25.341665267944336,5,Vanilla,E
172,2021,26.983335494995117,5,Vanilla,E
173,2022,23.808334350585938,5,Vanilla,E
