Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,4.788056048542133,1,LightTurquoise,A
2,1851,4.7188335705674795,1,LightTurquoise,A
3,1852,4.903711080517991,1,LightTurquoise,A
4,1853,4.870413933687689,1,LightTurquoise,A
5,1854,4.976902455690239,1,LightTurquoise,A
6,1855,4.793480621301848,1,LightTurquoise,A
7,1856,4.864917274313676,1,LightTurquoise,A
8,1857,4.871995999115986,1,LightTurquoise,A
9,1858,5.0683233637447485,2,PowderBlue,B
10,1859,4.676742986873693,1,LightTurquoise,A
11,1860,4.886430142458725,1,LightTurquoise,A
12,1861,5.033481579113875,2,PowderBlue,B
13,1862,4.748963908320724,1,LightTurquoise,A
14,1863,4.721199460267843,1,LightTurquoise,A
15,1864,5.036521127894363,2,PowderBlue,B
16,1865,4.942474020901455,1,LightTurquoise,A
17,1866,4.885355675492885,1,LightTurquoise,A
18,1867,5.048173722592946,2,PowderBlue,B
19,1868,4.677816541398275,1,LightTurquoise,A
20,1869,4.782111446976276,1,LightTurquoise,A
21,1870,4.76747529537278,1,LightTurquoise,A
22,1871,4.833103760265176,1,LightTurquoise,A
23,1872,4.800492252436106,1,LightTurquoise,A
24,1873,4.966466625596061,1,LightTurquoise,A
25,1874,5.079566316279545,2,PowderBlue,B
26,1875,4.8734284093733,1,LightTurquoise,A
27,1876,4.990470343843968,1,LightTurquoise,A
28,1877,4.858831950753738,1,LightTurquoise,A
29,1878,5.068288264958491,2,PowderBlue,B
30,1879,5.030971397316043,2,PowderBlue,B
31,1880,4.990388424725408,1,LightTurquoise,A
32,1881,5.196903292235833,2,PowderBlue,B
33,1882,4.805306922668045,1,LightTurquoise,A
34,1883,4.891299358877423,1,LightTurquoise,A
35,1884,5.1683878334734255,2,PowderBlue,B
36,1885,4.898547053784371,1,LightTurquoise,A
37,1886,5.06749118288129,2,PowderBlue,B
38,1887,4.93848849610081,1,LightTurquoise,A
39,1888,5.260609907920587,2,PowderBlue,B
40,1889,4.892275434289895,1,LightTurquoise,A
41,1890,4.8864628351690085,1,LightTurquoise,A
42,1891,4.754134682970329,1,LightTurquoise,A
43,1892,4.940710471105634,1,LightTurquoise,A
44,1893,4.913629733073807,1,LightTurquoise,A
45,1894,4.959635059074165,1,LightTurquoise,A
46,1895,5.13706941743426,2,PowderBlue,B
