Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,34.28416321263849,6,Dandelion,F
2,1851,35.27766693112695,6,Dandelion,F
3,1852,37.36514542239758,6,Dandelion,F
4,1853,35.570524274892385,6,Dandelion,F
5,1854,36.22175905597915,6,Dandelion,F
6,1855,39.025056723432904,6,Dandelion,F
7,1856,35.623990874666646,6,Dandelion,F
8,1857,37.613712344260634,6,Dandelion,F
9,1858,34.90028172573889,6,Dandelion,F
10,1859,35.224697507690365,6,Dandelion,F
11,1860,36.37030092627754,6,Dandelion,F
12,1861,36.3881511682069,6,Dandelion,F
13,1862,38.520260578232026,6,Dandelion,F
14,1863,40.540524205408985,7,Tangerine,G
15,1864,39.734659532448454,6,Dandelion,F
16,1865,32.40201699508601,6,Dandelion,F
17,1866,39.75139830382314,6,Dandelion,F
18,1867,38.379608309952765,6,Dandelion,F
19,1868,36.07285857858125,6,Dandelion,F
20,1869,35.55271212254869,6,Dandelion,F
21,1870,39.58225994032966,6,Dandelion,F
22,1871,38.45972971536799,6,Dandelion,F
23,1872,38.2372525170943,6,Dandelion,F
24,1873,39.26303094589833,6,Dandelion,F
25,1874,37.74079434737315,6,Dandelion,F
26,1875,38.23806293874514,6,Dandelion,F
27,1876,35.17012136888128,6,Dandelion,F
28,1877,38.26145489070209,6,Dandelion,F
29,1878,42.656582680051145,7,Tangerine,G
30,1879,37.52581172429465,6,Dandelion,F
31,1880,36.382814217388244,6,Dandelion,F
32,1881,37.291816503400156,6,Dandelion,F
33,1882,38.28175115978569,6,Dandelion,F
34,1883,36.75863039025703,6,Dandelion,F
35,1884,34.25290038753349,6,Dandelion,F
36,1885,36.2280241033655,6,Dandelion,F
37,1886,37.55630462371287,6,Dandelion,F
38,1887,41.63098585466012,7,Tangerine,G
39,1888,36.816440613496866,6,Dandelion,F
40,1889,34.81869701386788,6,Dandelion,F
41,1890,38.69087468979252,6,Dandelion,F
42,1891,38.76592035024257,6,Dandelion,F
43,1892,39.6013775183254,6,Dandelion,F
44,1893,37.086039082448984,6,Dandelion,F
45,1894,36.02434609654023,6,Dandelion,F
46,1895,40.83560129030116,7,Tangerine,G
47,1896,40.48095106730185,7,Tangerine,G
48,1897,36.22350799637282,6,Dandelion,F
49,1898,41.268239491673796,7,Tangerine,G
50,1899,38.37226069897395,6,Dandelion,F
51,1900,42.16493876649927,7,Tangerine,G
52,1901,40.67008929560877,7,Tangerine,G
53,1902,38.96336414648437,6,Dandelion,F
54,1903,37.39653945467108,6,Dandelion,F
55,1904,41.76160382975305,7,Tangerine,G
56,1905,41.287599941423494,7,Tangerine,G
57,1906,34.881637458892065,6,Dandelion,F
58,1907,41.61953213635406,7,Tangerine,G
59,1908,38.139121469557985,6,Dandelion,F
60,1909,40.19525873183808,7,Tangerine,G
61,1910,42.076421141186756,7,Tangerine,G
62,1911,34.51941285272213,6,Dandelion,F
63,1912,39.83219769940884,6,Dandelion,F
64,1913,38.36910136474919,6,Dandelion,F
65,1914,42.092020113975835,7,Tangerine,G
66,1915,40.817650292601236,7,Tangerine,G
67,1916,41.646219931548195,7,Tangerine,G
68,1917,40.926276730650265,7,Tangerine,G
69,1918,36.134296144858205,6,Dandelion,F
70,1919,36.25936876468051,6,Dandelion,F
71,1920,37.80325710339728,6,Dandelion,F
72,1921,40.4306267714911,7,Tangerine,G
73,1922,39.5124062444264,6,Dandelion,F
74,1923,37.53197152909863,6,Dandelion,F
75,1924,39.159583522622476,6,Dandelion,F
76,1925,34.22877211220344,6,Dandelion,F
77,1926,36.930580187814165,6,Dandelion,F
78,1927,35.423515236766576,6,Dandelion,F
79,1928,38.71883653924791,6,Dandelion,F
80,1929,38.144199375003716,6,Dandelion,F
81,1930,36.012913405606206,6,Dandelion,F
82,1931,42.78917587158722,7,Tangerine,G
83,1932,34.82274094800482,6,Dandelion,F
84,1933,34.187046944956776,6,Dandelion,F
85,1934,38.04501145996414,6,Dandelion,F
86,1935,36.19750725252448,6,Dandelion,F
87,1936,37.924566586098614,6,Dandelion,F
88,1937,39.22611153391187,6,Dandelion,F
89,1938,40.609110002617854,7,Tangerine,G
90,1939,37.31035773427996,6,Dandelion,F
91,1940,40.67347703038068,7,Tangerine,G
92,1941,40.47528714950516,7,Tangerine,G
93,1942,38.67707623475841,6,Dandelion,F
94,1943,39.77850074040272,6,Dandelion,F
95,1944,40.38780239412736,7,Tangerine,G
96,1945,39.314731494477336,6,Dandelion,F
97,1946,40.551955180623736,7,Tangerine,G
98,1947,42.521717063009525,7,Tangerine,G
99,1948,41.238473198755194,7,Tangerine,G
100,1949,39.141146047924146,6,Dandelion,F
101,1950,38.87339893303829,6,Dandelion,F
102,1951,37.97017779115249,6,Dandelion,F
103,1952,40.74112186746651,7,Tangerine,G
