Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,16.08523227935034,4,LightYellow,D
2,1851,15.799784882611016,4,LightYellow,D
3,1852,16.638785697610075,4,LightYellow,D
4,1853,16.64304016889148,4,LightYellow,D
5,1854,16.190648800661744,4,LightYellow,D
6,1855,16.74459182820295,4,LightYellow,D
7,1856,17.99597448270313,4,LightYellow,D
8,1857,17.205486188377332,4,LightYellow,D
9,1858,17.39804703255936,4,LightYellow,D
10,1859,17.326331112200478,4,LightYellow,D
11,1860,17.35434237255926,4,LightYellow,D
12,1861,17.676650538608516,4,LightYellow,D
13,1862,18.333714931907323,4,LightYellow,D
14,1863,18.530950887988773,4,LightYellow,D
15,1864,19.629757986655022,4,LightYellow,D
16,1865,18.682356768400922,4,LightYellow,D
17,1866,18.808084995980366,4,LightYellow,D
18,1867,17.886080643189725,4,LightYellow,D
19,1868,19.258181180189425,4,LightYellow,D
20,1869,19.724939692546048,4,LightYellow,D
21,1870,17.67149537481116,4,LightYellow,D
22,1871,19.275782370614085,4,LightYellow,D
23,1872,18.836469463784205,4,LightYellow,D
24,1873,19.672598062996816,4,LightYellow,D
25,1874,19.686829914912778,4,LightYellow,D
26,1875,19.639523425496442,4,LightYellow,D
27,1876,19.764924074511516,4,LightYellow,D
28,1877,20.930800894566257,5,Vanilla,E
29,1878,21.160619907896262,5,Vanilla,E
30,1879,21.823610102088672,5,Vanilla,E
31,1880,22.759378463719674,5,Vanilla,E
32,1881,21.190568123737485,5,Vanilla,E
33,1882,21.558724267230815,5,Vanilla,E
34,1883,22.220995928409963,5,Vanilla,E
35,1884,21.48510829203345,5,Vanilla,E
36,1885,22.54865511461186,5,Vanilla,E
37,1886,23.97633557010749,5,Vanilla,E
38,1887,21.064047412732787,5,Vanilla,E
39,1888,21.663367166860848,5,Vanilla,E
40,1889,22.892813547067096,5,Vanilla,E
41,1890,23.091848235841034,5,Vanilla,E
42,1891,22.102517771835874,5,Vanilla,E
43,1892,23.876185551739297,5,Vanilla,E
44,1893,22.207178362617743,5,Vanilla,E
45,1894,24.39969848210632,5,Vanilla,E
46,1895,24.662085927632038,5,Vanilla,E
47,1896,23.06494593947374,5,Vanilla,E
48,1897,25.24715957124871,5,Vanilla,E
49,1898,25.614246690964574,5,Vanilla,E
50,1899,24.747663727053478,5,Vanilla,E
51,1900,26.339910676761118,5,Vanilla,E
52,1901,24.786690597437374,5,Vanilla,E
53,1902,27.11860932501281,5,Vanilla,E
54,1903,25.91879443749686,5,Vanilla,E
55,1904,26.080480936996935,5,Vanilla,E
56,1905,26.225074515095685,5,Vanilla,E
57,1906,25.67609456449492,5,Vanilla,E
58,1907,26.3893413219226,5,Vanilla,E
59,1908,25.944899815131393,5,Vanilla,E
60,1909,27.556474842840036,5,Vanilla,E
61,1910,27.21902863156436,5,Vanilla,E
62,1911,27.629157234174265,5,Vanilla,E
63,1912,29.10660059206983,5,Vanilla,E
64,1913,31.6822491233592,6,Dandelion,F
65,1914,26.028606242537027,5,Vanilla,E
66,1915,26.577984124962732,5,Vanilla,E
67,1916,26.245485523452412,5,Vanilla,E
68,1917,25.8449803499348,5,Vanilla,E
69,1918,25.625556875286907,5,Vanilla,E
70,1919,22.140083911971676,5,Vanilla,E
71,1920,22.236674126245152,5,Vanilla,E
72,1921,22.10291776449903,5,Vanilla,E
73,1922,21.548232387608135,5,Vanilla,E
74,1923,22.726124162256685,5,Vanilla,E
75,1924,22.301834901094367,5,Vanilla,E
76,1925,22.485111638960056,5,Vanilla,E
77,1926,21.78849521738942,5,Vanilla,E
78,1927,23.45424276177338,5,Vanilla,E
79,1928,22.31319264465636,5,Vanilla,E
80,1929,23.308641005064416,5,Vanilla,E
81,1930,23.97551829274508,5,Vanilla,E
82,1931,23.59168172027461,5,Vanilla,E
83,1932,24.782641711776556,5,Vanilla,E
84,1933,22.62164987043871,5,Vanilla,E
85,1934,25.35916175708445,5,Vanilla,E
86,1935,25.63163084621455,5,Vanilla,E
87,1936,27.09245438212644,5,Vanilla,E
88,1937,25.847765692853574,5,Vanilla,E
89,1938,27.136285771500557,5,Vanilla,E
90,1939,26.357069603434038,5,Vanilla,E
91,1940,29.071048614909557,5,Vanilla,E
92,1941,26.806465798216934,5,Vanilla,E
93,1942,25.633734332448064,5,Vanilla,E
94,1943,26.713704161360575,5,Vanilla,E
95,1944,26.94624503973704,5,Vanilla,E
96,1945,22.775101991538616,5,Vanilla,E
97,1946,24.942450442751614,5,Vanilla,E
98,1947,24.357964163278368,5,Vanilla,E
99,1948,25.64868903168443,5,Vanilla,E
100,1949,27.162193664068226,5,Vanilla,E
101,1950,28.9125085501933,5,Vanilla,E
102,1951,28.374304204894326,5,Vanilla,E
103,1952,30.778168248425068,6,Dandelion,F
104,1953,29.70010222624398,5,Vanilla,E
105,1954,32.17177623691709,6,Dandelion,F
106,1955,32.115613441776276,6,Dandelion,F
107,1956,32.359359491574295,6,Dandelion,F
108,1957,33.652370209217445,6,Dandelion,F
109,1958,34.7891072062812,6,Dandelion,F
110,1959,34.6729301801787,6,Dandelion,F
111,1960,34.604738293358764,6,Dandelion,F
112,1961,35.271315883138996,6,Dandelion,F
113,1962,37.23854421214752,6,Dandelion,F
114,1963,35.45371122913234,6,Dandelion,F
115,1964,38.51170091021812,6,Dandelion,F
116,1965,38.441531184668484,6,Dandelion,F
117,1966,38.84377716598634,6,Dandelion,F
118,1967,38.73761993405875,6,Dandelion,F
119,1968,40.71731270450348,7,Tangerine,G
120,1969,39.33309035813488,6,Dandelion,F
121,1970,40.47494812886842,7,Tangerine,G
122,1971,42.63958329821032,7,Tangerine,G
123,1972,40.62572871126476,7,Tangerine,G
124,1973,42.67181355230154,7,Tangerine,G
125,1974,44.49420083207806,7,Tangerine,G
126,1975,42.43300499463544,7,Tangerine,G
127,1976,45.37112566857385,7,Tangerine,G
128,1977,43.149219140052814,7,Tangerine,G
129,1978,45.71209105794083,7,Tangerine,G
130,1979,42.78365333614671,7,Tangerine,G
131,1980,45.896074637316026,7,Tangerine,G
132,1981,42.58750459718597,7,Tangerine,G
133,1982,42.624084423407204,7,Tangerine,G
134,1983,39.574423449353716,6,Dandelion,F
135,1984,41.00589699864729,7,Tangerine,G
136,1985,41.76689405157729,7,Tangerine,G
137,1986,40.64464301468741,7,Tangerine,G
138,1987,36.8338842799303,6,Dandelion,F
139,1988,36.079913873428396,6,Dandelion,F
140,1989,37.69965207928793,6,Dandelion,F
141,1990,41.24733796486396,7,Tangerine,G
142,1991,37.811639997833396,6,Dandelion,F
143,1992,36.50481897217301,6,Dandelion,F
144,1993,32.501718463215965,6,Dandelion,F
145,1994,29.39226846264189,5,Vanilla,E
146,1995,28.43346934318142,5,Vanilla,E
147,1996,25.046524750858993,5,Vanilla,E
148,1997,24.109348504315864,5,Vanilla,E
149,1998,22.719196325004226,5,Vanilla,E
150,1999,22.553929130899093,5,Vanilla,E
151,2000,21.380820413984292,5,Vanilla,E
152,2001,21.25,5,Vanilla,E
153,2002,25.433334350585938,5,Vanilla,E
154,2003,19.79166603088379,4,LightYellow,D
155,2004,20.533334732055664,5,Vanilla,E
156,2005,20.808332443237305,5,Vanilla,E
157,2006,20.491666793823242,5,Vanilla,E
158,2007,18.64166831970215,4,LightYellow,D
159,2008,19.741666793823242,4,LightYellow,D
160,2009,21.316665649414062,5,Vanilla,E
161,2010,21.991666793823242,5,Vanilla,E
162,2011,20.133333206176758,5,Vanilla,E
163,2012,21.316665649414062,5,Vanilla,E
164,2013,20.491666793823242,5,Vanilla,E
165,2014,21.48333168029785,5,Vanilla,E
166,2015,17.908334732055664,4,LightYellow,D
167,2016,18.366666793823242,4,LightYellow,D
168,2017,17.999998092651367,4,LightYellow,D
169,2018,19.274999618530273,4,LightYellow,D
170,2019,16.508331298828125,4,LightYellow,D
171,2020,17.1583309173584,4,LightYellow,D
172,2021,16.366666793823242,4,LightYellow,D
173,2022,13.299999237060547,3,CornflowerBlue,C
