Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,6.415889349201947,2,PowderBlue,B
2,1851,7.105728934202205,2,PowderBlue,B
3,1852,6.606103749470473,2,PowderBlue,B
4,1853,6.494833371311652,2,PowderBlue,B
5,1854,6.724415226570662,2,PowderBlue,B
6,1855,6.85794481268386,2,PowderBlue,B
7,1856,6.790906067549898,2,PowderBlue,B
8,1857,7.148157824640638,2,PowderBlue,B
9,1858,6.818126637904905,2,PowderBlue,B
10,1859,6.646720608230672,2,PowderBlue,B
11,1860,6.831521455347201,2,PowderBlue,B
12,1861,7.144264407019885,2,PowderBlue,B
13,1862,6.947426862372165,2,PowderBlue,B
14,1863,6.5709742331792516,2,PowderBlue,B
15,1864,6.527145724340188,2,PowderBlue,B
16,1865,7.029902695851928,2,PowderBlue,B
17,1866,6.945479219074857,2,PowderBlue,B
18,1867,6.942673771106326,2,PowderBlue,B
19,1868,7.008574796364939,2,PowderBlue,B
20,1869,7.16618909541429,2,PowderBlue,B
21,1870,7.146077604929764,2,PowderBlue,B
22,1871,6.764103901498965,2,PowderBlue,B
23,1872,7.0753286044248,2,PowderBlue,B
24,1873,7.328808218329212,2,PowderBlue,B
25,1874,7.075613108337147,2,PowderBlue,B
26,1875,7.273935803004987,2,PowderBlue,B
27,1876,6.711578357739392,2,PowderBlue,B
28,1877,7.147095083253786,2,PowderBlue,B
29,1878,7.540191710011736,2,PowderBlue,B
30,1879,7.081620259238161,2,PowderBlue,B
31,1880,7.546883687168736,2,PowderBlue,B
32,1881,7.636973869208396,2,PowderBlue,B
33,1882,8.199323195627628,2,PowderBlue,B
34,1883,7.513803255110492,2,PowderBlue,B
35,1884,6.951849356332232,2,PowderBlue,B
36,1885,7.474680581072924,2,PowderBlue,B
37,1886,7.048013404429359,2,PowderBlue,B
38,1887,7.574776137770725,2,PowderBlue,B
39,1888,7.149319332682029,2,PowderBlue,B
40,1889,7.831592156451396,2,PowderBlue,B
41,1890,8.050961265220817,2,PowderBlue,B
42,1891,7.836166172845057,2,PowderBlue,B
43,1892,7.543025883043037,2,PowderBlue,B
44,1893,7.623820211630679,2,PowderBlue,B
45,1894,7.7531998040266865,2,PowderBlue,B
46,1895,7.970720517464227,2,PowderBlue,B
47,1896,7.865606356022498,2,PowderBlue,B
48,1897,8.259848396078176,2,PowderBlue,B
49,1898,8.047108697128941,2,PowderBlue,B
50,1899,8.454084049044694,2,PowderBlue,B
51,1900,8.408132041187205,2,PowderBlue,B
52,1901,8.061929627458312,2,PowderBlue,B
53,1902,7.932349046592107,2,PowderBlue,B
54,1903,8.397524590849416,2,PowderBlue,B
55,1904,7.690707784067111,2,PowderBlue,B
56,1905,8.478742457338418,2,PowderBlue,B
57,1906,8.320629697132636,2,PowderBlue,B
58,1907,8.732627991348526,2,PowderBlue,B
59,1908,8.535069421367707,2,PowderBlue,B
60,1909,8.457851369610648,2,PowderBlue,B
61,1910,8.461074950372435,2,PowderBlue,B
62,1911,8.243023012105185,2,PowderBlue,B
63,1912,8.74445661774019,2,PowderBlue,B
64,1913,8.290234948805097,2,PowderBlue,B
65,1914,8.67530847560257,2,PowderBlue,B
66,1915,9.033774343404428,2,PowderBlue,B
67,1916,8.96079613629772,2,PowderBlue,B
68,1917,8.641945913556567,2,PowderBlue,B
69,1918,8.387972610351108,2,PowderBlue,B
70,1919,7.677759350732736,2,PowderBlue,B
71,1920,8.206743026266526,2,PowderBlue,B
72,1921,8.154316770025215,2,PowderBlue,B
73,1922,8.930450582370192,2,PowderBlue,B
74,1923,8.836372266701664,2,PowderBlue,B
75,1924,8.776841763827886,2,PowderBlue,B
76,1925,8.603498895478387,2,PowderBlue,B
77,1926,8.547035807163414,2,PowderBlue,B
78,1927,8.868065762048396,2,PowderBlue,B
79,1928,9.49736328281351,2,PowderBlue,B
80,1929,9.211737532445703,2,PowderBlue,B
81,1930,9.13765837137173,2,PowderBlue,B
82,1931,9.017623695958356,2,PowderBlue,B
83,1932,8.999691880429285,2,PowderBlue,B
84,1933,8.918903010985595,2,PowderBlue,B
85,1934,8.638631379172608,2,PowderBlue,B
86,1935,8.45337612083396,2,PowderBlue,B
87,1936,8.376381252296683,2,PowderBlue,B
88,1937,8.651575168032172,2,PowderBlue,B
89,1938,9.135147940155473,2,PowderBlue,B
90,1939,9.130101618079264,2,PowderBlue,B
91,1940,8.743073246591024,2,PowderBlue,B
92,1941,8.238908821543065,2,PowderBlue,B
93,1942,8.582121795226177,2,PowderBlue,B
94,1943,8.583640478644057,2,PowderBlue,B
95,1944,8.812299774119756,2,PowderBlue,B
