Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,11.83235585861934,3,CornflowerBlue,C
2,1851,12.111198267817736,3,CornflowerBlue,C
3,1852,12.606708115213959,3,CornflowerBlue,C
4,1853,12.462749101543931,3,CornflowerBlue,C
5,1854,12.876659176747184,3,CornflowerBlue,C
6,1855,11.796281354218001,3,CornflowerBlue,C
7,1856,11.950601046223376,3,CornflowerBlue,C
8,1857,12.786308224664776,3,CornflowerBlue,C
9,1858,12.717262916684401,3,CornflowerBlue,C
10,1859,12.413757838265688,3,CornflowerBlue,C
11,1860,12.885072293619295,3,CornflowerBlue,C
12,1861,12.779241499994377,3,CornflowerBlue,C
13,1862,12.108462546305216,3,CornflowerBlue,C
14,1863,12.144592047071038,3,CornflowerBlue,C
15,1864,12.360622988094015,3,CornflowerBlue,C
16,1865,11.989904308754598,3,CornflowerBlue,C
17,1866,12.863237724451372,3,CornflowerBlue,C
18,1867,12.823746475579703,3,CornflowerBlue,C
19,1868,12.424000497914994,3,CornflowerBlue,C
20,1869,12.5579340465414,3,CornflowerBlue,C
21,1870,11.895620839285513,3,CornflowerBlue,C
22,1871,12.469148893795731,3,CornflowerBlue,C
23,1872,13.303388243674576,3,CornflowerBlue,C
24,1873,12.302066857881998,3,CornflowerBlue,C
25,1874,12.917693516713854,3,CornflowerBlue,C
26,1875,12.352151684689495,3,CornflowerBlue,C
27,1876,12.146939061875276,3,CornflowerBlue,C
28,1877,12.78590455808132,3,CornflowerBlue,C
29,1878,12.605249637244514,3,CornflowerBlue,C
30,1879,13.092105520801852,3,CornflowerBlue,C
31,1880,12.37924895346514,3,CornflowerBlue,C
32,1881,12.004720464874826,3,CornflowerBlue,C
33,1882,12.401153999697945,3,CornflowerBlue,C
34,1883,13.192779735491504,3,CornflowerBlue,C
35,1884,12.238573706700691,3,CornflowerBlue,C
36,1885,12.285309313205588,3,CornflowerBlue,C
37,1886,12.774549141915271,3,CornflowerBlue,C
38,1887,14.776606139250552,3,CornflowerBlue,C
39,1888,12.907056078501416,3,CornflowerBlue,C
40,1889,13.036586465983605,3,CornflowerBlue,C
41,1890,13.255329726721207,3,CornflowerBlue,C
42,1891,13.754045413319654,3,CornflowerBlue,C
43,1892,12.611933342651898,3,CornflowerBlue,C
44,1893,12.759680068686121,3,CornflowerBlue,C
45,1894,13.012114331033583,3,CornflowerBlue,C
46,1895,13.076725086076832,3,CornflowerBlue,C
47,1896,13.303946096827332,3,CornflowerBlue,C
48,1897,13.833027904875978,3,CornflowerBlue,C
49,1898,13.290684043926452,3,CornflowerBlue,C
50,1899,13.479209229001013,3,CornflowerBlue,C
51,1900,12.694263165587966,3,CornflowerBlue,C
52,1901,12.835002756309455,3,CornflowerBlue,C
53,1902,12.789414074316884,3,CornflowerBlue,C
54,1903,12.251466163121934,3,CornflowerBlue,C
55,1904,12.74443145687302,3,CornflowerBlue,C
56,1905,12.561670989057406,3,CornflowerBlue,C
57,1906,13.20970517895346,3,CornflowerBlue,C
58,1907,13.054506646205438,3,CornflowerBlue,C
59,1908,12.843256146298385,3,CornflowerBlue,C
60,1909,13.534925575580878,3,CornflowerBlue,C
61,1910,13.708441009622868,3,CornflowerBlue,C
62,1911,13.2362477116824,3,CornflowerBlue,C
63,1912,13.613721636914384,3,CornflowerBlue,C
64,1913,12.850952923260493,3,CornflowerBlue,C
65,1914,13.245010566815466,3,CornflowerBlue,C
66,1915,13.681885257021786,3,CornflowerBlue,C
67,1916,13.299356313499038,3,CornflowerBlue,C
68,1917,13.899803396400863,3,CornflowerBlue,C
69,1918,14.134472193855583,3,CornflowerBlue,C
70,1919,13.615429522977587,3,CornflowerBlue,C
71,1920,14.480623378951464,3,CornflowerBlue,C
72,1921,13.069640992571415,3,CornflowerBlue,C
73,1922,13.707758091926996,3,CornflowerBlue,C
74,1923,13.75180555642116,3,CornflowerBlue,C
75,1924,13.781049009188942,3,CornflowerBlue,C
76,1925,14.370862650366824,3,CornflowerBlue,C
77,1926,14.036285499600394,3,CornflowerBlue,C
78,1927,13.674102408109638,3,CornflowerBlue,C
79,1928,13.909356440465112,3,CornflowerBlue,C
80,1929,13.954512486538066,3,CornflowerBlue,C
81,1930,14.358268211048063,3,CornflowerBlue,C
82,1931,14.093189734030382,3,CornflowerBlue,C
83,1932,13.270688257599046,3,CornflowerBlue,C
84,1933,14.07462010513847,3,CornflowerBlue,C
85,1934,13.501140358919491,3,CornflowerBlue,C
86,1935,14.279503761038898,3,CornflowerBlue,C
87,1936,14.260492763306447,3,CornflowerBlue,C
88,1937,14.702658903375122,3,CornflowerBlue,C
89,1938,13.94383189040234,3,CornflowerBlue,C
90,1939,14.131391574258693,3,CornflowerBlue,C
91,1940,14.345977646806816,3,CornflowerBlue,C
92,1941,14.258713127392094,3,CornflowerBlue,C
93,1942,14.548397531964198,3,CornflowerBlue,C
94,1943,14.97696553837082,3,CornflowerBlue,C
95,1944,14.630899114766295,3,CornflowerBlue,C
96,1945,16.002036615684702,4,LightYellow,D
97,1946,14.298052537914407,3,CornflowerBlue,C
98,1947,13.797814800807659,3,CornflowerBlue,C
99,1948,14.296737121064057,3,CornflowerBlue,C
100,1949,15.044173926845147,4,LightYellow,D
101,1950,14.996458476721989,3,CornflowerBlue,C
102,1951,14.572435987678414,3,CornflowerBlue,C
103,1952,14.497975986686166,3,CornflowerBlue,C
104,1953,14.558129485822894,3,CornflowerBlue,C
105,1954,14.163035269554866,3,CornflowerBlue,C
106,1955,15.01079954405202,4,LightYellow,D
107,1956,14.241979192529858,3,CornflowerBlue,C
108,1957,15.02685846495949,4,LightYellow,D
109,1958,15.201881684388006,4,LightYellow,D
110,1959,14.998693589134511,3,CornflowerBlue,C
111,1960,16.213793800859662,4,LightYellow,D
112,1961,16.072070922431276,4,LightYellow,D
113,1962,15.625468245213568,4,LightYellow,D
114,1963,16.469878419410023,4,LightYellow,D
115,1964,16.257763442666228,4,LightYellow,D
116,1965,16.420760838136847,4,LightYellow,D
117,1966,16.629323576044165,4,LightYellow,D
118,1967,17.258500542447802,4,LightYellow,D
119,1968,18.032764919537776,4,LightYellow,D
120,1969,17.6521372021329,4,LightYellow,D
121,1970,17.772241348193294,4,LightYellow,D
122,1971,17.055685266888897,4,LightYellow,D
123,1972,17.23880981424263,4,LightYellow,D
124,1973,18.55077894941927,4,LightYellow,D
125,1974,17.98578127142678,4,LightYellow,D
126,1975,18.463805162971557,4,LightYellow,D
127,1976,21.158231463121677,5,Vanilla,E
