Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,28.499828816591812,5,Vanilla,E
2,1851,27.889661042010164,5,Vanilla,E
3,1852,27.97426769281936,5,Vanilla,E
4,1853,29.1190096339244,5,Vanilla,E
5,1854,31.850854885838007,6,Dandelion,F
6,1855,30.54318016460671,6,Dandelion,F
7,1856,31.934068712513035,6,Dandelion,F
8,1857,33.419838861993405,6,Dandelion,F
9,1858,31.274044248933887,6,Dandelion,F
10,1859,32.372116884316654,6,Dandelion,F
11,1860,33.50358589022379,6,Dandelion,F
12,1861,34.15624589920347,6,Dandelion,F
13,1862,35.62049565214029,6,Dandelion,F
14,1863,35.812180496807244,6,Dandelion,F
15,1864,38.025089461961414,6,Dandelion,F
16,1865,37.54715118879606,6,Dandelion,F
17,1866,36.49628361529312,6,Dandelion,F
18,1867,36.10933787796599,6,Dandelion,F
19,1868,39.60662740850899,6,Dandelion,F
20,1869,39.91367394356943,6,Dandelion,F
21,1870,41.69407937783506,7,Tangerine,G
22,1871,39.04028954273581,6,Dandelion,F
23,1872,39.848020387205,6,Dandelion,F
24,1873,42.098958676188666,7,Tangerine,G
25,1874,41.635662421050405,7,Tangerine,G
26,1875,38.033170231531045,6,Dandelion,F
27,1876,39.290219079408594,6,Dandelion,F
28,1877,45.02379732175711,7,Tangerine,G
29,1878,41.33108737752404,7,Tangerine,G
30,1879,39.995219324323614,6,Dandelion,F
31,1880,44.96581091631463,7,Tangerine,G
32,1881,45.64139642940436,7,Tangerine,G
33,1882,45.65072715866243,7,Tangerine,G
34,1883,43.828832117297544,7,Tangerine,G
35,1884,42.30221787684708,7,Tangerine,G
36,1885,43.75727122372166,7,Tangerine,G
37,1886,41.551034980269264,7,Tangerine,G
38,1887,42.42832405947812,7,Tangerine,G
39,1888,42.68809111469412,7,Tangerine,G
40,1889,46.339264347085525,7,Tangerine,G
41,1890,44.75009578844719,7,Tangerine,G
42,1891,48.81184946670551,7,Tangerine,G
43,1892,45.007902452640145,7,Tangerine,G
44,1893,42.8356467859689,7,Tangerine,G
45,1894,47.075172828146776,7,Tangerine,G
46,1895,44.26980157082447,7,Tangerine,G
47,1896,45.38234009649085,7,Tangerine,G
48,1897,48.3938881197551,7,Tangerine,G
49,1898,54.900676220461364,8,Mustard,H
50,1899,49.137031247166114,7,Tangerine,G
51,1900,52.84626768215907,8,Mustard,H
52,1901,49.171551741396364,7,Tangerine,G
53,1902,48.93060021502297,7,Tangerine,G
54,1903,46.62287404146714,7,Tangerine,G
55,1904,48.45389615730528,7,Tangerine,G
56,1905,48.70465086188357,7,Tangerine,G
57,1906,50.66641507608802,8,Mustard,H
58,1907,52.813481671802,8,Mustard,H
59,1908,51.69602835196623,8,Mustard,H
60,1909,51.75739663909742,8,Mustard,H
61,1910,51.656019227587514,8,Mustard,H
62,1911,51.98175243823242,8,Mustard,H
63,1912,54.37196603531899,8,Mustard,H
64,1913,50.53047348489666,8,Mustard,H
65,1914,53.04981168885772,8,Mustard,H
66,1915,51.01359325431298,8,Mustard,H
67,1916,51.84799725698141,8,Mustard,H
68,1917,51.416788869302785,8,Mustard,H
69,1918,47.46954271202427,7,Tangerine,G
70,1919,48.73406614617021,7,Tangerine,G
71,1920,48.88069849230732,7,Tangerine,G
72,1921,36.40029314292008,6,Dandelion,F
73,1922,44.47997110672175,7,Tangerine,G
74,1923,45.73412094626673,7,Tangerine,G
75,1924,47.66033920785471,7,Tangerine,G
76,1925,46.75483845841725,7,Tangerine,G
77,1926,30.491694012554387,6,Dandelion,F
78,1927,48.02522164210203,7,Tangerine,G
79,1928,44.72353080455974,7,Tangerine,G
80,1929,48.05467208609084,7,Tangerine,G
81,1930,47.30863658181574,7,Tangerine,G
82,1931,44.434642983091905,7,Tangerine,G
83,1932,43.79109227797628,7,Tangerine,G
84,1933,43.04971254584988,7,Tangerine,G
85,1934,46.68403717491071,7,Tangerine,G
86,1935,47.54196395262683,7,Tangerine,G
87,1936,49.15662074699096,7,Tangerine,G
88,1937,48.55365069549569,7,Tangerine,G
89,1938,53.27899390423257,8,Mustard,H
90,1939,48.937297515622085,7,Tangerine,G
91,1940,53.685744200921945,8,Mustard,H
92,1941,47.39760668167809,7,Tangerine,G
93,1942,49.57357564486481,7,Tangerine,G
94,1943,51.6612190718585,8,Mustard,H
95,1944,49.43757175603006,7,Tangerine,G
96,1945,45.075082963522874,7,Tangerine,G
97,1946,46.24866996737399,7,Tangerine,G
98,1947,53.18293858916277,8,Mustard,H
99,1948,50.804413524039916,8,Mustard,H
100,1949,51.896825975927655,8,Mustard,H
101,1950,57.5470017909529,8,Mustard,H
102,1951,61.2931465622791,9,Mauve,I
103,1952,54.905584063023625,8,Mustard,H
104,1953,55.130500961011315,8,Mustard,H
105,1954,57.04843132774323,8,Mustard,H
