Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,17.77690074664948,4,LightYellow,D
2,1851,19.61112624763306,4,LightYellow,D
3,1852,17.41124077219398,4,LightYellow,D
4,1853,16.79490893098434,4,LightYellow,D
5,1854,19.786354537468174,4,LightYellow,D
6,1855,19.583360711414656,4,LightYellow,D
7,1856,18.889987568682642,4,LightYellow,D
8,1857,19.26667208569413,4,LightYellow,D
9,1858,18.96935659698165,4,LightYellow,D
10,1859,18.10166091663118,4,LightYellow,D
11,1860,21.15274253038865,5,Vanilla,E
12,1861,20.134285434025603,5,Vanilla,E
13,1862,18.30208380206431,4,LightYellow,D
14,1863,16.560240924321707,4,LightYellow,D
15,1864,17.138061067855716,4,LightYellow,D
16,1865,19.44285384737349,4,LightYellow,D
17,1866,18.563390459605806,4,LightYellow,D
18,1867,19.183324126201132,4,LightYellow,D
19,1868,18.48849471922713,4,LightYellow,D
20,1869,19.455664228000703,4,LightYellow,D
21,1870,17.4503845276425,4,LightYellow,D
22,1871,16.722435782568017,4,LightYellow,D
23,1872,17.050979060681428,4,LightYellow,D
24,1873,18.286607102219218,4,LightYellow,D
25,1874,18.63403829260405,4,LightYellow,D
26,1875,19.81345714194418,4,LightYellow,D
27,1876,18.38655462330957,4,LightYellow,D
28,1877,17.972999257482886,4,LightYellow,D
29,1878,18.51464804694541,4,LightYellow,D
30,1879,19.089341954252138,4,LightYellow,D
31,1880,18.417625444333826,4,LightYellow,D
32,1881,19.01379303949113,4,LightYellow,D
33,1882,20.332106070879586,5,Vanilla,E
34,1883,17.544863374462228,4,LightYellow,D
35,1884,17.784257799290383,4,LightYellow,D
36,1885,19.9901847750495,4,LightYellow,D
37,1886,18.760824551498967,4,LightYellow,D
38,1887,19.71166465113076,4,LightYellow,D
39,1888,18.18992003223713,4,LightYellow,D
40,1889,17.978073097698324,4,LightYellow,D
41,1890,17.723596311543808,4,LightYellow,D
42,1891,18.74424892753094,4,LightYellow,D
43,1892,18.56506050754343,4,LightYellow,D
44,1893,18.42558315000855,4,LightYellow,D
45,1894,17.64012362170062,4,LightYellow,D
46,1895,19.23195705781508,4,LightYellow,D
47,1896,17.903449932487764,4,LightYellow,D
48,1897,18.415241336708817,4,LightYellow,D
49,1898,18.61188709003316,4,LightYellow,D
50,1899,18.57928288355376,4,LightYellow,D
51,1900,18.379284265044898,4,LightYellow,D
52,1901,17.413187517492247,4,LightYellow,D
53,1902,18.34187759298745,4,LightYellow,D
54,1903,19.06061495504432,4,LightYellow,D
55,1904,19.589461399859967,4,LightYellow,D
56,1905,19.372488385818556,4,LightYellow,D
57,1906,19.725822130909833,4,LightYellow,D
58,1907,18.38197896399582,4,LightYellow,D
59,1908,19.52242749988286,4,LightYellow,D
60,1909,18.28650549160959,4,LightYellow,D
61,1910,19.353680796047623,4,LightYellow,D
