Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,13.702238976277147,3,CornflowerBlue,C
2,1851,11.836379576565605,3,CornflowerBlue,C
3,1852,12.004121725112153,3,CornflowerBlue,C
4,1853,12.497276749922484,3,CornflowerBlue,C
5,1854,12.913904819710817,3,CornflowerBlue,C
6,1855,12.968146628659385,3,CornflowerBlue,C
7,1856,11.818975897560367,3,CornflowerBlue,C
8,1857,12.82826050976894,3,CornflowerBlue,C
9,1858,14.489747013540432,3,CornflowerBlue,C
10,1859,11.784966846091615,3,CornflowerBlue,C
11,1860,11.803954419121006,3,CornflowerBlue,C
12,1861,12.818451008301158,3,CornflowerBlue,C
13,1862,11.976646636420243,3,CornflowerBlue,C
14,1863,11.95703708079074,3,CornflowerBlue,C
15,1864,13.13030174086206,3,CornflowerBlue,C
16,1865,12.747897835744018,3,CornflowerBlue,C
17,1866,12.415368253899846,3,CornflowerBlue,C
18,1867,13.092203808815864,3,CornflowerBlue,C
19,1868,13.684545021638739,3,CornflowerBlue,C
20,1869,13.666291283599042,3,CornflowerBlue,C
21,1870,12.63027042002068,3,CornflowerBlue,C
22,1871,12.762427651622286,3,CornflowerBlue,C
23,1872,11.770043686820951,3,CornflowerBlue,C
24,1873,12.975945683005863,3,CornflowerBlue,C
25,1874,13.428774790756272,3,CornflowerBlue,C
26,1875,13.103003343891434,3,CornflowerBlue,C
27,1876,12.178141634895685,3,CornflowerBlue,C
28,1877,13.087587167751998,3,CornflowerBlue,C
29,1878,14.449938447949496,3,CornflowerBlue,C
30,1879,12.400677666196843,3,CornflowerBlue,C
31,1880,12.386909037521626,3,CornflowerBlue,C
32,1881,12.141628734504984,3,CornflowerBlue,C
33,1882,12.642374746501394,3,CornflowerBlue,C
34,1883,12.757574732990356,3,CornflowerBlue,C
35,1884,13.385700576220968,3,CornflowerBlue,C
36,1885,12.633609716796302,3,CornflowerBlue,C
37,1886,12.949204403832528,3,CornflowerBlue,C
38,1887,13.243225863909121,3,CornflowerBlue,C
39,1888,13.016781029148662,3,CornflowerBlue,C
40,1889,13.127098301125942,3,CornflowerBlue,C
41,1890,13.109094763593891,3,CornflowerBlue,C
42,1891,12.84755941943055,3,CornflowerBlue,C
43,1892,13.02772648595209,3,CornflowerBlue,C
44,1893,12.899598290029838,3,CornflowerBlue,C
45,1894,14.366433430068192,3,CornflowerBlue,C
46,1895,13.742741747247148,3,CornflowerBlue,C
47,1896,11.99725096251898,3,CornflowerBlue,C
48,1897,13.775397202990298,3,CornflowerBlue,C
49,1898,14.25921684035034,3,CornflowerBlue,C
50,1899,13.08209284543162,3,CornflowerBlue,C
51,1900,13.69243838453368,3,CornflowerBlue,C
52,1901,13.406344584016354,3,CornflowerBlue,C
53,1902,13.223203102171896,3,CornflowerBlue,C
54,1903,13.158921222742434,3,CornflowerBlue,C
55,1904,12.813594152809102,3,CornflowerBlue,C
56,1905,13.489595155425032,3,CornflowerBlue,C
57,1906,13.69749863100209,3,CornflowerBlue,C
58,1907,13.116286768897123,3,CornflowerBlue,C
59,1908,13.99062825972102,3,CornflowerBlue,C
60,1909,13.446621306689174,3,CornflowerBlue,C
61,1910,14.138277196418558,3,CornflowerBlue,C
62,1911,13.680988500167054,3,CornflowerBlue,C
63,1912,12.784235790529754,3,CornflowerBlue,C
64,1913,14.093877393847116,3,CornflowerBlue,C
65,1914,14.67701464695298,3,CornflowerBlue,C
66,1915,13.312614136194968,3,CornflowerBlue,C
67,1916,13.515366717915416,3,CornflowerBlue,C
68,1917,13.721143863309988,3,CornflowerBlue,C
69,1918,14.902007382368657,3,CornflowerBlue,C
70,1919,13.554965649634374,3,CornflowerBlue,C
71,1920,13.105978832555497,3,CornflowerBlue,C
72,1921,13.991159913396949,3,CornflowerBlue,C
73,1922,13.499166454280385,3,CornflowerBlue,C
74,1923,14.23392446828145,3,CornflowerBlue,C
75,1924,13.329259719274681,3,CornflowerBlue,C
76,1925,12.883718487966657,3,CornflowerBlue,C
77,1926,14.02682330142948,3,CornflowerBlue,C
78,1927,14.332748801239154,3,CornflowerBlue,C
79,1928,13.466810234564736,3,CornflowerBlue,C
80,1929,13.061010739861763,3,CornflowerBlue,C
81,1930,13.543698075746137,3,CornflowerBlue,C
82,1931,13.078293121511768,3,CornflowerBlue,C
83,1932,14.538628907815985,3,CornflowerBlue,C
84,1933,12.186143067325975,3,CornflowerBlue,C
85,1934,14.125101381255982,3,CornflowerBlue,C
86,1935,14.267802683202907,3,CornflowerBlue,C
87,1936,14.629083621195612,3,CornflowerBlue,C
88,1937,14.156486966402756,3,CornflowerBlue,C
89,1938,15.10334329126338,4,LightYellow,D
90,1939,14.239377377555542,3,CornflowerBlue,C
91,1940,14.858308930271924,3,CornflowerBlue,C
92,1941,13.77398450548666,3,CornflowerBlue,C
93,1942,15.175014248080586,4,LightYellow,D
94,1943,14.404989441305876,3,CornflowerBlue,C
95,1944,13.97641697903955,3,CornflowerBlue,C
96,1945,14.676118980351246,3,CornflowerBlue,C
97,1946,13.557019686346939,3,CornflowerBlue,C
98,1947,14.696862950197815,3,CornflowerBlue,C
99,1948,15.421610217671681,4,LightYellow,D
100,1949,13.46249568960857,3,CornflowerBlue,C
101,1950,14.737181558106032,3,CornflowerBlue,C
102,1951,14.382554523217125,3,CornflowerBlue,C
103,1952,14.239949760365576,3,CornflowerBlue,C
104,1953,15.850588090218773,4,LightYellow,D
105,1954,15.440051211705455,4,LightYellow,D
106,1955,15.475477911043047,4,LightYellow,D
107,1956,16.316150958244187,4,LightYellow,D
108,1957,17.15195529054204,4,LightYellow,D
109,1958,15.290211049764912,4,LightYellow,D
110,1959,15.227291960391998,4,LightYellow,D
111,1960,14.26507063348618,3,CornflowerBlue,C
112,1961,14.23152625190169,3,CornflowerBlue,C
113,1962,15.552726717062992,4,LightYellow,D
114,1963,16.54757150633125,4,LightYellow,D
115,1964,14.509863019806426,3,CornflowerBlue,C
116,1965,14.992708336704057,3,CornflowerBlue,C
117,1966,14.308574806162929,3,CornflowerBlue,C
118,1967,16.713149769965938,4,LightYellow,D
119,1968,15.239178032168008,4,LightYellow,D
120,1969,15.65229072420153,4,LightYellow,D
121,1970,14.947203537878762,3,CornflowerBlue,C
122,1971,15.674012401956261,4,LightYellow,D
123,1972,16.12567247002725,4,LightYellow,D
124,1973,16.178649703254,4,LightYellow,D
125,1974,17.515417661065722,4,LightYellow,D
126,1975,15.546768281144773,4,LightYellow,D
127,1976,16.11284941534407,4,LightYellow,D
128,1977,17.69201356003126,4,LightYellow,D
129,1978,16.87905144945676,4,LightYellow,D
130,1979,16.112215709126254,4,LightYellow,D
131,1980,17.44447998139486,4,LightYellow,D
132,1981,16.319938286247186,4,LightYellow,D
133,1982,17.48052070283041,4,LightYellow,D
134,1983,15.281801765436056,4,LightYellow,D
135,1984,15.84960379263209,4,LightYellow,D
136,1985,15.800766828134702,4,LightYellow,D
137,1986,18.011763138611926,4,LightYellow,D
138,1987,15.628005244912506,4,LightYellow,D
139,1988,16.98977472783113,4,LightYellow,D
140,1989,16.73580107731029,4,LightYellow,D
141,1990,17.631693106789083,4,LightYellow,D
142,1991,17.73377155972133,4,LightYellow,D
143,1992,17.150697271752442,4,LightYellow,D
144,1993,17.618206524624576,4,LightYellow,D
145,1994,16.91936654214836,4,LightYellow,D
146,1995,16.84479000904461,4,LightYellow,D
147,1996,16.809783780829797,4,LightYellow,D
148,1997,15.320164432480048,4,LightYellow,D
149,1998,17.643052847191512,4,LightYellow,D
150,1999,16.073690810339645,4,LightYellow,D
151,2000,16.423494847788785,4,LightYellow,D
152,2001,22.366666793823242,5,Vanilla,E
153,2002,20.658334732055664,5,Vanilla,E
154,2003,19.69999885559082,4,LightYellow,D
155,2004,19.274999618530273,4,LightYellow,D
156,2005,19.29166603088379,4,LightYellow,D
157,2006,18.600000381469727,4,LightYellow,D
158,2007,21.475000381469727,5,Vanilla,E
159,2008,20.424997329711914,5,Vanilla,E
160,2009,18.95833396911621,4,LightYellow,D
161,2010,19.7166690826416,4,LightYellow,D
162,2011,18.40833282470703,4,LightYellow,D
163,2012,18.14166831970215,4,LightYellow,D
164,2013,17.741666793823242,4,LightYellow,D
165,2014,16.625001907348633,4,LightYellow,D
166,2015,16.91666603088379,4,LightYellow,D
167,2016,15.350001335144043,4,LightYellow,D
168,2017,15.508334159851074,4,LightYellow,D
169,2018,18.03333282470703,4,LightYellow,D
170,2019,19.07499885559082,4,LightYellow,D
171,2020,16.19999885559082,4,LightYellow,D
172,2021,15.074999809265137,4,LightYellow,D
173,2022,19.44999885559082,4,LightYellow,D
