Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,6.640109743443261,2,PowderBlue,B
2,1851,6.599933173774864,2,PowderBlue,B
3,1852,6.521821497442175,2,PowderBlue,B
4,1853,6.587157443446456,2,PowderBlue,B
5,1854,6.687077471712474,2,PowderBlue,B
6,1855,6.420577392196562,2,PowderBlue,B
7,1856,6.709984772493123,2,PowderBlue,B
8,1857,6.747478392246492,2,PowderBlue,B
9,1858,6.774450108880355,2,PowderBlue,B
10,1859,6.539487945115314,2,PowderBlue,B
11,1860,6.72199584986752,2,PowderBlue,B
12,1861,6.646812433802085,2,PowderBlue,B
13,1862,6.605689476479433,2,PowderBlue,B
14,1863,6.727444371018929,2,PowderBlue,B
15,1864,6.963298833600778,2,PowderBlue,B
16,1865,6.876584737152439,2,PowderBlue,B
17,1866,6.768225213292513,2,PowderBlue,B
18,1867,7.143119798830085,2,PowderBlue,B
19,1868,6.900443446559551,2,PowderBlue,B
20,1869,6.741679566562176,2,PowderBlue,B
21,1870,6.925608273754138,2,PowderBlue,B
22,1871,6.718523544269899,2,PowderBlue,B
23,1872,7.118798487029555,2,PowderBlue,B
24,1873,6.773515059258384,2,PowderBlue,B
25,1874,7.212103532201881,2,PowderBlue,B
26,1875,7.132780215313956,2,PowderBlue,B
27,1876,6.937956496222687,2,PowderBlue,B
28,1877,7.125334878879267,2,PowderBlue,B
29,1878,7.199430235170024,2,PowderBlue,B
30,1879,7.042336356193894,2,PowderBlue,B
31,1880,6.863036334612794,2,PowderBlue,B
32,1881,6.997259174130377,2,PowderBlue,B
33,1882,7.131622317450643,2,PowderBlue,B
34,1883,6.859664064664892,2,PowderBlue,B
35,1884,7.069609733485275,2,PowderBlue,B
36,1885,6.813732580163821,2,PowderBlue,B
37,1886,6.893596703838055,2,PowderBlue,B
38,1887,7.598392693740948,2,PowderBlue,B
39,1888,7.109765197293721,2,PowderBlue,B
40,1889,7.312219297051742,2,PowderBlue,B
41,1890,7.143474704780059,2,PowderBlue,B
42,1891,7.352804340906606,2,PowderBlue,B
43,1892,7.345531294824094,2,PowderBlue,B
44,1893,7.295122999393762,2,PowderBlue,B
45,1894,7.411625652107856,2,PowderBlue,B
46,1895,7.637596358376445,2,PowderBlue,B
47,1896,7.690741127701054,2,PowderBlue,B
48,1897,7.648569700251044,2,PowderBlue,B
49,1898,7.851523043266766,2,PowderBlue,B
50,1899,7.693153601456279,2,PowderBlue,B
51,1900,7.3383470228775725,2,PowderBlue,B
52,1901,7.547731318573817,2,PowderBlue,B
53,1902,7.880439174128801,2,PowderBlue,B
54,1903,7.887713304700378,2,PowderBlue,B
55,1904,8.492803696369513,2,PowderBlue,B
56,1905,7.810415298788573,2,PowderBlue,B
57,1906,7.956014484457373,2,PowderBlue,B
58,1907,8.415374844271376,2,PowderBlue,B
59,1908,8.61701161336395,2,PowderBlue,B
60,1909,8.642773990675089,2,PowderBlue,B
61,1910,8.761165149879005,2,PowderBlue,B
62,1911,8.896226718401143,2,PowderBlue,B
63,1912,9.123802119587603,2,PowderBlue,B
64,1913,8.871053649940865,2,PowderBlue,B
65,1914,8.996889960230687,2,PowderBlue,B
66,1915,9.282843739718064,2,PowderBlue,B
67,1916,9.361511744890464,2,PowderBlue,B
68,1917,9.385252421270426,2,PowderBlue,B
69,1918,9.453330029179067,2,PowderBlue,B
70,1919,9.474122251385959,2,PowderBlue,B
71,1920,9.934830510783064,2,PowderBlue,B
72,1921,10.073226278075856,3,CornflowerBlue,C
73,1922,10.188244416337252,3,CornflowerBlue,C
74,1923,10.638399429213235,3,CornflowerBlue,C
