Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,10.181170440794121,3,CornflowerBlue,C
2,1851,10.570765444356983,3,CornflowerBlue,C
3,1852,9.974434021444447,2,PowderBlue,B
4,1853,10.14989139972426,3,CornflowerBlue,C
5,1854,10.488963532839168,3,CornflowerBlue,C
6,1855,10.275762093329549,3,CornflowerBlue,C
7,1856,10.484025198973592,3,CornflowerBlue,C
8,1857,10.986454316326705,3,CornflowerBlue,C
9,1858,10.218605653930819,3,CornflowerBlue,C
10,1859,10.203823598135472,3,CornflowerBlue,C
11,1860,10.29719124732137,3,CornflowerBlue,C
12,1861,11.069964768155035,3,CornflowerBlue,C
13,1862,10.83418669871706,3,CornflowerBlue,C
14,1863,10.33034841126955,3,CornflowerBlue,C
15,1864,10.195836559352127,3,CornflowerBlue,C
16,1865,10.109796437704919,3,CornflowerBlue,C
17,1866,10.444768461822877,3,CornflowerBlue,C
18,1867,10.399631722244598,3,CornflowerBlue,C
19,1868,10.210830958939418,3,CornflowerBlue,C
20,1869,10.626339262205782,3,CornflowerBlue,C
21,1870,10.133852113709263,3,CornflowerBlue,C
22,1871,10.09674813786188,3,CornflowerBlue,C
23,1872,10.429288030674327,3,CornflowerBlue,C
24,1873,10.727325232635145,3,CornflowerBlue,C
25,1874,10.4184842358911,3,CornflowerBlue,C
26,1875,10.643358253388389,3,CornflowerBlue,C
27,1876,10.132490995845394,3,CornflowerBlue,C
28,1877,10.540275715999702,3,CornflowerBlue,C
29,1878,10.714722116991208,3,CornflowerBlue,C
30,1879,9.856289274614861,2,PowderBlue,B
31,1880,10.713472601299953,3,CornflowerBlue,C
32,1881,11.039359013805496,3,CornflowerBlue,C
33,1882,11.666340288719512,3,CornflowerBlue,C
34,1883,10.648068148146706,3,CornflowerBlue,C
35,1884,10.06484239452439,3,CornflowerBlue,C
36,1885,11.070673949525013,3,CornflowerBlue,C
37,1886,10.087860214806884,3,CornflowerBlue,C
38,1887,10.843294747677751,3,CornflowerBlue,C
39,1888,10.752620648212686,3,CornflowerBlue,C
40,1889,10.296240475954798,3,CornflowerBlue,C
41,1890,10.665523439196038,3,CornflowerBlue,C
42,1891,11.456932164435909,3,CornflowerBlue,C
43,1892,10.718694214727664,3,CornflowerBlue,C
44,1893,11.14591115183203,3,CornflowerBlue,C
45,1894,10.72694675086086,3,CornflowerBlue,C
46,1895,11.137098562318881,3,CornflowerBlue,C
47,1896,10.830377466399398,3,CornflowerBlue,C
48,1897,11.184435308149009,3,CornflowerBlue,C
49,1898,11.242185042750059,3,CornflowerBlue,C
50,1899,12.018712953096832,3,CornflowerBlue,C
51,1900,11.89954389145126,3,CornflowerBlue,C
52,1901,11.232776877558793,3,CornflowerBlue,C
53,1902,10.725950271124251,3,CornflowerBlue,C
54,1903,10.905390789372168,3,CornflowerBlue,C
55,1904,10.757692467018808,3,CornflowerBlue,C
56,1905,12.033774356558165,3,CornflowerBlue,C
57,1906,11.645886878840015,3,CornflowerBlue,C
58,1907,11.89306193091294,3,CornflowerBlue,C
59,1908,11.506592490399164,3,CornflowerBlue,C
60,1909,10.925016976981757,3,CornflowerBlue,C
61,1910,11.35426334986059,3,CornflowerBlue,C
62,1911,10.94776695331469,3,CornflowerBlue,C
63,1912,11.517717857250071,3,CornflowerBlue,C
64,1913,11.340473444363008,3,CornflowerBlue,C
65,1914,12.10666092960461,3,CornflowerBlue,C
66,1915,11.92272539411647,3,CornflowerBlue,C
67,1916,11.961869001048775,3,CornflowerBlue,C
68,1917,11.604222424478792,3,CornflowerBlue,C
69,1918,10.947843611758707,3,CornflowerBlue,C
70,1919,11.238163141602502,3,CornflowerBlue,C
71,1920,11.236407984634747,3,CornflowerBlue,C
72,1921,11.098868234599637,3,CornflowerBlue,C
73,1922,11.819716993945649,3,CornflowerBlue,C
74,1923,12.147930826890683,3,CornflowerBlue,C
75,1924,11.79660921592963,3,CornflowerBlue,C
76,1925,11.905879556753893,3,CornflowerBlue,C
77,1926,11.568633272427835,3,CornflowerBlue,C
78,1927,12.045243029521181,3,CornflowerBlue,C
79,1928,12.388686633917526,3,CornflowerBlue,C
80,1929,12.107548640762886,3,CornflowerBlue,C
81,1930,11.570775052873502,3,CornflowerBlue,C
82,1931,12.609827082988438,3,CornflowerBlue,C
83,1932,11.93233356900358,3,CornflowerBlue,C
84,1933,12.187503341280479,3,CornflowerBlue,C
85,1934,11.56598046661224,3,CornflowerBlue,C
86,1935,11.512148034951943,3,CornflowerBlue,C
87,1936,12.34502732543943,3,CornflowerBlue,C
88,1937,11.835672553011687,3,CornflowerBlue,C
89,1938,12.424492657420306,3,CornflowerBlue,C
90,1939,12.184603015172495,3,CornflowerBlue,C
91,1940,11.50637336813331,3,CornflowerBlue,C
92,1941,11.40263230235724,3,CornflowerBlue,C
93,1942,10.787740643520149,3,CornflowerBlue,C
94,1943,11.798602713882755,3,CornflowerBlue,C
95,1944,11.992830343457573,3,CornflowerBlue,C
96,1945,11.675331927257352,3,CornflowerBlue,C
97,1946,11.840832961087449,3,CornflowerBlue,C
98,1947,12.005448122523543,3,CornflowerBlue,C
99,1948,12.049127593413882,3,CornflowerBlue,C
100,1949,11.723740888421602,3,CornflowerBlue,C
101,1950,12.316983152729609,3,CornflowerBlue,C
102,1951,11.707430791522926,3,CornflowerBlue,C
103,1952,12.146197526801332,3,CornflowerBlue,C
104,1953,11.647064142290995,3,CornflowerBlue,C
105,1954,12.083702965194103,3,CornflowerBlue,C
106,1955,12.480298181579565,3,CornflowerBlue,C
107,1956,12.500218390720939,3,CornflowerBlue,C
108,1957,12.674064675431422,3,CornflowerBlue,C
109,1958,12.733621623474015,3,CornflowerBlue,C
110,1959,12.977531536555006,3,CornflowerBlue,C
111,1960,13.330595752278537,3,CornflowerBlue,C
112,1961,13.536713641424688,3,CornflowerBlue,C
113,1962,12.940343131827104,3,CornflowerBlue,C
114,1963,12.50586846001427,3,CornflowerBlue,C
115,1964,13.679577696873094,3,CornflowerBlue,C
116,1965,13.336521695268644,3,CornflowerBlue,C
117,1966,12.897442003144254,3,CornflowerBlue,C
118,1967,13.697303797556543,3,CornflowerBlue,C
119,1968,14.211615108679524,3,CornflowerBlue,C
120,1969,13.414641758689283,3,CornflowerBlue,C
121,1970,13.253098391957726,3,CornflowerBlue,C
122,1971,14.229296652526399,3,CornflowerBlue,C
123,1972,15.593035199019875,4,LightYellow,D
124,1973,14.315827987723335,3,CornflowerBlue,C
125,1974,14.78507837971624,3,CornflowerBlue,C
126,1975,14.707292115808755,3,CornflowerBlue,C
127,1976,15.9820535449541,4,LightYellow,D
128,1977,16.020158905621063,4,LightYellow,D
129,1978,15.184380565880232,4,LightYellow,D
130,1979,15.573496156538733,4,LightYellow,D
131,1980,15.692273586161594,4,LightYellow,D
132,1981,15.802289085934742,4,LightYellow,D
133,1982,15.928042628338178,4,LightYellow,D
134,1983,16.400878398941035,4,LightYellow,D
135,1984,14.681776981014664,3,CornflowerBlue,C
136,1985,15.625023337628273,4,LightYellow,D
137,1986,15.857501448847342,4,LightYellow,D
138,1987,16.36673703305677,4,LightYellow,D
139,1988,16.728240871449835,4,LightYellow,D
140,1989,16.473083655224656,4,LightYellow,D
141,1990,16.37323789163894,4,LightYellow,D
142,1991,16.58762236342901,4,LightYellow,D
143,1992,16.428703505413758,4,LightYellow,D
144,1993,15.833673576480976,4,LightYellow,D
145,1994,15.380060619772514,4,LightYellow,D
146,1995,14.991114898785163,3,CornflowerBlue,C
147,1996,15.99362177439845,4,LightYellow,D
148,1997,15.499371432837686,4,LightYellow,D
149,1998,15.585684928437187,4,LightYellow,D
150,1999,15.8628370673995,4,LightYellow,D
151,2000,15.219575910141225,4,LightYellow,D
152,2001,14.574999809265137,3,CornflowerBlue,C
153,2002,15.833333015441895,4,LightYellow,D
154,2003,18.833332061767578,4,LightYellow,D
155,2004,14.283332824707031,3,CornflowerBlue,C
156,2005,13.391666412353516,3,CornflowerBlue,C
157,2006,13.516666412353516,3,CornflowerBlue,C
158,2007,14.549999237060547,3,CornflowerBlue,C
159,2008,10.891667366027832,3,CornflowerBlue,C
160,2009,11.366665840148926,3,CornflowerBlue,C
161,2010,10.316666603088379,3,CornflowerBlue,C
162,2011,11.616665840148926,3,CornflowerBlue,C
163,2012,9.466666221618652,2,PowderBlue,B
164,2013,11.533333778381348,3,CornflowerBlue,C
165,2014,10.033332824707031,3,CornflowerBlue,C
166,2015,13.191666603088379,3,CornflowerBlue,C
167,2016,11.174999237060547,3,CornflowerBlue,C
168,2017,13.841667175292969,3,CornflowerBlue,C
169,2018,11.958333015441895,3,CornflowerBlue,C
170,2019,9.774999618530273,2,PowderBlue,B
171,2020,10.691666603088379,3,CornflowerBlue,C
172,2021,9.75,2,PowderBlue,B
173,2022,9.708333015441895,2,PowderBlue,B
