Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,11.024811105588627,3,CornflowerBlue,C
2,1851,10.478244719267305,3,CornflowerBlue,C
3,1852,11.095931795325836,3,CornflowerBlue,C
4,1853,11.11510295083184,3,CornflowerBlue,C
5,1854,10.370792147461515,3,CornflowerBlue,C
6,1855,11.007111517674808,3,CornflowerBlue,C
7,1856,11.818260131969918,3,CornflowerBlue,C
8,1857,11.078505941599975,3,CornflowerBlue,C
9,1858,11.443712489813446,3,CornflowerBlue,C
10,1859,11.866952402562893,3,CornflowerBlue,C
11,1860,10.866908739874553,3,CornflowerBlue,C
12,1861,12.573663774687864,3,CornflowerBlue,C
13,1862,12.036257817279056,3,CornflowerBlue,C
14,1863,11.370722727741631,3,CornflowerBlue,C
15,1864,12.785420620876739,3,CornflowerBlue,C
16,1865,11.58874680466415,3,CornflowerBlue,C
17,1866,12.325263522195963,3,CornflowerBlue,C
18,1867,11.876737549458449,3,CornflowerBlue,C
19,1868,12.2427596467318,3,CornflowerBlue,C
20,1869,11.412418374427505,3,CornflowerBlue,C
21,1870,11.968771420887476,3,CornflowerBlue,C
22,1871,12.906415588871774,3,CornflowerBlue,C
23,1872,12.21523546243413,3,CornflowerBlue,C
24,1873,12.26463214833797,3,CornflowerBlue,C
25,1874,12.430937219123658,3,CornflowerBlue,C
26,1875,12.937216892260944,3,CornflowerBlue,C
27,1876,12.73283921377747,3,CornflowerBlue,C
28,1877,12.880772322425342,3,CornflowerBlue,C
29,1878,12.602381965928938,3,CornflowerBlue,C
30,1879,12.411506195494582,3,CornflowerBlue,C
31,1880,14.260656402379523,3,CornflowerBlue,C
32,1881,12.825442623084617,3,CornflowerBlue,C
33,1882,13.43808555893045,3,CornflowerBlue,C
34,1883,13.413823582602035,3,CornflowerBlue,C
35,1884,13.47292587394151,3,CornflowerBlue,C
36,1885,14.171693324982526,3,CornflowerBlue,C
37,1886,14.138625107037077,3,CornflowerBlue,C
38,1887,13.430656267981991,3,CornflowerBlue,C
39,1888,13.593462315924937,3,CornflowerBlue,C
40,1889,13.936189997060268,3,CornflowerBlue,C
41,1890,13.748792974376205,3,CornflowerBlue,C
42,1891,13.76184246220276,3,CornflowerBlue,C
43,1892,13.90329697357168,3,CornflowerBlue,C
44,1893,13.962213002343749,3,CornflowerBlue,C
45,1894,14.970569062523506,3,CornflowerBlue,C
46,1895,15.390857701352454,4,LightYellow,D
47,1896,14.32367616548409,3,CornflowerBlue,C
