Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,29.332793142591314,5,Vanilla,E
2,1851,34.09070873667694,6,Dandelion,F
3,1852,30.574855838669833,6,Dandelion,F
4,1853,29.6433052477631,5,Vanilla,E
5,1854,33.16123719665395,6,Dandelion,F
6,1855,34.229760078804105,6,Dandelion,F
7,1856,31.779989237922596,6,Dandelion,F
8,1857,33.041018180753966,6,Dandelion,F
9,1858,29.525134333903274,5,Vanilla,E
10,1859,30.384173520567497,6,Dandelion,F
11,1860,34.73551734395018,6,Dandelion,F
12,1861,34.08858851200732,6,Dandelion,F
13,1862,31.130315078514478,6,Dandelion,F
14,1863,27.059069021133862,5,Vanilla,E
15,1864,27.265568612189842,5,Vanilla,E
16,1865,33.829323596455396,6,Dandelion,F
17,1866,30.90930007072668,6,Dandelion,F
18,1867,32.00598456861942,6,Dandelion,F
19,1868,29.81884944564864,5,Vanilla,E
20,1869,32.55280097188012,6,Dandelion,F
21,1870,31.963741442539572,6,Dandelion,F
22,1871,28.453867621730502,5,Vanilla,E
23,1872,26.72602249817449,5,Vanilla,E
24,1873,30.46585451748132,6,Dandelion,F
25,1874,27.80109098445937,5,Vanilla,E
26,1875,30.597423014732367,6,Dandelion,F
27,1876,31.5957522193761,6,Dandelion,F
28,1877,27.22419660766247,5,Vanilla,E
29,1878,28.8643425494489,5,Vanilla,E
30,1879,33.532576952962955,6,Dandelion,F
31,1880,32.72744610016851,6,Dandelion,F
32,1881,33.04671654039778,6,Dandelion,F
33,1882,34.10136840810723,6,Dandelion,F
34,1883,29.661951001956616,5,Vanilla,E
35,1884,28.876301425903574,5,Vanilla,E
36,1885,31.369182295555785,6,Dandelion,F
37,1886,30.197446466055737,6,Dandelion,F
38,1887,32.92735369268215,6,Dandelion,F
39,1888,28.27182267220967,5,Vanilla,E
40,1889,30.6462916455052,6,Dandelion,F
41,1890,29.797407138278903,5,Vanilla,E
42,1891,31.518919847541568,6,Dandelion,F
43,1892,30.047597676241313,6,Dandelion,F
44,1893,32.30858282320553,6,Dandelion,F
45,1894,30.358948169751805,6,Dandelion,F
46,1895,32.20987043937596,6,Dandelion,F
47,1896,29.70149819962137,5,Vanilla,E
48,1897,30.781133077292363,6,Dandelion,F
49,1898,29.226519780951357,5,Vanilla,E
50,1899,32.07057297673321,6,Dandelion,F
51,1900,31.669472894380892,6,Dandelion,F
52,1901,30.02321205916171,6,Dandelion,F
53,1902,30.038187391647742,6,Dandelion,F
54,1903,30.648508356941687,6,Dandelion,F
55,1904,31.415837555684398,6,Dandelion,F
56,1905,32.51894042919149,6,Dandelion,F
57,1906,31.134486834098354,6,Dandelion,F
58,1907,31.726899016746355,6,Dandelion,F
59,1908,32.88173946215237,6,Dandelion,F
60,1909,29.96672618423678,5,Vanilla,E
61,1910,29.83623826682239,5,Vanilla,E
62,1911,31.10785058275335,6,Dandelion,F
63,1912,34.59240104677699,6,Dandelion,F
64,1913,30.27219147504119,6,Dandelion,F
65,1914,34.0910936264435,6,Dandelion,F
66,1915,32.9652512504421,6,Dandelion,F
67,1916,35.80467457834041,6,Dandelion,F
68,1917,30.54154677150716,6,Dandelion,F
69,1918,30.63694689529572,6,Dandelion,F
70,1919,31.82293287400778,6,Dandelion,F
71,1920,31.89745481712244,6,Dandelion,F
72,1921,33.25436899545631,6,Dandelion,F
73,1922,34.42154971163261,6,Dandelion,F
74,1923,30.428546872758563,6,Dandelion,F
75,1924,31.36082966022565,6,Dandelion,F
76,1925,34.10883529146992,6,Dandelion,F
77,1926,35.05793810162904,6,Dandelion,F
78,1927,33.765880257743866,6,Dandelion,F
79,1928,33.02849591928877,6,Dandelion,F
80,1929,35.12081050823925,6,Dandelion,F
81,1930,32.59887618833336,6,Dandelion,F
82,1931,33.50192339868817,6,Dandelion,F
83,1932,35.996797762573976,6,Dandelion,F
84,1933,33.701294269813495,6,Dandelion,F
85,1934,31.721904986218345,6,Dandelion,F
86,1935,32.16515359064314,6,Dandelion,F
87,1936,32.11291089633272,6,Dandelion,F
88,1937,37.03318765288684,6,Dandelion,F
89,1938,36.1778746177646,6,Dandelion,F
90,1939,34.19331446475039,6,Dandelion,F
91,1940,30.106312292987703,6,Dandelion,F
92,1941,33.78697545202544,6,Dandelion,F
93,1942,34.31785517344731,6,Dandelion,F
94,1943,34.74813904130526,6,Dandelion,F
95,1944,32.97076125219327,6,Dandelion,F
96,1945,33.04467072386111,6,Dandelion,F
97,1946,34.17226160851167,6,Dandelion,F
98,1947,35.81870178038786,6,Dandelion,F
99,1948,35.80746262248555,6,Dandelion,F
100,1949,33.97254738639528,6,Dandelion,F
101,1950,32.792965603575205,6,Dandelion,F
102,1951,29.925853796640272,5,Vanilla,E
103,1952,31.58901171595707,6,Dandelion,F
104,1953,35.12789196911811,6,Dandelion,F
105,1954,30.228466528990488,6,Dandelion,F
106,1955,35.640291497856346,6,Dandelion,F
107,1956,32.9258587992515,6,Dandelion,F
108,1957,32.26115171880456,6,Dandelion,F
109,1958,34.96935140470475,6,Dandelion,F
110,1959,33.72512598024895,6,Dandelion,F
111,1960,30.877467032896263,6,Dandelion,F
112,1961,32.71147231859215,6,Dandelion,F
113,1962,30.68689863301503,6,Dandelion,F
114,1963,30.885264463859457,6,Dandelion,F
115,1964,31.73756093552092,6,Dandelion,F
116,1965,33.834785683885116,6,Dandelion,F
117,1966,33.085288952614,6,Dandelion,F
118,1967,32.77707056961316,6,Dandelion,F
119,1968,29.291797812766642,5,Vanilla,E
120,1969,32.62263681331741,6,Dandelion,F
121,1970,32.35098044240887,6,Dandelion,F
122,1971,32.904501261549605,6,Dandelion,F
123,1972,36.49980445784446,6,Dandelion,F
124,1973,31.93763010263417,6,Dandelion,F
125,1974,32.38013132756219,6,Dandelion,F
126,1975,32.57880303904437,6,Dandelion,F
127,1976,34.0882651517944,6,Dandelion,F
128,1977,30.788449049863306,6,Dandelion,F
129,1978,32.29634765205851,6,Dandelion,F
130,1979,32.412026366976576,6,Dandelion,F
131,1980,31.948866797067762,6,Dandelion,F
132,1981,34.07567117781592,6,Dandelion,F
133,1982,35.78058368583792,6,Dandelion,F
134,1983,35.34882974412679,6,Dandelion,F
135,1984,34.60942259390657,6,Dandelion,F
136,1985,33.716141940123364,6,Dandelion,F
