Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,31.59813741220064,6,Dandelion,F
2,1851,31.750332397920914,6,Dandelion,F
3,1852,30.454526365835694,6,Dandelion,F
4,1853,31.86685627959704,6,Dandelion,F
5,1854,36.44426071135271,6,Dandelion,F
6,1855,33.239119819079754,6,Dandelion,F
7,1856,34.302374228711386,6,Dandelion,F
8,1857,36.21996251096859,6,Dandelion,F
9,1858,33.67775885935817,6,Dandelion,F
10,1859,33.82212815809183,6,Dandelion,F
11,1860,35.903572850294054,6,Dandelion,F
12,1861,37.15314499691631,6,Dandelion,F
13,1862,36.74420970604181,6,Dandelion,F
14,1863,38.30418407323568,6,Dandelion,F
15,1864,40.53975618201671,7,Tangerine,G
16,1865,39.62277949523063,6,Dandelion,F
17,1866,38.72211264048822,6,Dandelion,F
18,1867,38.00863450532216,6,Dandelion,F
19,1868,39.6130361748674,6,Dandelion,F
20,1869,40.18277971910311,7,Tangerine,G
21,1870,40.18676932812431,7,Tangerine,G
22,1871,39.079193055476054,6,Dandelion,F
23,1872,40.66290506934828,7,Tangerine,G
24,1873,43.1293148677575,7,Tangerine,G
25,1874,43.94474291038351,7,Tangerine,G
26,1875,40.24957686892126,7,Tangerine,G
27,1876,40.89627500021045,7,Tangerine,G
28,1877,45.9338250038681,7,Tangerine,G
29,1878,40.126299974102814,7,Tangerine,G
30,1879,41.17263188833393,7,Tangerine,G
31,1880,45.623428870065126,7,Tangerine,G
32,1881,47.89577210134992,7,Tangerine,G
33,1882,47.55128293941965,7,Tangerine,G
34,1883,45.418690161298194,7,Tangerine,G
35,1884,44.986699297563284,7,Tangerine,G
36,1885,47.74273624786954,7,Tangerine,G
37,1886,43.823982991779985,7,Tangerine,G
38,1887,42.89162945289799,7,Tangerine,G
39,1888,44.896077201278636,7,Tangerine,G
40,1889,47.52011064438744,7,Tangerine,G
41,1890,46.59183168422244,7,Tangerine,G
42,1891,49.52095603074644,7,Tangerine,G
43,1892,47.52882868352358,7,Tangerine,G
44,1893,43.79869332240096,7,Tangerine,G
45,1894,50.281246210225085,8,Mustard,H
46,1895,48.13260697516311,7,Tangerine,G
47,1896,47.71045321833691,7,Tangerine,G
48,1897,51.921808993020285,8,Mustard,H
49,1898,58.28238682274195,8,Mustard,H
50,1899,52.08306657966611,8,Mustard,H
51,1900,56.138339239614986,8,Mustard,H
52,1901,52.574848498805245,8,Mustard,H
53,1902,52.93316339134035,8,Mustard,H
54,1903,50.64493878335748,8,Mustard,H
55,1904,53.29864251228051,8,Mustard,H
56,1905,52.57000646936929,8,Mustard,H
57,1906,54.36394731635042,8,Mustard,H
58,1907,56.51729703109557,8,Mustard,H
59,1908,56.508859588764984,8,Mustard,H
60,1909,58.08432595656112,8,Mustard,H
61,1910,59.01127249460689,8,Mustard,H
62,1911,57.222291069319475,8,Mustard,H
63,1912,61.28017171463788,9,Mauve,I
64,1913,57.883012404694576,8,Mustard,H
65,1914,58.62530917648512,8,Mustard,H
66,1915,57.654903345812926,8,Mustard,H
67,1916,60.18930728181372,9,Mauve,I
