Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,9.166269860978128,2,PowderBlue,B
2,1851,9.27418156406366,2,PowderBlue,B
3,1852,9.438682197652954,2,PowderBlue,B
4,1853,9.740121325006514,2,PowderBlue,B
5,1854,9.893254010468732,2,PowderBlue,B
6,1855,10.030717819886592,3,CornflowerBlue,C
7,1856,9.993752331052425,2,PowderBlue,B
8,1857,9.974819184152304,2,PowderBlue,B
9,1858,10.667645129867996,3,CornflowerBlue,C
10,1859,10.930546881485096,3,CornflowerBlue,C
11,1860,10.839120458472763,3,CornflowerBlue,C
12,1861,11.019162787366223,3,CornflowerBlue,C
13,1862,11.078459069691613,3,CornflowerBlue,C
14,1863,10.856338578753205,3,CornflowerBlue,C
15,1864,11.177837692046644,3,CornflowerBlue,C
16,1865,11.406484622220917,3,CornflowerBlue,C
17,1866,11.52891496164032,3,CornflowerBlue,C
18,1867,11.698946794306742,3,CornflowerBlue,C
19,1868,12.072502134271488,3,CornflowerBlue,C
20,1869,12.157206448819368,3,CornflowerBlue,C
21,1870,12.239004949418202,3,CornflowerBlue,C
22,1871,12.28301705479035,3,CornflowerBlue,C
23,1872,12.618668634044713,3,CornflowerBlue,C
24,1873,12.910714264659383,3,CornflowerBlue,C
25,1874,12.809435957790859,3,CornflowerBlue,C
26,1875,13.09914943775911,3,CornflowerBlue,C
27,1876,12.64698847145173,3,CornflowerBlue,C
28,1877,13.06446372694942,3,CornflowerBlue,C
29,1878,13.168141597372026,3,CornflowerBlue,C
30,1879,13.265749385584156,3,CornflowerBlue,C
31,1880,13.93425950819617,3,CornflowerBlue,C
32,1881,14.047298044435324,3,CornflowerBlue,C
33,1882,14.592066936936515,3,CornflowerBlue,C
34,1883,14.04204212014697,3,CornflowerBlue,C
35,1884,14.148685612725924,3,CornflowerBlue,C
36,1885,15.029719327069108,4,LightYellow,D
37,1886,14.952097247618077,3,CornflowerBlue,C
38,1887,15.478196375689622,4,LightYellow,D
39,1888,16.671359151729487,4,LightYellow,D
40,1889,16.57440012272753,4,LightYellow,D
41,1890,16.487323742343943,4,LightYellow,D
42,1891,16.6554745245694,4,LightYellow,D
43,1892,16.856222127104797,4,LightYellow,D
44,1893,16.896348785175697,4,LightYellow,D
45,1894,17.0114183504339,4,LightYellow,D
46,1895,16.96578190329037,4,LightYellow,D
47,1896,17.313569799793868,4,LightYellow,D
48,1897,17.714888645806397,4,LightYellow,D
49,1898,18.50776549405192,4,LightYellow,D
50,1899,19.94653207010913,4,LightYellow,D
51,1900,20.57318136110836,5,Vanilla,E
52,1901,21.194780148285073,5,Vanilla,E
53,1902,21.6693919619342,5,Vanilla,E
54,1903,25.085458859120315,5,Vanilla,E
55,1904,23.34855841141188,5,Vanilla,E
56,1905,25.998580617523917,5,Vanilla,E
57,1906,26.837781607568733,5,Vanilla,E
58,1907,30.21022733988692,6,Dandelion,F
59,1908,27.578061473386065,5,Vanilla,E
60,1909,29.720906243174188,5,Vanilla,E
61,1910,31.443608410906688,6,Dandelion,F
62,1911,30.933474395828835,6,Dandelion,F
63,1912,31.27577845776734,6,Dandelion,F
64,1913,32.286099987056765,6,Dandelion,F
65,1914,30.697018228505247,6,Dandelion,F
66,1915,31.422289584974212,6,Dandelion,F
67,1916,32.66159272695972,6,Dandelion,F
68,1917,35.63936219192181,6,Dandelion,F
69,1918,34.99047293545436,6,Dandelion,F
70,1919,31.87392897453881,6,Dandelion,F
71,1920,34.66056166001989,6,Dandelion,F
72,1921,32.54135650015774,6,Dandelion,F
73,1922,31.391378213200586,6,Dandelion,F
74,1923,35.60690949484762,6,Dandelion,F
75,1924,32.3596437245597,6,Dandelion,F
76,1925,33.67038806517414,6,Dandelion,F
77,1926,35.27723846828825,6,Dandelion,F
78,1927,33.78247663713819,6,Dandelion,F
79,1928,33.53420469607286,6,Dandelion,F
80,1929,33.49823973872335,6,Dandelion,F
81,1930,31.6696937373631,6,Dandelion,F
82,1931,28.932171780039077,5,Vanilla,E
83,1932,25.345716720853215,5,Vanilla,E
84,1933,26.199871333325913,5,Vanilla,E
85,1934,27.382827196307062,5,Vanilla,E
86,1935,28.883372355085704,5,Vanilla,E
87,1936,28.955014419493963,5,Vanilla,E
88,1937,30.264382982960083,6,Dandelion,F
89,1938,27.76860029570305,5,Vanilla,E
90,1939,28.932480924649195,5,Vanilla,E
91,1940,30.952985512341474,6,Dandelion,F
92,1941,33.23044132593199,6,Dandelion,F
93,1942,34.078717360464594,6,Dandelion,F
94,1943,35.04662980246131,6,Dandelion,F
95,1944,35.174368351417904,6,Dandelion,F
96,1945,34.07711098119313,6,Dandelion,F
97,1946,32.89829995630284,6,Dandelion,F
98,1947,34.73474478225003,6,Dandelion,F
99,1948,34.703748715851695,6,Dandelion,F
100,1949,30.277785161981495,6,Dandelion,F
101,1950,32.37025214291439,6,Dandelion,F
102,1951,32.86246452262641,6,Dandelion,F
103,1952,32.303993049257485,6,Dandelion,F
104,1953,32.28646197758229,6,Dandelion,F
105,1954,29.76925197472001,5,Vanilla,E
106,1955,32.09094866204831,6,Dandelion,F
107,1956,32.12797923452464,6,Dandelion,F
108,1957,32.73160987756211,6,Dandelion,F
109,1958,30.723669344058685,6,Dandelion,F
110,1959,31.12753741917356,6,Dandelion,F
111,1960,30.073652204502253,6,Dandelion,F
112,1961,32.70237123072423,6,Dandelion,F
113,1962,32.859988486115014,6,Dandelion,F
114,1963,32.37125847545413,6,Dandelion,F
115,1964,31.245357072638868,6,Dandelion,F
116,1965,31.079428172861892,6,Dandelion,F
117,1966,31.626667453078113,6,Dandelion,F
118,1967,31.17426923384795,6,Dandelion,F
119,1968,29.692420779569503,5,Vanilla,E
120,1969,29.581490511523004,5,Vanilla,E
121,1970,29.04140458864122,5,Vanilla,E
122,1971,32.214959796314886,6,Dandelion,F
123,1972,32.8319155472788,6,Dandelion,F
124,1973,32.53725024400512,6,Dandelion,F
125,1974,31.386806091052666,6,Dandelion,F
126,1975,30.694286260464597,6,Dandelion,F
127,1976,32.26569628393455,6,Dandelion,F
128,1977,31.950399045915255,6,Dandelion,F
129,1978,30.970286753273314,6,Dandelion,F
130,1979,31.748289679948837,6,Dandelion,F
131,1980,29.90150581653378,5,Vanilla,E
132,1981,29.559449878856768,5,Vanilla,E
133,1982,30.350008465831877,6,Dandelion,F
134,1983,29.466939264583697,5,Vanilla,E
135,1984,29.54155635621351,5,Vanilla,E
136,1985,29.647288830142156,5,Vanilla,E
137,1986,28.218916206238973,5,Vanilla,E
138,1987,27.94542304824199,5,Vanilla,E
139,1988,28.72669023795037,5,Vanilla,E
140,1989,28.943911487250826,5,Vanilla,E
141,1990,28.119579954090476,5,Vanilla,E
142,1991,26.786091578263,5,Vanilla,E
143,1992,25.116186390996695,5,Vanilla,E
144,1993,24.342135220363684,5,Vanilla,E
145,1994,23.258971930715283,5,Vanilla,E
146,1995,23.342514958395967,5,Vanilla,E
147,1996,23.655219740990464,5,Vanilla,E
148,1997,23.327348421238053,5,Vanilla,E
149,1998,23.255278544625273,5,Vanilla,E
150,1999,24.807999452988213,5,Vanilla,E
151,2000,22.5401889036535,5,Vanilla,E
152,2001,23.608335494995117,5,Vanilla,E
153,2002,22.850000381469727,5,Vanilla,E
154,2003,21.091665267944336,5,Vanilla,E
155,2004,19.75,4,LightYellow,D
156,2005,19.5,4,LightYellow,D
157,2006,17.40833282470703,4,LightYellow,D
158,2007,18.299999237060547,4,LightYellow,D
159,2008,16.95833396911621,4,LightYellow,D
160,2009,16.25,4,LightYellow,D
161,2010,13.708332061767578,3,CornflowerBlue,C
162,2011,14.583333015441895,3,CornflowerBlue,C
163,2012,13.941665649414062,3,CornflowerBlue,C
164,2013,13.77500057220459,3,CornflowerBlue,C
165,2014,15.133334159851074,4,LightYellow,D
166,2015,13.333334922790527,3,CornflowerBlue,C
167,2016,13.0,3,CornflowerBlue,C
168,2017,13.866667747497559,3,CornflowerBlue,C
169,2018,14.125000953674316,3,CornflowerBlue,C
170,2019,12.0,3,CornflowerBlue,C
171,2020,14.566666603088379,3,CornflowerBlue,C
