Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,20.59079828451655,5,Vanilla,E
2,1851,19.850269733815576,4,LightYellow,D
3,1852,17.9520696644587,4,LightYellow,D
4,1853,17.79726473796963,4,LightYellow,D
5,1854,20.583720924568922,5,Vanilla,E
6,1855,19.616395330546226,4,LightYellow,D
7,1856,17.21348909811237,4,LightYellow,D
8,1857,18.195248867988205,4,LightYellow,D
9,1858,21.5710300761663,5,Vanilla,E
10,1859,18.291885704348427,4,LightYellow,D
11,1860,17.503864003262755,4,LightYellow,D
12,1861,19.33402038416642,4,LightYellow,D
13,1862,17.710090830235107,4,LightYellow,D
14,1863,17.313192865032068,4,LightYellow,D
15,1864,19.264741436678026,4,LightYellow,D
16,1865,17.025399715046422,4,LightYellow,D
17,1866,18.243840944921637,4,LightYellow,D
18,1867,20.65012005572059,5,Vanilla,E
19,1868,19.072703069614658,4,LightYellow,D
20,1869,17.33815885446616,4,LightYellow,D
21,1870,17.495687687578272,4,LightYellow,D
22,1871,17.74533272958595,4,LightYellow,D
23,1872,18.4450449656359,4,LightYellow,D
24,1873,19.640995912429165,4,LightYellow,D
25,1874,20.45173497547482,5,Vanilla,E
26,1875,18.929394711339906,4,LightYellow,D
27,1876,17.150613442134013,4,LightYellow,D
28,1877,19.12149353952506,4,LightYellow,D
29,1878,20.92871202725579,5,Vanilla,E
30,1879,18.715582810644108,4,LightYellow,D
31,1880,16.426230285389202,4,LightYellow,D
32,1881,19.948486594321288,4,LightYellow,D
33,1882,18.53070730878338,4,LightYellow,D
34,1883,17.843648801516977,4,LightYellow,D
35,1884,19.855111442518446,4,LightYellow,D
36,1885,20.588150989019624,5,Vanilla,E
37,1886,21.729346657201848,5,Vanilla,E
38,1887,20.788029094788232,5,Vanilla,E
39,1888,19.07792929592077,4,LightYellow,D
40,1889,18.97524586702699,4,LightYellow,D
41,1890,21.440653823070093,5,Vanilla,E
42,1891,20.329399310855383,5,Vanilla,E
43,1892,20.09966755585018,5,Vanilla,E
44,1893,18.08090593044031,4,LightYellow,D
45,1894,20.574868064458357,5,Vanilla,E
46,1895,21.42363953967555,5,Vanilla,E
47,1896,18.00176753484163,4,LightYellow,D
48,1897,19.045894476763678,4,LightYellow,D
49,1898,21.97245944357111,5,Vanilla,E
50,1899,17.106472449386498,4,LightYellow,D
51,1900,17.797031977208267,4,LightYellow,D
52,1901,17.679237558053078,4,LightYellow,D
53,1902,18.834946242939417,4,LightYellow,D
54,1903,19.298418991441668,4,LightYellow,D
55,1904,20.06536154122632,5,Vanilla,E
56,1905,19.309737675721493,4,LightYellow,D
57,1906,19.727294787210646,4,LightYellow,D
58,1907,18.455781270701152,4,LightYellow,D
59,1908,19.785793974517222,4,LightYellow,D
60,1909,19.84644135728039,4,LightYellow,D
61,1910,20.093336599162228,5,Vanilla,E
62,1911,20.258138390529325,5,Vanilla,E
63,1912,18.828796666080287,4,LightYellow,D
64,1913,20.016798857446645,5,Vanilla,E
65,1914,21.34569184412036,5,Vanilla,E
66,1915,18.301528298145094,4,LightYellow,D
67,1916,16.875585040892034,4,LightYellow,D
68,1917,18.855390352889376,4,LightYellow,D
69,1918,22.928921836580344,5,Vanilla,E
70,1919,18.44688659268992,4,LightYellow,D
71,1920,19.02701888017407,4,LightYellow,D
72,1921,20.208591070130343,5,Vanilla,E
73,1922,17.964691152441844,4,LightYellow,D
74,1923,21.46817961994607,5,Vanilla,E
75,1924,17.29620006419092,4,LightYellow,D
76,1925,18.99671417365448,4,LightYellow,D
77,1926,19.524859803158833,4,LightYellow,D
78,1927,22.34467243104857,5,Vanilla,E
79,1928,16.50731574800214,4,LightYellow,D
80,1929,20.50122305225778,5,Vanilla,E
81,1930,21.42386740799185,5,Vanilla,E
82,1931,17.313817570403394,4,LightYellow,D
83,1932,20.068459486241707,5,Vanilla,E
84,1933,19.842732162021246,4,LightYellow,D
85,1934,20.512285841965973,5,Vanilla,E
86,1935,19.701003600792696,4,LightYellow,D
87,1936,19.394975510007175,4,LightYellow,D
88,1937,21.0510018471248,5,Vanilla,E
89,1938,20.78081888550558,5,Vanilla,E
90,1939,24.276589221993202,5,Vanilla,E
91,1940,21.60398539362129,5,Vanilla,E
92,1941,19.866410530357467,4,LightYellow,D
93,1942,18.57089430084516,4,LightYellow,D
94,1943,19.54516835992478,4,LightYellow,D
95,1944,18.971531895602535,4,LightYellow,D
96,1945,20.99695150789156,5,Vanilla,E
97,1946,19.96084467953293,4,LightYellow,D
98,1947,17.469568139433715,4,LightYellow,D
99,1948,21.012354384264214,5,Vanilla,E
100,1949,17.960513277075858,4,LightYellow,D
101,1950,21.5248457271036,5,Vanilla,E
102,1951,19.92490551035384,4,LightYellow,D
103,1952,20.51165956637544,5,Vanilla,E
104,1953,20.753721462723217,5,Vanilla,E
105,1954,19.577151568104583,4,LightYellow,D
106,1955,22.433623065567787,5,Vanilla,E
107,1956,20.955568491946114,5,Vanilla,E
108,1957,24.66630692656239,5,Vanilla,E
109,1958,22.142706807980716,5,Vanilla,E
110,1959,20.39826276455093,5,Vanilla,E
111,1960,20.924737327122724,5,Vanilla,E
112,1961,18.991163510646928,4,LightYellow,D
113,1962,20.904275154879674,5,Vanilla,E
114,1963,21.249107458225247,5,Vanilla,E
115,1964,19.214973894080927,4,LightYellow,D
116,1965,20.638296826848713,5,Vanilla,E
117,1966,19.952532916865053,4,LightYellow,D
118,1967,23.686857470001446,5,Vanilla,E
119,1968,22.201216983334824,5,Vanilla,E
120,1969,23.533061760623504,5,Vanilla,E
121,1970,19.40893103324884,4,LightYellow,D
122,1971,21.204636722062816,5,Vanilla,E
123,1972,21.32825085372014,5,Vanilla,E
124,1973,22.617694252482387,5,Vanilla,E
125,1974,22.383648945685874,5,Vanilla,E
126,1975,20.849930931765318,5,Vanilla,E
127,1976,21.375131295248387,5,Vanilla,E
128,1977,24.50034016085565,5,Vanilla,E
129,1978,23.66848763577258,5,Vanilla,E
130,1979,20.989145354609985,5,Vanilla,E
131,1980,22.070541317119357,5,Vanilla,E
132,1981,21.10789009376441,5,Vanilla,E
133,1982,20.20197094375901,5,Vanilla,E
134,1983,17.641665936844362,4,LightYellow,D
135,1984,23.213620299345862,5,Vanilla,E
136,1985,19.16400596045675,4,LightYellow,D
137,1986,20.42014177401375,5,Vanilla,E
138,1987,17.98181856902875,4,LightYellow,D
139,1988,24.151867964141957,5,Vanilla,E
140,1989,20.123996466146743,5,Vanilla,E
141,1990,19.421247798875637,4,LightYellow,D
142,1991,21.531620895401094,5,Vanilla,E
143,1992,20.52398928764434,5,Vanilla,E
144,1993,19.54433657685877,4,LightYellow,D
145,1994,20.628039317468392,5,Vanilla,E
146,1995,19.803997559386442,4,LightYellow,D
147,1996,19.26636932306115,4,LightYellow,D
148,1997,16.421834864092283,4,LightYellow,D
149,1998,24.221442568338276,5,Vanilla,E
150,1999,18.997707051638375,4,LightYellow,D
151,2000,17.69746759973383,4,LightYellow,D
152,2001,23.166664123535156,5,Vanilla,E
153,2002,18.60833168029785,4,LightYellow,D
154,2003,16.283334732055664,4,LightYellow,D
155,2004,17.75,4,LightYellow,D
156,2005,20.266664505004883,5,Vanilla,E
157,2006,15.383334159851074,4,LightYellow,D
158,2007,20.808332443237305,5,Vanilla,E
159,2008,21.991666793823242,5,Vanilla,E
160,2009,19.024999618530273,4,LightYellow,D
161,2010,23.258333206176758,5,Vanilla,E
162,2011,20.399999618530273,5,Vanilla,E
163,2012,21.299999237060547,5,Vanilla,E
164,2013,23.791664123535156,5,Vanilla,E
165,2014,19.991666793823242,4,LightYellow,D
166,2015,22.42500114440918,5,Vanilla,E
167,2016,22.25,5,Vanilla,E
168,2017,18.858333587646484,4,LightYellow,D
169,2018,20.491666793823242,5,Vanilla,E
170,2019,23.033334732055664,5,Vanilla,E
171,2020,20.941667556762695,5,Vanilla,E
172,2021,19.033334732055664,4,LightYellow,D
173,2022,23.5,5,Vanilla,E
