Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,16.480067127061893,4,LightYellow,D
2,1851,14.194302609637932,3,CornflowerBlue,C
3,1852,15.240134142614618,4,LightYellow,D
4,1853,14.945014259432646,3,CornflowerBlue,C
5,1854,15.554429035343048,4,LightYellow,D
6,1855,16.623266267118392,4,LightYellow,D
7,1856,14.105991785730195,3,CornflowerBlue,C
8,1857,15.859814506917445,4,LightYellow,D
9,1858,16.661165885781017,4,LightYellow,D
10,1859,13.801744044428071,3,CornflowerBlue,C
11,1860,14.838528983360403,3,CornflowerBlue,C
12,1861,14.93086507346059,3,CornflowerBlue,C
13,1862,14.50026773310048,3,CornflowerBlue,C
14,1863,14.248603051636744,3,CornflowerBlue,C
15,1864,15.45846697522485,4,LightYellow,D
16,1865,14.960498807712296,3,CornflowerBlue,C
17,1866,15.535531723329088,4,LightYellow,D
18,1867,14.368300663343032,3,CornflowerBlue,C
19,1868,16.381748391975563,4,LightYellow,D
20,1869,16.735714179690568,4,LightYellow,D
21,1870,15.43858658460521,4,LightYellow,D
22,1871,15.490592229004601,4,LightYellow,D
23,1872,14.26152920440883,3,CornflowerBlue,C
24,1873,15.708468589913307,4,LightYellow,D
25,1874,16.2795855524431,4,LightYellow,D
26,1875,15.70330640695687,4,LightYellow,D
27,1876,14.6080333496923,3,CornflowerBlue,C
28,1877,15.419432375400508,4,LightYellow,D
29,1878,16.61994938484077,4,LightYellow,D
30,1879,15.54836243677103,4,LightYellow,D
31,1880,14.923492616758184,3,CornflowerBlue,C
32,1881,15.48860435303164,4,LightYellow,D
33,1882,14.175241050322844,3,CornflowerBlue,C
34,1883,15.481192363315811,4,LightYellow,D
35,1884,14.991536621290816,3,CornflowerBlue,C
36,1885,15.595173447165063,4,LightYellow,D
37,1886,15.619678279213032,4,LightYellow,D
38,1887,16.050835705075244,4,LightYellow,D
39,1888,15.864877323968607,4,LightYellow,D
40,1889,15.814678278408845,4,LightYellow,D
41,1890,15.421324280532378,4,LightYellow,D
42,1891,15.948470936319124,4,LightYellow,D
43,1892,16.400070137194582,4,LightYellow,D
44,1893,14.703626470358058,3,CornflowerBlue,C
45,1894,16.69468370530061,4,LightYellow,D
46,1895,17.040223356939194,4,LightYellow,D
47,1896,14.005860446566453,3,CornflowerBlue,C
48,1897,16.082004430280172,4,LightYellow,D
49,1898,17.189091385061115,4,LightYellow,D
50,1899,15.77739859221737,4,LightYellow,D
51,1900,16.007813977516832,4,LightYellow,D
52,1901,15.97028797236571,4,LightYellow,D
53,1902,15.362278083872122,4,LightYellow,D
54,1903,15.701532108706045,4,LightYellow,D
55,1904,15.206062275615258,4,LightYellow,D
56,1905,15.59446044430495,4,LightYellow,D
57,1906,16.006792994772443,4,LightYellow,D
58,1907,15.553041245114445,4,LightYellow,D
59,1908,16.54192847131789,4,LightYellow,D
60,1909,16.148711027051494,4,LightYellow,D
61,1910,16.581656174977258,4,LightYellow,D
62,1911,15.625421395173085,4,LightYellow,D
63,1912,16.01734841614126,4,LightYellow,D
64,1913,16.780193346348387,4,LightYellow,D
65,1914,16.861453140862917,4,LightYellow,D
66,1915,16.267042726926924,4,LightYellow,D
67,1916,15.64297003976281,4,LightYellow,D
68,1917,16.385701736634953,4,LightYellow,D
69,1918,17.225629740154904,4,LightYellow,D
70,1919,16.857910650726794,4,LightYellow,D
71,1920,15.591852097462175,4,LightYellow,D
72,1921,17.471337671522033,4,LightYellow,D
73,1922,15.753010457130054,4,LightYellow,D
74,1923,17.02315589447385,4,LightYellow,D
75,1924,15.927378310901474,4,LightYellow,D
76,1925,15.555845163525422,4,LightYellow,D
77,1926,16.73564842312442,4,LightYellow,D
78,1927,16.58875632391598,4,LightYellow,D
79,1928,15.552057988955914,4,LightYellow,D
80,1929,14.897315552657982,3,CornflowerBlue,C
81,1930,16.50974982540514,4,LightYellow,D
82,1931,15.353559849766237,4,LightYellow,D
83,1932,16.314891056886506,4,LightYellow,D
84,1933,14.365852300758364,3,CornflowerBlue,C
85,1934,16.926258400884922,4,LightYellow,D
86,1935,17.071772550524262,4,LightYellow,D
87,1936,17.174529623828438,4,LightYellow,D
88,1937,16.85225056822143,4,LightYellow,D
89,1938,17.95335470278893,4,LightYellow,D
90,1939,16.99292008859769,4,LightYellow,D
91,1940,18.56737122542716,4,LightYellow,D
92,1941,17.194552896207277,4,LightYellow,D
93,1942,18.230890876841876,4,LightYellow,D
94,1943,16.986025385339694,4,LightYellow,D
95,1944,16.488286685112964,4,LightYellow,D
96,1945,18.11273396630239,4,LightYellow,D
97,1946,15.542896840422378,4,LightYellow,D
98,1947,16.826013746098315,4,LightYellow,D
99,1948,17.597758452636416,4,LightYellow,D
100,1949,16.67884503201335,4,LightYellow,D
101,1950,18.616925877969816,4,LightYellow,D
102,1951,17.13623857101828,4,LightYellow,D
103,1952,16.422240807063847,4,LightYellow,D
104,1953,18.77522429287057,4,LightYellow,D
105,1954,17.551895566420995,4,LightYellow,D
106,1955,19.2075038693491,4,LightYellow,D
107,1956,20.570775904174894,5,Vanilla,E
108,1957,20.23901039312883,5,Vanilla,E
109,1958,19.02864210735145,4,LightYellow,D
110,1959,18.504887623149568,4,LightYellow,D
111,1960,17.256433243336936,4,LightYellow,D
112,1961,18.078725176799242,4,LightYellow,D
113,1962,19.115823365637848,4,LightYellow,D
114,1963,20.543346314055825,5,Vanilla,E
115,1964,17.67774489231385,4,LightYellow,D
