Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,14.609617741222209,3,CornflowerBlue,C
2,1851,15.12783947382274,4,LightYellow,D
3,1852,14.845613902160327,3,CornflowerBlue,C
4,1853,15.370697435030294,4,LightYellow,D
5,1854,16.544099878223687,4,LightYellow,D
6,1855,16.54837620264725,4,LightYellow,D
7,1856,16.58840403233834,4,LightYellow,D
8,1857,17.557916270070375,4,LightYellow,D
9,1858,16.210384712964586,4,LightYellow,D
10,1859,16.08931008504035,4,LightYellow,D
11,1860,17.152777550040955,4,LightYellow,D
12,1861,18.701012038683594,4,LightYellow,D
13,1862,18.155163775736256,4,LightYellow,D
14,1863,17.87924799540722,4,LightYellow,D
15,1864,18.897877398808514,4,LightYellow,D
16,1865,18.260525660957875,4,LightYellow,D
17,1866,18.550115044158996,4,LightYellow,D
18,1867,18.6544501975163,4,LightYellow,D
19,1868,19.618055100214576,4,LightYellow,D
20,1869,18.947763939293026,4,LightYellow,D
21,1870,19.368288285482723,4,LightYellow,D
22,1871,19.075571133172446,4,LightYellow,D
23,1872,19.02395640493787,4,LightYellow,D
24,1873,19.161565018149965,4,LightYellow,D
25,1874,20.574296504329585,5,Vanilla,E
26,1875,19.710979791202508,4,LightYellow,D
27,1876,19.873305965574747,4,LightYellow,D
28,1877,21.44089303339676,5,Vanilla,E
29,1878,19.85833891140715,4,LightYellow,D
30,1879,19.898151287037606,4,LightYellow,D
31,1880,21.660923875966546,5,Vanilla,E
32,1881,21.607463242153315,5,Vanilla,E
33,1882,23.01806575234113,5,Vanilla,E
34,1883,21.897983236381155,5,Vanilla,E
35,1884,21.270558102885616,5,Vanilla,E
36,1885,23.131468734867603,5,Vanilla,E
37,1886,22.217283872202994,5,Vanilla,E
38,1887,20.395017444196892,5,Vanilla,E
39,1888,21.575797189970192,5,Vanilla,E
40,1889,23.249596162555385,5,Vanilla,E
41,1890,23.611061965927192,5,Vanilla,E
42,1891,24.147349424169455,5,Vanilla,E
43,1892,23.93463690992658,5,Vanilla,E
44,1893,22.42972467292845,5,Vanilla,E
45,1894,24.581294390829978,5,Vanilla,E
46,1895,24.720427510566658,5,Vanilla,E
47,1896,23.31138457051351,5,Vanilla,E
48,1897,26.559416042125402,5,Vanilla,E
49,1898,27.594643454330694,5,Vanilla,E
50,1899,25.941650537497,5,Vanilla,E
51,1900,28.981463484382246,5,Vanilla,E
52,1901,26.617915977638688,5,Vanilla,E
53,1902,27.065751000046895,5,Vanilla,E
54,1903,26.892255522409766,5,Vanilla,E
55,1904,28.545896436994834,5,Vanilla,E
56,1905,29.893351946867714,5,Vanilla,E
57,1906,28.954637138543777,5,Vanilla,E
58,1907,30.935911531450294,6,Dandelion,F
59,1908,32.145840483432366,6,Dandelion,F
60,1909,30.806902598632643,6,Dandelion,F
61,1910,32.99413418404954,6,Dandelion,F
62,1911,30.374611412872152,6,Dandelion,F
63,1912,34.12296258508039,6,Dandelion,F
64,1913,31.861822844324948,6,Dandelion,F
65,1914,28.65167777282029,5,Vanilla,E
66,1915,26.83897906387418,5,Vanilla,E
67,1916,28.52799554726783,5,Vanilla,E
68,1917,28.707345485215786,5,Vanilla,E
69,1918,26.18702903533773,5,Vanilla,E
70,1919,26.4750861497519,5,Vanilla,E
71,1920,27.12978863975962,5,Vanilla,E
72,1921,25.946194194238412,5,Vanilla,E
73,1922,28.272344660757675,5,Vanilla,E
74,1923,27.04208492712971,5,Vanilla,E
75,1924,30.860328116058056,6,Dandelion,F
76,1925,29.960115729621275,5,Vanilla,E
77,1926,28.615913794561337,5,Vanilla,E
78,1927,30.523194227790057,6,Dandelion,F
79,1928,31.152648009260425,6,Dandelion,F
80,1929,32.49486397411484,6,Dandelion,F
81,1930,32.88910613153034,6,Dandelion,F
82,1931,30.748166662054825,6,Dandelion,F
83,1932,26.48032627765041,5,Vanilla,E
84,1933,27.46485292538362,5,Vanilla,E
85,1934,31.440100875676006,6,Dandelion,F
86,1935,31.13292893575406,6,Dandelion,F
87,1936,30.501754833120536,6,Dandelion,F
88,1937,32.26720018365401,6,Dandelion,F
89,1938,34.41303538099547,6,Dandelion,F
90,1939,34.3717805435434,6,Dandelion,F
91,1940,33.216351530612954,6,Dandelion,F
92,1941,28.594587103521587,5,Vanilla,E
93,1942,29.330143967769278,5,Vanilla,E
94,1943,30.815815037601872,6,Dandelion,F
95,1944,26.424811584413604,5,Vanilla,E
96,1945,18.763714415944058,4,LightYellow,D
97,1946,23.595435054192777,5,Vanilla,E
98,1947,27.111403604086153,5,Vanilla,E
99,1948,27.412245900528937,5,Vanilla,E
100,1949,29.65592715686481,5,Vanilla,E
101,1950,31.92209271675679,6,Dandelion,F
102,1951,33.91891166861499,6,Dandelion,F
103,1952,34.03728233673538,6,Dandelion,F
104,1953,30.99792345686679,6,Dandelion,F
105,1954,34.72293042973714,6,Dandelion,F
106,1955,34.9105687018116,6,Dandelion,F
107,1956,35.2560186218788,6,Dandelion,F
108,1957,38.09582533963795,6,Dandelion,F
109,1958,33.52839411828684,6,Dandelion,F
110,1959,34.16352210226901,6,Dandelion,F
111,1960,37.91831973249893,6,Dandelion,F
112,1961,39.989178436773756,6,Dandelion,F
113,1962,42.133707818605046,7,Tangerine,G
114,1963,39.9974077473611,6,Dandelion,F
115,1964,39.8978290288653,6,Dandelion,F
116,1965,43.30449607208997,7,Tangerine,G
117,1966,37.781087010430994,6,Dandelion,F
118,1967,38.06552819880304,6,Dandelion,F
119,1968,37.34483984080589,6,Dandelion,F
120,1969,38.02632287100216,6,Dandelion,F
121,1970,36.510028075170474,6,Dandelion,F
122,1971,36.08225464006137,6,Dandelion,F
123,1972,35.649900896322414,6,Dandelion,F
124,1973,33.871452997763164,6,Dandelion,F
125,1974,38.440947061980204,6,Dandelion,F
126,1975,30.644623545256415,6,Dandelion,F
127,1976,31.811764058024977,6,Dandelion,F
128,1977,34.30338285125107,6,Dandelion,F
129,1978,34.70720196598064,6,Dandelion,F
130,1979,34.40111412201975,6,Dandelion,F
131,1980,34.612077539011736,6,Dandelion,F
132,1981,33.06439325022669,6,Dandelion,F
133,1982,29.699702144008462,5,Vanilla,E
134,1983,30.81483189621432,6,Dandelion,F
135,1984,28.024213577405966,5,Vanilla,E
136,1985,29.62122947841709,5,Vanilla,E
137,1986,28.008557834217676,5,Vanilla,E
138,1987,28.164331744857755,5,Vanilla,E
139,1988,27.203416728973192,5,Vanilla,E
140,1989,28.027453584884938,5,Vanilla,E
141,1990,27.235397974181176,5,Vanilla,E
142,1991,24.976327329015295,5,Vanilla,E
143,1992,24.151122422978023,5,Vanilla,E
144,1993,21.97009170031886,5,Vanilla,E
145,1994,20.951161039042127,5,Vanilla,E
146,1995,19.194337246202952,4,LightYellow,D
147,1996,18.319354739425975,4,LightYellow,D
148,1997,18.99453536549126,4,LightYellow,D
149,1998,16.7660572112799,4,LightYellow,D
150,1999,14.875289970997349,3,CornflowerBlue,C
151,2000,15.37176787999852,4,LightYellow,D
152,2001,14.466667175292969,3,CornflowerBlue,C
153,2002,14.650001525878906,3,CornflowerBlue,C
154,2003,16.28333282470703,4,LightYellow,D
155,2004,15.38333511352539,4,LightYellow,D
156,2005,14.908332824707031,3,CornflowerBlue,C
157,2006,15.441665649414062,4,LightYellow,D
158,2007,14.84999942779541,3,CornflowerBlue,C
159,2008,15.816666603088379,4,LightYellow,D
160,2009,16.65833282470703,4,LightYellow,D
161,2010,16.283334732055664,4,LightYellow,D
162,2011,15.691666603088379,4,LightYellow,D
163,2012,13.449999809265137,3,CornflowerBlue,C
164,2013,14.758334159851074,3,CornflowerBlue,C
165,2014,12.208333015441895,3,CornflowerBlue,C
166,2015,12.358333587646484,3,CornflowerBlue,C
167,2016,11.533332824707031,3,CornflowerBlue,C
168,2017,11.083333015441895,3,CornflowerBlue,C
169,2018,11.266667366027832,3,CornflowerBlue,C
