Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,20.5406646448572,5,Vanilla,E
2,1851,22.78531550222168,5,Vanilla,E
3,1852,21.269480934402033,5,Vanilla,E
4,1853,22.687802956639512,5,Vanilla,E
5,1854,23.64121829057424,5,Vanilla,E
6,1855,23.78802487574781,5,Vanilla,E
7,1856,23.31546592738558,5,Vanilla,E
8,1857,25.32233281775254,5,Vanilla,E
9,1858,23.474814549025485,5,Vanilla,E
10,1859,23.125453448980764,5,Vanilla,E
11,1860,23.852272653767418,5,Vanilla,E
12,1861,24.64190014099226,5,Vanilla,E
13,1862,24.757296706346835,5,Vanilla,E
14,1863,23.961570036128297,5,Vanilla,E
15,1864,26.252190238124133,5,Vanilla,E
16,1865,25.443959378791995,5,Vanilla,E
17,1866,26.738424373819804,5,Vanilla,E
18,1867,25.974662490529663,5,Vanilla,E
19,1868,26.48402392481503,5,Vanilla,E
20,1869,25.787272515699904,5,Vanilla,E
21,1870,25.49971181956409,5,Vanilla,E
22,1871,25.532761976319104,5,Vanilla,E
23,1872,26.295620468758926,5,Vanilla,E
24,1873,26.132401537657483,5,Vanilla,E
25,1874,26.392221093152337,5,Vanilla,E
26,1875,26.890507116994897,5,Vanilla,E
27,1876,25.793601066924136,5,Vanilla,E
28,1877,26.193253909939834,5,Vanilla,E
29,1878,25.866179417342458,5,Vanilla,E
30,1879,26.494181817619594,5,Vanilla,E
31,1880,27.2672076255154,5,Vanilla,E
32,1881,28.14698696778971,5,Vanilla,E
33,1882,28.857868931295286,5,Vanilla,E
34,1883,27.630495510814576,5,Vanilla,E
35,1884,28.349385838858478,5,Vanilla,E
36,1885,28.92931104434823,5,Vanilla,E
37,1886,27.623827538638718,5,Vanilla,E
38,1887,26.292326116609733,5,Vanilla,E
39,1888,26.666425971311604,5,Vanilla,E
40,1889,29.43431648146644,5,Vanilla,E
41,1890,29.155993028842285,5,Vanilla,E
42,1891,28.12055459740726,5,Vanilla,E
43,1892,28.50053674570532,5,Vanilla,E
44,1893,27.723922952950304,5,Vanilla,E
45,1894,28.98931153276165,5,Vanilla,E
46,1895,29.132530225396284,5,Vanilla,E
47,1896,28.756042292239638,5,Vanilla,E
48,1897,30.18082445043298,6,Dandelion,F
49,1898,29.719601988052716,5,Vanilla,E
50,1899,29.312853935123183,5,Vanilla,E
51,1900,30.868432549944412,6,Dandelion,F
52,1901,30.827055290595098,6,Dandelion,F
53,1902,31.447866367575994,6,Dandelion,F
54,1903,32.9938024690674,6,Dandelion,F
55,1904,30.994236667553054,6,Dandelion,F
56,1905,32.787973435460195,6,Dandelion,F
57,1906,32.44586638051825,6,Dandelion,F
58,1907,33.08677908387837,6,Dandelion,F
59,1908,34.32868911866429,6,Dandelion,F
60,1909,35.2969744347765,6,Dandelion,F
61,1910,37.05151061137276,6,Dandelion,F
62,1911,35.82387933779556,6,Dandelion,F
63,1912,36.378980823429785,6,Dandelion,F
64,1913,36.60851585161951,6,Dandelion,F
65,1914,30.318115333786217,6,Dandelion,F
66,1915,28.901782125041393,5,Vanilla,E
67,1916,29.240447504473984,5,Vanilla,E
68,1917,29.64786834893079,5,Vanilla,E
69,1918,27.49868705206635,5,Vanilla,E
70,1919,28.13703383796559,5,Vanilla,E
71,1920,30.448032515129917,6,Dandelion,F
72,1921,29.861440947683327,5,Vanilla,E
73,1922,33.30657727634606,6,Dandelion,F
