Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,13.879518820708675,3,CornflowerBlue,C
2,1851,12.743064786055323,3,CornflowerBlue,C
3,1852,12.21883691075058,3,CornflowerBlue,C
4,1853,13.341837015049942,3,CornflowerBlue,C
5,1854,13.400264200777455,3,CornflowerBlue,C
6,1855,12.652973080573323,3,CornflowerBlue,C
7,1856,13.642868437975242,3,CornflowerBlue,C
8,1857,12.607523012121977,3,CornflowerBlue,C
9,1858,12.775066809866278,3,CornflowerBlue,C
10,1859,13.683924679894176,3,CornflowerBlue,C
11,1860,14.29901737226137,3,CornflowerBlue,C
12,1861,13.111450232103737,3,CornflowerBlue,C
13,1862,12.725345728214936,3,CornflowerBlue,C
14,1863,13.426024137224237,3,CornflowerBlue,C
15,1864,12.556727680710187,3,CornflowerBlue,C
16,1865,12.941809420424718,3,CornflowerBlue,C
17,1866,13.798213405149575,3,CornflowerBlue,C
18,1867,12.978424489213817,3,CornflowerBlue,C
19,1868,13.994344517690095,3,CornflowerBlue,C
20,1869,13.11277379082815,3,CornflowerBlue,C
21,1870,13.874082947316186,3,CornflowerBlue,C
22,1871,13.490913376245748,3,CornflowerBlue,C
23,1872,12.46030956380822,3,CornflowerBlue,C
24,1873,13.538677464525287,3,CornflowerBlue,C
25,1874,13.836919825899907,3,CornflowerBlue,C
26,1875,12.982649786079678,3,CornflowerBlue,C
27,1876,13.46878201237809,3,CornflowerBlue,C
28,1877,13.208832184012723,3,CornflowerBlue,C
29,1878,13.549128932657103,3,CornflowerBlue,C
30,1879,13.510506068772226,3,CornflowerBlue,C
31,1880,13.120379833062486,3,CornflowerBlue,C
32,1881,13.27161593361863,3,CornflowerBlue,C
33,1882,12.68806332731457,3,CornflowerBlue,C
34,1883,13.166329993894893,3,CornflowerBlue,C
35,1884,14.09026079794738,3,CornflowerBlue,C
36,1885,13.92610219098175,3,CornflowerBlue,C
37,1886,13.68620716134726,3,CornflowerBlue,C
38,1887,13.05476294529496,3,CornflowerBlue,C
39,1888,13.573692268902962,3,CornflowerBlue,C
40,1889,12.822476995490142,3,CornflowerBlue,C
41,1890,13.381128816442803,3,CornflowerBlue,C
42,1891,13.014024405690709,3,CornflowerBlue,C
43,1892,12.992359668970316,3,CornflowerBlue,C
44,1893,13.813017863566944,3,CornflowerBlue,C
45,1894,13.251514063406223,3,CornflowerBlue,C
46,1895,13.34817372170191,3,CornflowerBlue,C
47,1896,12.935554530214041,3,CornflowerBlue,C
48,1897,14.036362722697433,3,CornflowerBlue,C
49,1898,13.4946568839518,3,CornflowerBlue,C
50,1899,13.41315887733002,3,CornflowerBlue,C
51,1900,12.591725559736888,3,CornflowerBlue,C
52,1901,13.003057480758176,3,CornflowerBlue,C
53,1902,13.881532093232645,3,CornflowerBlue,C
54,1903,13.519742743945667,3,CornflowerBlue,C
55,1904,13.578578391429769,3,CornflowerBlue,C
56,1905,13.505348044425993,3,CornflowerBlue,C
57,1906,14.186210728262274,3,CornflowerBlue,C
58,1907,13.593524637573049,3,CornflowerBlue,C
59,1908,13.148787463465844,3,CornflowerBlue,C
60,1909,13.172421741143852,3,CornflowerBlue,C
61,1910,13.542494079794135,3,CornflowerBlue,C
62,1911,13.503691208481099,3,CornflowerBlue,C
63,1912,13.101849181705683,3,CornflowerBlue,C
64,1913,13.50790146692813,3,CornflowerBlue,C
65,1914,13.618723560048789,3,CornflowerBlue,C
66,1915,13.846402557469728,3,CornflowerBlue,C
67,1916,13.99806245983596,3,CornflowerBlue,C
68,1917,14.011298120988592,3,CornflowerBlue,C
69,1918,13.928523511654198,3,CornflowerBlue,C
70,1919,15.0689743278035,4,LightYellow,D
71,1920,14.105286858986467,3,CornflowerBlue,C
72,1921,13.451719535120125,3,CornflowerBlue,C
73,1922,14.243285624283677,3,CornflowerBlue,C
74,1923,14.086321047685235,3,CornflowerBlue,C
75,1924,14.007001520869952,3,CornflowerBlue,C
76,1925,14.612616628123018,3,CornflowerBlue,C
77,1926,14.850238585269786,3,CornflowerBlue,C
78,1927,13.869233013344745,3,CornflowerBlue,C
79,1928,13.85266276622671,3,CornflowerBlue,C
80,1929,14.399139473535026,3,CornflowerBlue,C
81,1930,15.545122962564994,4,LightYellow,D
82,1931,13.854843240201005,3,CornflowerBlue,C
83,1932,14.758924476291797,3,CornflowerBlue,C
84,1933,14.181035632530792,3,CornflowerBlue,C
85,1934,15.460838327765751,4,LightYellow,D
86,1935,14.759334004838054,3,CornflowerBlue,C
87,1936,14.869085155091645,3,CornflowerBlue,C
88,1937,14.545357433694921,3,CornflowerBlue,C
89,1938,15.239515575011595,4,LightYellow,D
90,1939,14.641488671635368,3,CornflowerBlue,C
91,1940,14.307447056666199,3,CornflowerBlue,C
92,1941,15.320924831961532,4,LightYellow,D
93,1942,14.483039500212733,3,CornflowerBlue,C
94,1943,13.82357435834048,3,CornflowerBlue,C
95,1944,16.289217775061395,4,LightYellow,D
96,1945,15.582067320660897,4,LightYellow,D
97,1946,14.389923762373467,3,CornflowerBlue,C
98,1947,14.423243792567263,3,CornflowerBlue,C
99,1948,15.398725154850315,4,LightYellow,D
100,1949,14.250998243973847,3,CornflowerBlue,C
101,1950,15.76905742921633,4,LightYellow,D
102,1951,15.037365060571103,4,LightYellow,D
103,1952,16.362017535378474,4,LightYellow,D
104,1953,14.339997164303654,3,CornflowerBlue,C
105,1954,16.83758203185102,4,LightYellow,D
106,1955,15.52557932254542,4,LightYellow,D
107,1956,14.300645164643537,3,CornflowerBlue,C
108,1957,15.687516538668378,4,LightYellow,D
109,1958,15.98452260153278,4,LightYellow,D
110,1959,15.404830093105875,4,LightYellow,D
111,1960,15.383816184958308,4,LightYellow,D
112,1961,16.306855164835863,4,LightYellow,D
113,1962,15.574287603181908,4,LightYellow,D
114,1963,16.6933465958396,4,LightYellow,D
115,1964,17.353159495636827,4,LightYellow,D
116,1965,16.154051185705963,4,LightYellow,D
117,1966,17.640901486219292,4,LightYellow,D
118,1967,16.183187726369514,4,LightYellow,D
119,1968,16.364759458307365,4,LightYellow,D
120,1969,17.174564233060476,4,LightYellow,D
121,1970,16.969599447775575,4,LightYellow,D
122,1971,16.596780232507196,4,LightYellow,D
123,1972,17.28734521954704,4,LightYellow,D
124,1973,17.37953723900908,4,LightYellow,D
125,1974,18.10817693257695,4,LightYellow,D
126,1975,16.37514671615626,4,LightYellow,D
127,1976,17.898582990973686,4,LightYellow,D
128,1977,17.7169646474722,4,LightYellow,D
129,1978,17.796019366391185,4,LightYellow,D
130,1979,16.884816009959774,4,LightYellow,D
131,1980,18.46600989029527,4,LightYellow,D
132,1981,17.128499184621223,4,LightYellow,D
133,1982,17.731983712748235,4,LightYellow,D
134,1983,17.590355309770228,4,LightYellow,D
135,1984,18.17708103447195,4,LightYellow,D
136,1985,17.492273116678405,4,LightYellow,D
137,1986,18.884617126317604,4,LightYellow,D
138,1987,17.57016691980989,4,LightYellow,D
139,1988,17.510077815266484,4,LightYellow,D
140,1989,19.05274971904123,4,LightYellow,D
141,1990,19.915161903108036,4,LightYellow,D
142,1991,17.927492339543416,4,LightYellow,D
143,1992,18.40877882068097,4,LightYellow,D
144,1993,19.17282523123083,4,LightYellow,D
145,1994,19.208951612997893,4,LightYellow,D
146,1995,18.06897498730712,4,LightYellow,D
147,1996,18.94741479141142,4,LightYellow,D
148,1997,18.354172306100402,4,LightYellow,D
149,1998,25.958531198356813,5,Vanilla,E
150,1999,18.0636398722848,4,LightYellow,D
151,2000,18.965689477182863,4,LightYellow,D
152,2001,20.866666793823242,5,Vanilla,E
153,2002,18.783334732055664,4,LightYellow,D
154,2003,20.691665649414062,5,Vanilla,E
155,2004,18.79166603088379,4,LightYellow,D
156,2005,20.183332443237305,5,Vanilla,E
157,2006,18.04166603088379,4,LightYellow,D
158,2007,20.116666793823242,5,Vanilla,E
159,2008,18.841665267944336,4,LightYellow,D
160,2009,17.258333206176758,4,LightYellow,D
161,2010,18.94166374206543,4,LightYellow,D
162,2011,20.316667556762695,5,Vanilla,E
163,2012,18.73333168029785,4,LightYellow,D
164,2013,21.091665267944336,5,Vanilla,E
165,2014,19.458332061767578,4,LightYellow,D
166,2015,21.125001907348633,5,Vanilla,E
167,2016,20.508333206176758,5,Vanilla,E
168,2017,21.024999618530273,5,Vanilla,E
169,2018,21.95833396911621,5,Vanilla,E
170,2019,21.391664505004883,5,Vanilla,E
171,2020,21.741668701171875,5,Vanilla,E
172,2021,20.32499885559082,5,Vanilla,E
173,2022,21.53333282470703,5,Vanilla,E
