Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,24.591215994703983,5,Vanilla,E
2,1851,26.314299209334564,5,Vanilla,E
3,1852,26.545193179771175,5,Vanilla,E
4,1853,26.55150905314411,5,Vanilla,E
5,1854,26.6972953977999,5,Vanilla,E
6,1855,28.002283435716574,5,Vanilla,E
7,1856,27.51374143104382,5,Vanilla,E
8,1857,27.95650586035718,5,Vanilla,E
9,1858,25.835527559901024,5,Vanilla,E
10,1859,26.3710525197867,5,Vanilla,E
11,1860,25.983110639660616,5,Vanilla,E
12,1861,26.733640139276858,5,Vanilla,E
13,1862,28.544431844384942,5,Vanilla,E
14,1863,29.22538807173761,5,Vanilla,E
15,1864,28.91669568636043,5,Vanilla,E
16,1865,24.726378485547873,5,Vanilla,E
17,1866,28.18908371181165,5,Vanilla,E
18,1867,27.549929599081675,5,Vanilla,E
19,1868,26.638656559782632,5,Vanilla,E
20,1869,25.478131349479227,5,Vanilla,E
21,1870,28.395620689380905,5,Vanilla,E
22,1871,28.457124753081388,5,Vanilla,E
23,1872,28.137689122375214,5,Vanilla,E
24,1873,28.91794696343848,5,Vanilla,E
25,1874,27.186929689550052,5,Vanilla,E
26,1875,27.652549994016354,5,Vanilla,E
27,1876,25.55326935630853,5,Vanilla,E
28,1877,27.98310224983214,5,Vanilla,E
29,1878,30.563028274039176,6,Dandelion,F
30,1879,28.19951960061253,5,Vanilla,E
31,1880,26.403648827935477,5,Vanilla,E
32,1881,27.391896150030274,5,Vanilla,E
33,1882,27.8887088208247,5,Vanilla,E
34,1883,25.97985492929055,5,Vanilla,E
35,1884,25.028237323211723,5,Vanilla,E
36,1885,25.81287436930555,5,Vanilla,E
37,1886,28.022175555248836,5,Vanilla,E
38,1887,30.613156893555363,6,Dandelion,F
39,1888,27.06063055489147,5,Vanilla,E
40,1889,25.886673816829475,5,Vanilla,E
41,1890,28.32457788687529,5,Vanilla,E
42,1891,27.742735534216724,5,Vanilla,E
43,1892,29.716954897497633,5,Vanilla,E
44,1893,26.302435727398912,5,Vanilla,E
45,1894,26.34137769601043,5,Vanilla,E
46,1895,29.26007890842499,5,Vanilla,E
47,1896,29.071986296523185,5,Vanilla,E
48,1897,26.55412340101733,5,Vanilla,E
49,1898,29.231622955616317,5,Vanilla,E
50,1899,28.303328406783233,5,Vanilla,E
51,1900,29.935709986231448,5,Vanilla,E
52,1901,29.079018367656094,5,Vanilla,E
53,1902,29.01742179036873,5,Vanilla,E
54,1903,27.250673964105427,5,Vanilla,E
55,1904,30.80770774521812,6,Dandelion,F
56,1905,29.257692533079393,5,Vanilla,E
57,1906,25.8503965442724,5,Vanilla,E
58,1907,29.631097748039238,5,Vanilla,E
59,1908,27.628315883812473,5,Vanilla,E
60,1909,29.648572595914253,5,Vanilla,E
61,1910,30.774053482778864,6,Dandelion,F
62,1911,25.564833626567424,5,Vanilla,E
63,1912,28.41507085151126,5,Vanilla,E
64,1913,27.458694435148924,5,Vanilla,E
65,1914,31.182408566276127,6,Dandelion,F
66,1915,29.463722968482898,5,Vanilla,E
67,1916,30.836228888999397,6,Dandelion,F
68,1917,29.917344858410267,5,Vanilla,E
69,1918,27.643952564464733,5,Vanilla,E
70,1919,26.01884741996547,5,Vanilla,E
71,1920,26.665477392149416,5,Vanilla,E
72,1921,28.896922139018745,5,Vanilla,E
73,1922,28.600340714178326,5,Vanilla,E
74,1923,26.88301340810387,5,Vanilla,E
75,1924,28.72938408760955,5,Vanilla,E
76,1925,24.699003548823335,5,Vanilla,E
77,1926,28.018349727692964,5,Vanilla,E
78,1927,25.975878415305722,5,Vanilla,E
79,1928,27.478917461807306,5,Vanilla,E
80,1929,27.77997358642111,5,Vanilla,E
81,1930,26.48761035701226,5,Vanilla,E
82,1931,31.366067986789222,6,Dandelion,F
83,1932,24.964074499401654,5,Vanilla,E
84,1933,25.642283398047514,5,Vanilla,E
85,1934,28.89205215473224,5,Vanilla,E
86,1935,26.193062823470502,5,Vanilla,E
87,1936,28.78594292600666,5,Vanilla,E
