Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,26.838135502401894,5,Vanilla,E
2,1851,26.444848851362472,5,Vanilla,E
3,1852,27.13444274620179,5,Vanilla,E
4,1853,27.82442435879471,5,Vanilla,E
5,1854,30.041464985024955,6,Dandelion,F
6,1855,28.39263757299701,5,Vanilla,E
7,1856,30.268345865328563,6,Dandelion,F
8,1857,31.970028866900698,6,Dandelion,F
9,1858,29.388169931557364,5,Vanilla,E
10,1859,30.594909248054037,6,Dandelion,F
11,1860,31.809776134725986,6,Dandelion,F
12,1861,32.67405412996309,6,Dandelion,F
13,1862,32.782185088089605,6,Dandelion,F
14,1863,33.53532913502804,6,Dandelion,F
15,1864,35.58061118697507,6,Dandelion,F
16,1865,35.17517094069026,6,Dandelion,F
17,1866,34.740017106322526,6,Dandelion,F
18,1867,34.20163584880761,6,Dandelion,F
19,1868,36.22715685542304,6,Dandelion,F
20,1869,37.14586825783872,6,Dandelion,F
21,1870,39.20901316383589,6,Dandelion,F
22,1871,36.53743021225825,6,Dandelion,F
23,1872,37.0516829835163,6,Dandelion,F
24,1873,39.73482441246391,6,Dandelion,F
25,1874,39.33722312340788,6,Dandelion,F
26,1875,35.676032225466834,6,Dandelion,F
27,1876,37.56902997523141,6,Dandelion,F
28,1877,43.16734549968218,7,Tangerine,G
29,1878,39.01604913595063,6,Dandelion,F
30,1879,38.15708412822195,6,Dandelion,F
31,1880,41.83023916551965,7,Tangerine,G
32,1881,44.173903085435,7,Tangerine,G
33,1882,43.68974355084098,7,Tangerine,G
34,1883,41.42175827775514,7,Tangerine,G
35,1884,40.236445859198746,7,Tangerine,G
36,1885,41.798173429365164,7,Tangerine,G
37,1886,40.25022533698095,7,Tangerine,G
38,1887,40.57170758040094,7,Tangerine,G
39,1888,40.23288418107417,7,Tangerine,G
40,1889,44.940821054349456,7,Tangerine,G
41,1890,42.81291938315284,7,Tangerine,G
42,1891,46.75742932904631,7,Tangerine,G
43,1892,43.27618406576733,7,Tangerine,G
44,1893,40.697792378148236,7,Tangerine,G
45,1894,45.351549753512494,7,Tangerine,G
46,1895,42.8577434769583,7,Tangerine,G
47,1896,44.22830316177595,7,Tangerine,G
48,1897,46.05032231487724,7,Tangerine,G
49,1898,52.75050483881676,8,Mustard,H
50,1899,48.099233393312055,7,Tangerine,G
51,1900,51.02808589639546,8,Mustard,H
52,1901,47.78200957929385,7,Tangerine,G
53,1902,46.55033143178332,7,Tangerine,G
54,1903,44.55107126952426,7,Tangerine,G
55,1904,46.05637087922674,7,Tangerine,G
56,1905,46.423044161606825,7,Tangerine,G
57,1906,49.03361577978763,7,Tangerine,G
58,1907,51.336814484590484,8,Mustard,H
59,1908,50.06305010892744,8,Mustard,H
60,1909,49.962908363933074,7,Tangerine,G
61,1910,50.340685275587006,8,Mustard,H
62,1911,50.60447838641639,8,Mustard,H
63,1912,54.12368371803315,8,Mustard,H
64,1913,49.43053011491028,7,Tangerine,G
65,1914,52.521914468785056,8,Mustard,H
66,1915,50.82332572341717,8,Mustard,H
67,1916,52.16736982572676,8,Mustard,H
68,1917,51.65533227938862,8,Mustard,H
69,1918,46.811186474374416,7,Tangerine,G
70,1919,48.011414442910485,7,Tangerine,G
71,1920,48.91006790228772,7,Tangerine,G
72,1921,35.797005568957154,6,Dandelion,F
73,1922,44.36336954372934,7,Tangerine,G
74,1923,45.820284050139264,7,Tangerine,G
75,1924,48.05480112857097,7,Tangerine,G
76,1925,47.45182671185214,7,Tangerine,G
77,1926,30.24076762772948,6,Dandelion,F
78,1927,49.20865946527938,7,Tangerine,G
79,1928,44.85089780304554,7,Tangerine,G
80,1929,49.2396700924309,7,Tangerine,G
81,1930,48.431873652665985,7,Tangerine,G
82,1931,44.8055399503796,7,Tangerine,G
83,1932,44.66755586212688,7,Tangerine,G
84,1933,42.89337272092267,7,Tangerine,G
85,1934,46.86463640399299,7,Tangerine,G
86,1935,47.34841983909393,7,Tangerine,G
87,1936,49.41618261421066,7,Tangerine,G
88,1937,48.247339365389855,7,Tangerine,G
89,1938,52.77871782252101,8,Mustard,H
90,1939,47.91641367968158,7,Tangerine,G
91,1940,52.971406385475916,8,Mustard,H
92,1941,47.14962930316439,7,Tangerine,G
93,1942,48.63116885830699,7,Tangerine,G
94,1943,51.92811238161882,8,Mustard,H
95,1944,48.965035971086024,7,Tangerine,G
96,1945,44.65363523884525,7,Tangerine,G
97,1946,44.76259598807569,7,Tangerine,G
98,1947,51.361326010062214,8,Mustard,H
99,1948,49.90874207763021,7,Tangerine,G
100,1949,50.71193275490016,8,Mustard,H
101,1950,57.65225404457465,8,Mustard,H
102,1951,61.250520171291804,9,Mauve,I
103,1952,54.786576919657215,8,Mustard,H
104,1953,53.26563852352657,8,Mustard,H
105,1954,58.190840996223145,8,Mustard,H
106,1955,57.872966170719074,8,Mustard,H
107,1956,56.976687772454326,8,Mustard,H
108,1957,58.51809195356236,8,Mustard,H
109,1958,55.04746208916316,8,Mustard,H
110,1959,51.413999143211115,8,Mustard,H
111,1960,54.33951246531403,8,Mustard,H
112,1961,56.531517873394776,8,Mustard,H
113,1962,53.88377262412896,8,Mustard,H
114,1963,54.22420801359602,8,Mustard,H
115,1964,50.91169648903257,8,Mustard,H
116,1965,55.02274453926681,8,Mustard,H
117,1966,47.38072943585696,7,Tangerine,G
118,1967,45.56868414482991,7,Tangerine,G
119,1968,42.64222694700632,7,Tangerine,G
120,1969,40.91992688020832,7,Tangerine,G
121,1970,38.47696792859652,6,Dandelion,F
122,1971,35.49738795026383,6,Dandelion,F
123,1972,32.79608185689913,6,Dandelion,F
124,1973,33.210326353963076,6,Dandelion,F
125,1974,33.84075630815658,6,Dandelion,F
126,1975,27.884373052007977,5,Vanilla,E
127,1976,29.48639021825529,5,Vanilla,E
128,1977,30.88001453192811,6,Dandelion,F
129,1978,30.002147344655675,6,Dandelion,F
130,1979,30.27547757819848,6,Dandelion,F
131,1980,30.097592324340486,6,Dandelion,F
132,1981,27.776608414755803,5,Vanilla,E
133,1982,25.78751866648471,5,Vanilla,E
134,1983,25.702240860162078,5,Vanilla,E
135,1984,24.23024427860594,5,Vanilla,E
136,1985,26.084162714180813,5,Vanilla,E
137,1986,26.212540137591724,5,Vanilla,E
138,1987,25.59392142159515,5,Vanilla,E
139,1988,24.24775302604414,5,Vanilla,E
140,1989,25.825997294784322,5,Vanilla,E
141,1990,24.119382215405263,5,Vanilla,E
142,1991,24.03687459421685,5,Vanilla,E
143,1992,23.63721446269792,5,Vanilla,E
144,1993,21.839052052889695,5,Vanilla,E
145,1994,20.51371378682414,5,Vanilla,E
146,1995,19.541282406542166,4,LightYellow,D
147,1996,18.871925346724424,4,LightYellow,D
148,1997,17.975044996682588,4,LightYellow,D
149,1998,17.07978893607816,4,LightYellow,D
150,1999,15.185030634035368,4,LightYellow,D
151,2000,14.712447013110948,3,CornflowerBlue,C
152,2001,14.433333396911621,3,CornflowerBlue,C
153,2002,14.716668128967285,3,CornflowerBlue,C
154,2003,16.558334350585938,4,LightYellow,D
155,2004,13.316666603088379,3,CornflowerBlue,C
156,2005,13.791665077209473,3,CornflowerBlue,C
157,2006,13.908332824707031,3,CornflowerBlue,C
158,2007,13.291666984558105,3,CornflowerBlue,C
159,2008,12.416666984558105,3,CornflowerBlue,C
160,2009,12.683331489562988,3,CornflowerBlue,C
161,2010,14.108333587646484,3,CornflowerBlue,C
162,2011,13.625,3,CornflowerBlue,C
163,2012,12.325000762939453,3,CornflowerBlue,C
164,2013,13.841667175292969,3,CornflowerBlue,C
165,2014,13.558334350585938,3,CornflowerBlue,C
166,2015,12.300000190734863,3,CornflowerBlue,C
167,2016,11.825000762939453,3,CornflowerBlue,C
168,2017,11.158332824707031,3,CornflowerBlue,C
169,2018,11.491665840148926,3,CornflowerBlue,C
170,2019,11.341667175292969,3,CornflowerBlue,C
171,2020,10.558333396911621,3,CornflowerBlue,C
172,2021,11.09999942779541,3,CornflowerBlue,C
173,2022,11.216667175292969,3,CornflowerBlue,C
