Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,9.430920245693272,2,PowderBlue,B
2,1851,9.918726001325032,2,PowderBlue,B
3,1852,9.544173776970004,2,PowderBlue,B
4,1853,9.445112454174886,2,PowderBlue,B
5,1854,9.956034993160817,2,PowderBlue,B
6,1855,9.625714839452579,2,PowderBlue,B
7,1856,8.811744670570572,2,PowderBlue,B
8,1857,9.843588571640105,2,PowderBlue,B
9,1858,10.409390487876616,3,CornflowerBlue,C
10,1859,8.937704135853153,2,PowderBlue,B
11,1860,9.5313802420159,2,PowderBlue,B
12,1861,9.362260139162526,2,PowderBlue,B
13,1862,9.52716802554562,2,PowderBlue,B
14,1863,8.88538880332048,2,PowderBlue,B
15,1864,9.301872744658683,2,PowderBlue,B
16,1865,9.330714329749803,2,PowderBlue,B
17,1866,9.643507909547736,2,PowderBlue,B
18,1867,9.68799333660801,2,PowderBlue,B
19,1868,9.434531762486255,2,PowderBlue,B
20,1869,9.700748596451726,2,PowderBlue,B
21,1870,9.15649282057195,2,PowderBlue,B
22,1871,10.120638050927825,3,CornflowerBlue,C
23,1872,8.70567130091344,2,PowderBlue,B
24,1873,9.70239041824165,2,PowderBlue,B
25,1874,9.940385629287618,2,PowderBlue,B
26,1875,9.865451574726643,2,PowderBlue,B
27,1876,9.135562838196932,2,PowderBlue,B
28,1877,9.591577157616985,2,PowderBlue,B
29,1878,10.203548982106359,3,CornflowerBlue,C
30,1879,9.591257345084161,2,PowderBlue,B
31,1880,9.534490418487005,2,PowderBlue,B
32,1881,9.785356361390107,2,PowderBlue,B
33,1882,9.3627843333291,2,PowderBlue,B
34,1883,9.182587832749881,2,PowderBlue,B
35,1884,9.607652739948414,2,PowderBlue,B
36,1885,8.993355519900675,2,PowderBlue,B
37,1886,9.273708075512792,2,PowderBlue,B
38,1887,9.762311390372778,2,PowderBlue,B
39,1888,9.596005875855855,2,PowderBlue,B
40,1889,9.529768946602506,2,PowderBlue,B
41,1890,9.604115278485997,2,PowderBlue,B
42,1891,9.266150473572129,2,PowderBlue,B
43,1892,9.39026090250288,2,PowderBlue,B
44,1893,9.27964815064292,2,PowderBlue,B
45,1894,9.81517421687539,2,PowderBlue,B
46,1895,10.233215567748106,3,CornflowerBlue,C
47,1896,9.193479891178335,2,PowderBlue,B
48,1897,9.846344659892267,2,PowderBlue,B
49,1898,10.289628321149072,3,CornflowerBlue,C
50,1899,9.478285306676993,2,PowderBlue,B
51,1900,9.279300656642175,2,PowderBlue,B
52,1901,9.358518658407508,2,PowderBlue,B
53,1902,9.509635072057934,2,PowderBlue,B
54,1903,9.410428351568207,2,PowderBlue,B
55,1904,9.587328758501343,2,PowderBlue,B
56,1905,9.566015369227253,2,PowderBlue,B
57,1906,9.500853814938015,2,PowderBlue,B
58,1907,9.750265606408798,2,PowderBlue,B
59,1908,10.186703696655258,3,CornflowerBlue,C
60,1909,9.458485442167653,2,PowderBlue,B
61,1910,9.59827983194417,2,PowderBlue,B
62,1911,10.185140236361734,3,CornflowerBlue,C
63,1912,9.319308534433095,2,PowderBlue,B
64,1913,9.804109634211317,2,PowderBlue,B
65,1914,10.130265814875015,3,CornflowerBlue,C
66,1915,9.539994782705516,2,PowderBlue,B
67,1916,9.229359833106615,2,PowderBlue,B
68,1917,10.11052329426046,3,CornflowerBlue,C
69,1918,10.571136384554404,3,CornflowerBlue,C
70,1919,9.367797052801901,2,PowderBlue,B
71,1920,9.751575255180535,2,PowderBlue,B
72,1921,9.683499005697376,2,PowderBlue,B
73,1922,9.829709744457938,2,PowderBlue,B
74,1923,10.63913364217161,3,CornflowerBlue,C
75,1924,9.607263059680209,2,PowderBlue,B
76,1925,9.579699180385063,2,PowderBlue,B
77,1926,10.198514427458901,3,CornflowerBlue,C
78,1927,10.22617145635533,3,CornflowerBlue,C
79,1928,9.473980197677395,2,PowderBlue,B
80,1929,9.620237323796506,2,PowderBlue,B
81,1930,10.54195991689352,3,CornflowerBlue,C
82,1931,9.623407235968891,2,PowderBlue,B
83,1932,10.120348534721254,3,CornflowerBlue,C
84,1933,9.587280288653009,2,PowderBlue,B
85,1934,10.588532829495858,3,CornflowerBlue,C
86,1935,9.938016234733583,2,PowderBlue,B
87,1936,10.348215748809862,3,CornflowerBlue,C
