Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,7.986869718568846,2,PowderBlue,B
2,1851,7.8583433653767,2,PowderBlue,B
3,1852,7.230040252681811,2,PowderBlue,B
4,1853,8.104516080059883,2,PowderBlue,B
5,1854,8.485331994722154,2,PowderBlue,B
6,1855,8.826550674178597,2,PowderBlue,B
7,1856,8.529394911952526,2,PowderBlue,B
8,1857,8.204510260821172,2,PowderBlue,B
9,1858,7.878760200679935,2,PowderBlue,B
10,1859,8.881652063183173,2,PowderBlue,B
11,1860,8.576953380738034,2,PowderBlue,B
12,1861,8.32944977046834,2,PowderBlue,B
13,1862,8.360050592168518,2,PowderBlue,B
14,1863,8.702759142136964,2,PowderBlue,B
15,1864,8.531408788037028,2,PowderBlue,B
16,1865,8.3827830034265,2,PowderBlue,B
17,1866,9.182433886650688,2,PowderBlue,B
18,1867,8.424811818316636,2,PowderBlue,B
19,1868,8.604049539250656,2,PowderBlue,B
20,1869,8.264290512377498,2,PowderBlue,B
21,1870,8.57080401106281,2,PowderBlue,B
22,1871,8.161717941709773,2,PowderBlue,B
23,1872,7.632280556378879,2,PowderBlue,B
24,1873,8.469740232754075,2,PowderBlue,B
25,1874,8.786393883544227,2,PowderBlue,B
26,1875,9.176491227657294,2,PowderBlue,B
27,1876,9.08373273569417,2,PowderBlue,B
28,1877,8.692717720778196,2,PowderBlue,B
29,1878,8.153142110448941,2,PowderBlue,B
30,1879,9.650935186889047,2,PowderBlue,B
31,1880,8.834831746587117,2,PowderBlue,B
32,1881,9.056881131547806,2,PowderBlue,B
33,1882,8.84246528637325,2,PowderBlue,B
34,1883,9.28044521160402,2,PowderBlue,B
35,1884,9.188884769974319,2,PowderBlue,B
36,1885,8.928630719940907,2,PowderBlue,B
37,1886,9.614729210370497,2,PowderBlue,B
38,1887,9.293285375871868,2,PowderBlue,B
39,1888,9.140911606533884,2,PowderBlue,B
40,1889,9.093504442091806,2,PowderBlue,B
41,1890,8.952857973222637,2,PowderBlue,B
42,1891,9.104275231967579,2,PowderBlue,B
43,1892,8.669052614973761,2,PowderBlue,B
44,1893,9.056597715800697,2,PowderBlue,B
45,1894,9.69114545843907,2,PowderBlue,B
46,1895,9.981910168978734,2,PowderBlue,B
47,1896,9.876804282773398,2,PowderBlue,B
48,1897,9.600126298639912,2,PowderBlue,B
49,1898,9.53373925137425,2,PowderBlue,B
50,1899,10.483115131345148,3,CornflowerBlue,C
51,1900,10.427330076222898,3,CornflowerBlue,C
52,1901,10.501684038719148,3,CornflowerBlue,C
53,1902,10.154744999549706,3,CornflowerBlue,C
54,1903,10.821429798346516,3,CornflowerBlue,C
55,1904,10.624780976214916,3,CornflowerBlue,C
56,1905,11.480317202857337,3,CornflowerBlue,C
57,1906,11.711908096694932,3,CornflowerBlue,C
58,1907,10.697076804768122,3,CornflowerBlue,C
59,1908,11.097739153630066,3,CornflowerBlue,C
60,1909,10.569196530007476,3,CornflowerBlue,C
61,1910,10.998428703200464,3,CornflowerBlue,C
62,1911,10.663539714087333,3,CornflowerBlue,C
63,1912,10.123757626454088,3,CornflowerBlue,C
64,1913,10.76888467511378,3,CornflowerBlue,C
65,1914,10.908246550232633,3,CornflowerBlue,C
66,1915,10.634641024863146,3,CornflowerBlue,C
67,1916,10.95353233677789,3,CornflowerBlue,C
68,1917,10.941033169105037,3,CornflowerBlue,C
69,1918,10.437691237265623,3,CornflowerBlue,C
70,1919,11.919643925787387,3,CornflowerBlue,C
