Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,26.78213021441223,5,Vanilla,E
2,1851,27.754203816435748,5,Vanilla,E
3,1852,27.735473820889922,5,Vanilla,E
4,1853,28.542990030220995,5,Vanilla,E
5,1854,26.39240990045816,5,Vanilla,E
6,1855,27.75432563256442,5,Vanilla,E
7,1856,28.553402499579846,5,Vanilla,E
8,1857,28.37134306152767,5,Vanilla,E
9,1858,27.99322851733216,5,Vanilla,E
10,1859,29.071622134239526,5,Vanilla,E
11,1860,28.192185993354716,5,Vanilla,E
12,1861,31.276072539502838,6,Dandelion,F
13,1862,29.383998001669447,5,Vanilla,E
14,1863,28.375950187434817,5,Vanilla,E
15,1864,31.035825976519753,6,Dandelion,F
16,1865,29.812625784324634,5,Vanilla,E
17,1866,31.114791391308255,6,Dandelion,F
18,1867,29.241949878623508,5,Vanilla,E
19,1868,30.880251729146636,6,Dandelion,F
20,1869,29.17678186672076,5,Vanilla,E
21,1870,30.661184717714455,6,Dandelion,F
22,1871,29.66514680994069,5,Vanilla,E
23,1872,29.477760295114194,5,Vanilla,E
24,1873,29.55642632535309,5,Vanilla,E
25,1874,30.558357352503815,6,Dandelion,F
26,1875,31.011893978844572,6,Dandelion,F
27,1876,30.621005835340195,6,Dandelion,F
28,1877,31.023445830054733,6,Dandelion,F
29,1878,30.587268057376587,6,Dandelion,F
30,1879,30.043299713743036,6,Dandelion,F
31,1880,31.14044232958368,6,Dandelion,F
32,1881,31.190821302587562,6,Dandelion,F
33,1882,32.749711747888746,6,Dandelion,F
34,1883,30.743972824937725,6,Dandelion,F
35,1884,32.68566716787819,6,Dandelion,F
36,1885,33.45934418058893,6,Dandelion,F
37,1886,33.21034961396705,6,Dandelion,F
38,1887,32.8789625294079,6,Dandelion,F
39,1888,32.54068367266278,6,Dandelion,F
40,1889,33.46288182181812,6,Dandelion,F
41,1890,32.52726069008925,6,Dandelion,F
42,1891,33.75317974034189,6,Dandelion,F
43,1892,32.0540652535161,6,Dandelion,F
44,1893,32.52422294043322,6,Dandelion,F
45,1894,34.391455095706434,6,Dandelion,F
46,1895,34.72232300514884,6,Dandelion,F
47,1896,33.60889365811141,6,Dandelion,F
48,1897,35.284178799063206,6,Dandelion,F
49,1898,34.441012804568906,6,Dandelion,F
50,1899,36.04611137112096,6,Dandelion,F
51,1900,35.61358900672056,6,Dandelion,F
52,1901,36.802710364859486,6,Dandelion,F
53,1902,35.57753577534967,6,Dandelion,F
54,1903,36.598264226306625,6,Dandelion,F
55,1904,37.13073343602832,6,Dandelion,F
56,1905,38.815079291430884,6,Dandelion,F
57,1906,37.30250595643828,6,Dandelion,F
58,1907,40.06569278899531,7,Tangerine,G
59,1908,40.51785629502498,7,Tangerine,G
60,1909,40.31185639417251,7,Tangerine,G
61,1910,41.821069800657824,7,Tangerine,G
62,1911,40.34429449719164,7,Tangerine,G
63,1912,42.64652230399423,7,Tangerine,G
64,1913,41.80123611830101,7,Tangerine,G
65,1914,39.21311592644703,6,Dandelion,F
66,1915,38.99153372768669,6,Dandelion,F
67,1916,38.962425758100956,6,Dandelion,F
68,1917,36.02137197801842,6,Dandelion,F
69,1918,35.91016591702241,6,Dandelion,F
70,1919,35.09426884156508,6,Dandelion,F
71,1920,36.06272520320422,6,Dandelion,F
72,1921,35.42802971974204,6,Dandelion,F
73,1922,37.79105063092262,6,Dandelion,F
74,1923,37.561379839967955,6,Dandelion,F
75,1924,39.57107618890798,6,Dandelion,F
76,1925,38.300111404749806,6,Dandelion,F
77,1926,39.8959861914397,6,Dandelion,F
78,1927,41.30551137565015,7,Tangerine,G
79,1928,40.31361120141567,7,Tangerine,G
80,1929,41.93325862576729,7,Tangerine,G
81,1930,42.7606461133894,7,Tangerine,G
82,1931,40.70502348579801,7,Tangerine,G
83,1932,36.42611282516248,6,Dandelion,F
84,1933,38.33064130895654,6,Dandelion,F
85,1934,40.73593611693988,7,Tangerine,G
86,1935,41.867539552896545,7,Tangerine,G
87,1936,40.11221904467507,7,Tangerine,G
88,1937,43.91340005227691,7,Tangerine,G
89,1938,42.68347286683967,7,Tangerine,G
90,1939,44.665513774564474,7,Tangerine,G
91,1940,44.012208217571036,7,Tangerine,G
92,1941,42.1478249697781,7,Tangerine,G
93,1942,42.044165101270806,7,Tangerine,G
94,1943,33.75803477620456,6,Dandelion,F
95,1944,30.44189408508611,6,Dandelion,F
96,1945,28.252002464294698,5,Vanilla,E
97,1946,35.62827656496166,6,Dandelion,F
98,1947,41.74563980019031,7,Tangerine,G
99,1948,39.864765990009715,6,Dandelion,F
100,1949,40.750537321575734,7,Tangerine,G
101,1950,41.27805152753112,7,Tangerine,G
102,1951,42.608625706338906,7,Tangerine,G
103,1952,43.09493082572775,7,Tangerine,G
104,1953,41.39670727736356,7,Tangerine,G
105,1954,42.82942862792282,7,Tangerine,G
106,1955,46.86296732017534,7,Tangerine,G
107,1956,47.81502211911549,7,Tangerine,G
108,1957,48.9180569070357,7,Tangerine,G
109,1958,48.94942517300687,7,Tangerine,G
110,1959,47.74415199911401,7,Tangerine,G
111,1960,51.84135938855862,8,Mustard,H
112,1961,56.9657736076177,8,Mustard,H
113,1962,62.17700683748841,9,Mauve,I
114,1963,63.94823984444236,9,Mauve,I
115,1964,63.99433826029261,9,Mauve,I
116,1965,66.60794100030837,9,Mauve,I
117,1966,63.29759284763293,9,Mauve,I
118,1967,66.81112911034536,9,Mauve,I
119,1968,69.67686314407376,9,Mauve,I
120,1969,70.29082192239355,10,Brown,J
121,1970,70.93775882165755,10,Brown,J
122,1971,71.05433772704116,10,Brown,J
123,1972,73.15496130101529,10,Brown,J
124,1973,71.9934155484849,10,Brown,J
125,1974,76.02274148601076,10,Brown,J
126,1975,68.27640885937366,9,Mauve,I
127,1976,67.35340956960802,9,Mauve,I
128,1977,68.57471837843283,9,Mauve,I
129,1978,67.80178141679785,9,Mauve,I
130,1979,73.15677581233231,10,Brown,J
131,1980,78.1067805908913,10,Brown,J
132,1981,74.81158512402025,10,Brown,J
133,1982,66.7725902472757,9,Mauve,I
134,1983,65.7442528158207,9,Mauve,I
135,1984,60.49760987242376,9,Mauve,I
136,1985,59.951374977501075,8,Mustard,H
137,1986,59.02898884793365,8,Mustard,H
138,1987,61.11455911826951,9,Mauve,I
139,1988,59.839034332774915,8,Mustard,H
140,1989,62.502634956686514,9,Mauve,I
141,1990,57.850545425615806,8,Mustard,H
142,1991,54.47676915579641,8,Mustard,H
143,1992,51.67394744711608,8,Mustard,H
144,1993,47.53070673339382,7,Tangerine,G
145,1994,46.7490683841595,7,Tangerine,G
146,1995,43.786208635641025,7,Tangerine,G
147,1996,42.24925646907099,7,Tangerine,G
148,1997,42.18661505194725,7,Tangerine,G
149,1998,37.411940402684515,6,Dandelion,F
150,1999,35.035062243608714,6,Dandelion,F
151,2000,34.40085520856619,6,Dandelion,F
152,2001,32.01667022705078,6,Dandelion,F
153,2002,34.483333587646484,6,Dandelion,F
154,2003,33.33333206176758,6,Dandelion,F
155,2004,30.408334732055664,6,Dandelion,F
156,2005,33.19166564941406,6,Dandelion,F
157,2006,35.0,6,Dandelion,F
158,2007,34.15833282470703,6,Dandelion,F
159,2008,30.30000114440918,6,Dandelion,F
160,2009,30.92500114440918,6,Dandelion,F
161,2010,30.14166831970215,6,Dandelion,F
162,2011,34.67499923706055,6,Dandelion,F
163,2012,30.991668701171875,6,Dandelion,F
164,2013,28.991666793823242,5,Vanilla,E
165,2014,25.791669845581055,5,Vanilla,E
166,2015,29.991668701171875,5,Vanilla,E
167,2016,26.316665649414062,5,Vanilla,E
168,2017,29.133333206176758,5,Vanilla,E
169,2018,25.29166603088379,5,Vanilla,E
170,2019,23.724998474121094,5,Vanilla,E
171,2020,25.39166831970215,5,Vanilla,E
172,2021,23.991668701171875,5,Vanilla,E
173,2022,26.149999618530273,5,Vanilla,E
