Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,13.460707311238501,3,CornflowerBlue,C
2,1851,13.397872206249541,3,CornflowerBlue,C
3,1852,14.279165204580767,3,CornflowerBlue,C
4,1853,13.933062233411619,3,CornflowerBlue,C
5,1854,13.373200754536397,3,CornflowerBlue,C
6,1855,13.782234685654057,3,CornflowerBlue,C
7,1856,14.479372253162639,3,CornflowerBlue,C
8,1857,14.477722456537862,3,CornflowerBlue,C
9,1858,14.722320013320141,3,CornflowerBlue,C
10,1859,13.965358152794266,3,CornflowerBlue,C
11,1860,14.21696662963784,3,CornflowerBlue,C
12,1861,14.773926395954733,3,CornflowerBlue,C
13,1862,15.244306092385733,4,LightYellow,D
14,1863,15.53616360116537,4,LightYellow,D
15,1864,15.819376468350185,4,LightYellow,D
16,1865,15.487130487969583,4,LightYellow,D
17,1866,16.078305986130893,4,LightYellow,D
18,1867,14.893847552872371,3,CornflowerBlue,C
19,1868,15.751764373784434,4,LightYellow,D
20,1869,15.785317075457971,4,LightYellow,D
21,1870,15.445353950782913,4,LightYellow,D
22,1871,16.077817682584712,4,LightYellow,D
23,1872,16.54815936827908,4,LightYellow,D
24,1873,16.637203815506215,4,LightYellow,D
25,1874,16.910329603168147,4,LightYellow,D
26,1875,16.98312012925696,4,LightYellow,D
27,1876,17.346943120032524,4,LightYellow,D
28,1877,18.260777091757376,4,LightYellow,D
29,1878,18.033822907107595,4,LightYellow,D
30,1879,18.790953862010053,4,LightYellow,D
31,1880,18.47492165383008,4,LightYellow,D
32,1881,18.0304356139502,4,LightYellow,D
33,1882,18.84528527904051,4,LightYellow,D
34,1883,19.552018190570053,4,LightYellow,D
35,1884,19.03318243999509,4,LightYellow,D
36,1885,20.078947258935937,5,Vanilla,E
37,1886,20.792615519603885,5,Vanilla,E
38,1887,18.752331891654965,4,LightYellow,D
39,1888,19.368589455376338,4,LightYellow,D
40,1889,20.37300683307562,5,Vanilla,E
41,1890,20.41909510453417,5,Vanilla,E
42,1891,20.038889134976152,5,Vanilla,E
43,1892,21.5814762630235,5,Vanilla,E
44,1893,20.538359696444672,5,Vanilla,E
45,1894,22.010975446186073,5,Vanilla,E
46,1895,21.923876685208658,5,Vanilla,E
47,1896,22.099990100535138,5,Vanilla,E
48,1897,24.120400708299687,5,Vanilla,E
49,1898,23.771393218641926,5,Vanilla,E
50,1899,23.135352532028254,5,Vanilla,E
51,1900,24.43468540788216,5,Vanilla,E
52,1901,23.58194674521708,5,Vanilla,E
53,1902,24.59161395557077,5,Vanilla,E
54,1903,24.888129617514103,5,Vanilla,E
55,1904,24.800368516990154,5,Vanilla,E
56,1905,25.235732457253906,5,Vanilla,E
57,1906,24.845368337634568,5,Vanilla,E
58,1907,26.137794457573328,5,Vanilla,E
59,1908,26.244117661485763,5,Vanilla,E
60,1909,26.85043792047931,5,Vanilla,E
61,1910,27.521182316566563,5,Vanilla,E
62,1911,26.10376827023246,5,Vanilla,E
63,1912,26.272687352536778,5,Vanilla,E
64,1913,27.7729561697877,5,Vanilla,E
65,1914,26.298214563345276,5,Vanilla,E
66,1915,27.224750641417966,5,Vanilla,E
67,1916,26.234583890424855,5,Vanilla,E
68,1917,26.190289044197332,5,Vanilla,E
69,1918,25.394752654701133,5,Vanilla,E
70,1919,20.905180420171035,5,Vanilla,E
71,1920,21.349629791039632,5,Vanilla,E
72,1921,20.644251093561753,5,Vanilla,E
73,1922,19.841974857966264,4,LightYellow,D
74,1923,19.740839778908157,4,LightYellow,D
75,1924,20.850326436731123,5,Vanilla,E
76,1925,20.167659693513148,5,Vanilla,E
77,1926,20.281451511993414,5,Vanilla,E
78,1927,21.45339092069206,5,Vanilla,E
79,1928,20.47453856645298,5,Vanilla,E
80,1929,21.745289545872076,5,Vanilla,E
81,1930,22.504063086455073,5,Vanilla,E
82,1931,21.67961483985879,5,Vanilla,E
83,1932,21.71056776957274,5,Vanilla,E
84,1933,21.832037921742444,5,Vanilla,E
85,1934,23.63126449849571,5,Vanilla,E
86,1935,24.935477768753774,5,Vanilla,E
87,1936,24.741182909527367,5,Vanilla,E
88,1937,24.030233463967267,5,Vanilla,E
89,1938,26.930466450845646,5,Vanilla,E
90,1939,26.25951121875333,5,Vanilla,E
91,1940,29.44526127625516,5,Vanilla,E
92,1941,27.379115880992703,5,Vanilla,E
93,1942,26.754500451509266,5,Vanilla,E
94,1943,27.699239367819573,5,Vanilla,E
95,1944,28.33838073870136,5,Vanilla,E
96,1945,21.70796505390091,5,Vanilla,E
97,1946,25.49590408378185,5,Vanilla,E
98,1947,23.78432688882709,5,Vanilla,E
99,1948,24.38418232452559,5,Vanilla,E
100,1949,27.217739317167325,5,Vanilla,E
101,1950,26.285226019648388,5,Vanilla,E
102,1951,27.33233977518143,5,Vanilla,E
103,1952,28.66228336933011,5,Vanilla,E
104,1953,27.093014274192008,5,Vanilla,E
105,1954,29.429795824322625,5,Vanilla,E
106,1955,29.165107358979384,5,Vanilla,E
107,1956,28.981891233317718,5,Vanilla,E
108,1957,30.959438573656524,6,Dandelion,F
109,1958,29.621553271053894,5,Vanilla,E
110,1959,30.1859974186814,6,Dandelion,F
111,1960,30.241698339374054,6,Dandelion,F
112,1961,29.648888067178362,5,Vanilla,E
113,1962,32.26719112768089,6,Dandelion,F
114,1963,30.78467277285273,6,Dandelion,F
115,1964,32.84686286579776,6,Dandelion,F
116,1965,31.809610436825956,6,Dandelion,F
117,1966,32.27594086729328,6,Dandelion,F
118,1967,31.03914126492911,6,Dandelion,F
119,1968,33.13639194229445,6,Dandelion,F
120,1969,30.940017574344402,6,Dandelion,F
121,1970,32.702959721126696,6,Dandelion,F
122,1971,33.17441483793448,6,Dandelion,F
123,1972,32.91582879464046,6,Dandelion,F
124,1973,34.36838379294836,6,Dandelion,F
125,1974,35.07062798007636,6,Dandelion,F
126,1975,33.72089222538088,6,Dandelion,F
127,1976,34.4870112085096,6,Dandelion,F
128,1977,33.601232985889794,6,Dandelion,F
129,1978,36.07034039563625,6,Dandelion,F
130,1979,36.28667089580556,6,Dandelion,F
131,1980,37.76320141687519,6,Dandelion,F
132,1981,35.32618104637518,6,Dandelion,F
133,1982,34.64603819047838,6,Dandelion,F
134,1983,33.25730358846831,6,Dandelion,F
135,1984,34.16885462812955,6,Dandelion,F
136,1985,33.04552218102359,6,Dandelion,F
137,1986,35.608189310591044,6,Dandelion,F
138,1987,32.12709358777785,6,Dandelion,F
139,1988,31.28491042448799,6,Dandelion,F
140,1989,31.662148224646835,6,Dandelion,F
141,1990,30.832835938413957,6,Dandelion,F
142,1991,29.74402429619138,5,Vanilla,E
143,1992,27.508341102178257,5,Vanilla,E
144,1993,24.729628602943315,5,Vanilla,E
145,1994,23.323598934940733,5,Vanilla,E
146,1995,21.761742472483302,5,Vanilla,E
147,1996,20.796852216747858,5,Vanilla,E
148,1997,20.19715089578414,5,Vanilla,E
149,1998,19.807763063587732,4,LightYellow,D
150,1999,20.24937318854331,5,Vanilla,E
151,2000,18.805746662376098,4,LightYellow,D
152,2001,18.45833396911621,4,LightYellow,D
153,2002,21.433334350585938,5,Vanilla,E
154,2003,17.566667556762695,4,LightYellow,D
155,2004,17.274999618530273,4,LightYellow,D
156,2005,17.566667556762695,4,LightYellow,D
157,2006,17.024999618530273,4,LightYellow,D
158,2007,16.625001907348633,4,LightYellow,D
159,2008,18.908334732055664,4,LightYellow,D
160,2009,18.65833282470703,4,LightYellow,D
161,2010,20.241666793823242,5,Vanilla,E
162,2011,17.116666793823242,4,LightYellow,D
163,2012,17.28333282470703,4,LightYellow,D
164,2013,18.341665267944336,4,LightYellow,D
165,2014,19.025001525878906,4,LightYellow,D
166,2015,15.141667366027832,4,LightYellow,D
167,2016,14.908331871032715,3,CornflowerBlue,C
168,2017,14.616665840148926,3,CornflowerBlue,C
169,2018,16.28333282470703,4,LightYellow,D
170,2019,13.433334350585938,3,CornflowerBlue,C
171,2020,12.683331489562988,3,CornflowerBlue,C
172,2021,14.225001335144043,3,CornflowerBlue,C
173,2022,11.958333015441895,3,CornflowerBlue,C
