Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,13.869240257563755,3,CornflowerBlue,C
2,1851,16.81586089265049,4,LightYellow,D
3,1852,16.16074572098946,4,LightYellow,D
4,1853,14.626007399505992,3,CornflowerBlue,C
5,1854,15.800515278001056,4,LightYellow,D
6,1855,17.039549947444204,4,LightYellow,D
7,1856,15.662527878050893,4,LightYellow,D
8,1857,16.406198618058184,4,LightYellow,D
9,1858,14.567678075040075,3,CornflowerBlue,C
10,1859,14.56566791741245,3,CornflowerBlue,C
11,1860,17.70128309877665,4,LightYellow,D
12,1861,16.336977420245816,4,LightYellow,D
13,1862,15.177836390667867,4,LightYellow,D
14,1863,13.452199078460007,3,CornflowerBlue,C
15,1864,13.706950254841193,3,CornflowerBlue,C
16,1865,18.312622789016853,4,LightYellow,D
17,1866,16.24211985787864,4,LightYellow,D
18,1867,15.295375342193969,4,LightYellow,D
19,1868,15.087674637114759,4,LightYellow,D
20,1869,15.685983503526847,4,LightYellow,D
21,1870,15.752502135485702,4,LightYellow,D
22,1871,14.399499238572899,3,CornflowerBlue,C
23,1872,14.445653891027346,3,CornflowerBlue,C
24,1873,14.717528466789782,3,CornflowerBlue,C
25,1874,13.894399632699647,3,CornflowerBlue,C
26,1875,15.482782952313174,4,LightYellow,D
27,1876,16.07948663324247,4,LightYellow,D
28,1877,13.843976027692756,3,CornflowerBlue,C
29,1878,15.198374592078718,4,LightYellow,D
30,1879,18.175901234660227,4,LightYellow,D
31,1880,16.18617999402202,4,LightYellow,D
32,1881,16.865761054586535,4,LightYellow,D
33,1882,16.968238680814117,4,LightYellow,D
34,1883,14.35644585291349,3,CornflowerBlue,C
35,1884,15.992802386839754,4,LightYellow,D
36,1885,16.167331670515658,4,LightYellow,D
37,1886,15.89110751830377,4,LightYellow,D
38,1887,16.825851216933014,4,LightYellow,D
39,1888,13.411680719257404,3,CornflowerBlue,C
40,1889,15.480058519913275,4,LightYellow,D
41,1890,15.462642461098726,4,LightYellow,D
42,1891,17.034690188887335,4,LightYellow,D
43,1892,16.663819719726252,4,LightYellow,D
44,1893,16.850157117226228,4,LightYellow,D
45,1894,15.997495227633715,4,LightYellow,D
46,1895,16.853279159175905,4,LightYellow,D
47,1896,15.672113955401182,4,LightYellow,D
48,1897,16.56617837974003,4,LightYellow,D
49,1898,14.243900656921582,3,CornflowerBlue,C
50,1899,16.411356833626282,4,LightYellow,D
51,1900,15.97960550245737,4,LightYellow,D
52,1901,15.045485458989686,4,LightYellow,D
53,1902,15.758714501318309,4,LightYellow,D
54,1903,16.338155492340505,4,LightYellow,D
55,1904,16.175461665956817,4,LightYellow,D
56,1905,17.412678508741614,4,LightYellow,D
57,1906,16.37987485680405,4,LightYellow,D
58,1907,16.99321012591579,4,LightYellow,D
59,1908,16.7063485294892,4,LightYellow,D
60,1909,15.273163120068727,4,LightYellow,D
61,1910,14.810964421536976,3,CornflowerBlue,C
62,1911,16.874451415448046,4,LightYellow,D
63,1912,18.393774602183317,4,LightYellow,D
64,1913,15.390440777715954,4,LightYellow,D
65,1914,16.376928769311103,4,LightYellow,D
66,1915,16.038659180579916,4,LightYellow,D
67,1916,17.30486401928569,4,LightYellow,D
68,1917,14.830774487725604,3,CornflowerBlue,C
69,1918,16.31426087583105,4,LightYellow,D
70,1919,15.193104709432287,4,LightYellow,D
71,1920,16.722730404200252,4,LightYellow,D
72,1921,17.557054681722327,4,LightYellow,D
73,1922,18.41101218473381,4,LightYellow,D
74,1923,15.004720925959228,4,LightYellow,D
75,1924,15.267905387946682,4,LightYellow,D
76,1925,16.23737342772427,4,LightYellow,D
77,1926,17.227712879264857,4,LightYellow,D
78,1927,16.89637278680158,4,LightYellow,D
79,1928,15.890514366623409,4,LightYellow,D
80,1929,17.091063243278953,4,LightYellow,D
81,1930,15.257927733106971,4,LightYellow,D
82,1931,16.5545029720856,4,LightYellow,D
83,1932,16.897757754746035,4,LightYellow,D
84,1933,17.346746884725118,4,LightYellow,D
85,1934,15.666997547794342,4,LightYellow,D
86,1935,14.778390971234835,3,CornflowerBlue,C
87,1936,15.287933106108248,4,LightYellow,D
88,1937,18.96423394110175,4,LightYellow,D
89,1938,17.251819201506024,4,LightYellow,D
90,1939,18.057111734711867,4,LightYellow,D
91,1940,15.34167104722485,4,LightYellow,D
92,1941,17.91864127867067,4,LightYellow,D
93,1942,18.60061044692477,4,LightYellow,D
94,1943,17.216534417264704,4,LightYellow,D
95,1944,15.56459483970327,4,LightYellow,D
96,1945,16.624538028835993,4,LightYellow,D
97,1946,18.194551818445458,4,LightYellow,D
98,1947,17.781970697271515,4,LightYellow,D
99,1948,16.062542633040785,4,LightYellow,D
100,1949,17.985168441803072,4,LightYellow,D
101,1950,16.640776566863224,4,LightYellow,D
102,1951,13.986033327344527,3,CornflowerBlue,C
103,1952,14.884479913973392,3,CornflowerBlue,C
104,1953,18.086329075424903,4,LightYellow,D
105,1954,15.067033204981987,4,LightYellow,D
106,1955,17.49567185734432,4,LightYellow,D
107,1956,17.02715071682471,4,LightYellow,D
108,1957,16.95345450557946,4,LightYellow,D
