Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,22.155964299031325,5,Vanilla,E
2,1851,23.18449100769696,5,Vanilla,E
3,1852,23.922879705376047,5,Vanilla,E
4,1853,22.599391578146946,5,Vanilla,E
5,1854,24.87842472185656,5,Vanilla,E
6,1855,22.55505935749416,5,Vanilla,E
7,1856,24.81546119302664,5,Vanilla,E
8,1857,25.72768548246437,5,Vanilla,E
9,1858,23.78647381361353,5,Vanilla,E
10,1859,26.153079329921358,5,Vanilla,E
11,1860,24.028852176200704,5,Vanilla,E
12,1861,22.543244101646508,5,Vanilla,E
13,1862,28.301412032296444,5,Vanilla,E
14,1863,26.363213534035392,5,Vanilla,E
15,1864,27.094451653296804,5,Vanilla,E
16,1865,26.104881692616413,5,Vanilla,E
17,1866,27.57434570917944,5,Vanilla,E
18,1867,25.396054789903765,5,Vanilla,E
19,1868,26.61516920131758,5,Vanilla,E
20,1869,27.31335177330616,5,Vanilla,E
21,1870,25.474117234875255,5,Vanilla,E
22,1871,28.4605043533321,5,Vanilla,E
23,1872,28.368677719201965,5,Vanilla,E
24,1873,27.574918224774397,5,Vanilla,E
25,1874,29.213633807993162,5,Vanilla,E
26,1875,28.455995800527727,5,Vanilla,E
27,1876,27.525227796439143,5,Vanilla,E
28,1877,29.9849279186125,5,Vanilla,E
29,1878,30.076242578006312,6,Dandelion,F
30,1879,30.697739613143828,6,Dandelion,F
31,1880,30.378840273463666,6,Dandelion,F
32,1881,28.95801734556392,5,Vanilla,E
33,1882,30.51482099365221,6,Dandelion,F
34,1883,31.75936860483398,6,Dandelion,F
35,1884,29.860893087539033,5,Vanilla,E
36,1885,32.26607139798891,6,Dandelion,F
37,1886,32.82321435205259,6,Dandelion,F
38,1887,29.882768885553713,5,Vanilla,E
39,1888,30.448754356848845,6,Dandelion,F
40,1889,31.533978053642244,6,Dandelion,F
41,1890,34.37063211279963,6,Dandelion,F
42,1891,30.054515225486078,6,Dandelion,F
43,1892,32.43508572298132,6,Dandelion,F
44,1893,31.233171024761116,6,Dandelion,F
45,1894,31.591433101998515,6,Dandelion,F
46,1895,33.63585561135383,6,Dandelion,F
47,1896,31.1254478421191,6,Dandelion,F
48,1897,36.389532118771626,6,Dandelion,F
49,1898,35.02389720283734,6,Dandelion,F
50,1899,32.7838687168099,6,Dandelion,F
51,1900,35.11007338286616,6,Dandelion,F
52,1901,34.828900407244724,6,Dandelion,F
53,1902,34.98321502799084,6,Dandelion,F
54,1903,33.83448206677527,6,Dandelion,F
55,1904,35.00764358552052,6,Dandelion,F
56,1905,37.0570821693805,6,Dandelion,F
57,1906,36.61689761291876,6,Dandelion,F
58,1907,38.50241152694081,6,Dandelion,F
59,1908,35.271430441736925,6,Dandelion,F
60,1909,39.24750575258841,6,Dandelion,F
61,1910,42.57711084306891,7,Tangerine,G
62,1911,37.353418882648434,6,Dandelion,F
63,1912,39.80216136703354,6,Dandelion,F
64,1913,43.27235922535054,7,Tangerine,G
65,1914,36.29398135799497,6,Dandelion,F
66,1915,38.287918479702675,6,Dandelion,F
67,1916,36.87442004093673,6,Dandelion,F
68,1917,36.83029290887877,6,Dandelion,F
69,1918,41.50776534812401,7,Tangerine,G
70,1919,34.7322503411691,6,Dandelion,F
71,1920,35.82455841173246,6,Dandelion,F
72,1921,35.815846525653946,6,Dandelion,F
73,1922,35.94897707269333,6,Dandelion,F
74,1923,34.417382935810494,6,Dandelion,F
75,1924,36.6477287714019,6,Dandelion,F
76,1925,35.936023081918485,6,Dandelion,F
77,1926,34.00742019403738,6,Dandelion,F
78,1927,34.090329932846956,6,Dandelion,F
79,1928,34.14468365669859,6,Dandelion,F
80,1929,34.52855561990657,6,Dandelion,F
81,1930,36.66180919435413,6,Dandelion,F
82,1931,40.58952231638405,7,Tangerine,G
83,1932,36.38995431573079,6,Dandelion,F
84,1933,35.651083287392595,6,Dandelion,F
85,1934,40.084508606885564,7,Tangerine,G
86,1935,39.81199579107086,6,Dandelion,F
87,1936,44.41038569177988,7,Tangerine,G
88,1937,40.37848719925173,7,Tangerine,G
89,1938,39.727864282242834,6,Dandelion,F
90,1939,39.28421423004688,6,Dandelion,F
91,1940,44.47602126033513,7,Tangerine,G
92,1941,38.671963304542174,6,Dandelion,F
93,1942,40.28334856811498,7,Tangerine,G
94,1943,47.358401864021246,7,Tangerine,G
95,1944,43.83764227233205,7,Tangerine,G
96,1945,36.63583024961521,6,Dandelion,F
97,1946,37.633947729892064,6,Dandelion,F
98,1947,37.60924288687417,6,Dandelion,F
99,1948,38.643853623466654,6,Dandelion,F
100,1949,41.63307122943423,7,Tangerine,G
101,1950,40.35076478519073,7,Tangerine,G
102,1951,45.405848866990524,7,Tangerine,G
103,1952,45.22834443230743,7,Tangerine,G
104,1953,45.468658685129014,7,Tangerine,G
105,1954,48.24459090277317,7,Tangerine,G
106,1955,46.78312767225702,7,Tangerine,G
107,1956,46.089224048534916,7,Tangerine,G
108,1957,51.074090379998104,8,Mustard,H
109,1958,45.356848089273555,7,Tangerine,G
110,1959,49.77478229650689,7,Tangerine,G
111,1960,46.64733285102935,7,Tangerine,G
112,1961,48.324224354091,7,Tangerine,G
113,1962,48.70562154406788,7,Tangerine,G
114,1963,50.396604472165556,8,Mustard,H
115,1964,51.10340234831014,8,Mustard,H
116,1965,48.99721900672285,7,Tangerine,G
117,1966,51.264354667443214,8,Mustard,H
118,1967,47.48269871652931,7,Tangerine,G
119,1968,56.10680050972248,8,Mustard,H
120,1969,50.63852963757964,8,Mustard,H
121,1970,50.34569193255521,8,Mustard,H
122,1971,50.105682355274396,8,Mustard,H
123,1972,49.571747224582154,7,Tangerine,G
124,1973,49.649905017750974,7,Tangerine,G
125,1974,52.532239484632385,8,Mustard,H
126,1975,50.80723102070495,8,Mustard,H
127,1976,49.26382693493368,7,Tangerine,G
128,1977,48.532130026075144,7,Tangerine,G
129,1978,51.13234849548036,8,Mustard,H
130,1979,47.19902873313034,7,Tangerine,G
131,1980,48.729519678709096,7,Tangerine,G
132,1981,48.04410384029052,7,Tangerine,G
133,1982,47.293564702698916,7,Tangerine,G
134,1983,43.52090460620108,7,Tangerine,G
135,1984,44.620450680931015,7,Tangerine,G
136,1985,41.612748398609384,7,Tangerine,G
137,1986,41.7169097008548,7,Tangerine,G
138,1987,36.68025272392779,6,Dandelion,F
139,1988,38.45133998991084,6,Dandelion,F
140,1989,38.558367994099804,6,Dandelion,F
141,1990,39.73714793802611,6,Dandelion,F
142,1991,37.22789554284949,6,Dandelion,F
143,1992,34.03552839780215,6,Dandelion,F
144,1993,34.23389167759961,6,Dandelion,F
145,1994,29.228151057221957,5,Vanilla,E
146,1995,29.040412284664097,5,Vanilla,E
147,1996,25.165465568603338,5,Vanilla,E
148,1997,23.979801784197868,5,Vanilla,E
149,1998,26.072077311426952,5,Vanilla,E
150,1999,27.445097424880554,5,Vanilla,E
151,2000,24.713028969513342,5,Vanilla,E
152,2001,24.90833282470703,5,Vanilla,E
153,2002,31.274999618530273,6,Dandelion,F
154,2003,23.649999618530273,5,Vanilla,E
155,2004,23.59166717529297,5,Vanilla,E
156,2005,23.98333168029785,5,Vanilla,E
157,2006,25.60833168029785,5,Vanilla,E
158,2007,20.08333396911621,5,Vanilla,E
159,2008,18.92500114440918,4,LightYellow,D
160,2009,25.191665649414062,5,Vanilla,E
161,2010,32.70833206176758,6,Dandelion,F
162,2011,18.17500114440918,4,LightYellow,D
163,2012,20.508333206176758,5,Vanilla,E
164,2013,21.075000762939453,5,Vanilla,E
165,2014,21.98333168029785,5,Vanilla,E
166,2015,17.933332443237305,4,LightYellow,D
167,2016,18.516664505004883,4,LightYellow,D
168,2017,19.66666603088379,4,LightYellow,D
169,2018,18.466665267944336,4,LightYellow,D
170,2019,16.69999885559082,4,LightYellow,D
171,2020,16.32499885559082,4,LightYellow,D
172,2021,17.83333396911621,4,LightYellow,D
173,2022,17.83333396911621,4,LightYellow,D
