Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,44.85450076982779,7,Tangerine,G
2,1851,50.44844960742717,8,Mustard,H
3,1852,48.674069007596735,7,Tangerine,G
4,1853,42.91722666719593,7,Tangerine,G
5,1854,46.60663671343681,7,Tangerine,G
6,1855,49.36545442065002,7,Tangerine,G
7,1856,46.20501899455469,7,Tangerine,G
8,1857,47.82961838041758,7,Tangerine,G
9,1858,43.16737060179903,7,Tangerine,G
10,1859,44.37246302738547,7,Tangerine,G
11,1860,52.64630056481516,8,Mustard,H
12,1861,54.74562900472408,8,Mustard,H
13,1862,50.05000888119833,8,Mustard,H
14,1863,42.894371308327365,7,Tangerine,G
15,1864,42.246576110282724,7,Tangerine,G
16,1865,50.95883803820523,8,Mustard,H
17,1866,49.65746118705729,7,Tangerine,G
18,1867,48.719319330522374,7,Tangerine,G
19,1868,45.517655909712595,7,Tangerine,G
20,1869,51.313720854088345,8,Mustard,H
21,1870,51.77046801376077,8,Mustard,H
22,1871,42.11797378238571,7,Tangerine,G
23,1872,47.03753870782681,7,Tangerine,G
24,1873,47.26783976859547,7,Tangerine,G
25,1874,46.14588645117776,7,Tangerine,G
26,1875,46.325154015902214,7,Tangerine,G
27,1876,45.37373820909924,7,Tangerine,G
28,1877,44.191803746832605,7,Tangerine,G
29,1878,47.52178547804588,7,Tangerine,G
30,1879,46.25901583150634,7,Tangerine,G
31,1880,49.2755612107014,7,Tangerine,G
32,1881,51.34647852360218,8,Mustard,H
33,1882,57.15602491523755,8,Mustard,H
34,1883,45.747282657083076,7,Tangerine,G
35,1884,41.4554505953564,7,Tangerine,G
36,1885,45.8943468301065,7,Tangerine,G
37,1886,45.31088749200705,7,Tangerine,G
38,1887,49.42858557480414,7,Tangerine,G
39,1888,42.11223479772387,7,Tangerine,G
40,1889,45.5278338398772,7,Tangerine,G
41,1890,42.022140923273106,7,Tangerine,G
42,1891,46.360795413252085,7,Tangerine,G
43,1892,47.633729355762284,7,Tangerine,G
44,1893,50.2118406562693,8,Mustard,H
45,1894,46.31972303455235,7,Tangerine,G
46,1895,46.319863467268156,7,Tangerine,G
47,1896,46.0756946838886,7,Tangerine,G
48,1897,44.82531404143547,7,Tangerine,G
49,1898,41.603483981039716,7,Tangerine,G
50,1899,49.24300965766001,7,Tangerine,G
51,1900,50.13385538942571,8,Mustard,H
52,1901,48.34417023639646,7,Tangerine,G
53,1902,45.649423026271336,7,Tangerine,G
54,1903,46.9381121434011,7,Tangerine,G
55,1904,51.29332164967128,8,Mustard,H
56,1905,49.05332158279698,7,Tangerine,G
57,1906,50.03980722241213,8,Mustard,H
58,1907,46.88206799674875,7,Tangerine,G
59,1908,50.07138045118998,8,Mustard,H
60,1909,45.90393380777612,7,Tangerine,G
61,1910,49.41876967791781,7,Tangerine,G
62,1911,46.65715511015222,7,Tangerine,G
63,1912,53.192348376049026,8,Mustard,H
64,1913,49.79760995945212,7,Tangerine,G
65,1914,53.90963364105793,8,Mustard,H
66,1915,49.34746786944898,7,Tangerine,G
67,1916,52.07813716875431,8,Mustard,H
68,1917,48.67466483746076,7,Tangerine,G
69,1918,46.206754036637626,7,Tangerine,G
70,1919,46.00533466519108,7,Tangerine,G
71,1920,48.07958330497586,7,Tangerine,G
72,1921,49.90004687981289,7,Tangerine,G
73,1922,48.605917683957514,7,Tangerine,G
74,1923,47.80791151829102,7,Tangerine,G
75,1924,46.94904755121942,7,Tangerine,G
76,1925,47.26649745770126,7,Tangerine,G
77,1926,48.78457695664345,7,Tangerine,G
78,1927,51.95115494137997,8,Mustard,H
79,1928,51.35142775347175,8,Mustard,H
80,1929,47.95780470167122,7,Tangerine,G
81,1930,46.423155641236484,7,Tangerine,G
82,1931,51.53044526677448,8,Mustard,H
83,1932,50.63890127128803,8,Mustard,H
84,1933,49.7973060741398,7,Tangerine,G
85,1934,45.7919751900804,7,Tangerine,G
86,1935,48.26196496335232,7,Tangerine,G
87,1936,47.057706990673424,7,Tangerine,G
88,1937,53.25098533481313,8,Mustard,H
89,1938,54.12592596565357,8,Mustard,H
90,1939,49.549067168521574,7,Tangerine,G
91,1940,46.68652654244737,7,Tangerine,G
92,1941,50.587530850160064,8,Mustard,H
93,1942,48.7870305246508,7,Tangerine,G
94,1943,51.7671369300903,8,Mustard,H
95,1944,50.04414085069023,8,Mustard,H
96,1945,48.024411125876476,7,Tangerine,G
97,1946,55.23633972303187,8,Mustard,H
98,1947,53.80790454473021,8,Mustard,H
99,1948,52.88805256707513,8,Mustard,H
100,1949,51.20408173848998,8,Mustard,H
101,1950,45.89174348563974,7,Tangerine,G
102,1951,44.893063172985826,7,Tangerine,G
