Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,9.035059924053929,2,PowderBlue,B
2,1851,9.04495007428587,2,PowderBlue,B
3,1852,8.600348250468116,2,PowderBlue,B
4,1853,8.49422572733805,2,PowderBlue,B
5,1854,8.548628355004846,2,PowderBlue,B
6,1855,9.211057901310067,2,PowderBlue,B
7,1856,9.03683022373983,2,PowderBlue,B
8,1857,9.159338897248341,2,PowderBlue,B
9,1858,8.624332102630099,2,PowderBlue,B
10,1859,8.277182300577188,2,PowderBlue,B
11,1860,8.34257154061255,2,PowderBlue,B
12,1861,9.005571977232941,2,PowderBlue,B
13,1862,8.729474600838326,2,PowderBlue,B
14,1863,8.302455330032961,2,PowderBlue,B
15,1864,9.140244157519813,2,PowderBlue,B
16,1865,9.493713872283053,2,PowderBlue,B
17,1866,8.371564740238203,2,PowderBlue,B
18,1867,8.63628741478347,2,PowderBlue,B
19,1868,9.463979742142058,2,PowderBlue,B
20,1869,9.02202915278858,2,PowderBlue,B
21,1870,9.252210498265118,2,PowderBlue,B
22,1871,8.30178021336207,2,PowderBlue,B
23,1872,8.42062333893946,2,PowderBlue,B
24,1873,8.600766069648392,2,PowderBlue,B
25,1874,9.037802234986819,2,PowderBlue,B
26,1875,9.831438205894514,2,PowderBlue,B
27,1876,8.817849141603952,2,PowderBlue,B
28,1877,8.902754785989112,2,PowderBlue,B
29,1878,9.045237790233225,2,PowderBlue,B
30,1879,9.191482722456652,2,PowderBlue,B
31,1880,9.248380582297253,2,PowderBlue,B
32,1881,9.216133505730708,2,PowderBlue,B
33,1882,9.586899543130654,2,PowderBlue,B
34,1883,8.975865314636845,2,PowderBlue,B
35,1884,8.746536229341158,2,PowderBlue,B
36,1885,8.541917525629197,2,PowderBlue,B
37,1886,8.707473076843494,2,PowderBlue,B
38,1887,9.411535888376893,2,PowderBlue,B
39,1888,9.079272299110269,2,PowderBlue,B
40,1889,8.86480461549323,2,PowderBlue,B
41,1890,8.704478838402823,2,PowderBlue,B
42,1891,8.97961208756129,2,PowderBlue,B
43,1892,9.292325970585278,2,PowderBlue,B
44,1893,9.362655837906598,2,PowderBlue,B
45,1894,9.189020292432733,2,PowderBlue,B
46,1895,9.358816347369713,2,PowderBlue,B
47,1896,8.982500285307626,2,PowderBlue,B
48,1897,8.640706417687081,2,PowderBlue,B
49,1898,9.008192609451328,2,PowderBlue,B
50,1899,9.849346500075189,2,PowderBlue,B
51,1900,10.493121131976514,3,CornflowerBlue,C
52,1901,9.368658012516516,2,PowderBlue,B
53,1902,9.40234171108776,2,PowderBlue,B
54,1903,9.22496984869268,2,PowderBlue,B
55,1904,10.042581451203134,3,CornflowerBlue,C
56,1905,9.957751089964587,2,PowderBlue,B
57,1906,9.572578194737321,2,PowderBlue,B
58,1907,9.641782084558042,2,PowderBlue,B
59,1908,9.54217443231261,2,PowderBlue,B
60,1909,9.741422601122872,2,PowderBlue,B
61,1910,10.1397194011578,3,CornflowerBlue,C
62,1911,10.11131925602849,3,CornflowerBlue,C
63,1912,9.901621417855873,2,PowderBlue,B
64,1913,10.377691455387692,3,CornflowerBlue,C
65,1914,10.348103099035484,3,CornflowerBlue,C
66,1915,10.928913377667687,3,CornflowerBlue,C
67,1916,10.557447044219682,3,CornflowerBlue,C
68,1917,9.77823257811557,2,PowderBlue,B
69,1918,10.423143024088787,3,CornflowerBlue,C
