Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,15.195237602015931,4,LightYellow,D
2,1851,14.085454783867744,3,CornflowerBlue,C
3,1852,14.060821314749937,3,CornflowerBlue,C
4,1853,14.18378765993353,3,CornflowerBlue,C
5,1854,14.586088193348711,3,CornflowerBlue,C
6,1855,14.126589616581615,3,CornflowerBlue,C
7,1856,14.527695759140748,3,CornflowerBlue,C
8,1857,13.635463422601598,3,CornflowerBlue,C
9,1858,13.69116711753905,3,CornflowerBlue,C
10,1859,14.216581449404249,3,CornflowerBlue,C
11,1860,14.157288913676595,3,CornflowerBlue,C
12,1861,14.316673078844994,3,CornflowerBlue,C
13,1862,14.05205029781466,3,CornflowerBlue,C
14,1863,13.446859788682545,3,CornflowerBlue,C
15,1864,13.821268873218285,3,CornflowerBlue,C
16,1865,13.110742515991559,3,CornflowerBlue,C
17,1866,14.093677247986417,3,CornflowerBlue,C
18,1867,14.612959514907256,3,CornflowerBlue,C
19,1868,14.45705530784899,3,CornflowerBlue,C
20,1869,13.58584463955294,3,CornflowerBlue,C
21,1870,13.591471208143002,3,CornflowerBlue,C
22,1871,13.174132425244602,3,CornflowerBlue,C
23,1872,13.61059849575491,3,CornflowerBlue,C
24,1873,14.18702435736741,3,CornflowerBlue,C
25,1874,13.903853490124346,3,CornflowerBlue,C
26,1875,13.47776292109774,3,CornflowerBlue,C
27,1876,14.164208876282766,3,CornflowerBlue,C
28,1877,13.01348051099725,3,CornflowerBlue,C
29,1878,13.538879361244808,3,CornflowerBlue,C
30,1879,13.453693342990436,3,CornflowerBlue,C
31,1880,14.142449153777843,3,CornflowerBlue,C
32,1881,13.657471411874994,3,CornflowerBlue,C
33,1882,14.020038562221304,3,CornflowerBlue,C
34,1883,13.186738197444265,3,CornflowerBlue,C
35,1884,13.554216402468553,3,CornflowerBlue,C
36,1885,14.61371870992833,3,CornflowerBlue,C
37,1886,14.248849989239515,3,CornflowerBlue,C
38,1887,13.8403705855848,3,CornflowerBlue,C
39,1888,13.8789811121503,3,CornflowerBlue,C
40,1889,14.133449647274421,3,CornflowerBlue,C
41,1890,13.864252648885461,3,CornflowerBlue,C
42,1891,14.331419777452233,3,CornflowerBlue,C
43,1892,15.08287874935313,4,LightYellow,D
44,1893,14.082003870101628,3,CornflowerBlue,C
45,1894,14.443913567954054,3,CornflowerBlue,C
46,1895,13.527813072370193,3,CornflowerBlue,C
47,1896,14.501917417619572,3,CornflowerBlue,C
48,1897,13.97215336951411,3,CornflowerBlue,C
49,1898,13.942354301156952,3,CornflowerBlue,C
50,1899,14.280904525216354,3,CornflowerBlue,C
51,1900,14.65650660437645,3,CornflowerBlue,C
52,1901,14.272860468746844,3,CornflowerBlue,C
53,1902,14.891241985802953,3,CornflowerBlue,C
54,1903,14.301837979438956,3,CornflowerBlue,C
55,1904,13.651841362501887,3,CornflowerBlue,C
56,1905,13.678380915396545,3,CornflowerBlue,C
57,1906,14.74386031663607,3,CornflowerBlue,C
58,1907,15.453439649219115,4,LightYellow,D
59,1908,13.974352209786863,3,CornflowerBlue,C
60,1909,14.601923852846125,3,CornflowerBlue,C
61,1910,14.35031693930857,3,CornflowerBlue,C
62,1911,14.869380738145212,3,CornflowerBlue,C
63,1912,14.208270967949295,3,CornflowerBlue,C
64,1913,15.246744365051434,4,LightYellow,D
65,1914,14.719335896459937,3,CornflowerBlue,C
66,1915,14.884103786196901,3,CornflowerBlue,C
67,1916,14.807868434150878,3,CornflowerBlue,C
68,1917,15.62798346688288,4,LightYellow,D
69,1918,15.292968100539811,4,LightYellow,D
70,1919,15.90546162579406,4,LightYellow,D
71,1920,15.767159860612056,4,LightYellow,D
72,1921,15.169820285122483,4,LightYellow,D
73,1922,14.99838743442766,3,CornflowerBlue,C
74,1923,16.30641729055577,4,LightYellow,D
75,1924,14.57995474959619,3,CornflowerBlue,C
76,1925,15.33248852987124,4,LightYellow,D
77,1926,15.042336845799941,4,LightYellow,D
78,1927,15.932028498508254,4,LightYellow,D
79,1928,15.364339213809101,4,LightYellow,D
80,1929,15.85907167597278,4,LightYellow,D
81,1930,15.494004942805132,4,LightYellow,D
82,1931,15.137271986363782,4,LightYellow,D
83,1932,15.495869857387909,4,LightYellow,D
84,1933,15.362926358087783,4,LightYellow,D
85,1934,15.40609064777919,4,LightYellow,D
86,1935,15.756558480616517,4,LightYellow,D
87,1936,15.855417473809515,4,LightYellow,D
88,1937,15.665386323771568,4,LightYellow,D
89,1938,15.794846355985284,4,LightYellow,D
90,1939,16.10426684746003,4,LightYellow,D
91,1940,15.002477925334224,4,LightYellow,D
92,1941,16.586625018656186,4,LightYellow,D
93,1942,16.15917792425574,4,LightYellow,D
94,1943,15.757307324179811,4,LightYellow,D
95,1944,15.99972169756207,4,LightYellow,D
96,1945,14.603679936880152,3,CornflowerBlue,C
97,1946,14.627934602728638,3,CornflowerBlue,C
98,1947,15.443903200636665,4,LightYellow,D
99,1948,15.168102968360047,4,LightYellow,D
100,1949,15.25754860694187,4,LightYellow,D
101,1950,16.21685966135433,4,LightYellow,D
102,1951,17.363400259670772,4,LightYellow,D
103,1952,16.50287789430824,4,LightYellow,D
104,1953,16.855296875238924,4,LightYellow,D
105,1954,17.944851929042205,4,LightYellow,D
106,1955,17.531986381027593,4,LightYellow,D
107,1956,19.15708529203828,4,LightYellow,D
108,1957,20.732270421516493,5,Vanilla,E
109,1958,23.04756989298109,5,Vanilla,E
110,1959,26.3954686600557,5,Vanilla,E
111,1960,28.260446898443725,5,Vanilla,E
112,1961,23.900654996107622,5,Vanilla,E
113,1962,22.523477278712047,5,Vanilla,E
114,1963,21.67767501017243,5,Vanilla,E
115,1964,21.607918661505188,5,Vanilla,E
116,1965,21.71113427595012,5,Vanilla,E
117,1966,22.60366522889572,5,Vanilla,E
118,1967,22.158536357639203,5,Vanilla,E
119,1968,22.078671466870983,5,Vanilla,E
120,1969,22.134803250634857,5,Vanilla,E
121,1970,23.851612778167684,5,Vanilla,E
122,1971,25.096695304325458,5,Vanilla,E
123,1972,26.98939887448649,5,Vanilla,E
124,1973,28.071160746114273,5,Vanilla,E
125,1974,27.000670573766563,5,Vanilla,E
126,1975,27.55400478937579,5,Vanilla,E
127,1976,30.22845503327181,6,Dandelion,F
128,1977,30.236873018831844,6,Dandelion,F
