Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,12.271784690539118,3,CornflowerBlue,C
2,1851,11.83693312356629,3,CornflowerBlue,C
3,1852,13.000435358995919,3,CornflowerBlue,C
4,1853,12.848723663787505,3,CornflowerBlue,C
5,1854,11.603924644946813,3,CornflowerBlue,C
6,1855,12.24573406974137,3,CornflowerBlue,C
7,1856,13.010613424835867,3,CornflowerBlue,C
8,1857,12.170249176533583,3,CornflowerBlue,C
9,1858,12.300043265530233,3,CornflowerBlue,C
10,1859,13.874876743818037,3,CornflowerBlue,C
11,1860,11.380739171876609,3,CornflowerBlue,C
12,1861,13.652190690444606,3,CornflowerBlue,C
13,1862,12.722089941691292,3,CornflowerBlue,C
14,1863,12.646133050621449,3,CornflowerBlue,C
15,1864,14.256820420525862,3,CornflowerBlue,C
16,1865,12.824233188904696,3,CornflowerBlue,C
17,1866,13.164519347476459,3,CornflowerBlue,C
18,1867,13.697381277005569,3,CornflowerBlue,C
19,1868,13.82653978429738,3,CornflowerBlue,C
20,1869,13.17492101346081,3,CornflowerBlue,C
21,1870,13.03060595072972,3,CornflowerBlue,C
22,1871,13.072069089546813,3,CornflowerBlue,C
23,1872,12.772911591942519,3,CornflowerBlue,C
24,1873,14.01081247842968,3,CornflowerBlue,C
25,1874,12.9322621800174,3,CornflowerBlue,C
26,1875,13.155958803412457,3,CornflowerBlue,C
27,1876,13.383203963724577,3,CornflowerBlue,C
28,1877,13.90866793423353,3,CornflowerBlue,C
29,1878,13.133901313940815,3,CornflowerBlue,C
30,1879,13.089401274452523,3,CornflowerBlue,C
31,1880,13.58456041573582,3,CornflowerBlue,C
32,1881,13.750131883043432,3,CornflowerBlue,C
33,1882,13.360849035718752,3,CornflowerBlue,C
34,1883,13.857626909815172,3,CornflowerBlue,C
35,1884,13.815138044350995,3,CornflowerBlue,C
36,1885,14.413406374152638,3,CornflowerBlue,C
37,1886,14.06779013829071,3,CornflowerBlue,C
38,1887,13.866574963846722,3,CornflowerBlue,C
39,1888,14.456014321160561,3,CornflowerBlue,C
40,1889,14.116164924459667,3,CornflowerBlue,C
41,1890,13.381396640867413,3,CornflowerBlue,C
42,1891,14.794865315380893,3,CornflowerBlue,C
43,1892,13.380576662744732,3,CornflowerBlue,C
44,1893,13.845562937873195,3,CornflowerBlue,C
45,1894,15.021479575304825,4,LightYellow,D
46,1895,14.663814043395977,3,CornflowerBlue,C
47,1896,13.675212369585255,3,CornflowerBlue,C
48,1897,15.185090102445976,4,LightYellow,D
49,1898,14.265239486608868,3,CornflowerBlue,C
50,1899,14.84655850058731,3,CornflowerBlue,C
51,1900,14.686882170939453,3,CornflowerBlue,C
52,1901,15.770407266537529,4,LightYellow,D
53,1902,14.740657061191552,3,CornflowerBlue,C
54,1903,15.290472847706452,4,LightYellow,D
55,1904,15.092876326715732,4,LightYellow,D
56,1905,16.24674686873316,4,LightYellow,D
57,1906,15.885237477832447,4,LightYellow,D
58,1907,17.124567039826857,4,LightYellow,D
59,1908,16.390146009283903,4,LightYellow,D
60,1909,15.613566472588642,4,LightYellow,D
61,1910,16.033888407780072,4,LightYellow,D
62,1911,15.875548741224957,4,LightYellow,D
63,1912,16.022988056722067,4,LightYellow,D
64,1913,15.948793704493387,4,LightYellow,D
65,1914,16.029810774083384,4,LightYellow,D
66,1915,15.127923848870203,4,LightYellow,D
67,1916,16.45475298605606,4,LightYellow,D
68,1917,14.496874191238305,3,CornflowerBlue,C
69,1918,15.112306775664498,4,LightYellow,D
70,1919,15.797407780436846,4,LightYellow,D
71,1920,15.053323815985193,4,LightYellow,D
72,1921,14.303252733907485,3,CornflowerBlue,C
73,1922,14.699157468412166,3,CornflowerBlue,C
74,1923,15.171074825246304,4,LightYellow,D
75,1924,16.556871671730125,4,LightYellow,D
76,1925,15.875795243402052,4,LightYellow,D
77,1926,16.413937140694824,4,LightYellow,D
78,1927,16.90707308180806,4,LightYellow,D
79,1928,15.931606514294938,4,LightYellow,D
80,1929,16.37542141501419,4,LightYellow,D
81,1930,16.021071408050574,4,LightYellow,D
82,1931,16.304093209029915,4,LightYellow,D
83,1932,15.51782421766432,4,LightYellow,D
84,1933,15.469627634704402,4,LightYellow,D
85,1934,15.821704577514437,4,LightYellow,D
86,1935,15.786657610563239,4,LightYellow,D
87,1936,16.532053744981734,4,LightYellow,D
88,1937,17.188648398884,4,LightYellow,D
89,1938,17.650797543176374,4,LightYellow,D
90,1939,18.56243719323119,4,LightYellow,D
91,1940,16.9971213549649,4,LightYellow,D
92,1941,16.9254109497365,4,LightYellow,D
93,1942,16.394796360264195,4,LightYellow,D
94,1943,16.164104088514463,4,LightYellow,D
95,1944,14.152051731445164,3,CornflowerBlue,C
96,1945,13.44114758601408,3,CornflowerBlue,C
97,1946,15.380232119187077,4,LightYellow,D
98,1947,17.717859492521896,4,LightYellow,D
99,1948,17.37432634768603,4,LightYellow,D
100,1949,17.12787813544236,4,LightYellow,D
101,1950,16.937873639479662,4,LightYellow,D
102,1951,18.467888821042727,4,LightYellow,D
103,1952,17.066272765664745,4,LightYellow,D
104,1953,17.174132347062574,4,LightYellow,D
105,1954,18.180082306450963,4,LightYellow,D
106,1955,19.707685856702312,4,LightYellow,D
107,1956,19.316209508886235,4,LightYellow,D
108,1957,19.69992617575497,4,LightYellow,D
109,1958,20.33759262220514,5,Vanilla,E
110,1959,20.643104928153463,5,Vanilla,E
111,1960,21.67805448499352,5,Vanilla,E
112,1961,23.933759990483534,5,Vanilla,E
113,1962,24.859958592999824,5,Vanilla,E
114,1963,24.179946241689017,5,Vanilla,E
115,1964,25.53665297923603,5,Vanilla,E
116,1965,26.480578272177176,5,Vanilla,E
117,1966,25.731712993153533,5,Vanilla,E
118,1967,26.467095402594154,5,Vanilla,E
119,1968,26.613822448326722,5,Vanilla,E
120,1969,27.42422187156747,5,Vanilla,E
121,1970,27.446892084026686,5,Vanilla,E
122,1971,27.662221186361407,5,Vanilla,E
123,1972,29.757408954573815,5,Vanilla,E
124,1973,28.879920002750563,5,Vanilla,E
125,1974,30.985087912303957,6,Dandelion,F
126,1975,28.76456409360593,5,Vanilla,E
127,1976,27.632580055454138,5,Vanilla,E
128,1977,28.40927861243614,5,Vanilla,E
129,1978,29.93078554851257,5,Vanilla,E
130,1979,31.327239435264463,6,Dandelion,F
131,1980,33.49429217565491,6,Dandelion,F
132,1981,30.7596669882497,6,Dandelion,F
133,1982,27.835155097847476,5,Vanilla,E
134,1983,28.525963417357907,5,Vanilla,E
135,1984,27.406137402200237,5,Vanilla,E
136,1985,27.763613413204443,5,Vanilla,E
137,1986,26.250682902358157,5,Vanilla,E
138,1987,28.107082279809408,5,Vanilla,E
139,1988,27.378280810257092,5,Vanilla,E
140,1989,27.82650097494056,5,Vanilla,E
141,1990,25.463839785030373,5,Vanilla,E
142,1991,25.013319589555667,5,Vanilla,E
143,1992,24.024914555515235,5,Vanilla,E
144,1993,22.21424891129454,5,Vanilla,E
145,1994,22.60930329475087,5,Vanilla,E
146,1995,21.107179897537527,5,Vanilla,E
147,1996,20.714144663915455,5,Vanilla,E
148,1997,20.95315702844174,5,Vanilla,E
149,1998,19.71485235281149,4,LightYellow,D
150,1999,18.04120905526952,4,LightYellow,D
151,2000,19.137436879578583,4,LightYellow,D
152,2001,17.433332443237305,4,LightYellow,D
153,2002,18.28333282470703,4,LightYellow,D
154,2003,18.649999618530273,4,LightYellow,D
155,2004,17.516666412353516,4,LightYellow,D
156,2005,17.058332443237305,4,LightYellow,D
157,2006,19.774999618530273,4,LightYellow,D
158,2007,20.191667556762695,5,Vanilla,E
159,2008,20.20833396911621,5,Vanilla,E
160,2009,18.033334732055664,4,LightYellow,D
161,2010,17.008333206176758,4,LightYellow,D
162,2011,19.0,4,LightYellow,D
163,2012,17.79166603088379,4,LightYellow,D
164,2013,17.19999885559082,4,LightYellow,D
165,2014,15.125,4,LightYellow,D
166,2015,17.90833282470703,4,LightYellow,D
167,2016,14.866665840148926,3,CornflowerBlue,C
168,2017,14.433334350585938,3,CornflowerBlue,C
169,2018,14.041666984558105,3,CornflowerBlue,C
170,2019,13.550000190734863,3,CornflowerBlue,C
171,2020,14.783333778381348,3,CornflowerBlue,C
172,2021,14.625000953674316,3,CornflowerBlue,C
173,2022,14.791666984558105,3,CornflowerBlue,C
