Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,16.82217577725685,4,LightYellow,D
2,1851,17.916302044161768,4,LightYellow,D
3,1852,18.45702334563502,4,LightYellow,D
4,1853,17.819919566834407,4,LightYellow,D
5,1854,18.029032075721744,4,LightYellow,D
6,1855,18.623196216810143,4,LightYellow,D
7,1856,20.403452168373413,5,Vanilla,E
8,1857,19.34303863914663,4,LightYellow,D
9,1858,20.18531507192618,5,Vanilla,E
10,1859,21.426646176215367,5,Vanilla,E
11,1860,21.261434905451626,5,Vanilla,E
12,1861,20.162967557000183,5,Vanilla,E
13,1862,21.059424853845016,5,Vanilla,E
14,1863,20.739676085038056,5,Vanilla,E
15,1864,20.893541658253863,5,Vanilla,E
16,1865,22.645861547484596,5,Vanilla,E
17,1866,22.609769447183115,5,Vanilla,E
18,1867,22.86693507683472,5,Vanilla,E
19,1868,22.92411100891292,5,Vanilla,E
20,1869,24.721083438073823,5,Vanilla,E
21,1870,24.224933410286457,5,Vanilla,E
22,1871,23.748818535569388,5,Vanilla,E
23,1872,26.17171566280503,5,Vanilla,E
24,1873,25.18968488825893,5,Vanilla,E
25,1874,24.251221902720783,5,Vanilla,E
26,1875,23.357093737830834,5,Vanilla,E
27,1876,24.910936377653673,5,Vanilla,E
28,1877,25.22224463865433,5,Vanilla,E
29,1878,23.69880700974498,5,Vanilla,E
30,1879,23.889519120859337,5,Vanilla,E
31,1880,25.08719040271372,5,Vanilla,E
32,1881,25.456958542431053,5,Vanilla,E
33,1882,25.145081669770892,5,Vanilla,E
34,1883,24.044583581305734,5,Vanilla,E
35,1884,24.39578401318859,5,Vanilla,E
36,1885,23.881634099554603,5,Vanilla,E
37,1886,24.984086402993785,5,Vanilla,E
38,1887,24.520907501894115,5,Vanilla,E
39,1888,25.20241417878447,5,Vanilla,E
40,1889,23.2561764085841,5,Vanilla,E
41,1890,25.965457980238536,5,Vanilla,E
42,1891,26.085740439699965,5,Vanilla,E
43,1892,25.926815248914362,5,Vanilla,E
44,1893,27.59603949610882,5,Vanilla,E
45,1894,25.540806004443066,5,Vanilla,E
46,1895,24.87125615722211,5,Vanilla,E
47,1896,25.471874841067603,5,Vanilla,E
48,1897,26.059193094450652,5,Vanilla,E
49,1898,27.07866378145527,5,Vanilla,E
50,1899,25.685862857141103,5,Vanilla,E
51,1900,26.996582629336068,5,Vanilla,E
52,1901,28.25839691612753,5,Vanilla,E
53,1902,30.067516930239872,6,Dandelion,F
54,1903,29.367198996169808,5,Vanilla,E
55,1904,31.646019848301442,6,Dandelion,F
56,1905,30.71452967736083,6,Dandelion,F
57,1906,32.267506541405275,6,Dandelion,F
58,1907,33.73040676449395,6,Dandelion,F
59,1908,31.35053158969162,6,Dandelion,F
60,1909,34.159761024922496,6,Dandelion,F
61,1910,33.61786433675972,6,Dandelion,F
62,1911,33.87687951985232,6,Dandelion,F
63,1912,34.600258633776804,6,Dandelion,F
64,1913,36.4587685315833,6,Dandelion,F
65,1914,33.94196711350038,6,Dandelion,F
66,1915,33.39364665607627,6,Dandelion,F
67,1916,35.20819462209752,6,Dandelion,F
68,1917,36.32228113101226,6,Dandelion,F
69,1918,36.808130355939056,6,Dandelion,F
70,1919,31.48964415317443,6,Dandelion,F
71,1920,35.47351131844709,6,Dandelion,F
72,1921,32.998040591949646,6,Dandelion,F
73,1922,30.217472302196832,6,Dandelion,F
74,1923,34.36362052242093,6,Dandelion,F
75,1924,31.930950272224056,6,Dandelion,F
76,1925,31.971907585482725,6,Dandelion,F
77,1926,33.49177864635741,6,Dandelion,F
78,1927,31.404986344126943,6,Dandelion,F
79,1928,30.967198304501586,6,Dandelion,F
80,1929,32.00070844452398,6,Dandelion,F
81,1930,26.938527846518998,5,Vanilla,E
82,1931,24.65692295307329,5,Vanilla,E
83,1932,22.511931452056924,5,Vanilla,E
84,1933,23.737485988657216,5,Vanilla,E
85,1934,23.30402833795171,5,Vanilla,E
86,1935,23.437048946364158,5,Vanilla,E
87,1936,25.308774098392032,5,Vanilla,E
88,1937,27.06805133519401,5,Vanilla,E
89,1938,23.247780205699282,5,Vanilla,E
90,1939,25.27894790336427,5,Vanilla,E
91,1940,26.135143688513004,5,Vanilla,E
92,1941,25.45284854888655,5,Vanilla,E
93,1942,28.758394459715383,5,Vanilla,E
94,1943,26.60900899451829,5,Vanilla,E
95,1944,28.827921608101,5,Vanilla,E
96,1945,26.189994253212657,5,Vanilla,E
97,1946,25.915629950346215,5,Vanilla,E
98,1947,26.56029679835804,5,Vanilla,E
99,1948,26.970908173351337,5,Vanilla,E
100,1949,22.565046694057568,5,Vanilla,E
101,1950,24.066424575954912,5,Vanilla,E
102,1951,23.87599549635803,5,Vanilla,E
103,1952,22.448885156775898,5,Vanilla,E
104,1953,21.199211457951282,5,Vanilla,E
105,1954,20.007015524360604,5,Vanilla,E
106,1955,21.709542421768145,5,Vanilla,E
107,1956,22.67893484027104,5,Vanilla,E
108,1957,22.095949920879757,5,Vanilla,E
109,1958,19.771028038279947,4,LightYellow,D
110,1959,20.897722068392607,5,Vanilla,E
111,1960,19.836447510142495,4,LightYellow,D
112,1961,21.78904815554158,5,Vanilla,E
113,1962,21.4025739578231,5,Vanilla,E
114,1963,22.27935425208687,5,Vanilla,E
115,1964,21.251067441268145,5,Vanilla,E
116,1965,20.308193926860078,5,Vanilla,E
117,1966,20.982859875789817,5,Vanilla,E
