Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,40.06037584998109,7,Tangerine,G
2,1851,44.56256912463151,7,Tangerine,G
3,1852,44.45891832949562,7,Tangerine,G
4,1853,39.55013941665274,6,Dandelion,F
5,1854,41.08629799170041,7,Tangerine,G
6,1855,45.319276945131485,7,Tangerine,G
7,1856,41.978567383717355,7,Tangerine,G
8,1857,44.64554057967693,7,Tangerine,G
9,1858,39.54368260974702,6,Dandelion,F
10,1859,42.001510373696384,7,Tangerine,G
11,1860,46.688834903832884,7,Tangerine,G
12,1861,48.20888598693473,7,Tangerine,G
13,1862,42.2825952975305,7,Tangerine,G
14,1863,37.08363804418423,6,Dandelion,F
15,1864,37.3103593413129,6,Dandelion,F
16,1865,45.29255645452223,7,Tangerine,G
17,1866,43.66934475605409,7,Tangerine,G
18,1867,43.535491190081295,7,Tangerine,G
19,1868,43.154481238186484,7,Tangerine,G
20,1869,46.34350295229864,7,Tangerine,G
21,1870,45.16133093671766,7,Tangerine,G
22,1871,40.62913763492469,7,Tangerine,G
23,1872,39.99852246764802,6,Dandelion,F
24,1873,42.07678897855108,7,Tangerine,G
25,1874,41.94285567999773,7,Tangerine,G
26,1875,42.50717356128751,7,Tangerine,G
27,1876,42.88907506131367,7,Tangerine,G
28,1877,40.389284875239184,7,Tangerine,G
29,1878,42.29084756725309,7,Tangerine,G
30,1879,46.05752932140724,7,Tangerine,G
31,1880,44.10560405122945,7,Tangerine,G
32,1881,45.724534711208534,7,Tangerine,G
33,1882,50.85834782072484,8,Mustard,H
34,1883,40.041215510144504,7,Tangerine,G
35,1884,38.48741479076315,6,Dandelion,F
36,1885,43.24704715748152,7,Tangerine,G
37,1886,40.45448342734206,7,Tangerine,G
38,1887,44.97227276252943,7,Tangerine,G
39,1888,38.59362148369988,6,Dandelion,F
40,1889,41.49730270553849,7,Tangerine,G
41,1890,39.38506584014446,6,Dandelion,F
42,1891,45.44064182904461,7,Tangerine,G
43,1892,45.563446388707376,7,Tangerine,G
44,1893,44.6348905870604,7,Tangerine,G
45,1894,40.920541422762724,7,Tangerine,G
46,1895,42.83031194369435,7,Tangerine,G
