Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,10.492930728422676,3,CornflowerBlue,C
2,1851,10.75215345771336,3,CornflowerBlue,C
3,1852,11.655148736065922,3,CornflowerBlue,C
4,1853,11.796412649820102,3,CornflowerBlue,C
5,1854,10.64117643847607,3,CornflowerBlue,C
6,1855,11.873356238999678,3,CornflowerBlue,C
7,1856,11.96321618412707,3,CornflowerBlue,C
8,1857,11.993855720202962,3,CornflowerBlue,C
9,1858,11.273802665145977,3,CornflowerBlue,C
10,1859,12.135737951497358,3,CornflowerBlue,C
11,1860,11.541982953893267,3,CornflowerBlue,C
12,1861,13.002065583555899,3,CornflowerBlue,C
13,1862,12.56300973797773,3,CornflowerBlue,C
14,1863,12.14758286425782,3,CornflowerBlue,C
15,1864,13.404149911732931,3,CornflowerBlue,C
16,1865,12.620167922191303,3,CornflowerBlue,C
17,1866,13.289541524436958,3,CornflowerBlue,C
18,1867,12.910364717293962,3,CornflowerBlue,C
19,1868,13.213846874484227,3,CornflowerBlue,C
20,1869,12.577144264721612,3,CornflowerBlue,C
21,1870,12.773077079241657,3,CornflowerBlue,C
22,1871,12.775596901504107,3,CornflowerBlue,C
23,1872,12.595538015457796,3,CornflowerBlue,C
24,1873,13.117501267605917,3,CornflowerBlue,C
25,1874,12.747078348291677,3,CornflowerBlue,C
26,1875,13.846306650577226,3,CornflowerBlue,C
27,1876,12.81745118116393,3,CornflowerBlue,C
28,1877,13.876086750866293,3,CornflowerBlue,C
29,1878,13.577607196705994,3,CornflowerBlue,C
30,1879,12.813000672058937,3,CornflowerBlue,C
31,1880,13.764922895155248,3,CornflowerBlue,C
32,1881,14.117215694408497,3,CornflowerBlue,C
33,1882,14.704964712910037,3,CornflowerBlue,C
34,1883,13.787110153968237,3,CornflowerBlue,C
35,1884,14.171673718516725,3,CornflowerBlue,C
36,1885,14.709671777423372,3,CornflowerBlue,C
37,1886,14.653752706439546,3,CornflowerBlue,C
38,1887,14.378734465892547,3,CornflowerBlue,C
39,1888,14.316497129236335,3,CornflowerBlue,C
40,1889,14.355449614058019,3,CornflowerBlue,C
41,1890,14.319967956390851,3,CornflowerBlue,C
42,1891,15.226665802843023,4,LightYellow,D
43,1892,14.159003980065236,3,CornflowerBlue,C
44,1893,14.4318181150518,3,CornflowerBlue,C
45,1894,15.026517295015337,4,LightYellow,D
46,1895,15.08798749916814,4,LightYellow,D
47,1896,14.732224878975941,3,CornflowerBlue,C
48,1897,16.784768462770657,4,LightYellow,D
49,1898,15.352548364695098,4,LightYellow,D
50,1899,17.000306539746084,4,LightYellow,D
51,1900,16.63256405228686,4,LightYellow,D
52,1901,17.244146379430664,4,LightYellow,D
53,1902,16.914511531247445,4,LightYellow,D
54,1903,17.46372758132146,4,LightYellow,D
55,1904,16.655199656013377,4,LightYellow,D
56,1905,18.312757135685626,4,LightYellow,D
57,1906,17.124407504084072,4,LightYellow,D
58,1907,18.876173216199973,4,LightYellow,D
59,1908,19.77001803399956,4,LightYellow,D
60,1909,18.493082680256386,4,LightYellow,D
61,1910,18.763174121714826,4,LightYellow,D
62,1911,18.006813416335728,4,LightYellow,D
63,1912,19.289144362566063,4,LightYellow,D
64,1913,18.664881382167497,4,LightYellow,D
65,1914,16.753448916414765,4,LightYellow,D
66,1915,16.20459381335781,4,LightYellow,D
67,1916,16.799254661720802,4,LightYellow,D
68,1917,15.731711656740751,4,LightYellow,D
69,1918,15.863510468045785,4,LightYellow,D
70,1919,17.252171973541994,4,LightYellow,D
71,1920,17.555631010264957,4,LightYellow,D
72,1921,16.526823289223405,4,LightYellow,D
73,1922,18.24068120661021,4,LightYellow,D
74,1923,18.36387154668225,4,LightYellow,D
75,1924,20.759942608570164,5,Vanilla,E
76,1925,19.894113850055504,4,LightYellow,D
77,1926,20.263753539106606,5,Vanilla,E
78,1927,20.286990113522453,5,Vanilla,E
79,1928,21.32967710462818,5,Vanilla,E
80,1929,21.25478655624172,5,Vanilla,E
81,1930,20.48241818632205,5,Vanilla,E
82,1931,20.86183455853006,5,Vanilla,E
83,1932,18.93197853830448,4,LightYellow,D
84,1933,19.383051935239276,4,LightYellow,D
85,1934,19.009923856231087,4,LightYellow,D
86,1935,19.589050715989558,4,LightYellow,D
87,1936,20.339210984887334,5,Vanilla,E
88,1937,21.414139549942806,5,Vanilla,E
89,1938,20.611734441561055,5,Vanilla,E
90,1939,21.703911280876643,5,Vanilla,E
91,1940,17.738291425553633,4,LightYellow,D
92,1941,17.56688213316058,4,LightYellow,D
93,1942,16.534788046770252,4,LightYellow,D
94,1943,18.10290440966097,4,LightYellow,D
95,1944,14.847816496497426,3,CornflowerBlue,C
96,1945,15.297890805060002,4,LightYellow,D
97,1946,17.419379855695333,4,LightYellow,D
98,1947,19.488443412023905,4,LightYellow,D
99,1948,20.387014771085294,5,Vanilla,E
100,1949,20.870613539105296,5,Vanilla,E
101,1950,20.71424260504418,5,Vanilla,E
102,1951,21.34387056692601,5,Vanilla,E
103,1952,20.77702250422949,5,Vanilla,E
104,1953,19.92226073969498,4,LightYellow,D
105,1954,20.690115875436906,5,Vanilla,E
106,1955,22.296278336344148,5,Vanilla,E
107,1956,23.23467218342869,5,Vanilla,E
108,1957,23.625579951868602,5,Vanilla,E
109,1958,23.34908785591046,5,Vanilla,E
110,1959,22.966306302107608,5,Vanilla,E
111,1960,24.092842475571913,5,Vanilla,E
112,1961,26.023511652823732,5,Vanilla,E
113,1962,27.262718075965317,5,Vanilla,E
114,1963,27.6616853760864,5,Vanilla,E
115,1964,27.419661943584167,5,Vanilla,E
116,1965,28.336729252089054,5,Vanilla,E
117,1966,25.506711610489177,5,Vanilla,E
118,1967,27.185930416508924,5,Vanilla,E
119,1968,27.39285775237314,5,Vanilla,E
120,1969,28.08547536838399,5,Vanilla,E
121,1970,28.219539874919743,5,Vanilla,E
122,1971,27.978991990559216,5,Vanilla,E
123,1972,29.609908570835206,5,Vanilla,E
124,1973,28.265227611631317,5,Vanilla,E
125,1974,31.821112999653234,6,Dandelion,F
126,1975,28.972688456909086,5,Vanilla,E
127,1976,28.05986600642563,5,Vanilla,E
128,1977,28.716398873058516,5,Vanilla,E
129,1978,29.461408152001386,5,Vanilla,E
130,1979,31.66300973226625,6,Dandelion,F
131,1980,31.29766763632652,6,Dandelion,F
132,1981,29.681011208829645,5,Vanilla,E
133,1982,25.66941454895693,5,Vanilla,E
134,1983,26.873206341016093,5,Vanilla,E
135,1984,24.533022782791615,5,Vanilla,E
136,1985,25.60282563153018,5,Vanilla,E
137,1986,23.85130840446599,5,Vanilla,E
138,1987,25.457902843581795,5,Vanilla,E
139,1988,24.128131974946825,5,Vanilla,E
140,1989,25.39653470739244,5,Vanilla,E
141,1990,23.731651626250283,5,Vanilla,E
142,1991,23.162731525982057,5,Vanilla,E
143,1992,21.965065988234162,5,Vanilla,E
144,1993,21.35522744393216,5,Vanilla,E
145,1994,20.779548411478654,5,Vanilla,E
146,1995,19.63563607289444,4,LightYellow,D
147,1996,20.501186344347587,5,Vanilla,E
148,1997,20.0883262645347,5,Vanilla,E
149,1998,18.79308258077419,4,LightYellow,D
150,1999,16.813044718034753,4,LightYellow,D
151,2000,17.648041352037712,4,LightYellow,D
152,2001,16.850000381469727,4,LightYellow,D
153,2002,16.80000114440918,4,LightYellow,D
154,2003,18.591665267944336,4,LightYellow,D
155,2004,16.100000381469727,4,LightYellow,D
156,2005,16.04166603088379,4,LightYellow,D
157,2006,16.34166717529297,4,LightYellow,D
158,2007,16.41666603088379,4,LightYellow,D
159,2008,16.508333206176758,4,LightYellow,D
160,2009,16.983335494995117,4,LightYellow,D
161,2010,17.2166690826416,4,LightYellow,D
162,2011,17.241666793823242,4,LightYellow,D
163,2012,17.366666793823242,4,LightYellow,D
164,2013,14.308333396911621,3,CornflowerBlue,C
165,2014,12.550000190734863,3,CornflowerBlue,C
166,2015,14.958333015441895,3,CornflowerBlue,C
167,2016,14.133331298828125,3,CornflowerBlue,C
168,2017,14.816666603088379,3,CornflowerBlue,C
169,2018,13.066666603088379,3,CornflowerBlue,C
170,2019,12.266666412353516,3,CornflowerBlue,C
171,2020,11.408332824707031,3,CornflowerBlue,C
172,2021,11.483332633972168,3,CornflowerBlue,C
