Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,10.639448294105438,3,CornflowerBlue,C
2,1851,9.927623069949396,2,PowderBlue,B
3,1852,10.345815751779403,3,CornflowerBlue,C
4,1853,10.223800416739733,3,CornflowerBlue,C
5,1854,10.575616688038654,3,CornflowerBlue,C
6,1855,9.740664705174922,2,PowderBlue,B
7,1856,10.2562388651865,3,CornflowerBlue,C
8,1857,9.891630601475885,2,PowderBlue,B
9,1858,10.106437890891653,3,CornflowerBlue,C
10,1859,10.429111249293163,3,CornflowerBlue,C
11,1860,9.970805011017504,2,PowderBlue,B
12,1861,10.195581053825745,3,CornflowerBlue,C
13,1862,9.792594367749436,2,PowderBlue,B
14,1863,10.722043706117379,3,CornflowerBlue,C
15,1864,11.359341527856541,3,CornflowerBlue,C
16,1865,10.217413158205394,3,CornflowerBlue,C
17,1866,10.127542746153297,3,CornflowerBlue,C
18,1867,9.996456681832395,2,PowderBlue,B
19,1868,10.101141210708334,3,CornflowerBlue,C
20,1869,10.491202494985414,3,CornflowerBlue,C
21,1870,10.550160863908317,3,CornflowerBlue,C
22,1871,10.392797368939004,3,CornflowerBlue,C
23,1872,10.259826629905463,3,CornflowerBlue,C
24,1873,10.607689211488335,3,CornflowerBlue,C
25,1874,10.698536567204048,3,CornflowerBlue,C
26,1875,10.97064701034122,3,CornflowerBlue,C
27,1876,10.795657024370614,3,CornflowerBlue,C
28,1877,10.406546747861213,3,CornflowerBlue,C
29,1878,11.045226791421117,3,CornflowerBlue,C
30,1879,10.240430285584653,3,CornflowerBlue,C
31,1880,10.688192310397545,3,CornflowerBlue,C
32,1881,9.940430841115825,2,PowderBlue,B
33,1882,10.567255407520788,3,CornflowerBlue,C
34,1883,10.790295870797499,3,CornflowerBlue,C
35,1884,10.97215577180077,3,CornflowerBlue,C
36,1885,9.772141916765522,2,PowderBlue,B
37,1886,10.118349640911157,3,CornflowerBlue,C
38,1887,10.815011517691064,3,CornflowerBlue,C
39,1888,10.864685283662235,3,CornflowerBlue,C
40,1889,10.598715315761387,3,CornflowerBlue,C
41,1890,10.788190562858126,3,CornflowerBlue,C
42,1891,11.4375587090104,3,CornflowerBlue,C
43,1892,10.746920457976856,3,CornflowerBlue,C
44,1893,10.545907676800029,3,CornflowerBlue,C
45,1894,11.009643986072483,3,CornflowerBlue,C
46,1895,10.635792500551233,3,CornflowerBlue,C
47,1896,10.640510453419298,3,CornflowerBlue,C
48,1897,10.969609009494018,3,CornflowerBlue,C
49,1898,10.693053393985787,3,CornflowerBlue,C
50,1899,10.513874095409555,3,CornflowerBlue,C
51,1900,10.254383216802934,3,CornflowerBlue,C
52,1901,10.456953657121716,3,CornflowerBlue,C
53,1902,10.542017522938382,3,CornflowerBlue,C
54,1903,10.921390980884562,3,CornflowerBlue,C
55,1904,11.114995197912542,3,CornflowerBlue,C
56,1905,11.230091644024103,3,CornflowerBlue,C
57,1906,10.976569480118863,3,CornflowerBlue,C
58,1907,11.295592406503038,3,CornflowerBlue,C
59,1908,10.22750908343771,3,CornflowerBlue,C
60,1909,11.041549989552301,3,CornflowerBlue,C
61,1910,10.996567317811504,3,CornflowerBlue,C
62,1911,11.441698306899148,3,CornflowerBlue,C
63,1912,11.267932504762394,3,CornflowerBlue,C
64,1913,11.585486751111514,3,CornflowerBlue,C
65,1914,10.743458052529162,3,CornflowerBlue,C
66,1915,11.218404437607516,3,CornflowerBlue,C
67,1916,10.701493989686405,3,CornflowerBlue,C
68,1917,11.390400431619252,3,CornflowerBlue,C
69,1918,10.925188373384733,3,CornflowerBlue,C
70,1919,11.062989509213415,3,CornflowerBlue,C
71,1920,10.273461472339163,3,CornflowerBlue,C
72,1921,11.047589473584592,3,CornflowerBlue,C
73,1922,10.85217101658217,3,CornflowerBlue,C
74,1923,11.651801746252339,3,CornflowerBlue,C
75,1924,10.807577399066787,3,CornflowerBlue,C
76,1925,11.196387219728535,3,CornflowerBlue,C
77,1926,11.33748935856735,3,CornflowerBlue,C
78,1927,10.932901615140398,3,CornflowerBlue,C
79,1928,11.072275016160324,3,CornflowerBlue,C
80,1929,11.564698818085114,3,CornflowerBlue,C
81,1930,11.254842122779728,3,CornflowerBlue,C
82,1931,11.038852867600038,3,CornflowerBlue,C
83,1932,11.106928354023648,3,CornflowerBlue,C
84,1933,10.47170723491157,3,CornflowerBlue,C
85,1934,11.435228684676629,3,CornflowerBlue,C
86,1935,11.477713281302856,3,CornflowerBlue,C
87,1936,11.545613585475499,3,CornflowerBlue,C
88,1937,11.471481114284805,3,CornflowerBlue,C
89,1938,12.580077803752843,3,CornflowerBlue,C
90,1939,11.610801828782009,3,CornflowerBlue,C
91,1940,12.032142869143836,3,CornflowerBlue,C
92,1941,11.003054119349546,3,CornflowerBlue,C
93,1942,11.122131237129462,3,CornflowerBlue,C
94,1943,11.578227840978828,3,CornflowerBlue,C
95,1944,11.53618674701157,3,CornflowerBlue,C
96,1945,10.696178989224094,3,CornflowerBlue,C
97,1946,11.559171741650566,3,CornflowerBlue,C
98,1947,10.888215316466995,3,CornflowerBlue,C
99,1948,11.648685439170983,3,CornflowerBlue,C
100,1949,11.443018786993399,3,CornflowerBlue,C
101,1950,11.940472816111921,3,CornflowerBlue,C
102,1951,12.818232007500704,3,CornflowerBlue,C
103,1952,12.509588146805894,3,CornflowerBlue,C
104,1953,12.061266991287512,3,CornflowerBlue,C
105,1954,12.552488081401416,3,CornflowerBlue,C
106,1955,12.170003885827528,3,CornflowerBlue,C
107,1956,13.834058578604091,3,CornflowerBlue,C
108,1957,13.87052872949692,3,CornflowerBlue,C
109,1958,12.857457719622271,3,CornflowerBlue,C
110,1959,13.305982152128648,3,CornflowerBlue,C
111,1960,13.971238643720737,3,CornflowerBlue,C
112,1961,13.678739060360765,3,CornflowerBlue,C
113,1962,13.67526630703742,3,CornflowerBlue,C
114,1963,14.226638816086428,3,CornflowerBlue,C
115,1964,14.195342179775222,3,CornflowerBlue,C
116,1965,14.843556758957229,3,CornflowerBlue,C
117,1966,15.111536417302997,4,LightYellow,D
118,1967,14.241333298250533,3,CornflowerBlue,C
119,1968,15.616135022855277,4,LightYellow,D
120,1969,15.581866124862119,4,LightYellow,D
121,1970,15.333998132887173,4,LightYellow,D
122,1971,16.094796183614655,4,LightYellow,D
123,1972,16.294906273349053,4,LightYellow,D
124,1973,16.882184561905976,4,LightYellow,D
125,1974,16.498103414867725,4,LightYellow,D
126,1975,16.51906395029586,4,LightYellow,D
127,1976,18.17504792842362,4,LightYellow,D
128,1977,16.731398067653764,4,LightYellow,D
129,1978,17.777363012827593,4,LightYellow,D
