Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,54.8302949334326,8,Mustard,H
2,1851,59.94618304799707,8,Mustard,H
3,1852,63.85132761464856,9,Mauve,I
4,1853,52.031208657472845,8,Mustard,H
5,1854,55.14616525247408,8,Mustard,H
6,1855,61.869992504154496,9,Mauve,I
7,1856,57.97877066552264,8,Mustard,H
8,1857,57.58568642025217,8,Mustard,H
9,1858,56.90146019796975,8,Mustard,H
10,1859,52.215437837389494,8,Mustard,H
11,1860,61.369768816245625,9,Mauve,I
12,1861,67.12645972470266,9,Mauve,I
13,1862,55.907325772029544,8,Mustard,H
14,1863,48.97885292739262,7,Tangerine,G
15,1864,48.627820310227456,7,Tangerine,G
16,1865,65.58419870713095,9,Mauve,I
17,1866,59.09032676744989,8,Mustard,H
18,1867,56.93476975287776,8,Mustard,H
19,1868,51.029084730134535,8,Mustard,H
20,1869,52.243281972331985,8,Mustard,H
21,1870,59.702777246304905,8,Mustard,H
22,1871,55.31028899028649,8,Mustard,H
23,1872,56.820828135190375,8,Mustard,H
24,1873,55.13875746043339,8,Mustard,H
25,1874,54.825361746577485,8,Mustard,H
26,1875,59.67756077088171,8,Mustard,H
27,1876,54.416036273959655,8,Mustard,H
28,1877,52.708941478215245,8,Mustard,H
29,1878,60.68774185791706,9,Mauve,I
30,1879,56.40803698329855,8,Mustard,H
31,1880,56.010947031300304,8,Mustard,H
32,1881,57.56156256492929,8,Mustard,H
33,1882,60.820673814209414,9,Mauve,I
34,1883,51.388730137604995,8,Mustard,H
35,1884,50.186594137525894,8,Mustard,H
36,1885,60.2039243361746,9,Mauve,I
37,1886,57.543604336775466,8,Mustard,H
38,1887,55.854562790302836,8,Mustard,H
39,1888,51.0136896315768,8,Mustard,H
40,1889,57.67560052652496,8,Mustard,H
41,1890,54.7536619001012,8,Mustard,H
42,1891,59.98929906942678,8,Mustard,H
43,1892,59.744192063972534,8,Mustard,H
44,1893,59.75369421544029,8,Mustard,H
45,1894,57.10001732410435,8,Mustard,H
46,1895,56.69849599598014,8,Mustard,H
47,1896,54.86154941407923,8,Mustard,H
48,1897,58.98054271647934,8,Mustard,H
49,1898,49.76806194869643,7,Tangerine,G
50,1899,57.07596996742278,8,Mustard,H
51,1900,61.157511061343065,9,Mauve,I
52,1901,55.77453587696911,8,Mustard,H
53,1902,55.23613604457879,8,Mustard,H
54,1903,57.14154681109654,8,Mustard,H
55,1904,56.90737745357113,8,Mustard,H
56,1905,60.711160852718805,9,Mauve,I
57,1906,59.369862112307516,8,Mustard,H
58,1907,61.480300429661895,9,Mauve,I
59,1908,66.54801362123222,9,Mauve,I
60,1909,57.2182231058855,8,Mustard,H
61,1910,61.003939793618045,9,Mauve,I
62,1911,58.12679296844793,8,Mustard,H
63,1912,60.07291129873635,9,Mauve,I
64,1913,58.51627297491074,8,Mustard,H
65,1914,60.556904383831046,9,Mauve,I
66,1915,60.18358677073302,9,Mauve,I
67,1916,65.7452507048714,9,Mauve,I
68,1917,55.15239483017254,8,Mustard,H
69,1918,53.15487882855124,8,Mustard,H
70,1919,54.5104944531303,8,Mustard,H
71,1920,64.03107929489877,9,Mauve,I
72,1921,62.65246021732984,9,Mauve,I
73,1922,63.01540213174177,9,Mauve,I
74,1923,51.61518918438301,8,Mustard,H
75,1924,53.81708355374764,8,Mustard,H
76,1925,51.9502248742482,8,Mustard,H
77,1926,62.28355228089007,9,Mauve,I
78,1927,62.68071130384124,9,Mauve,I
79,1928,61.49897309294071,9,Mauve,I
80,1929,62.38335224842853,9,Mauve,I
81,1930,53.183217263143156,8,Mustard,H
82,1931,60.01834307797825,9,Mauve,I
83,1932,53.233562559901706,8,Mustard,H
84,1933,55.56564345123551,8,Mustard,H
85,1934,58.992579134432496,8,Mustard,H
86,1935,56.7459461307818,8,Mustard,H
87,1936,54.835342312355884,8,Mustard,H
88,1937,69.44135604508976,9,Mauve,I
89,1938,63.930264313843885,9,Mauve,I
90,1939,60.62657642344848,9,Mauve,I
91,1940,63.76369087115259,9,Mauve,I
92,1941,64.78585802453343,9,Mauve,I
93,1942,66.27297607753555,9,Mauve,I
94,1943,62.35293708918798,9,Mauve,I
95,1944,58.121793756440816,8,Mustard,H
96,1945,57.144868648097074,8,Mustard,H
97,1946,68.0626617796305,9,Mauve,I
98,1947,65.3661367623332,9,Mauve,I
99,1948,56.203942092737265,8,Mustard,H
100,1949,62.13273919540495,9,Mauve,I
101,1950,54.419085184406555,8,Mustard,H
102,1951,52.689819046673286,8,Mustard,H
103,1952,55.37216078350506,8,Mustard,H
104,1953,60.91418880201755,9,Mauve,I
105,1954,51.42216326685376,8,Mustard,H
106,1955,60.12505603684982,9,Mauve,I
107,1956,62.623982736763004,9,Mauve,I
108,1957,58.418612302602405,8,Mustard,H
109,1958,59.23364357389774,8,Mustard,H
110,1959,63.25654254939084,9,Mauve,I
111,1960,60.52263348824665,9,Mauve,I
112,1961,57.470467721168475,8,Mustard,H
113,1962,61.579503382604486,9,Mauve,I
114,1963,60.867936028014256,9,Mauve,I
115,1964,59.99833535927222,8,Mustard,H
116,1965,59.622278329480736,8,Mustard,H
117,1966,52.63656247005137,8,Mustard,H
