Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,4.486943320876462,1,LightTurquoise,A
2,1851,4.3729802091491905,1,LightTurquoise,A
3,1852,4.7101019749650295,1,LightTurquoise,A
4,1853,4.781393527071642,1,LightTurquoise,A
5,1854,5.137248896801743,2,PowderBlue,B
6,1855,4.6088533723780145,1,LightTurquoise,A
7,1856,4.509134686218469,1,LightTurquoise,A
8,1857,4.670006253912637,1,LightTurquoise,A
9,1858,4.616887377124351,1,LightTurquoise,A
10,1859,4.737163101139318,1,LightTurquoise,A
11,1860,4.695956852510728,1,LightTurquoise,A
12,1861,4.576959030797397,1,LightTurquoise,A
13,1862,4.603321689230232,1,LightTurquoise,A
14,1863,4.751592567535763,1,LightTurquoise,A
15,1864,4.521781059833911,1,LightTurquoise,A
16,1865,4.885979558267803,1,LightTurquoise,A
17,1866,4.433924200842288,1,LightTurquoise,A
18,1867,4.699534835850783,1,LightTurquoise,A
19,1868,4.737562020587764,1,LightTurquoise,A
20,1869,4.4256518032734515,1,LightTurquoise,A
21,1870,4.679437938608279,1,LightTurquoise,A
22,1871,4.756207018152269,1,LightTurquoise,A
23,1872,4.602372467756086,1,LightTurquoise,A
24,1873,4.901942053803462,1,LightTurquoise,A
25,1874,4.71705397543316,1,LightTurquoise,A
26,1875,4.676491885409247,1,LightTurquoise,A
27,1876,4.422168872332273,1,LightTurquoise,A
28,1877,4.542878077372739,1,LightTurquoise,A
29,1878,4.851503499149488,1,LightTurquoise,A
30,1879,4.7090039216830135,1,LightTurquoise,A
31,1880,4.6087372653782674,1,LightTurquoise,A
32,1881,4.814619881592286,1,LightTurquoise,A
33,1882,4.550505811838615,1,LightTurquoise,A
34,1883,4.493870131411596,1,LightTurquoise,A
35,1884,4.695772949126981,1,LightTurquoise,A
36,1885,4.711319690899682,1,LightTurquoise,A
37,1886,4.462744432042638,1,LightTurquoise,A
38,1887,4.624249817194616,1,LightTurquoise,A
39,1888,4.298932231760567,1,LightTurquoise,A
40,1889,4.529420497092697,1,LightTurquoise,A
41,1890,4.761842995220294,1,LightTurquoise,A
42,1891,4.704919487258602,1,LightTurquoise,A
43,1892,4.5649742964245545,1,LightTurquoise,A
44,1893,4.632795132851182,1,LightTurquoise,A
45,1894,4.798899749421917,1,LightTurquoise,A
46,1895,4.566740493914452,1,LightTurquoise,A
47,1896,4.700737854560939,1,LightTurquoise,A
48,1897,4.466291748742018,1,LightTurquoise,A
49,1898,4.990729173524754,1,LightTurquoise,A
50,1899,4.651186945207593,1,LightTurquoise,A
51,1900,4.329237361571019,1,LightTurquoise,A
52,1901,4.492217350897262,1,LightTurquoise,A
53,1902,4.712549291898679,1,LightTurquoise,A
54,1903,4.8446700473908555,1,LightTurquoise,A
55,1904,4.619501128481418,1,LightTurquoise,A
56,1905,4.806986306192225,1,LightTurquoise,A
57,1906,4.58789641570698,1,LightTurquoise,A
58,1907,4.9310224986276525,1,LightTurquoise,A
59,1908,4.599958491260158,1,LightTurquoise,A
60,1909,4.719296211921538,1,LightTurquoise,A
61,1910,4.752237106399015,1,LightTurquoise,A
62,1911,4.744500791720336,1,LightTurquoise,A
63,1912,4.63245360098909,1,LightTurquoise,A
64,1913,4.577284073767067,1,LightTurquoise,A
65,1914,4.77294853119712,1,LightTurquoise,A
66,1915,4.4581710344693235,1,LightTurquoise,A
67,1916,4.57426592236034,1,LightTurquoise,A
68,1917,4.657727942054433,1,LightTurquoise,A
69,1918,4.66085240150349,1,LightTurquoise,A
70,1919,4.583901096779757,1,LightTurquoise,A
71,1920,4.833070501858362,1,LightTurquoise,A
72,1921,4.502960551475293,1,LightTurquoise,A
73,1922,4.8017719103941054,1,LightTurquoise,A
74,1923,4.935297076274327,1,LightTurquoise,A
75,1924,4.521491903662111,1,LightTurquoise,A
76,1925,4.667918880696437,1,LightTurquoise,A
77,1926,4.953121220477093,1,LightTurquoise,A
78,1927,4.746720909661758,1,LightTurquoise,A
79,1928,4.446522654623558,1,LightTurquoise,A
80,1929,4.612672083981198,1,LightTurquoise,A
81,1930,4.842774027847327,1,LightTurquoise,A
82,1931,4.4633873930758625,1,LightTurquoise,A
83,1932,4.352840606046044,1,LightTurquoise,A
84,1933,4.936196483879598,1,LightTurquoise,A
85,1934,4.992818250312168,1,LightTurquoise,A
86,1935,4.666390682425876,1,LightTurquoise,A
87,1936,4.582560684619227,1,LightTurquoise,A
88,1937,4.8164462676787405,1,LightTurquoise,A
89,1938,4.645408850448033,1,LightTurquoise,A
90,1939,4.820391487379132,1,LightTurquoise,A
91,1940,4.763760871122031,1,LightTurquoise,A
92,1941,4.846100952816552,1,LightTurquoise,A
93,1942,4.589736834756793,1,LightTurquoise,A
94,1943,4.757370410754445,1,LightTurquoise,A
95,1944,4.846939107618314,1,LightTurquoise,A
96,1945,4.7288953609628654,1,LightTurquoise,A
97,1946,4.498298672654196,1,LightTurquoise,A
98,1947,4.5977835246177685,1,LightTurquoise,A
99,1948,4.753340290485154,1,LightTurquoise,A
100,1949,4.687305627699306,1,LightTurquoise,A
101,1950,4.4501888106610945,1,LightTurquoise,A
102,1951,4.75861183533408,1,LightTurquoise,A
103,1952,4.790217053516565,1,LightTurquoise,A
104,1953,4.355202113959937,1,LightTurquoise,A
105,1954,4.933141402338822,1,LightTurquoise,A
106,1955,4.850537703312375,1,LightTurquoise,A
107,1956,4.590574871067304,1,LightTurquoise,A
108,1957,4.9298462114233,1,LightTurquoise,A
109,1958,4.531064978460464,1,LightTurquoise,A
110,1959,4.679542994236069,1,LightTurquoise,A
111,1960,4.571596273790939,1,LightTurquoise,A
112,1961,4.332066378725956,1,LightTurquoise,A
113,1962,4.87173812638363,1,LightTurquoise,A
114,1963,4.817391688797896,1,LightTurquoise,A
115,1964,4.47089369560678,1,LightTurquoise,A
116,1965,4.794422969950771,1,LightTurquoise,A
117,1966,4.696329968067001,1,LightTurquoise,A
118,1967,4.70252195047857,1,LightTurquoise,A
119,1968,4.696071202181922,1,LightTurquoise,A
120,1969,4.831392802404265,1,LightTurquoise,A
121,1970,4.904348050216615,1,LightTurquoise,A
122,1971,4.794943263150252,1,LightTurquoise,A
123,1972,4.754601231830199,1,LightTurquoise,A
124,1973,4.738347202900687,1,LightTurquoise,A
125,1974,4.775250064936498,1,LightTurquoise,A
126,1975,4.420033450571964,1,LightTurquoise,A
127,1976,4.697436648207831,1,LightTurquoise,A
128,1977,4.822079461061569,1,LightTurquoise,A
129,1978,4.508134105308189,1,LightTurquoise,A
130,1979,4.89187735380401,1,LightTurquoise,A
131,1980,4.80848789186736,1,LightTurquoise,A
132,1981,4.688378341475115,1,LightTurquoise,A
133,1982,4.6946108532132635,1,LightTurquoise,A
134,1983,4.485191795982928,1,LightTurquoise,A
135,1984,4.962305771545194,1,LightTurquoise,A
136,1985,4.547664738943144,1,LightTurquoise,A
137,1986,4.85976292255955,1,LightTurquoise,A
138,1987,4.777562391234519,1,LightTurquoise,A
