Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,6.783076241084239,2,PowderBlue,B
2,1851,7.11968294474702,2,PowderBlue,B
3,1852,7.133988553346542,2,PowderBlue,B
4,1853,6.844234379829072,2,PowderBlue,B
5,1854,6.646407810324315,2,PowderBlue,B
6,1855,7.024065715411031,2,PowderBlue,B
7,1856,7.203682561373747,2,PowderBlue,B
8,1857,7.217390388944806,2,PowderBlue,B
9,1858,7.002155029392086,2,PowderBlue,B
10,1859,7.134623561571453,2,PowderBlue,B
11,1860,7.327404630982182,2,PowderBlue,B
12,1861,7.583147043543254,2,PowderBlue,B
13,1862,7.693985615740637,2,PowderBlue,B
14,1863,7.790175563552209,2,PowderBlue,B
15,1864,7.54069143372844,2,PowderBlue,B
16,1865,7.811878442201882,2,PowderBlue,B
17,1866,7.910207168530056,2,PowderBlue,B
18,1867,7.774062106104317,2,PowderBlue,B
19,1868,7.912214246013627,2,PowderBlue,B
20,1869,7.940557513541391,2,PowderBlue,B
21,1870,7.9534254575999555,2,PowderBlue,B
22,1871,7.947760361007841,2,PowderBlue,B
23,1872,7.665156769950851,2,PowderBlue,B
24,1873,8.050890993203586,2,PowderBlue,B
25,1874,7.822212941586143,2,PowderBlue,B
26,1875,8.647120166836837,2,PowderBlue,B
27,1876,8.231416834459894,2,PowderBlue,B
28,1877,8.737929552631703,2,PowderBlue,B
29,1878,8.786863407378005,2,PowderBlue,B
30,1879,8.6166094065882,2,PowderBlue,B
31,1880,9.018073265080194,2,PowderBlue,B
32,1881,8.614245742333308,2,PowderBlue,B
33,1882,8.804504077502777,2,PowderBlue,B
34,1883,9.394854413301804,2,PowderBlue,B
35,1884,8.946113572535015,2,PowderBlue,B
36,1885,9.132251781268884,2,PowderBlue,B
37,1886,9.97916716297722,2,PowderBlue,B
38,1887,9.419129444868595,2,PowderBlue,B
39,1888,8.878845626893549,2,PowderBlue,B
40,1889,9.131976286907378,2,PowderBlue,B
41,1890,9.671181885732548,2,PowderBlue,B
42,1891,9.414305763719167,2,PowderBlue,B
43,1892,9.645608103379825,2,PowderBlue,B
44,1893,9.310331980842218,2,PowderBlue,B
45,1894,10.070983488205787,3,CornflowerBlue,C
46,1895,9.644672983025574,2,PowderBlue,B
47,1896,10.08715584809116,3,CornflowerBlue,C
48,1897,10.27138883140691,3,CornflowerBlue,C
49,1898,10.633166427901436,3,CornflowerBlue,C
50,1899,10.687776221433051,3,CornflowerBlue,C
51,1900,11.231732946587098,3,CornflowerBlue,C
52,1901,10.4234642340698,3,CornflowerBlue,C
53,1902,10.87962197975821,3,CornflowerBlue,C
54,1903,10.783045103707744,3,CornflowerBlue,C
55,1904,11.009539657821518,3,CornflowerBlue,C
56,1905,11.085749076467216,3,CornflowerBlue,C
57,1906,11.126652277953571,3,CornflowerBlue,C
58,1907,11.672771060500857,3,CornflowerBlue,C
59,1908,12.533190465815958,3,CornflowerBlue,C
60,1909,11.53727202759,3,CornflowerBlue,C
61,1910,12.43616575249699,3,CornflowerBlue,C
62,1911,11.759887178226057,3,CornflowerBlue,C
63,1912,12.756579620370587,3,CornflowerBlue,C
64,1913,12.562069108776853,3,CornflowerBlue,C
65,1914,12.510193621999544,3,CornflowerBlue,C
66,1915,13.195607987775059,3,CornflowerBlue,C
67,1916,12.96177778747757,3,CornflowerBlue,C
68,1917,11.271686105366614,3,CornflowerBlue,C
