Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,39.98984524603702,6,Dandelion,F
2,1851,44.49807946201872,7,Tangerine,G
3,1852,44.379887429053,7,Tangerine,G
4,1853,38.654528219812576,6,Dandelion,F
5,1854,40.875045049364566,7,Tangerine,G
6,1855,44.17201741133221,7,Tangerine,G
7,1856,40.86576850751389,7,Tangerine,G
8,1857,43.646638439343086,7,Tangerine,G
9,1858,39.03578145908351,6,Dandelion,F
10,1859,40.904183898043605,7,Tangerine,G
11,1860,45.92766215325744,7,Tangerine,G
12,1861,47.6709456618311,7,Tangerine,G
13,1862,41.558753313239094,7,Tangerine,G
14,1863,36.31752475964542,6,Dandelion,F
15,1864,36.085575202105154,6,Dandelion,F
16,1865,44.03330725106247,7,Tangerine,G
17,1866,42.32077456228879,7,Tangerine,G
18,1867,43.3496240848295,7,Tangerine,G
19,1868,42.09550742558751,7,Tangerine,G
20,1869,45.024203494696096,7,Tangerine,G
21,1870,44.2468507660165,7,Tangerine,G
22,1871,39.87693409900398,6,Dandelion,F
23,1872,37.80398474938607,6,Dandelion,F
24,1873,40.890280547412395,7,Tangerine,G
25,1874,40.64571972819907,7,Tangerine,G
26,1875,41.65606211389129,7,Tangerine,G
27,1876,42.56047822987021,7,Tangerine,G
28,1877,40.325735922342425,7,Tangerine,G
29,1878,41.637795259819455,7,Tangerine,G
30,1879,46.607828148427686,7,Tangerine,G
31,1880,43.05732281043759,7,Tangerine,G
32,1881,44.84533288325399,7,Tangerine,G
33,1882,50.10630276830236,8,Mustard,H
34,1883,39.03101856638363,6,Dandelion,F
35,1884,37.14889398494406,6,Dandelion,F
36,1885,42.867643935258,7,Tangerine,G
37,1886,39.64753112935851,6,Dandelion,F
38,1887,44.17987681588476,7,Tangerine,G
39,1888,37.98736449514633,6,Dandelion,F
40,1889,42.10647596714864,7,Tangerine,G
41,1890,39.47762908363063,6,Dandelion,F
42,1891,46.18176945651802,7,Tangerine,G
43,1892,44.64239302957513,7,Tangerine,G
44,1893,44.28864901829039,7,Tangerine,G
45,1894,40.830543369345605,7,Tangerine,G
46,1895,43.504752329887914,7,Tangerine,G
47,1896,42.066373510787805,7,Tangerine,G
48,1897,42.79315943475314,7,Tangerine,G
49,1898,38.57042894616181,6,Dandelion,F
50,1899,42.572169147999126,7,Tangerine,G
51,1900,45.235437251960604,7,Tangerine,G
52,1901,41.02869858042673,7,Tangerine,G
53,1902,42.09046759091933,7,Tangerine,G
54,1903,44.54931299751861,7,Tangerine,G
55,1904,46.901966135367104,7,Tangerine,G
56,1905,47.780354305104524,7,Tangerine,G
57,1906,45.291243180017915,7,Tangerine,G
58,1907,44.948223947233025,7,Tangerine,G
59,1908,47.9650176923879,7,Tangerine,G
60,1909,40.97463079947991,7,Tangerine,G
61,1910,46.84978107561317,7,Tangerine,G
62,1911,45.1239417118769,7,Tangerine,G
63,1912,49.30154046027885,7,Tangerine,G
64,1913,43.74241862491552,7,Tangerine,G
65,1914,48.72054516069904,7,Tangerine,G
66,1915,47.06953607343353,7,Tangerine,G
67,1916,48.675055737279536,7,Tangerine,G
68,1917,45.09435080539442,7,Tangerine,G
69,1918,42.30209040819235,7,Tangerine,G
70,1919,43.6898806189833,7,Tangerine,G
71,1920,44.62724214561373,7,Tangerine,G
72,1921,47.410316865015275,7,Tangerine,G
73,1922,45.904497534887696,7,Tangerine,G
