Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,9.280603359779212,2,PowderBlue,B
2,1851,9.75130522389988,2,PowderBlue,B
3,1852,10.176002346439065,3,CornflowerBlue,C
4,1853,10.004455334336896,3,CornflowerBlue,C
5,1854,9.636924965360054,2,PowderBlue,B
6,1855,9.7772692830145,2,PowderBlue,B
7,1856,9.629665195958658,2,PowderBlue,B
8,1857,9.954863966688334,2,PowderBlue,B
9,1858,10.126565181535021,3,CornflowerBlue,C
10,1859,10.334174742004121,3,CornflowerBlue,C
11,1860,9.84368800718598,2,PowderBlue,B
12,1861,9.908100259768435,2,PowderBlue,B
13,1862,9.492104330972866,2,PowderBlue,B
14,1863,10.038548975989293,3,CornflowerBlue,C
15,1864,9.963711567164086,2,PowderBlue,B
16,1865,10.298419186795845,3,CornflowerBlue,C
17,1866,9.852002329497662,2,PowderBlue,B
18,1867,9.978053252997142,2,PowderBlue,B
19,1868,9.238900266752804,2,PowderBlue,B
20,1869,9.709791618596956,2,PowderBlue,B
21,1870,9.80926815693773,2,PowderBlue,B
22,1871,9.55170529303309,2,PowderBlue,B
23,1872,9.945737262294442,2,PowderBlue,B
24,1873,9.979654137662592,2,PowderBlue,B
25,1874,9.727564459608729,2,PowderBlue,B
26,1875,9.623904844511008,2,PowderBlue,B
27,1876,9.67670599712961,2,PowderBlue,B
28,1877,9.595855622538606,2,PowderBlue,B
29,1878,9.410415427458483,2,PowderBlue,B
30,1879,9.219763869552276,2,PowderBlue,B
31,1880,9.452005792712377,2,PowderBlue,B
32,1881,9.780460024205725,2,PowderBlue,B
33,1882,10.152012524745963,3,CornflowerBlue,C
34,1883,10.5667878659308,3,CornflowerBlue,C
35,1884,10.41859136476852,3,CornflowerBlue,C
36,1885,9.90832422210039,2,PowderBlue,B
37,1886,10.14105147067616,3,CornflowerBlue,C
38,1887,10.10267138745739,3,CornflowerBlue,C
39,1888,9.67064007436284,2,PowderBlue,B
40,1889,9.843413569213803,2,PowderBlue,B
41,1890,9.739180096546283,2,PowderBlue,B
42,1891,10.119824703407202,3,CornflowerBlue,C
43,1892,11.010699499084112,3,CornflowerBlue,C
44,1893,10.132715863547013,3,CornflowerBlue,C
45,1894,9.928947603955283,2,PowderBlue,B
46,1895,10.042392095526498,3,CornflowerBlue,C
47,1896,10.22251457742108,3,CornflowerBlue,C
48,1897,10.21436690177283,3,CornflowerBlue,C
49,1898,9.636931679125928,2,PowderBlue,B
50,1899,9.819923217863558,2,PowderBlue,B
51,1900,10.388754561498628,3,CornflowerBlue,C
52,1901,10.25354969475886,3,CornflowerBlue,C
53,1902,9.696535033459426,2,PowderBlue,B
54,1903,9.968337498210191,2,PowderBlue,B
55,1904,10.744862003872889,3,CornflowerBlue,C
56,1905,10.328573391577361,3,CornflowerBlue,C
57,1906,10.54654416241957,3,CornflowerBlue,C
58,1907,10.374651282158709,3,CornflowerBlue,C
59,1908,10.63616698828702,3,CornflowerBlue,C
60,1909,10.958651669931012,3,CornflowerBlue,C
61,1910,10.266875415626824,3,CornflowerBlue,C
62,1911,10.366420955105687,3,CornflowerBlue,C
63,1912,11.082471702394061,3,CornflowerBlue,C
64,1913,10.016331723737542,3,CornflowerBlue,C
65,1914,10.431926926884039,3,CornflowerBlue,C
66,1915,10.383717932537296,3,CornflowerBlue,C
67,1916,10.558204387408775,3,CornflowerBlue,C
68,1917,9.821253748190044,2,PowderBlue,B
69,1918,10.374846228035848,3,CornflowerBlue,C
70,1919,10.304233728088136,3,CornflowerBlue,C
71,1920,10.17192458223677,3,CornflowerBlue,C
72,1921,10.462107780708905,3,CornflowerBlue,C
73,1922,11.357747420227518,3,CornflowerBlue,C
74,1923,11.249502230085625,3,CornflowerBlue,C
75,1924,10.665373687121095,3,CornflowerBlue,C
76,1925,10.762020526912012,3,CornflowerBlue,C
77,1926,10.40438267769781,3,CornflowerBlue,C
78,1927,10.855961139507754,3,CornflowerBlue,C
79,1928,10.994992727438191,3,CornflowerBlue,C
80,1929,10.916991145746804,3,CornflowerBlue,C
81,1930,9.877612203683107,2,PowderBlue,B
82,1931,10.082235696743506,3,CornflowerBlue,C
83,1932,11.09467112621966,3,CornflowerBlue,C
84,1933,10.440546008276934,3,CornflowerBlue,C
85,1934,10.084994251126659,3,CornflowerBlue,C
86,1935,10.537208940917552,3,CornflowerBlue,C
87,1936,10.71819334353116,3,CornflowerBlue,C
88,1937,11.446142300072564,3,CornflowerBlue,C
89,1938,11.37456636722026,3,CornflowerBlue,C
90,1939,11.015707831007816,3,CornflowerBlue,C
91,1940,10.79463901895135,3,CornflowerBlue,C
92,1941,11.70805541509122,3,CornflowerBlue,C
93,1942,11.714215647901087,3,CornflowerBlue,C
94,1943,12.044933015324023,3,CornflowerBlue,C
95,1944,11.042795131674854,3,CornflowerBlue,C
96,1945,11.212288859053087,3,CornflowerBlue,C
97,1946,11.965016601350483,3,CornflowerBlue,C
98,1947,11.56051801820622,3,CornflowerBlue,C
99,1948,11.003748915112636,3,CornflowerBlue,C
100,1949,11.111493300862415,3,CornflowerBlue,C
101,1950,11.781866389482893,3,CornflowerBlue,C
102,1951,10.984955896455721,3,CornflowerBlue,C
103,1952,10.813249636854918,3,CornflowerBlue,C
104,1953,11.785563916218816,3,CornflowerBlue,C
105,1954,11.189096383688002,3,CornflowerBlue,C
106,1955,11.66593243211652,3,CornflowerBlue,C
107,1956,13.127699527936322,3,CornflowerBlue,C
108,1957,13.0728898332976,3,CornflowerBlue,C
109,1958,12.814141602051002,3,CornflowerBlue,C
110,1959,12.246904697940604,3,CornflowerBlue,C
111,1960,11.87509068920439,3,CornflowerBlue,C
112,1961,11.70658564688513,3,CornflowerBlue,C
113,1962,12.475007910769612,3,CornflowerBlue,C
114,1963,12.660154231305299,3,CornflowerBlue,C
115,1964,11.522600449117014,3,CornflowerBlue,C
116,1965,11.59709377134441,3,CornflowerBlue,C
117,1966,11.312246949590005,3,CornflowerBlue,C
118,1967,12.142022487852936,3,CornflowerBlue,C
119,1968,12.251464364530309,3,CornflowerBlue,C
120,1969,12.0882951369653,3,CornflowerBlue,C
121,1970,12.143338787576498,3,CornflowerBlue,C
122,1971,12.669089825110612,3,CornflowerBlue,C
123,1972,12.73509654033328,3,CornflowerBlue,C
124,1973,12.997327391415539,3,CornflowerBlue,C
125,1974,12.612683522546853,3,CornflowerBlue,C
126,1975,12.688511999403252,3,CornflowerBlue,C
127,1976,12.209043452104991,3,CornflowerBlue,C
128,1977,12.585633278605659,3,CornflowerBlue,C
129,1978,13.337192143910007,3,CornflowerBlue,C
130,1979,13.77398367328712,3,CornflowerBlue,C
131,1980,12.716894383167585,3,CornflowerBlue,C
132,1981,12.751642339569054,3,CornflowerBlue,C
133,1982,12.770270693992611,3,CornflowerBlue,C
134,1983,13.595833468213522,3,CornflowerBlue,C
135,1984,13.121810809916639,3,CornflowerBlue,C
136,1985,12.880830743131229,3,CornflowerBlue,C
137,1986,12.945448720642503,3,CornflowerBlue,C
138,1987,13.277914823830884,3,CornflowerBlue,C
139,1988,13.41536312116868,3,CornflowerBlue,C
140,1989,12.73760415213944,3,CornflowerBlue,C
141,1990,12.924963283825356,3,CornflowerBlue,C
142,1991,13.40788724810576,3,CornflowerBlue,C
143,1992,13.134814685241324,3,CornflowerBlue,C
144,1993,13.152741835913949,3,CornflowerBlue,C
145,1994,13.356022475894687,3,CornflowerBlue,C
146,1995,14.172740302965638,3,CornflowerBlue,C
147,1996,14.071189763984956,3,CornflowerBlue,C
148,1997,14.164959792910125,3,CornflowerBlue,C
149,1998,13.696271008362602,3,CornflowerBlue,C
150,1999,14.240838689944797,3,CornflowerBlue,C
151,2000,14.56160090538772,3,CornflowerBlue,C
152,2001,16.350000381469727,4,LightYellow,D
153,2002,14.641666412353516,3,CornflowerBlue,C
154,2003,16.066667556762695,4,LightYellow,D
155,2004,14.616665840148926,3,CornflowerBlue,C
156,2005,15.508332252502441,4,LightYellow,D
157,2006,15.558334350585938,4,LightYellow,D
158,2007,16.375001907348633,4,LightYellow,D
159,2008,15.058334350585938,4,LightYellow,D
160,2009,16.32499885559082,4,LightYellow,D
161,2010,16.30000114440918,4,LightYellow,D
162,2011,15.991665840148926,4,LightYellow,D
163,2012,17.375,4,LightYellow,D
164,2013,16.533334732055664,4,LightYellow,D
165,2014,17.2833309173584,4,LightYellow,D
166,2015,18.383333206176758,4,LightYellow,D
167,2016,17.008333206176758,4,LightYellow,D
168,2017,16.058334350585938,4,LightYellow,D
169,2018,16.05000114440918,4,LightYellow,D
170,2019,16.41666603088379,4,LightYellow,D
171,2020,16.20833396911621,4,LightYellow,D
172,2021,15.633334159851074,4,LightYellow,D
173,2022,16.299997329711914,4,LightYellow,D
