Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,16.660755672584397,4,LightYellow,D
2,1851,17.029558109767603,4,LightYellow,D
3,1852,16.793083983085022,4,LightYellow,D
4,1853,17.15225780859781,4,LightYellow,D
5,1854,18.913609907184444,4,LightYellow,D
6,1855,19.049016884644807,4,LightYellow,D
7,1856,18.852042001439173,4,LightYellow,D
8,1857,20.41327163203677,5,Vanilla,E
9,1858,18.505619530286403,4,LightYellow,D
10,1859,18.55161688426652,4,LightYellow,D
11,1860,19.573877418016696,4,LightYellow,D
12,1861,21.420912639087042,5,Vanilla,E
13,1862,20.206006062824702,5,Vanilla,E
14,1863,20.521257784895816,5,Vanilla,E
15,1864,22.054597690787173,5,Vanilla,E
16,1865,21.05130154638683,5,Vanilla,E
17,1866,21.187058442658113,5,Vanilla,E
18,1867,21.28358848252016,5,Vanilla,E
19,1868,21.506058984504808,5,Vanilla,E
20,1869,21.51509148182943,5,Vanilla,E
21,1870,21.38177689694963,5,Vanilla,E
22,1871,21.759668030944393,5,Vanilla,E
23,1872,21.424389467822476,5,Vanilla,E
24,1873,21.59720324202935,5,Vanilla,E
25,1874,22.960750354488585,5,Vanilla,E
26,1875,22.471264432442005,5,Vanilla,E
27,1876,22.658304777778657,5,Vanilla,E
28,1877,24.45026880983373,5,Vanilla,E
29,1878,21.84212615607114,5,Vanilla,E
30,1879,22.470543441698947,5,Vanilla,E
31,1880,23.99877183065525,5,Vanilla,E
32,1881,24.5998934724121,5,Vanilla,E
33,1882,25.539413480880814,5,Vanilla,E
34,1883,24.26926083769738,5,Vanilla,E
35,1884,24.31306033092668,5,Vanilla,E
36,1885,25.919855601424064,5,Vanilla,E
37,1886,24.70114940552755,5,Vanilla,E
38,1887,22.801744938658366,5,Vanilla,E
39,1888,23.635914361625016,5,Vanilla,E
40,1889,25.85398511646668,5,Vanilla,E
41,1890,26.293279510096244,5,Vanilla,E
42,1891,26.1993224114762,5,Vanilla,E
43,1892,26.116829051947008,5,Vanilla,E
44,1893,24.810999047064396,5,Vanilla,E
45,1894,26.508987910610685,5,Vanilla,E
46,1895,27.04036405487254,5,Vanilla,E
47,1896,25.74154876068899,5,Vanilla,E
48,1897,28.001774961435853,5,Vanilla,E
