Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,27.2025672866607,5,Vanilla,E
2,1851,26.563133018495616,5,Vanilla,E
3,1852,27.792750486536278,5,Vanilla,E
4,1853,27.516770349268658,5,Vanilla,E
5,1854,23.584913205600238,5,Vanilla,E
6,1855,25.248576517935486,5,Vanilla,E
7,1856,25.642304455968123,5,Vanilla,E
8,1857,28.703139582479448,5,Vanilla,E
9,1858,28.079031370679477,5,Vanilla,E
10,1859,28.066590629193275,5,Vanilla,E
11,1860,26.434988451142033,5,Vanilla,E
12,1861,25.924950075626406,5,Vanilla,E
13,1862,27.12625530902159,5,Vanilla,E
14,1863,23.19016687274717,5,Vanilla,E
15,1864,24.82296875736847,5,Vanilla,E
16,1865,27.52636660985271,5,Vanilla,E
17,1866,23.697883042341203,5,Vanilla,E
18,1867,28.5614500954152,5,Vanilla,E
19,1868,28.07371126811311,5,Vanilla,E
20,1869,24.632215785541604,5,Vanilla,E
21,1870,26.98748092203546,5,Vanilla,E
22,1871,26.736029800898756,5,Vanilla,E
23,1872,26.314416564340156,5,Vanilla,E
24,1873,26.178297194005395,5,Vanilla,E
25,1874,24.709785147070065,5,Vanilla,E
26,1875,25.734126730934957,5,Vanilla,E
27,1876,26.759450259176567,5,Vanilla,E
28,1877,27.812594416955704,5,Vanilla,E
29,1878,26.732113476106004,5,Vanilla,E
30,1879,27.61531441993581,5,Vanilla,E
31,1880,26.29041800700429,5,Vanilla,E
32,1881,26.009023397710703,5,Vanilla,E
33,1882,26.775340935756898,5,Vanilla,E
34,1883,23.34319572894002,5,Vanilla,E
35,1884,25.13396081969193,5,Vanilla,E
36,1885,27.24343830238681,5,Vanilla,E
37,1886,26.328675797533073,5,Vanilla,E
38,1887,26.091417712102533,5,Vanilla,E
39,1888,27.61006313457875,5,Vanilla,E
40,1889,24.110487849207804,5,Vanilla,E
41,1890,27.125648124584817,5,Vanilla,E
42,1891,25.149090012224935,5,Vanilla,E
43,1892,25.61397017328454,5,Vanilla,E
44,1893,24.149881912854585,5,Vanilla,E
45,1894,22.819554462059827,5,Vanilla,E
46,1895,25.05629371840955,5,Vanilla,E
47,1896,23.93772469993585,5,Vanilla,E
48,1897,26.701888314173612,5,Vanilla,E
49,1898,27.484091911118018,5,Vanilla,E
50,1899,26.45054576608412,5,Vanilla,E
51,1900,25.1538849176364,5,Vanilla,E
52,1901,27.28021880042614,5,Vanilla,E
53,1902,26.376083480495176,5,Vanilla,E
54,1903,23.801256812062334,5,Vanilla,E
55,1904,24.148686071927575,5,Vanilla,E
56,1905,27.68079563502197,5,Vanilla,E
57,1906,23.618223040750205,5,Vanilla,E
58,1907,27.431840119908355,5,Vanilla,E
59,1908,24.18376957386676,5,Vanilla,E
60,1909,25.477143156506877,5,Vanilla,E
61,1910,25.96713557059818,5,Vanilla,E
62,1911,26.478276719411863,5,Vanilla,E
63,1912,24.72798667324023,5,Vanilla,E
64,1913,25.49588386969814,5,Vanilla,E
65,1914,25.23127599277321,5,Vanilla,E
66,1915,24.684010952172613,5,Vanilla,E
67,1916,25.56930472698223,5,Vanilla,E
68,1917,27.991478629846867,5,Vanilla,E
69,1918,25.166608540727903,5,Vanilla,E
70,1919,26.950767863503234,5,Vanilla,E
71,1920,25.10503609414583,5,Vanilla,E
72,1921,24.28640137367294,5,Vanilla,E
73,1922,22.01503516883572,5,Vanilla,E
74,1923,27.881917663140754,5,Vanilla,E
75,1924,26.86904119790761,5,Vanilla,E
76,1925,28.365040272944942,5,Vanilla,E
77,1926,23.099669335762638,5,Vanilla,E
78,1927,22.73802303327505,5,Vanilla,E
79,1928,24.481208619522548,5,Vanilla,E
80,1929,29.399837843247564,5,Vanilla,E
81,1930,29.57219074585816,5,Vanilla,E
82,1931,25.854645857673326,5,Vanilla,E
83,1932,24.18517221440693,5,Vanilla,E
84,1933,26.951143717110106,5,Vanilla,E
85,1934,25.875093529647003,5,Vanilla,E
86,1935,24.859623730334192,5,Vanilla,E
87,1936,29.648312162958767,5,Vanilla,E
88,1937,23.593901522113523,5,Vanilla,E
89,1938,23.068494614224377,5,Vanilla,E
90,1939,25.840985148061307,5,Vanilla,E
91,1940,25.462370266822173,5,Vanilla,E
92,1941,20.43623892690261,5,Vanilla,E
93,1942,24.581599403590502,5,Vanilla,E
94,1943,25.115561458988893,5,Vanilla,E
95,1944,25.569523355713752,5,Vanilla,E
96,1945,27.034633344900126,5,Vanilla,E
97,1946,24.797654169060166,5,Vanilla,E
98,1947,23.014502341238703,5,Vanilla,E
99,1948,23.237355711447144,5,Vanilla,E
100,1949,21.847611437210585,5,Vanilla,E
101,1950,26.40558020100791,5,Vanilla,E
102,1951,21.326594534156097,5,Vanilla,E
103,1952,20.64406199555579,5,Vanilla,E
104,1953,22.165593542073132,5,Vanilla,E
105,1954,24.252177163829547,5,Vanilla,E
106,1955,24.412030797834426,5,Vanilla,E
107,1956,26.261794126042755,5,Vanilla,E
108,1957,29.21843048939683,5,Vanilla,E
109,1958,23.28238974319705,5,Vanilla,E
110,1959,26.19399658773953,5,Vanilla,E
111,1960,19.468325051825463,4,LightYellow,D
112,1961,23.144273489673022,5,Vanilla,E
113,1962,25.95883080918089,5,Vanilla,E
114,1963,21.33224685077035,5,Vanilla,E
115,1964,20.085653713685943,5,Vanilla,E
116,1965,20.888404962475946,5,Vanilla,E
117,1966,20.428076384626646,5,Vanilla,E
118,1967,21.641138722239912,5,Vanilla,E
119,1968,23.961967627289173,5,Vanilla,E
120,1969,18.885939913100902,4,LightYellow,D
121,1970,20.361006524905175,5,Vanilla,E
122,1971,19.626765806488226,4,LightYellow,D
123,1972,20.51379372652046,5,Vanilla,E
124,1973,18.712746396524757,4,LightYellow,D
125,1974,20.267336609778226,5,Vanilla,E
126,1975,21.52440243055937,5,Vanilla,E
127,1976,21.134969317881232,5,Vanilla,E
128,1977,22.25282391269796,5,Vanilla,E
129,1978,26.9239731573996,5,Vanilla,E
130,1979,23.77459931208327,5,Vanilla,E
131,1980,20.402947307330436,5,Vanilla,E
132,1981,21.221101303599024,5,Vanilla,E
133,1982,23.91526128367626,5,Vanilla,E
134,1983,21.66542547462367,5,Vanilla,E
135,1984,20.737732016959427,5,Vanilla,E
136,1985,23.071530978525228,5,Vanilla,E
137,1986,21.534559276767823,5,Vanilla,E
138,1987,19.46368876123778,4,LightYellow,D
139,1988,21.59606215127789,5,Vanilla,E
140,1989,19.410799061125683,4,LightYellow,D
141,1990,21.69104863988993,5,Vanilla,E
142,1991,21.428078723367154,5,Vanilla,E
143,1992,20.20000109128102,5,Vanilla,E
144,1993,20.679937973821048,5,Vanilla,E
145,1994,21.51378220922859,5,Vanilla,E
146,1995,19.00516952972868,4,LightYellow,D
147,1996,20.055352021482616,5,Vanilla,E
148,1997,17.935682265647813,4,LightYellow,D
149,1998,24.454425369464598,5,Vanilla,E
