Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,16.632512264984356,4,LightYellow,D
2,1851,18.81050171751648,4,LightYellow,D
3,1852,18.32591926805833,4,LightYellow,D
4,1853,17.57561004422433,4,LightYellow,D
5,1854,18.25618669089592,4,LightYellow,D
6,1855,17.768806471627503,4,LightYellow,D
7,1856,19.382385000005357,4,LightYellow,D
8,1857,19.2678308917774,4,LightYellow,D
9,1858,19.9220340636053,4,LightYellow,D
10,1859,19.910382455410804,4,LightYellow,D
11,1860,20.046790013606962,5,Vanilla,E
12,1861,19.83799152716939,4,LightYellow,D
13,1862,20.153288439327905,5,Vanilla,E
14,1863,19.991331673764154,4,LightYellow,D
15,1864,20.765563997454397,5,Vanilla,E
16,1865,20.9014137170417,5,Vanilla,E
17,1866,19.097214467459462,4,LightYellow,D
18,1867,21.66029744470327,5,Vanilla,E
19,1868,21.15748194566642,5,Vanilla,E
20,1869,22.065930105236422,5,Vanilla,E
21,1870,22.210395349317093,5,Vanilla,E
22,1871,22.237890909455945,5,Vanilla,E
23,1872,23.822507843209507,5,Vanilla,E
24,1873,22.54899213921262,5,Vanilla,E
25,1874,21.77796545279783,5,Vanilla,E
26,1875,20.245231864343957,5,Vanilla,E
27,1876,23.014915556070328,5,Vanilla,E
28,1877,23.126301292597127,5,Vanilla,E
29,1878,22.340029061735763,5,Vanilla,E
30,1879,20.90665760417113,5,Vanilla,E
31,1880,22.154279546954218,5,Vanilla,E
32,1881,21.887282394627203,5,Vanilla,E
33,1882,22.185017600258334,5,Vanilla,E
34,1883,22.19191251446959,5,Vanilla,E
35,1884,22.840894771426253,5,Vanilla,E
36,1885,21.38390821424295,5,Vanilla,E
37,1886,21.568352450123303,5,Vanilla,E
38,1887,20.467188427200625,5,Vanilla,E
39,1888,22.07270188775717,5,Vanilla,E
40,1889,20.824105206994094,5,Vanilla,E
41,1890,21.64510900927593,5,Vanilla,E
42,1891,22.3950584697455,5,Vanilla,E
43,1892,22.737572767498026,5,Vanilla,E
44,1893,23.203335453462024,5,Vanilla,E
45,1894,21.923323969601398,5,Vanilla,E
46,1895,21.8913593666424,5,Vanilla,E
47,1896,22.933956480339297,5,Vanilla,E
48,1897,21.45440453702208,5,Vanilla,E
49,1898,23.665863971844974,5,Vanilla,E
50,1899,23.497334180102776,5,Vanilla,E
51,1900,23.889911857641604,5,Vanilla,E
52,1901,24.24950686158128,5,Vanilla,E
53,1902,24.461687013170387,5,Vanilla,E
54,1903,25.891995865668992,5,Vanilla,E
55,1904,26.747850605111296,5,Vanilla,E
56,1905,26.467739002700323,5,Vanilla,E
57,1906,27.13185203015852,5,Vanilla,E
58,1907,30.265446942277134,6,Dandelion,F
59,1908,25.798764112612982,5,Vanilla,E
60,1909,26.82974132329511,5,Vanilla,E
61,1910,28.30578814466811,5,Vanilla,E
62,1911,29.09412851841446,5,Vanilla,E
63,1912,28.982684658147676,5,Vanilla,E
64,1913,29.57189440520327,5,Vanilla,E
65,1914,28.47254164601052,5,Vanilla,E
66,1915,28.645424619376527,5,Vanilla,E
67,1916,30.571209446414223,6,Dandelion,F
68,1917,32.15646104616065,6,Dandelion,F
69,1918,30.292793116251087,6,Dandelion,F
70,1919,28.66272145127011,5,Vanilla,E
71,1920,29.636795308318387,5,Vanilla,E
72,1921,26.939667232146867,5,Vanilla,E
73,1922,24.861628551853755,5,Vanilla,E
74,1923,29.7303327967265,5,Vanilla,E
75,1924,26.18822188514573,5,Vanilla,E
76,1925,26.289879396448345,5,Vanilla,E
77,1926,27.93296232615245,5,Vanilla,E
78,1927,25.925473120476116,5,Vanilla,E
79,1928,26.660739375246997,5,Vanilla,E
80,1929,26.08774854609671,5,Vanilla,E
81,1930,24.304427522049373,5,Vanilla,E
82,1931,19.964447878735538,4,LightYellow,D
83,1932,18.977222543000032,4,LightYellow,D
84,1933,20.435965370223197,5,Vanilla,E
85,1934,18.64979550396919,4,LightYellow,D
86,1935,20.00622561527628,5,Vanilla,E
87,1936,21.65657887513288,5,Vanilla,E
88,1937,22.175808025798325,5,Vanilla,E
89,1938,19.198719585728824,4,LightYellow,D
90,1939,20.745783576309535,5,Vanilla,E
91,1940,21.2896367052444,5,Vanilla,E
92,1941,22.84065221162703,5,Vanilla,E
93,1942,24.75193778123924,5,Vanilla,E
94,1943,23.98638905535031,5,Vanilla,E
95,1944,25.699671501079386,5,Vanilla,E
96,1945,24.30691341487142,5,Vanilla,E
97,1946,22.28174537662259,5,Vanilla,E
98,1947,25.098118136755467,5,Vanilla,E
99,1948,25.32162691405139,5,Vanilla,E
100,1949,20.617503281127643,5,Vanilla,E
101,1950,22.064429601268564,5,Vanilla,E
102,1951,22.363679856412315,5,Vanilla,E
103,1952,20.097551012566765,5,Vanilla,E
104,1953,20.537526934649627,5,Vanilla,E
105,1954,18.974139128499818,4,LightYellow,D
106,1955,20.723711766095388,5,Vanilla,E
107,1956,22.22738884011832,5,Vanilla,E
108,1957,21.93775498791195,5,Vanilla,E
109,1958,19.432733179473296,4,LightYellow,D
110,1959,20.54135373485116,5,Vanilla,E
111,1960,19.17326650687337,4,LightYellow,D
112,1961,24.036873626321597,5,Vanilla,E
113,1962,24.279610842715208,5,Vanilla,E
114,1963,24.935586991646193,5,Vanilla,E
115,1964,24.319236425707267,5,Vanilla,E
116,1965,24.39781758275958,5,Vanilla,E
117,1966,25.587236527373037,5,Vanilla,E
118,1967,23.976993618783027,5,Vanilla,E
119,1968,23.301630491477514,5,Vanilla,E
120,1969,22.474447786951547,5,Vanilla,E
121,1970,22.552513748514237,5,Vanilla,E
122,1971,23.236416866186048,5,Vanilla,E
123,1972,23.07180873661219,5,Vanilla,E
124,1973,24.207339652772074,5,Vanilla,E
125,1974,23.176331432955894,5,Vanilla,E
126,1975,23.122820082314238,5,Vanilla,E
127,1976,23.144318265908225,5,Vanilla,E
128,1977,23.456174447824523,5,Vanilla,E
129,1978,22.936521148841575,5,Vanilla,E
130,1979,23.851498476864187,5,Vanilla,E
131,1980,23.42183918713002,5,Vanilla,E
132,1981,21.38381895381885,5,Vanilla,E
133,1982,21.912254705466335,5,Vanilla,E
134,1983,22.126309506912108,5,Vanilla,E
135,1984,21.78671842489408,5,Vanilla,E
136,1985,22.164724993502926,5,Vanilla,E
137,1986,22.358449610093032,5,Vanilla,E
138,1987,21.691345996988435,5,Vanilla,E
139,1988,22.610141228210132,5,Vanilla,E
140,1989,23.62877505624133,5,Vanilla,E
141,1990,22.375537321893596,5,Vanilla,E
142,1991,21.678857306091807,5,Vanilla,E
143,1992,21.26716779194051,5,Vanilla,E
144,1993,20.118898593743904,5,Vanilla,E
145,1994,20.695756067314573,5,Vanilla,E
146,1995,18.465584356605618,4,LightYellow,D
147,1996,18.604971501931196,4,LightYellow,D
148,1997,19.636177740729956,4,LightYellow,D
149,1998,19.10913051768778,4,LightYellow,D
150,1999,17.478329110705246,4,LightYellow,D
151,2000,16.36029268204284,4,LightYellow,D
152,2001,16.899999618530273,4,LightYellow,D
153,2002,15.783333778381348,4,LightYellow,D
154,2003,15.90000057220459,4,LightYellow,D
155,2004,15.683333396911621,4,LightYellow,D
156,2005,17.07499885559082,4,LightYellow,D
157,2006,14.741665840148926,3,CornflowerBlue,C
158,2007,15.566666603088379,4,LightYellow,D
159,2008,13.683333396911621,3,CornflowerBlue,C
160,2009,12.116667747497559,3,CornflowerBlue,C
161,2010,13.141667366027832,3,CornflowerBlue,C
162,2011,11.808333396911621,3,CornflowerBlue,C
