Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,11.310358779064543,3,CornflowerBlue,C
2,1851,10.976726809596647,3,CornflowerBlue,C
3,1852,11.615661554893087,3,CornflowerBlue,C
4,1853,11.816888055481165,3,CornflowerBlue,C
5,1854,11.431612664185645,3,CornflowerBlue,C
6,1855,11.082533900643272,3,CornflowerBlue,C
7,1856,12.047252862951321,3,CornflowerBlue,C
8,1857,11.143759416888296,3,CornflowerBlue,C
9,1858,11.411026170694994,3,CornflowerBlue,C
10,1859,12.100370556576303,3,CornflowerBlue,C
11,1860,10.736212755627816,3,CornflowerBlue,C
12,1861,12.765439668737338,3,CornflowerBlue,C
13,1862,12.019459714671694,3,CornflowerBlue,C
14,1863,11.748355050130325,3,CornflowerBlue,C
15,1864,12.97427685610781,3,CornflowerBlue,C
16,1865,12.107299279670617,3,CornflowerBlue,C
17,1866,12.270920425431285,3,CornflowerBlue,C
18,1867,11.919023244711642,3,CornflowerBlue,C
19,1868,12.196324047140203,3,CornflowerBlue,C
20,1869,11.919636502856473,3,CornflowerBlue,C
21,1870,12.002089531057651,3,CornflowerBlue,C
22,1871,12.573859162039472,3,CornflowerBlue,C
23,1872,11.784562311097044,3,CornflowerBlue,C
24,1873,12.553791079467276,3,CornflowerBlue,C
25,1874,12.341020391737652,3,CornflowerBlue,C
26,1875,12.417391520278553,3,CornflowerBlue,C
27,1876,12.71424530694853,3,CornflowerBlue,C
28,1877,12.850852730935237,3,CornflowerBlue,C
29,1878,12.022452254069455,3,CornflowerBlue,C
30,1879,12.451308871137128,3,CornflowerBlue,C
31,1880,12.820533331343102,3,CornflowerBlue,C
32,1881,12.737339339518751,3,CornflowerBlue,C
33,1882,13.024953251691938,3,CornflowerBlue,C
34,1883,13.46711280902503,3,CornflowerBlue,C
35,1884,12.594635616696364,3,CornflowerBlue,C
36,1885,13.32487529623463,3,CornflowerBlue,C
37,1886,12.903524049551937,3,CornflowerBlue,C
38,1887,12.70555939971084,3,CornflowerBlue,C
39,1888,12.88485863507242,3,CornflowerBlue,C
40,1889,12.940564438572146,3,CornflowerBlue,C
41,1890,12.704480979999994,3,CornflowerBlue,C
42,1891,13.138809762507966,3,CornflowerBlue,C
43,1892,13.187428252650575,3,CornflowerBlue,C
44,1893,12.998511811684653,3,CornflowerBlue,C
45,1894,13.907426995553182,3,CornflowerBlue,C
46,1895,14.072373581718841,3,CornflowerBlue,C
