Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,13.54924973914898,3,CornflowerBlue,C
2,1851,13.638205842513349,3,CornflowerBlue,C
3,1852,13.562504862593789,3,CornflowerBlue,C
4,1853,12.920413135179324,3,CornflowerBlue,C
5,1854,13.833841726411285,3,CornflowerBlue,C
6,1855,13.570392937143119,3,CornflowerBlue,C
7,1856,13.78937035116675,3,CornflowerBlue,C
8,1857,13.165190928086997,3,CornflowerBlue,C
9,1858,13.528498056536556,3,CornflowerBlue,C
10,1859,13.677663466337965,3,CornflowerBlue,C
11,1860,13.68088629810439,3,CornflowerBlue,C
12,1861,14.073994996625716,3,CornflowerBlue,C
13,1862,13.594041685320956,3,CornflowerBlue,C
14,1863,13.879222596960329,3,CornflowerBlue,C
15,1864,13.051470939729295,3,CornflowerBlue,C
16,1865,14.285997327311868,3,CornflowerBlue,C
17,1866,13.643567137702961,3,CornflowerBlue,C
18,1867,14.171933327128881,3,CornflowerBlue,C
19,1868,14.089052568333205,3,CornflowerBlue,C
20,1869,13.348024146608202,3,CornflowerBlue,C
21,1870,13.922479269722501,3,CornflowerBlue,C
22,1871,13.033588684011935,3,CornflowerBlue,C
23,1872,13.296884422592722,3,CornflowerBlue,C
24,1873,13.429252497352627,3,CornflowerBlue,C
25,1874,14.27353028284337,3,CornflowerBlue,C
26,1875,14.065391658029679,3,CornflowerBlue,C
27,1876,13.8877508810962,3,CornflowerBlue,C
28,1877,13.63481473352593,3,CornflowerBlue,C
29,1878,13.199856099134667,3,CornflowerBlue,C
30,1879,14.285884118596373,3,CornflowerBlue,C
31,1880,13.267922513323283,3,CornflowerBlue,C
32,1881,14.378149750142729,3,CornflowerBlue,C
33,1882,14.164684219983211,3,CornflowerBlue,C
34,1883,13.258238800465211,3,CornflowerBlue,C
35,1884,12.735173989092296,3,CornflowerBlue,C
36,1885,14.137714997602227,3,CornflowerBlue,C
37,1886,13.83079457965342,3,CornflowerBlue,C
38,1887,14.070562177085653,3,CornflowerBlue,C
39,1888,14.06228793472165,3,CornflowerBlue,C
40,1889,12.700143528912214,3,CornflowerBlue,C
41,1890,13.210451124179755,3,CornflowerBlue,C
42,1891,13.365572565332286,3,CornflowerBlue,C
43,1892,13.43508891068266,3,CornflowerBlue,C
44,1893,14.015588684391137,3,CornflowerBlue,C
45,1894,13.375361306030603,3,CornflowerBlue,C
46,1895,13.757281882635777,3,CornflowerBlue,C
47,1896,13.243585952814293,3,CornflowerBlue,C
48,1897,12.874402244623083,3,CornflowerBlue,C
49,1898,13.597674903226,3,CornflowerBlue,C
50,1899,14.169033265242678,3,CornflowerBlue,C
51,1900,14.974648100461524,3,CornflowerBlue,C
52,1901,13.804017532135944,3,CornflowerBlue,C
53,1902,13.13451957716684,3,CornflowerBlue,C
54,1903,13.837112375297098,3,CornflowerBlue,C
55,1904,13.547525273142778,3,CornflowerBlue,C
56,1905,13.677432943332963,3,CornflowerBlue,C
57,1906,13.335022313839456,3,CornflowerBlue,C
58,1907,13.733219114951435,3,CornflowerBlue,C
59,1908,13.331717992294838,3,CornflowerBlue,C
60,1909,13.624403529244837,3,CornflowerBlue,C
61,1910,14.032485108148185,3,CornflowerBlue,C
62,1911,13.851624679998002,3,CornflowerBlue,C
63,1912,13.213420349169265,3,CornflowerBlue,C
64,1913,13.800805478163255,3,CornflowerBlue,C
65,1914,13.582686953967107,3,CornflowerBlue,C
66,1915,13.182216873496952,3,CornflowerBlue,C
67,1916,13.619953537452275,3,CornflowerBlue,C
68,1917,13.222613124649063,3,CornflowerBlue,C
69,1918,13.304185508391827,3,CornflowerBlue,C
70,1919,13.421274395890533,3,CornflowerBlue,C
71,1920,14.070471021866894,3,CornflowerBlue,C
72,1921,13.663571769716093,3,CornflowerBlue,C
73,1922,13.98323632998167,3,CornflowerBlue,C
74,1923,13.181962121324952,3,CornflowerBlue,C
75,1924,13.322844339924902,3,CornflowerBlue,C
76,1925,13.102748086036332,3,CornflowerBlue,C
77,1926,13.719358000819568,3,CornflowerBlue,C
78,1927,14.450470221644533,3,CornflowerBlue,C
79,1928,13.793376154730662,3,CornflowerBlue,C
80,1929,13.611319291642431,3,CornflowerBlue,C
81,1930,13.447415397497235,3,CornflowerBlue,C
82,1931,14.243355962914753,3,CornflowerBlue,C
83,1932,13.986591654005116,3,CornflowerBlue,C
84,1933,13.964656095041443,3,CornflowerBlue,C
85,1934,13.91816976375173,3,CornflowerBlue,C
86,1935,13.552093740612449,3,CornflowerBlue,C
87,1936,13.160614658684786,3,CornflowerBlue,C
88,1937,14.101715875885182,3,CornflowerBlue,C
89,1938,13.648986865153129,3,CornflowerBlue,C
90,1939,13.57998614797213,3,CornflowerBlue,C
91,1940,13.148975993907815,3,CornflowerBlue,C
92,1941,14.004852437017576,3,CornflowerBlue,C
93,1942,13.584605204828962,3,CornflowerBlue,C
94,1943,13.893537629424584,3,CornflowerBlue,C
95,1944,13.446098866464569,3,CornflowerBlue,C
96,1945,13.96357966303609,3,CornflowerBlue,C
97,1946,14.17873591999312,3,CornflowerBlue,C
98,1947,13.276630344632023,3,CornflowerBlue,C
99,1948,13.819952953879204,3,CornflowerBlue,C
100,1949,13.380822891525657,3,CornflowerBlue,C
101,1950,13.932991386466316,3,CornflowerBlue,C
102,1951,14.198682276468418,3,CornflowerBlue,C
103,1952,13.846246183846333,3,CornflowerBlue,C
104,1953,13.47331262521653,3,CornflowerBlue,C
105,1954,13.812853747727415,3,CornflowerBlue,C
106,1955,13.44355392274232,3,CornflowerBlue,C
107,1956,13.868384139298504,3,CornflowerBlue,C
108,1957,12.879058353523602,3,CornflowerBlue,C
109,1958,13.7534995024259,3,CornflowerBlue,C
110,1959,13.803651667181605,3,CornflowerBlue,C
111,1960,14.106869212503604,3,CornflowerBlue,C
112,1961,13.83025967717537,3,CornflowerBlue,C
113,1962,13.605857997689549,3,CornflowerBlue,C
114,1963,13.371504038951418,3,CornflowerBlue,C
115,1964,13.418222582866715,3,CornflowerBlue,C
116,1965,14.401752742058296,3,CornflowerBlue,C
117,1966,13.835332678367651,3,CornflowerBlue,C
118,1967,14.749294568281229,3,CornflowerBlue,C
119,1968,14.046037812568509,3,CornflowerBlue,C
120,1969,13.839015096796357,3,CornflowerBlue,C
121,1970,14.46628473372464,3,CornflowerBlue,C
122,1971,13.847203285586934,3,CornflowerBlue,C
123,1972,13.998323455335717,3,CornflowerBlue,C
124,1973,14.030835988360321,3,CornflowerBlue,C
125,1974,14.472178500666796,3,CornflowerBlue,C
126,1975,13.623683592849225,3,CornflowerBlue,C
127,1976,14.246249407740939,3,CornflowerBlue,C
128,1977,13.83140021158496,3,CornflowerBlue,C
129,1978,13.790857863805366,3,CornflowerBlue,C
130,1979,14.081617306140759,3,CornflowerBlue,C
131,1980,14.459542355145,3,CornflowerBlue,C
