Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,9.480559615562019,2,PowderBlue,B
2,1851,9.872301855452916,2,PowderBlue,B
3,1852,9.431393657967787,2,PowderBlue,B
4,1853,9.61925407566721,2,PowderBlue,B
5,1854,9.762471240424482,2,PowderBlue,B
6,1855,9.622884653557886,2,PowderBlue,B
7,1856,9.934794870579664,2,PowderBlue,B
8,1857,10.245964760359417,3,CornflowerBlue,C
9,1858,9.738362350748815,2,PowderBlue,B
10,1859,10.407987433405323,3,CornflowerBlue,C
11,1860,10.446271205590564,3,CornflowerBlue,C
12,1861,10.327503414517986,3,CornflowerBlue,C
13,1862,10.070026340708349,3,CornflowerBlue,C
14,1863,10.032466175659625,3,CornflowerBlue,C
15,1864,9.836719154589915,2,PowderBlue,B
16,1865,10.083028412538857,3,CornflowerBlue,C
17,1866,10.31237982247553,3,CornflowerBlue,C
18,1867,10.033929871576866,3,CornflowerBlue,C
19,1868,9.553319651140235,2,PowderBlue,B
20,1869,9.906052369402607,2,PowderBlue,B
21,1870,9.928821233349616,2,PowderBlue,B
22,1871,9.687260278173271,2,PowderBlue,B
23,1872,9.94036465193103,2,PowderBlue,B
24,1873,10.380062396752468,3,CornflowerBlue,C
25,1874,10.2482460063394,3,CornflowerBlue,C
26,1875,10.013189947519669,3,CornflowerBlue,C
27,1876,9.908352140830704,2,PowderBlue,B
28,1877,10.178697368313093,3,CornflowerBlue,C
29,1878,10.249480897036479,3,CornflowerBlue,C
30,1879,9.903450329780005,2,PowderBlue,B
31,1880,9.946283418742684,2,PowderBlue,B
32,1881,10.007197492943936,3,CornflowerBlue,C
33,1882,10.594870138256415,3,CornflowerBlue,C
34,1883,10.169210937028208,3,CornflowerBlue,C
35,1884,10.406638874457244,3,CornflowerBlue,C
36,1885,10.583258665941704,3,CornflowerBlue,C
37,1886,10.229920040884254,3,CornflowerBlue,C
38,1887,10.65732290849979,3,CornflowerBlue,C
39,1888,9.689672916966732,2,PowderBlue,B
40,1889,9.67979218304661,2,PowderBlue,B
41,1890,10.317904844746431,3,CornflowerBlue,C
42,1891,9.975046306772967,2,PowderBlue,B
43,1892,10.63265648360307,3,CornflowerBlue,C
44,1893,11.04673328148102,3,CornflowerBlue,C
45,1894,10.220391304890848,3,CornflowerBlue,C
46,1895,10.632764300404473,3,CornflowerBlue,C
47,1896,10.319439740034182,3,CornflowerBlue,C
48,1897,10.179393277727707,3,CornflowerBlue,C
49,1898,10.134848989728189,3,CornflowerBlue,C
50,1899,10.399251540675474,3,CornflowerBlue,C
51,1900,11.208674386872499,3,CornflowerBlue,C
52,1901,10.645565497506364,3,CornflowerBlue,C
53,1902,10.653962296524137,3,CornflowerBlue,C
54,1903,10.476645553053118,3,CornflowerBlue,C
55,1904,11.405144695888929,3,CornflowerBlue,C
56,1905,10.656167645913026,3,CornflowerBlue,C
57,1906,10.794415890572978,3,CornflowerBlue,C
58,1907,11.248606785679481,3,CornflowerBlue,C
59,1908,11.247283696367269,3,CornflowerBlue,C
60,1909,10.903566828695082,3,CornflowerBlue,C
61,1910,11.33760733240646,3,CornflowerBlue,C
62,1911,10.852947493538997,3,CornflowerBlue,C
63,1912,10.712075382027303,3,CornflowerBlue,C
64,1913,10.465978374108815,3,CornflowerBlue,C
65,1914,10.772631351851619,3,CornflowerBlue,C
66,1915,11.249661264113884,3,CornflowerBlue,C
67,1916,11.647079236756081,3,CornflowerBlue,C
68,1917,11.117519679786254,3,CornflowerBlue,C
69,1918,10.853621303987191,3,CornflowerBlue,C
70,1919,10.957547746592898,3,CornflowerBlue,C
71,1920,10.94973148839586,3,CornflowerBlue,C
72,1921,10.952837591696234,3,CornflowerBlue,C
73,1922,11.846588217780166,3,CornflowerBlue,C
74,1923,11.386123908670864,3,CornflowerBlue,C
75,1924,11.196307029225423,3,CornflowerBlue,C
76,1925,11.31907898117095,3,CornflowerBlue,C
77,1926,11.117066103096002,3,CornflowerBlue,C
78,1927,11.57129964630236,3,CornflowerBlue,C
79,1928,11.541713928271493,3,CornflowerBlue,C
80,1929,11.438053900383682,3,CornflowerBlue,C
81,1930,11.481544004607883,3,CornflowerBlue,C
82,1931,11.608023853631522,3,CornflowerBlue,C
83,1932,11.262311113739855,3,CornflowerBlue,C
84,1933,11.115363685725576,3,CornflowerBlue,C
85,1934,11.45166147583172,3,CornflowerBlue,C
86,1935,11.711683812189333,3,CornflowerBlue,C
87,1936,11.356097283167319,3,CornflowerBlue,C
88,1937,12.024455303945517,3,CornflowerBlue,C
89,1938,12.100055933663551,3,CornflowerBlue,C
90,1939,11.910534322444711,3,CornflowerBlue,C
91,1940,11.975443271774298,3,CornflowerBlue,C
92,1941,12.615798166220218,3,CornflowerBlue,C
93,1942,12.365906448683107,3,CornflowerBlue,C
94,1943,12.082807975076967,3,CornflowerBlue,C
95,1944,12.22455641116548,3,CornflowerBlue,C
96,1945,12.336148879444062,3,CornflowerBlue,C
97,1946,12.789006209934112,3,CornflowerBlue,C
98,1947,12.389224394901687,3,CornflowerBlue,C
99,1948,11.957455424690757,3,CornflowerBlue,C
100,1949,12.399806192617588,3,CornflowerBlue,C
101,1950,12.34920151892119,3,CornflowerBlue,C
102,1951,11.727177413258428,3,CornflowerBlue,C
103,1952,12.076086243865891,3,CornflowerBlue,C
104,1953,12.129285301704776,3,CornflowerBlue,C
105,1954,12.196095880497813,3,CornflowerBlue,C
106,1955,12.464044033406905,3,CornflowerBlue,C
107,1956,12.478449791948158,3,CornflowerBlue,C
108,1957,12.425705282997072,3,CornflowerBlue,C
109,1958,12.283981558826952,3,CornflowerBlue,C
110,1959,12.430731860223938,3,CornflowerBlue,C
111,1960,12.280280137805189,3,CornflowerBlue,C
112,1961,12.294604789054786,3,CornflowerBlue,C
113,1962,12.772204982624736,3,CornflowerBlue,C
114,1963,12.461051407866563,3,CornflowerBlue,C
115,1964,12.977829400570439,3,CornflowerBlue,C
116,1965,12.661616242403877,3,CornflowerBlue,C
117,1966,12.768894546665415,3,CornflowerBlue,C
118,1967,13.32536420541032,3,CornflowerBlue,C
119,1968,13.24181302771553,3,CornflowerBlue,C
120,1969,13.04799105061462,3,CornflowerBlue,C
121,1970,13.056182290994203,3,CornflowerBlue,C
122,1971,13.397443556997127,3,CornflowerBlue,C
123,1972,13.969505808049204,3,CornflowerBlue,C
124,1973,14.03747690558058,3,CornflowerBlue,C
125,1974,13.76751853954204,3,CornflowerBlue,C
126,1975,14.183572794708764,3,CornflowerBlue,C
127,1976,14.293250273306299,3,CornflowerBlue,C
