Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,18.7500578073469,4,LightYellow,D
2,1851,17.805245359097903,4,LightYellow,D
3,1852,18.115684726942153,4,LightYellow,D
4,1853,18.139285646105215,4,LightYellow,D
5,1854,18.859005957145303,4,LightYellow,D
6,1855,18.628011156598134,4,LightYellow,D
7,1856,19.689455954629665,4,LightYellow,D
8,1857,19.067263378320124,4,LightYellow,D
9,1858,20.130040329043368,5,Vanilla,E
10,1859,19.60588672927803,4,LightYellow,D
11,1860,18.933301968624214,4,LightYellow,D
12,1861,21.044346013059062,5,Vanilla,E
13,1862,21.299497830456588,5,Vanilla,E
14,1863,22.301006261634246,5,Vanilla,E
15,1864,22.761416386073808,5,Vanilla,E
16,1865,22.0532544161299,5,Vanilla,E
17,1866,21.122571555362427,5,Vanilla,E
18,1867,20.807545992743428,5,Vanilla,E
19,1868,23.538498272791085,5,Vanilla,E
20,1869,23.447210408339398,5,Vanilla,E
21,1870,22.6889634959844,5,Vanilla,E
22,1871,23.629525350229066,5,Vanilla,E
23,1872,24.659249551303045,5,Vanilla,E
24,1873,24.541592099216132,5,Vanilla,E
25,1874,27.94655919879411,5,Vanilla,E
26,1875,24.485577587775005,5,Vanilla,E
27,1876,26.413481466031644,5,Vanilla,E
28,1877,30.593306229883876,6,Dandelion,F
29,1878,26.75565280285945,5,Vanilla,E
30,1879,26.42281792259871,5,Vanilla,E
31,1880,30.80535488339067,6,Dandelion,F
32,1881,28.549939052360713,5,Vanilla,E
33,1882,29.560164332907718,5,Vanilla,E
34,1883,30.696186142691765,6,Dandelion,F
35,1884,30.68226821400396,6,Dandelion,F
36,1885,32.62238626548404,6,Dandelion,F
37,1886,30.839888758568105,6,Dandelion,F
38,1887,29.44488118739034,5,Vanilla,E
39,1888,30.710555630630026,6,Dandelion,F
40,1889,32.48101217812133,6,Dandelion,F
41,1890,34.63224902504584,6,Dandelion,F
42,1891,34.33927210152914,6,Dandelion,F
43,1892,34.66111655236471,6,Dandelion,F
44,1893,33.41308910010513,6,Dandelion,F
45,1894,36.846722315336116,6,Dandelion,F
46,1895,37.49228588719106,6,Dandelion,F
47,1896,34.34239511494044,6,Dandelion,F
48,1897,40.244987610198436,7,Tangerine,G
49,1898,41.939147850488766,7,Tangerine,G
50,1899,37.52682947269316,6,Dandelion,F
51,1900,40.45978771074833,7,Tangerine,G
52,1901,39.80662012634359,6,Dandelion,F
53,1902,40.20842394028287,7,Tangerine,G
54,1903,39.976820984212566,6,Dandelion,F
55,1904,39.701637265265624,6,Dandelion,F
56,1905,44.17304982366747,7,Tangerine,G
57,1906,41.33957461156558,7,Tangerine,G
58,1907,44.226205026974654,7,Tangerine,G
59,1908,45.46606178172678,7,Tangerine,G
60,1909,45.39450623296886,7,Tangerine,G
61,1910,46.41399500343595,7,Tangerine,G
62,1911,45.504294835455674,7,Tangerine,G
63,1912,47.938682377264776,7,Tangerine,G
64,1913,51.511829859163534,8,Mustard,H
65,1914,42.6897875703809,7,Tangerine,G
66,1915,43.321196094752786,7,Tangerine,G
67,1916,42.17192293770958,7,Tangerine,G
68,1917,44.74387695842125,7,Tangerine,G
69,1918,37.50424945042674,6,Dandelion,F
70,1919,36.002589130714775,6,Dandelion,F
71,1920,35.644051880537475,6,Dandelion,F
72,1921,36.18267529357053,6,Dandelion,F
73,1922,35.556543904049974,6,Dandelion,F
74,1923,35.31279133860181,6,Dandelion,F
75,1924,38.318420687700225,6,Dandelion,F
76,1925,38.27240809355705,6,Dandelion,F
77,1926,35.576430395840845,6,Dandelion,F
78,1927,37.665866242485116,6,Dandelion,F
79,1928,37.274711435933874,6,Dandelion,F
80,1929,39.4849901083749,6,Dandelion,F
81,1930,39.257849836457275,6,Dandelion,F
82,1931,35.87467483297513,6,Dandelion,F
83,1932,31.208194307122913,6,Dandelion,F
84,1933,30.958004101191435,6,Dandelion,F
85,1934,35.452362292003755,6,Dandelion,F
86,1935,35.99862760889044,6,Dandelion,F
87,1936,35.9596760500048,6,Dandelion,F
88,1937,37.18990745487755,6,Dandelion,F
89,1938,43.732354112254356,7,Tangerine,G
90,1939,42.332793468225454,7,Tangerine,G
91,1940,47.90777763541584,7,Tangerine,G
92,1941,42.75293520005917,7,Tangerine,G
93,1942,47.746731461567855,7,Tangerine,G
94,1943,47.717564860335855,7,Tangerine,G
95,1944,44.292972542037745,7,Tangerine,G
96,1945,25.741662073305868,5,Vanilla,E
97,1946,31.878732490838676,6,Dandelion,F
98,1947,35.011347660571374,6,Dandelion,F
99,1948,36.526893531704935,6,Dandelion,F
100,1949,39.93666472009704,6,Dandelion,F
101,1950,41.25777652507421,7,Tangerine,G
102,1951,48.45826446361671,7,Tangerine,G
103,1952,46.671546256412626,7,Tangerine,G
104,1953,45.2752157021138,7,Tangerine,G
105,1954,48.42463570431917,7,Tangerine,G
106,1955,49.40698425725636,7,Tangerine,G
107,1956,53.18154696687558,8,Mustard,H
108,1957,56.179109777919855,8,Mustard,H
109,1958,51.83408292740175,8,Mustard,H
110,1959,52.34008846635004,8,Mustard,H
111,1960,55.08161120604803,8,Mustard,H
112,1961,61.65434460020261,9,Mauve,I
113,1962,65.03896448365171,9,Mauve,I
114,1963,62.873063707416755,9,Mauve,I
115,1964,63.34537027253303,9,Mauve,I
116,1965,64.82573520124963,9,Mauve,I
117,1966,61.89644971245096,9,Mauve,I
118,1967,60.71673860870952,9,Mauve,I
119,1968,63.48309461357118,9,Mauve,I
120,1969,62.57248678913119,9,Mauve,I
121,1970,66.93677889595068,9,Mauve,I
122,1971,71.17428671756191,10,Brown,J
123,1972,68.69391129831703,9,Mauve,I
124,1973,63.96368146027685,9,Mauve,I
125,1974,68.68621960300081,9,Mauve,I
126,1975,58.4519758287667,8,Mustard,H
127,1976,62.50704991934741,9,Mauve,I
128,1977,65.52766216558793,9,Mauve,I
129,1978,66.57675239471833,9,Mauve,I
130,1979,68.74866016920116,9,Mauve,I
131,1980,68.9450532813785,9,Mauve,I
132,1981,67.01534626298755,9,Mauve,I
133,1982,59.33093608900214,8,Mustard,H
134,1983,59.46755785830307,8,Mustard,H
135,1984,58.34321899434319,8,Mustard,H
136,1985,61.71114159319925,9,Mauve,I
137,1986,58.120905214618304,8,Mustard,H
138,1987,55.26630549745815,8,Mustard,H
139,1988,56.08994155220104,8,Mustard,H
140,1989,55.64012223381132,8,Mustard,H
141,1990,46.62566976288234,7,Tangerine,G
142,1991,39.31721242930405,6,Dandelion,F
143,1992,37.32942006289216,6,Dandelion,F
144,1993,33.431883583172485,6,Dandelion,F
145,1994,32.257806375364424,6,Dandelion,F
146,1995,28.28557402441545,5,Vanilla,E
147,1996,26.137244204559053,5,Vanilla,E
148,1997,26.151265500920214,5,Vanilla,E
149,1998,23.24851836174375,5,Vanilla,E
150,1999,21.288595442654984,5,Vanilla,E
151,2000,22.67069193367911,5,Vanilla,E
152,2001,21.075000762939453,5,Vanilla,E
153,2002,23.46666717529297,5,Vanilla,E
154,2003,21.958330154418945,5,Vanilla,E
155,2004,20.07499885559082,5,Vanilla,E
156,2005,21.691665649414062,5,Vanilla,E
157,2006,22.174997329711914,5,Vanilla,E
158,2007,16.325000762939453,4,LightYellow,D
159,2008,17.191667556762695,4,LightYellow,D
160,2009,18.375,4,LightYellow,D
161,2010,20.416667938232422,5,Vanilla,E
162,2011,19.80000114440918,4,LightYellow,D
163,2012,17.94999885559082,4,LightYellow,D
164,2013,18.441665649414062,4,LightYellow,D
165,2014,18.600000381469727,4,LightYellow,D
166,2015,16.83333396911621,4,LightYellow,D
167,2016,16.741666793823242,4,LightYellow,D
168,2017,16.316665649414062,4,LightYellow,D
169,2018,17.58333396911621,4,LightYellow,D
170,2019,13.125,3,CornflowerBlue,C
171,2020,13.208333015441895,3,CornflowerBlue,C
172,2021,14.383332252502441,3,CornflowerBlue,C
173,2022,13.066666603088379,3,CornflowerBlue,C
