Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,11.965849155470877,3,CornflowerBlue,C
2,1851,13.043882955342104,3,CornflowerBlue,C
3,1852,13.060146748861786,3,CornflowerBlue,C
4,1853,12.624095183677847,3,CornflowerBlue,C
5,1854,13.758004512373763,3,CornflowerBlue,C
6,1855,12.653281123060596,3,CornflowerBlue,C
7,1856,12.392136037793751,3,CornflowerBlue,C
8,1857,13.449260309657838,3,CornflowerBlue,C
9,1858,14.19560118056112,3,CornflowerBlue,C
10,1859,12.264488229562142,3,CornflowerBlue,C
11,1860,12.913167928950783,3,CornflowerBlue,C
12,1861,13.00926120493343,3,CornflowerBlue,C
13,1862,13.003160335291394,3,CornflowerBlue,C
14,1863,12.564089250683585,3,CornflowerBlue,C
15,1864,12.823902033742264,3,CornflowerBlue,C
16,1865,12.829203907150536,3,CornflowerBlue,C
17,1866,13.272115940635098,3,CornflowerBlue,C
18,1867,13.084172517157873,3,CornflowerBlue,C
19,1868,13.30014568597765,3,CornflowerBlue,C
20,1869,13.517794354180014,3,CornflowerBlue,C
21,1870,13.027107615928589,3,CornflowerBlue,C
22,1871,14.108854240165718,3,CornflowerBlue,C
23,1872,12.922621253121704,3,CornflowerBlue,C
24,1873,13.988438040186423,3,CornflowerBlue,C
25,1874,14.022419447299196,3,CornflowerBlue,C
26,1875,13.919470170067596,3,CornflowerBlue,C
27,1876,13.129302122767283,3,CornflowerBlue,C
28,1877,13.586375853902352,3,CornflowerBlue,C
29,1878,14.822578711620118,3,CornflowerBlue,C
30,1879,13.685425339373909,3,CornflowerBlue,C
31,1880,13.556890657581421,3,CornflowerBlue,C
32,1881,14.595235472644122,3,CornflowerBlue,C
33,1882,13.753556699700496,3,CornflowerBlue,C
34,1883,13.877523204560838,3,CornflowerBlue,C
35,1884,14.457004172517314,3,CornflowerBlue,C
36,1885,13.42624983741826,3,CornflowerBlue,C
37,1886,14.136985377879562,3,CornflowerBlue,C
38,1887,14.842922682594294,3,CornflowerBlue,C
39,1888,14.70582470978874,3,CornflowerBlue,C
40,1889,14.327615539636469,3,CornflowerBlue,C
41,1890,14.972731945378516,3,CornflowerBlue,C
42,1891,14.656122934847211,3,CornflowerBlue,C
43,1892,14.43027873800686,3,CornflowerBlue,C
44,1893,14.764324526152574,3,CornflowerBlue,C
45,1894,15.341544876202954,4,LightYellow,D
46,1895,15.417760058351247,4,LightYellow,D
47,1896,13.870121609824636,3,CornflowerBlue,C
48,1897,15.502473178949664,4,LightYellow,D
49,1898,16.308960729334885,4,LightYellow,D
50,1899,14.810082503598613,3,CornflowerBlue,C
51,1900,14.899450539619956,3,CornflowerBlue,C
52,1901,15.283274177062232,4,LightYellow,D
