Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,15.259153499542462,4,LightYellow,D
2,1851,14.65903963007777,3,CornflowerBlue,C
3,1852,14.660049897308246,3,CornflowerBlue,C
4,1853,14.973720136339043,3,CornflowerBlue,C
5,1854,14.972871984450306,3,CornflowerBlue,C
6,1855,15.185278966630577,4,LightYellow,D
7,1856,15.517921216311288,4,LightYellow,D
8,1857,14.41545466901212,3,CornflowerBlue,C
9,1858,14.57327478490278,3,CornflowerBlue,C
10,1859,15.669435883317785,4,LightYellow,D
11,1860,15.895254939252357,4,LightYellow,D
12,1861,15.63430253729265,4,LightYellow,D
13,1862,14.95893639259555,3,CornflowerBlue,C
14,1863,14.401618246415227,3,CornflowerBlue,C
15,1864,14.932257375850607,3,CornflowerBlue,C
16,1865,14.716101124481552,3,CornflowerBlue,C
17,1866,14.964159215746147,3,CornflowerBlue,C
18,1867,15.24465575307326,4,LightYellow,D
19,1868,15.473997314503636,4,LightYellow,D
20,1869,15.103084455315527,4,LightYellow,D
21,1870,15.13380671161622,4,LightYellow,D
22,1871,14.368636932301923,3,CornflowerBlue,C
23,1872,14.589602190229906,3,CornflowerBlue,C
24,1873,15.527552739611949,4,LightYellow,D
25,1874,15.178413096434157,4,LightYellow,D
26,1875,15.057753634982085,4,LightYellow,D
27,1876,15.465760612076243,4,LightYellow,D
28,1877,15.015587372771718,4,LightYellow,D
29,1878,15.318873761931291,4,LightYellow,D
30,1879,14.542895327877687,3,CornflowerBlue,C
31,1880,15.40534178413941,4,LightYellow,D
32,1881,15.149892991221451,4,LightYellow,D
33,1882,16.055999313533324,4,LightYellow,D
34,1883,15.476697904354802,4,LightYellow,D
35,1884,14.605131557407589,3,CornflowerBlue,C
36,1885,15.123595400304957,4,LightYellow,D
37,1886,15.18196511418152,4,LightYellow,D
38,1887,15.889600373563905,4,LightYellow,D
39,1888,15.15066478719896,4,LightYellow,D
40,1889,15.15067255325997,4,LightYellow,D
41,1890,15.70899952719752,4,LightYellow,D
42,1891,15.394738276759542,4,LightYellow,D
43,1892,16.703945480204272,4,LightYellow,D
44,1893,15.387356156842081,4,LightYellow,D
45,1894,15.459538736270108,4,LightYellow,D
46,1895,15.307127697379341,4,LightYellow,D
47,1896,14.930808960060007,3,CornflowerBlue,C
48,1897,15.114743780304645,4,LightYellow,D
49,1898,15.273247963921145,4,LightYellow,D
50,1899,15.653621340849291,4,LightYellow,D
51,1900,15.552811474529552,4,LightYellow,D
52,1901,15.239365415437229,4,LightYellow,D
53,1902,15.636861057105522,4,LightYellow,D
54,1903,14.852223194136469,3,CornflowerBlue,C
55,1904,15.092316278363436,4,LightYellow,D
56,1905,15.58521026333836,4,LightYellow,D
57,1906,15.180006139600327,4,LightYellow,D
58,1907,16.0167778699058,4,LightYellow,D
59,1908,15.135950732024273,4,LightYellow,D
60,1909,15.37795282242239,4,LightYellow,D
61,1910,14.843159717760857,3,CornflowerBlue,C
62,1911,15.34619230002335,4,LightYellow,D
63,1912,15.09575184499118,4,LightYellow,D
64,1913,15.681530865306685,4,LightYellow,D
65,1914,16.056463378322537,4,LightYellow,D
66,1915,15.822368474846996,4,LightYellow,D
67,1916,16.316399906585552,4,LightYellow,D
68,1917,16.420039803097712,4,LightYellow,D
69,1918,16.236659774178964,4,LightYellow,D
70,1919,16.182185379456214,4,LightYellow,D
71,1920,16.38010165269642,4,LightYellow,D
72,1921,15.871000716577496,4,LightYellow,D
73,1922,16.36991664308217,4,LightYellow,D
74,1923,17.243046886516176,4,LightYellow,D
75,1924,15.77651645693029,4,LightYellow,D
76,1925,17.272940343529477,4,LightYellow,D
77,1926,16.190460237975138,4,LightYellow,D
78,1927,16.97399428942413,4,LightYellow,D
79,1928,16.76918607008664,4,LightYellow,D
80,1929,17.73194220276488,4,LightYellow,D
81,1930,17.372637246715698,4,LightYellow,D
82,1931,17.434014991208493,4,LightYellow,D
83,1932,17.551939295363006,4,LightYellow,D
84,1933,17.712344716427257,4,LightYellow,D
85,1934,17.213477635096165,4,LightYellow,D
86,1935,17.68011981878475,4,LightYellow,D
87,1936,19.334471013105773,4,LightYellow,D
88,1937,18.381799683299054,4,LightYellow,D
89,1938,18.287502189993628,4,LightYellow,D
90,1939,19.201767801614505,4,LightYellow,D
91,1940,19.620872828190947,4,LightYellow,D
92,1941,18.254429578903625,4,LightYellow,D
93,1942,18.447375411376594,4,LightYellow,D
94,1943,16.734197592670927,4,LightYellow,D
95,1944,16.560506112607552,4,LightYellow,D
96,1945,14.222960890719026,3,CornflowerBlue,C
97,1946,14.282316203900209,3,CornflowerBlue,C
98,1947,14.372792296796836,3,CornflowerBlue,C
99,1948,14.45577053974405,3,CornflowerBlue,C
100,1949,14.454678295936533,3,CornflowerBlue,C
101,1950,13.087005167871315,3,CornflowerBlue,C
102,1951,12.753756940488497,3,CornflowerBlue,C
103,1952,12.301829913197345,3,CornflowerBlue,C
104,1953,13.165465610587816,3,CornflowerBlue,C
105,1954,12.82290307584417,3,CornflowerBlue,C
106,1955,12.817298567509468,3,CornflowerBlue,C
107,1956,13.182865444812714,3,CornflowerBlue,C
108,1957,14.618040612656337,3,CornflowerBlue,C
109,1958,16.05398503999415,4,LightYellow,D
110,1959,16.86240473942138,4,LightYellow,D
111,1960,17.45883752678412,4,LightYellow,D
112,1961,16.78351035094125,4,LightYellow,D
113,1962,16.86091053301742,4,LightYellow,D
114,1963,17.031653895945347,4,LightYellow,D
115,1964,17.708243506080017,4,LightYellow,D
116,1965,18.345611246038313,4,LightYellow,D
117,1966,18.634413100608292,4,LightYellow,D
118,1967,18.73882509561668,4,LightYellow,D
119,1968,19.21435858140136,4,LightYellow,D
120,1969,18.512551661259323,4,LightYellow,D
121,1970,19.465766370214585,4,LightYellow,D
122,1971,20.561118838950637,5,Vanilla,E
123,1972,21.89108316136146,5,Vanilla,E
124,1973,22.12543228566074,5,Vanilla,E
125,1974,22.20826627430512,5,Vanilla,E
126,1975,21.432021679025922,5,Vanilla,E
127,1976,23.667901824844517,5,Vanilla,E
128,1977,24.102852785038724,5,Vanilla,E
129,1978,24.15924065061937,5,Vanilla,E
130,1979,24.699110320202962,5,Vanilla,E
131,1980,25.785118975443048,5,Vanilla,E
132,1981,25.386343634366266,5,Vanilla,E
133,1982,25.15732509635163,5,Vanilla,E
134,1983,26.076300178618876,5,Vanilla,E
135,1984,26.05783442176764,5,Vanilla,E
136,1985,28.848193441486412,5,Vanilla,E
137,1986,29.21425370936332,5,Vanilla,E
138,1987,28.721763439796813,5,Vanilla,E
139,1988,29.989303766893165,5,Vanilla,E
140,1989,28.273813373561556,5,Vanilla,E
141,1990,28.909462538107334,5,Vanilla,E
142,1991,29.51178362008328,5,Vanilla,E
143,1992,27.13527357106424,5,Vanilla,E
144,1993,27.064502768155855,5,Vanilla,E
145,1994,27.736900862877484,5,Vanilla,E
146,1995,27.880051978290567,5,Vanilla,E
147,1996,26.916351319878935,5,Vanilla,E
148,1997,28.753259572678783,5,Vanilla,E
149,1998,28.069407000503325,5,Vanilla,E
150,1999,25.19448518289215,5,Vanilla,E
151,2000,28.167055741654462,5,Vanilla,E
152,2001,30.633333206176758,6,Dandelion,F
153,2002,26.191667556762695,5,Vanilla,E
154,2003,37.94166946411133,6,Dandelion,F
155,2004,30.19999885559082,6,Dandelion,F
156,2005,33.150001525878906,6,Dandelion,F
157,2006,38.91666793823242,6,Dandelion,F
158,2007,32.82500076293945,6,Dandelion,F
159,2008,33.891666412353516,6,Dandelion,F
160,2009,35.89999771118164,6,Dandelion,F
161,2010,28.65833282470703,5,Vanilla,E
162,2011,32.533329010009766,6,Dandelion,F
163,2012,32.39999771118164,6,Dandelion,F
164,2013,31.933332443237305,6,Dandelion,F
165,2014,40.275001525878906,7,Tangerine,G
166,2015,39.375003814697266,6,Dandelion,F
167,2016,35.20833206176758,6,Dandelion,F
168,2017,32.56666946411133,6,Dandelion,F
169,2018,28.725000381469727,5,Vanilla,E
170,2019,28.049997329711914,5,Vanilla,E
171,2020,31.875,6,Dandelion,F
172,2021,30.0,5,Vanilla,E
173,2022,28.51666831970215,5,Vanilla,E
