Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,8.03726939160705,2,PowderBlue,B
2,1851,8.804494856812461,2,PowderBlue,B
3,1852,7.6523958136062,2,PowderBlue,B
4,1853,8.099581775957231,2,PowderBlue,B
5,1854,8.905739099273852,2,PowderBlue,B
6,1855,8.839673274720205,2,PowderBlue,B
7,1856,9.198614505255662,2,PowderBlue,B
8,1857,10.015342107156448,3,CornflowerBlue,C
9,1858,8.175448129305295,2,PowderBlue,B
10,1859,8.582215558485371,2,PowderBlue,B
11,1860,9.295024587413511,2,PowderBlue,B
12,1861,10.579171137150944,3,CornflowerBlue,C
13,1862,8.764006278653554,2,PowderBlue,B
14,1863,8.026592170752167,2,PowderBlue,B
15,1864,7.616972116476876,2,PowderBlue,B
16,1865,8.220246421881983,2,PowderBlue,B
17,1866,9.31807989246486,2,PowderBlue,B
18,1867,8.884416755304162,2,PowderBlue,B
19,1868,9.018219871510041,2,PowderBlue,B
20,1869,8.996740685187127,2,PowderBlue,B
21,1870,9.311854210215026,2,PowderBlue,B
22,1871,8.238091671677429,2,PowderBlue,B
23,1872,8.46966578655233,2,PowderBlue,B
24,1873,8.605525365003372,2,PowderBlue,B
25,1874,9.123282962232373,2,PowderBlue,B
26,1875,8.843241712153041,2,PowderBlue,B
27,1876,8.743914960510166,2,PowderBlue,B
28,1877,8.742615301775773,2,PowderBlue,B
29,1878,8.299376812038693,2,PowderBlue,B
30,1879,8.184702970413387,2,PowderBlue,B
31,1880,9.230176860324674,2,PowderBlue,B
32,1881,9.594603174855203,2,PowderBlue,B
33,1882,11.616884930895646,3,CornflowerBlue,C
34,1883,8.750017103433223,2,PowderBlue,B
35,1884,8.140439499975205,2,PowderBlue,B
36,1885,8.432477698246217,2,PowderBlue,B
37,1886,8.39207183622372,2,PowderBlue,B
38,1887,9.105156369702176,2,PowderBlue,B
39,1888,8.872791659595325,2,PowderBlue,B
40,1889,8.714864678686718,2,PowderBlue,B
41,1890,8.713356152101895,2,PowderBlue,B
42,1891,9.742055546279413,2,PowderBlue,B
43,1892,8.904955977942306,2,PowderBlue,B
44,1893,9.451708437724001,2,PowderBlue,B
45,1894,8.318877525853226,2,PowderBlue,B
46,1895,9.468281395971331,2,PowderBlue,B
47,1896,9.08952517391963,2,PowderBlue,B
48,1897,9.252127513349873,2,PowderBlue,B
49,1898,9.215587898659722,2,PowderBlue,B
50,1899,10.024847002552155,3,CornflowerBlue,C
51,1900,10.282708039568366,3,CornflowerBlue,C
52,1901,9.221110123537287,2,PowderBlue,B
53,1902,9.350133836253205,2,PowderBlue,B
54,1903,8.562289431899565,2,PowderBlue,B
55,1904,9.039651506227631,2,PowderBlue,B
56,1905,10.298539462404758,3,CornflowerBlue,C
57,1906,9.52074436638441,2,PowderBlue,B
58,1907,10.256675259336268,3,CornflowerBlue,C
59,1908,9.767055265882489,2,PowderBlue,B
60,1909,9.496367760513671,2,PowderBlue,B
61,1910,9.849887656014305,2,PowderBlue,B
62,1911,8.577632877915889,2,PowderBlue,B
63,1912,9.704367053000603,2,PowderBlue,B
64,1913,9.469872181435777,2,PowderBlue,B
65,1914,10.001376861713236,3,CornflowerBlue,C
66,1915,9.939295206933537,2,PowderBlue,B
67,1916,10.876954019551379,3,CornflowerBlue,C
68,1917,9.642176324921493,2,PowderBlue,B
69,1918,9.281289005003217,2,PowderBlue,B
70,1919,9.243646735684612,2,PowderBlue,B
71,1920,10.07367504859678,3,CornflowerBlue,C
72,1921,9.23178511304774,2,PowderBlue,B
73,1922,10.34640152516294,3,CornflowerBlue,C
74,1923,9.682427864131434,2,PowderBlue,B
75,1924,10.261835907519242,3,CornflowerBlue,C
76,1925,9.552765582796404,2,PowderBlue,B
77,1926,10.03882114322884,3,CornflowerBlue,C
78,1927,10.700368719836677,3,CornflowerBlue,C
79,1928,10.836390109086267,3,CornflowerBlue,C
80,1929,10.77948421402996,3,CornflowerBlue,C
81,1930,10.060418267505572,3,CornflowerBlue,C
82,1931,11.292303083707951,3,CornflowerBlue,C
83,1932,11.154149886223083,3,CornflowerBlue,C
84,1933,11.197373256456219,3,CornflowerBlue,C
85,1934,10.444175333995062,3,CornflowerBlue,C
86,1935,10.544491675963773,3,CornflowerBlue,C
87,1936,10.967218823648993,3,CornflowerBlue,C
88,1937,10.179322282959692,3,CornflowerBlue,C
89,1938,11.996938078201582,3,CornflowerBlue,C
90,1939,10.382949802829508,3,CornflowerBlue,C
91,1940,9.727189892143409,2,PowderBlue,B
92,1941,10.068618486737977,3,CornflowerBlue,C
93,1942,9.239323775326216,2,PowderBlue,B
94,1943,10.466155372109379,3,CornflowerBlue,C
95,1944,11.295981935149076,3,CornflowerBlue,C
96,1945,10.611232528480487,3,CornflowerBlue,C
97,1946,10.723408963188591,3,CornflowerBlue,C
98,1947,10.930344308321038,3,CornflowerBlue,C
99,1948,11.629540941469918,3,CornflowerBlue,C
100,1949,10.478368522382628,3,CornflowerBlue,C
101,1950,11.84253297388121,3,CornflowerBlue,C
102,1951,11.362555812402318,3,CornflowerBlue,C
