Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,3.8975388244890024,1,LightTurquoise,A
2,1851,4.449791383972048,1,LightTurquoise,A
3,1852,4.384574308263749,1,LightTurquoise,A
4,1853,3.721442085738464,1,LightTurquoise,A
5,1854,3.900763604311286,1,LightTurquoise,A
6,1855,4.116586763941477,1,LightTurquoise,A
7,1856,3.8652959804264495,1,LightTurquoise,A
8,1857,4.226953770693351,1,LightTurquoise,A
9,1858,3.803997468273804,1,LightTurquoise,A
10,1859,3.9351321233991094,1,LightTurquoise,A
11,1860,4.139430805756498,1,LightTurquoise,A
12,1861,4.053260500411718,1,LightTurquoise,A
13,1862,4.13276525139429,1,LightTurquoise,A
14,1863,4.167762411439319,1,LightTurquoise,A
15,1864,3.9090335421306492,1,LightTurquoise,A
16,1865,4.3432558793775575,1,LightTurquoise,A
17,1866,4.382645975073888,1,LightTurquoise,A
18,1867,3.8587816339368666,1,LightTurquoise,A
19,1868,3.8313268396554383,1,LightTurquoise,A
20,1869,3.8857451613711107,1,LightTurquoise,A
21,1870,3.8847953596777702,1,LightTurquoise,A
22,1871,4.269949951514677,1,LightTurquoise,A
23,1872,4.032227521579873,1,LightTurquoise,A
24,1873,4.070619331736965,1,LightTurquoise,A
25,1874,4.267446905586329,1,LightTurquoise,A
26,1875,4.181567878782656,1,LightTurquoise,A
27,1876,4.111019416814977,1,LightTurquoise,A
28,1877,4.432863671359408,1,LightTurquoise,A
29,1878,4.0212482175824045,1,LightTurquoise,A
30,1879,4.278618454329716,1,LightTurquoise,A
31,1880,4.015133573557794,1,LightTurquoise,A
32,1881,4.400843340287175,1,LightTurquoise,A
33,1882,4.518555251304538,1,LightTurquoise,A
34,1883,4.086787705503503,1,LightTurquoise,A
35,1884,4.301742875660284,1,LightTurquoise,A
36,1885,4.090266382766859,1,LightTurquoise,A
37,1886,4.081121020188489,1,LightTurquoise,A
38,1887,3.8441832850241675,1,LightTurquoise,A
39,1888,3.7536823519506366,1,LightTurquoise,A
40,1889,4.4554791104543,1,LightTurquoise,A
41,1890,4.188318469653009,1,LightTurquoise,A
42,1891,4.149268753028302,1,LightTurquoise,A
43,1892,4.168478071018764,1,LightTurquoise,A
44,1893,3.9235629584178016,1,LightTurquoise,A
45,1894,4.090709162692772,1,LightTurquoise,A
46,1895,4.353294475009362,1,LightTurquoise,A
47,1896,4.119388020003236,1,LightTurquoise,A
48,1897,4.176099251939867,1,LightTurquoise,A
49,1898,4.0142217923786925,1,LightTurquoise,A
50,1899,3.9876151072072368,1,LightTurquoise,A
51,1900,4.444614073589675,1,LightTurquoise,A
52,1901,4.237545708947664,1,LightTurquoise,A
53,1902,4.031111907656034,1,LightTurquoise,A
54,1903,4.346531644543427,1,LightTurquoise,A
55,1904,4.128920598237544,1,LightTurquoise,A
56,1905,4.169406240639658,1,LightTurquoise,A
57,1906,4.287497277817805,1,LightTurquoise,A
58,1907,4.228277779168809,1,LightTurquoise,A
59,1908,4.347361421022272,1,LightTurquoise,A
60,1909,4.521475433565965,1,LightTurquoise,A
61,1910,4.617370605493547,1,LightTurquoise,A
62,1911,4.1463706632598045,1,LightTurquoise,A
63,1912,4.622660833027679,1,LightTurquoise,A
64,1913,3.986061605844581,1,LightTurquoise,A
65,1914,4.478231270928621,1,LightTurquoise,A
66,1915,4.624171779356859,1,LightTurquoise,A
67,1916,4.568695138114174,1,LightTurquoise,A
68,1917,4.363792343980214,1,LightTurquoise,A
69,1918,4.13425299972989,1,LightTurquoise,A
70,1919,4.259900261455577,1,LightTurquoise,A
71,1920,4.537689689159113,1,LightTurquoise,A
72,1921,4.390192553045171,1,LightTurquoise,A
73,1922,4.475120861602869,1,LightTurquoise,A
74,1923,4.088677350868201,1,LightTurquoise,A
